Author,and,of,an,for,with,the,it,is,which,was,in,by,unto,lord,thereof,shall,be,one,shalt,thou,to,other,as,without,every,his,your,ye,their,throughout,do,no,therein,but,they,make,these,have,also,when,out,them,according,not,each,all,that,were,much,therefore,had,should,been,him,said,will,her,may,wherefore,my,say,hath,thee,now,those,seemeth,man,thus,he,yet,more,became,then,forth,himself,than,thyself,where,what,let,me,how,because,hast,again,howsoever,thy,into,god,there,or,whither,from,did,whom,such,downward,upward,are,like,who,ever,if,many,some,once,yea,upon,neither,we,our,shouldest,thine,didst,abundance,whence,wherein,would,till,whose,among,thence,moreover,whereon,whosoever,whoso,ought,must,being,cometh,whatsoever,lest,inasmuch,whereto,seest,therewith,whereof,thereby,outward,hence,becometh,whereby,henceforth,thereon,thereupon,doeth,thereunto,wherewith,oft,oftentimes,underneath,whereunto,whensoever,wherewithal,hereof,notwithstanding,verily,soever,could,forthwith,therefrom,wheresoever,a_percentage_use,n_percentage_use,d_percentage_use,t_percentage_use,e_percentage_use,h_percentage_use,p_percentage_use,r_percentage_use,o_percentage_use,f_percentage_use,l_percentage_use,u_percentage_use,m_percentage_use,i_percentage_use,g_percentage_use,w_percentage_use,b_percentage_use,s_percentage_use,c_percentage_use,v_percentage_use,y_percentage_use,k_percentage_use,x_percentage_use,z_percentage_use,j_percentage_use,q_percentage_use,Total_Word_Count,AVG_Letter_Per_Word,AVG_Word_Per_Verse,Total_Function_Word_Count
Moses,93.0,61.0,15.0,52.0,10.0,124.0,5.0,7.0,2.0,1.0,9.0,7.0,28.0,16.0,4.0,43.0,21.0,29.0,4.0,4.0,13.0,1.0,2.0,12.0,4.0,16.0,3.0,25.0,26.0,6.0,6.0,5.0,2.0,3.0,4.0,3.0,1.0,5.0,1.0,1.0,1.0,1.0,6.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07737997030193038,0.0852994555353902,0.03778254413463125,0.08678435901666391,0.11268767530110543,0.05956112852664577,0.0024748391354561953,0.07045042072265303,0.09008414453060551,0.06434581752186108,0.04669196502227355,0.030028048176868504,0.023593466424682397,0.05890117142385745,0.0219435736677116,0.01072430292031018,0.024088434251773636,0.046856954297970634,0.013694109882857615,0.009074410163339383,0.01616894901831381,0.0105593136446131,0.00016498927569707968,0.0,0.0,0.0,1428,4.2443977591036415,24.620689655172413,685.999340042897
Joshua,12.0,15.0,0.0,3.0,0.0,16.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08710217755443886,0.07202680067001675,0.04522613065326633,0.10050251256281408,0.12227805695142378,0.09882747068676717,0.005025125628140704,0.07035175879396985,0.07035175879396985,0.03685092127303183,0.035175879396984924,0.023450586264656615,0.021775544388609715,0.08542713567839195,0.010050251256281407,0.008375209380234505,0.01675041876046901,0.038525963149078725,0.035175879396984924,0.005025125628140704,0.0,0.0016750418760469012,0.0,0.005025125628140704,0.0033500837520938024,0.0,126,4.738095238095238,21.0,72.99832495812396
Samuel,36.0,12.0,1.0,0.0,3.0,28.0,4.0,0.0,0.0,4.0,12.0,2.0,1.0,1.0,0.0,1.0,8.0,1.0,1.0,2.0,18.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,4.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,2.0,0.0,3.0,11.0,1.0,2.0,2.0,0.0,2.0,1.0,7.0,4.0,4.0,1.0,2.0,2.0,4.0,2.0,1.0,6.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10378378378378378,0.07297297297297298,0.06756756756756757,0.0945945945945946,0.11243243243243244,0.07891891891891892,0.009189189189189189,0.03027027027027027,0.04864864864864865,0.01783783783783784,0.05027027027027027,0.024864864864864864,0.025405405405405406,0.07405405405405406,0.018378378378378378,0.021621621621621623,0.011891891891891892,0.06594594594594595,0.008648648648648649,0.02054054054054054,0.017297297297297298,0.01027027027027027,0.0005405405405405405,0.0,0.0016216216216216215,0.0,465,3.978494623655914,30.266666666666666,238.9875675675675
Unknown,12.0,4.0,0.0,0.0,0.0,13.0,0.0,1.0,0.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,3.0,6.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,7.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,3.0,1.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10888252148997135,0.08452722063037249,0.05730659025787966,0.10028653295128939,0.1017191977077364,0.0830945558739255,0.0057306590257879654,0.03581661891117478,0.07449856733524356,0.012893982808022923,0.027220630372492838,0.03868194842406877,0.02005730659025788,0.06446991404011461,0.02148997134670487,0.02005730659025788,0.025787965616045846,0.05873925501432665,0.008595988538681949,0.008595988538681949,0.014326647564469915,0.008595988538681949,0.0,0.0071633237822349575,0.0071633237822349575,0.0,179,3.899441340782123,29.666666666666668,98.9957020057307
Unknown,15.0,6.0,2.0,0.0,1.0,10.0,2.0,4.0,0.0,1.0,1.0,1.0,1.0,10.0,0.0,4.0,0.0,0.0,0.0,3.0,6.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,3.0,0.0,1.0,0.0,6.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,5.0,2.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,5.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08801955990220049,0.06723716381418093,0.06234718826405868,0.10513447432762836,0.11613691931540342,0.10024449877750612,0.007334963325183374,0.040342298288508556,0.08679706601466992,0.019559902200488997,0.0550122249388753,0.012224938875305624,0.02567237163814181,0.0550122249388753,0.007334963325183374,0.02567237163814181,0.014669926650366748,0.05378973105134474,0.006112469437652812,0.008557457212713936,0.02689486552567237,0.006112469437652812,0.0,0.0012224938875305623,0.006112469437652812,0.0,225,3.6355555555555554,27.875,134.9975550122249
Unknown,18.0,11.0,1.0,1.0,1.0,16.0,3.0,2.0,2.0,0.0,5.0,2.0,1.0,2.0,1.0,6.0,2.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,8.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09361233480176212,0.07378854625550661,0.04185022026431718,0.1013215859030837,0.1145374449339207,0.07929515418502203,0.013215859030837005,0.05947136563876652,0.07268722466960352,0.025330396475770924,0.03303964757709251,0.02643171806167401,0.02092511013215859,0.05726872246696035,0.022026431718061675,0.019823788546255508,0.01762114537444934,0.06497797356828194,0.02092511013215859,0.0022026431718061676,0.028634361233480177,0.006607929515418502,0.0,0.0022026431718061676,0.0022026431718061676,0.0,229,3.965065502183406,32.714285714285715,130.00000000000009
Ezra,49.0,39.0,0.0,9.0,5.0,77.0,1.0,1.0,3.0,3.0,7.0,2.0,8.0,16.0,0.0,2.0,3.0,3.0,0.0,0.0,18.0,2.0,2.0,0.0,2.0,6.0,7.0,6.0,4.0,2.0,1.0,0.0,0.0,3.0,10.0,0.0,0.0,0.0,1.0,0.0,3.0,9.0,3.0,7.0,0.0,5.0,13.0,6.0,1.0,2.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,9.0,2.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0849214309595453,0.07087930458040789,0.05315947843530592,0.10030090270812438,0.13406887328652625,0.07422266800401203,0.014710799063858242,0.05850885991307255,0.07756603142761619,0.029087261785356068,0.03610832497492478,0.02708124373119358,0.020060180541624874,0.04680708793045804,0.021397525911066532,0.011367435640254095,0.009361417586091608,0.05850885991307255,0.02273487128050819,0.012036108324974924,0.020060180541624874,0.010698762955533266,0.0,0.002340354396522902,0.003343363423604146,0.0,670,4.464179104477612,33.5,390.99933132731525
Nehemiah,15.0,2.0,0.0,1.0,1.0,7.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1485148514851485,0.07590759075907591,0.06930693069306931,0.0924092409240924,0.12871287128712872,0.08250825082508251,0.0033003300330033004,0.039603960396039604,0.039603960396039604,0.0297029702970297,0.066006600660066,0.009900990099009901,0.009900990099009901,0.0594059405940594,0.0231023102310231,0.006600660066006601,0.019801980198019802,0.036303630363036306,0.0033003300330033004,0.019801980198019802,0.0,0.013201320132013201,0.0,0.009900990099009901,0.013201320132013201,0.0,68,4.455882352941177,17.0,39.0
Mordecai,1.0,1.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.056074766355140186,0.07476635514018691,0.028037383177570093,0.14018691588785046,0.1588785046728972,0.12149532710280374,0.0,0.028037383177570093,0.04672897196261682,0.018691588785046728,0.037383177570093455,0.037383177570093455,0.009345794392523364,0.06542056074766354,0.028037383177570093,0.028037383177570093,0.009345794392523364,0.04672897196261682,0.0,0.018691588785046728,0.009345794392523364,0.018691588785046728,0.0,0.0,0.0,0.018691588785046728,28,3.8214285714285716,28.0,19.99999999999999
Unknown,4.0,5.0,0.0,3.0,2.0,7.0,1.0,2.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,9.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06700167504187604,0.07705192629815745,0.03350083752093802,0.10385259631490787,0.1273031825795645,0.09380234505862646,0.03015075376884422,0.04355108877721943,0.06700167504187604,0.02680067001675042,0.02512562814070352,0.02512562814070352,0.03685092127303183,0.07705192629815745,0.01675041876046901,0.01675041876046901,0.01340033500837521,0.06365159128978225,0.020100502512562814,0.006700167504187605,0.01507537688442211,0.008375209380234505,0.0,0.0,0.0016750418760469012,0.0,148,4.033783783783784,14.8,83.99664991624789
