Author,and,the,of,without,their,for,shall,be,according,to,one,his,ye,have,do,no,therein,but,by,unto,lord,these,in,your,all,that,is,which,hath,if,man,or,an,with,he,not,out,also,being,her,wherewith,then,every,because,had,when,ought,it,make,they,them,whatsoever,may,from,are,upon,yet,shalt,thou,thy,some,let,throughout,there,were,as,wherein,forth,was,said,among,now,therefore,him,whosoever,into,who,did,thence,thereof,thee,been,didst,wherefore,those,again,me,hast,should,like,cometh,god,my,what,how,will,other,thus,thine,moreover,abundance,we,upward,yea,than,say,oftentimes,ever,lest,himself,whoso,much,therewith,shouldest,neither,many,thyself,where,outward,our,would,whom,whose,doeth,must,such,more,each,inasmuch,downward,whereto,seest,whereof,once,thereby,hence,howsoever,becometh,whereby,henceforth,thereon,till,thereupon,thereunto,became,oft,whither,underneath,whereunto,whence,whensoever,wherewithal,seemeth,hereof,notwithstanding,verily,whereon,soever,could,forthwith,therefrom,wheresoever,a_percentage_use,n_percentage_use,d_percentage_use,o_percentage_use,t_percentage_use,h_percentage_use,e_percentage_use,s_percentage_use,v_percentage_use,y_percentage_use,b_percentage_use,u_percentage_use,l_percentage_use,c_percentage_use,k_percentage_use,w_percentage_use,r_percentage_use,m_percentage_use,f_percentage_use,i_percentage_use,g_percentage_use,p_percentage_use,q_percentage_use,z_percentage_use,j_percentage_use,x_percentage_use,Total_Word_Count,AVG_Letter_Per_Word,AVG_Word_Per_Verse,Total_Function_Word_Count
Moses,114.0,145.0,76.0,4.0,14.0,15.0,32.0,6.0,4.0,16.0,6.0,15.0,12.0,4.0,4.0,1.0,1.0,8.0,6.0,18.0,21.0,3.0,11.0,10.0,27.0,17.0,4.0,12.0,10.0,9.0,5.0,7.0,4.0,11.0,14.0,6.0,6.0,2.0,3.0,57.0,8.0,7.0,11.0,2.0,2.0,1.0,1.0,11.0,5.0,9.0,16.0,1.0,3.0,2.0,3.0,2.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,4.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08768300445576066,0.06795035009548059,0.052196053469127944,0.07447485677912158,0.08911521323997454,0.09007001909611713,0.1277848504137492,0.05760661998726926,0.01336728198599618,0.016231699554423933,0.019255251432208784,0.02371101209420751,0.04614894971355824,0.01575429662635264,0.00668364099299809,0.02084659452577976,0.06047103755569701,0.021005728835136857,0.030712921705919796,0.05060471037555697,0.013844684914067472,0.010343730108211331,0.00015913430935709738,0.001273074474856779,0.00031826861871419476,0.00015913430935709738,1516,4.145118733509235,26.06896551724138,860.9977721196688
Joshua,16.0,11.0,4.0,0.0,4.0,0.0,0.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10616438356164383,0.07534246575342465,0.0547945205479452,0.07705479452054795,0.11986301369863013,0.0976027397260274,0.11643835616438356,0.0410958904109589,0.008561643835616438,0.0017123287671232876,0.017123287671232876,0.017123287671232876,0.032534246575342464,0.018835616438356163,0.005136986301369863,0.011986301369863013,0.06164383561643835,0.018835616438356163,0.015410958904109588,0.06335616438356165,0.018835616438356163,0.011986301369863013,0.0,0.003424657534246575,0.005136986301369863,0.0,121,4.8264462809917354,20.166666666666668,64.00000000000001
Samuel,44.0,18.0,5.0,1.0,0.0,4.0,1.0,2.0,0.0,15.0,0.0,12.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,6.0,3.0,0.0,11.0,0.0,3.0,4.0,2.0,0.0,1.0,1.0,0.0,0.0,2.0,7.0,12.0,4.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,2.0,0.0,3.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0,0.0,1.0,5.0,1.0,0.0,3.0,0.0,2.0,1.0,3.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,10.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,2.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11292200232828871,0.08090803259604191,0.0710128055878929,0.059371362048894066,0.08440046565774156,0.07625145518044238,0.10244470314318975,0.07217694994179279,0.016880093131548313,0.008731082654249126,0.008731082654249126,0.02677532013969732,0.048894062863795114,0.014551804423748545,0.004656577415599534,0.025611175785797437,0.027357392316647265,0.023864959254947613,0.012805587892898719,0.07741559953434225,0.01920838183934808,0.011641443538998836,0.0,0.0,0.005238649592549476,0.0,433,3.967667436489607,28.666666666666668,228.99185098952267
Unknown,23.0,23.0,3.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,2.0,0.0,1.0,0.0,1.0,1.0,5.0,1.0,1.0,1.0,4.0,0.0,0.0,1.0,6.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11612903225806452,0.10838709677419354,0.07612903225806451,0.04774193548387097,0.09032258064516129,0.08,0.10451612903225807,0.05032258064516129,0.003870967741935484,0.005161290322580645,0.011612903225806452,0.02193548387096774,0.03225806451612903,0.015483870967741935,0.01806451612903226,0.02064516129032258,0.03483870967741935,0.02838709677419355,0.012903225806451613,0.07483870967741936,0.03096774193548387,0.0064516129032258064,0.0,0.005161290322580645,0.0012903225806451613,0.0,195,3.9743589743589745,32.333333333333336,109.99741935483868
Unknown,25.0,18.0,7.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,1.0,0.0,3.0,2.0,0.0,2.0,0.0,3.0,1.0,6.0,4.0,0.0,2.0,1.0,4.0,4.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09027777777777778,0.07341269841269842,0.057539682539682536,0.08630952380952381,0.09027777777777778,0.07142857142857142,0.12400793650793651,0.03869047619047619,0.005952380952380952,0.010912698412698412,0.020833333333333332,0.03273809523809524,0.06448412698412699,0.01488095238095238,0.00496031746031746,0.020833333333333332,0.050595238095238096,0.022817460317460316,0.026785714285714284,0.04563492063492063,0.00992063492063492,0.023809523809523808,0.0,0.000992063492063492,0.003968253968253968,0.0,255,3.9529411764705884,31.5,135.99206349206355
Unknown,17.0,16.0,6.0,0.0,0.0,4.0,2.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,4.0,0.0,6.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09974424552429667,0.08312020460358056,0.06521739130434782,0.06905370843989769,0.09335038363171355,0.08567774936061381,0.11381074168797954,0.07544757033248081,0.0076726342710997444,0.01918158567774936,0.005115089514066497,0.017902813299232736,0.028132992327365727,0.020460358056265986,0.00639386189258312,0.017902813299232736,0.049872122762148335,0.024296675191815855,0.017902813299232736,0.06649616368286446,0.010230179028132993,0.014066496163682864,0.0,0.0038363171355498722,0.0,0.0,197,3.969543147208122,28.0,110.99488491048592
Ezra,70.0,94.0,40.0,0.0,19.0,11.0,0.0,1.0,2.0,21.0,1.0,9.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,3.0,10.0,0.0,22.0,0.0,9.0,6.0,3.0,3.0,1.0,0.0,2.0,0.0,0.0,1.0,2.0,1.0,2.0,3.0,0.0,0.0,0.0,4.0,3.0,0.0,2.0,2.0,0.0,1.0,0.0,8.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,5.0,0.0,0.0,7.0,1.0,0.0,1.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07972885732730794,0.07617817947062622,0.04809554551323435,0.07004519044544867,0.09812782440284054,0.08715300193673338,0.13976759199483538,0.06003873466752744,0.010329244673983214,0.010974822466107165,0.011943189154293092,0.017430600387346677,0.035183989670755325,0.019690122659780502,0.004196255648805681,0.01355713363460297,0.05777921239509361,0.017430600387346677,0.028728211749515817,0.06907682375726275,0.018398967075532603,0.0158166559070368,0.00032278889606197545,0.0035506778566817302,0.004196255648805681,0.0009683666881859264,706,4.388101983002833,35.25,402.9987088444158
Nehemiah,11.0,4.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1588447653429603,0.09747292418772563,0.05776173285198556,0.04693140794223827,0.08303249097472924,0.08664259927797834,0.10469314079422383,0.02888086642599278,0.01444043321299639,0.007220216606498195,0.021660649819494584,0.010830324909747292,0.061371841155234655,0.010830324909747292,0.0036101083032490976,0.007220216606498195,0.039711191335740074,0.036101083032490974,0.02527075812274368,0.061371841155234655,0.01444043321299639,0.0,0.0,0.010830324909747292,0.010830324909747292,0.0,61,4.540983606557377,15.25,30.00000000000001
Mordecai,2.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09433962264150944,0.08490566037735849,0.05660377358490566,0.05660377358490566,0.11320754716981132,0.08490566037735849,0.14150943396226415,0.03773584905660377,0.009433962264150943,0.009433962264150943,0.009433962264150943,0.02830188679245283,0.009433962264150943,0.009433962264150943,0.018867924528301886,0.009433962264150943,0.04716981132075472,0.03773584905660377,0.018867924528301886,0.0660377358490566,0.02830188679245283,0.018867924528301886,0.009433962264150943,0.0,0.0,0.0,27,3.925925925925926,27.0,14.999999999999998
Unknown,10.0,6.0,1.0,0.0,0.0,1.0,5.0,4.0,0.0,4.0,1.0,13.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0,0.0,1.0,4.0,2.0,1.0,0.0,2.0,3.0,0.0,1.0,3.0,8.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07724719101123595,0.07584269662921349,0.03932584269662921,0.06882022471910113,0.08848314606741572,0.09691011235955056,0.11797752808988764,0.07724719101123595,0.009831460674157303,0.014044943820224719,0.011235955056179775,0.028089887640449437,0.046348314606741575,0.009831460674157303,0.004213483146067416,0.019662921348314606,0.05056179775280899,0.023876404494382022,0.023876404494382022,0.07865168539325842,0.021067415730337078,0.011235955056179775,0.0,0.0,0.0014044943820224719,0.0,180,3.9555555555555557,17.8,108.99578651685397
