Author,and,ye,shall,the,by,for,an,among,your,to,more,every,man,be,in,where,his,according,of,but,if,will,not,out,from,then,it,that,those,which,let,them,wherein,moreover,do,unto,as,lord,say,when,into,is,with,thereof,forth,have,their,these,are,one,they,whom,also,all,outward,without,there,he,may,many,him,wherewith,or,himself,upon,was,neither,whither,were,thence,other,hath,said,wherefore,cometh,me,thee,our,my,now,thine,therefore,thou,hast,thy,shalt,what,whereby,did,no,because,had,make,we,god,abundance,again,like,how,much,ever,than,would,thereon,yet,should,yea,therein,who,been,seest,her,doeth,thus,till,such,being,verily,must,some,hence,could,thereunto,lest,ought,didst,each,inasmuch,downward,whereto,therewith,whereof,whatsoever,once,thereby,shouldest,howsoever,throughout,becometh,henceforth,thereupon,became,oft,oftentimes,whosoever,underneath,whereunto,whence,whensoever,wherewithal,seemeth,hereof,whose,thyself,notwithstanding,whereon,soever,forthwith,therefrom,wheresoever,whoso,upward,a_percentage_use,n_percentage_use,d_percentage_use,y_percentage_use,e_percentage_use,s_percentage_use,h_percentage_use,l_percentage_use,i_percentage_use,v_percentage_use,t_percentage_use,b_percentage_use,o_percentage_use,f_percentage_use,r_percentage_use,c_percentage_use,m_percentage_use,g_percentage_use,u_percentage_use,w_percentage_use,p_percentage_use,k_percentage_use,x_percentage_use,q_percentage_use,z_percentage_use,j_percentage_use,Total_Word_Count,AVG_Letter_Per_Word,AVG_Word_Per_Verse,Total_Function_Word_Count
Moses,77.0,31.0,77.0,174.0,6.0,20.0,4.0,3.0,13.0,35.0,2.0,4.0,2.0,28.0,13.0,1.0,8.0,5.0,106.0,5.0,7.0,1.0,4.0,8.0,14.0,4.0,7.0,16.0,1.0,14.0,1.0,12.0,1.0,1.0,2.0,23.0,2.0,6.0,2.0,4.0,2.0,6.0,9.0,3.0,2.0,9.0,10.0,6.0,3.0,3.0,4.0,1.0,1.0,2.0,1.0,4.0,1.0,27.0,6.0,2.0,15.0,3.0,5.0,1.0,2.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07722513089005235,0.06528141361256544,0.04172120418848167,0.018979057591623036,0.1300719895287958,0.05791884816753927,0.0944044502617801,0.04744764397905759,0.06544502617801047,0.00899869109947644,0.09620418848167539,0.01832460732984293,0.07477094240837696,0.02994109947643979,0.05742801047120419,0.02274214659685864,0.022414921465968587,0.013907068062827226,0.02568717277486911,0.012925392670157068,0.00899869109947644,0.0022905759162303663,0.0006544502617801048,0.0001636125654450262,0.0022905759162303663,0.002781413612565445,1491,4.09926224010731,25.689655172413794,879.9990183246073
Joshua,16.0,0.0,0.0,17.0,0.0,1.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,5.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09523809523809523,0.07738095238095238,0.043154761904761904,0.004464285714285714,0.1130952380952381,0.046130952380952384,0.09077380952380952,0.028273809523809524,0.05952380952380952,0.004464285714285714,0.12648809523809523,0.010416666666666666,0.08482142857142858,0.020833333333333332,0.05654761904761905,0.03125,0.019345238095238096,0.01636904761904762,0.025297619047619048,0.01488095238095238,0.00744047619047619,0.008928571428571428,0.001488095238095238,0.0,0.005952380952380952,0.005952380952380952,150,4.48,25.0,80.99851190476194
Samuel,28.0,0.0,2.0,30.0,2.0,6.0,1.0,0.0,0.0,12.0,0.0,0.0,0.0,3.0,4.0,0.0,7.0,0.0,10.0,1.0,1.0,0.0,10.0,2.0,1.0,1.0,3.0,5.0,0.0,3.0,2.0,0.0,0.0,0.0,1.0,7.0,4.0,0.0,0.0,1.0,1.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.0,0.0,0.0,9.0,0.0,0.0,0.0,3.0,7.0,1.0,0.0,0.0,0.0,1.0,4.0,6.0,3.0,2.0,5.0,3.0,1.0,2.0,3.0,2.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1096045197740113,0.08813559322033898,0.05480225988700565,0.01751412429378531,0.11807909604519774,0.05875706214689266,0.08418079096045197,0.029943502824858758,0.05028248587570622,0.00903954802259887,0.09830508474576272,0.010734463276836158,0.0768361581920904,0.021468926553672316,0.0423728813559322,0.01638418079096045,0.02655367231638418,0.010169491525423728,0.020338983050847456,0.021468926553672316,0.010169491525423728,0.006779661016949152,0.0,0.0,0.0,0.0096045197740113,447,3.959731543624161,29.333333333333332,236.9915254237288
Unknown,11.0,6.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,14.0,1.0,0.0,1.0,1.0,2.0,0.0,2.0,0.0,10.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,5.0,1.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09038737446197992,0.08177905308464849,0.043041606886657105,0.027259684361549498,0.12482065997130559,0.05164992826398852,0.06743185078909612,0.027259684361549498,0.04591104734576758,0.00860832137733142,0.0975609756097561,0.02295552367288379,0.09612625538020086,0.02295552367288379,0.04878048780487805,0.015781922525107604,0.02582496413199426,0.028694404591104734,0.021520803443328552,0.01291248206599713,0.007173601147776184,0.021520803443328552,0.0,0.0,0.0014347202295552368,0.00860832137733142,190,3.668421052631579,31.666666666666668,107.99999999999999
Unknown,25.0,0.0,0.0,15.0,1.0,1.0,0.0,0.0,0.0,10.0,1.0,0.0,1.0,0.0,1.0,0.0,4.0,0.0,8.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,2.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,3.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11830357142857142,0.08147321428571429,0.0625,0.005580357142857143,0.12946428571428573,0.052455357142857144,0.07924107142857142,0.03794642857142857,0.0546875,0.004464285714285714,0.09933035714285714,0.016741071428571428,0.07254464285714286,0.016741071428571428,0.036830357142857144,0.012276785714285714,0.016741071428571428,0.013392857142857142,0.020089285714285716,0.022321428571428572,0.018973214285714284,0.008928571428571428,0.0,0.0,0.004464285714285714,0.010044642857142858,246,3.6422764227642275,30.625,131.99553571428575
Unknown,16.0,0.0,5.0,18.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,8.0,0.0,5.0,0.0,12.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,5.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,1.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09782608695652174,0.06884057971014493,0.049516908212560384,0.01932367149758454,0.1111111111111111,0.0640096618357488,0.1111111111111111,0.04106280193236715,0.07125603864734299,0.004830917874396135,0.0966183574879227,0.01932367149758454,0.06763285024154589,0.026570048309178744,0.035024154589371984,0.01932367149758454,0.014492753623188406,0.01570048309178744,0.018115942028985508,0.01932367149758454,0.008454106280193236,0.00966183574879227,0.0,0.0,0.004830917874396135,0.0024154589371980675,208,3.980769230769231,29.571428571428573,126.99637681159425
Ezra,52.0,0.0,0.0,67.0,1.0,4.0,0.0,2.0,1.0,17.0,3.0,0.0,0.0,0.0,20.0,0.0,21.0,1.0,40.0,3.0,0.0,3.0,2.0,3.0,1.0,1.0,1.0,6.0,0.0,7.0,0.0,4.0,1.0,0.0,2.0,4.0,2.0,15.0,0.0,2.0,1.0,0.0,4.0,0.0,0.0,3.0,1.0,0.0,2.0,0.0,5.0,1.0,2.0,7.0,0.0,1.0,0.0,18.0,0.0,0.0,11.0,0.0,0.0,3.0,1.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,6.0,0.0,0.0,10.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09018264840182648,0.06659056316590563,0.05974124809741248,0.0106544901065449,0.11948249619482496,0.06659056316590563,0.09322678843226788,0.0380517503805175,0.06468797564687975,0.0091324200913242,0.08599695585996955,0.0121765601217656,0.07724505327245053,0.029299847792998476,0.05060882800608828,0.01750380517503805,0.027016742770167426,0.0182648401826484,0.021689497716894976,0.0197869101978691,0.01293759512937595,0.004946727549467275,0.0,0.0,0.000380517503805175,0.0030441400304414,647,4.061823802163833,32.35,386.99923896499246
Nehemiah,4.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12658227848101267,0.05485232067510549,0.04219409282700422,0.004219409282700422,0.12658227848101267,0.05485232067510549,0.12236286919831224,0.02531645569620253,0.10548523206751055,0.016877637130801686,0.05907172995780591,0.02531645569620253,0.03375527426160337,0.016877637130801686,0.05063291139240506,0.008438818565400843,0.03375527426160337,0.012658227848101266,0.02109704641350211,0.012658227848101266,0.004219409282700422,0.016877637130801686,0.0,0.0,0.0,0.02531645569620253,46,5.1521739130434785,11.5,22.000000000000004
Mordecai,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08163265306122448,0.10204081632653061,0.08163265306122448,0.04081632653061224,0.16326530612244897,0.10204081632653061,0.04081632653061224,0.0,0.08163265306122448,0.0,0.10204081632653061,0.0,0.02040816326530612,0.0,0.061224489795918366,0.0,0.04081632653061224,0.0,0.02040816326530612,0.02040816326530612,0.02040816326530612,0.0,0.0,0.02040816326530612,0.0,0.0,11,4.454545454545454,11.0,7.999999999999998
Unknown,8.0,1.0,5.0,10.0,0.0,3.0,0.0,0.0,0.0,4.0,2.0,0.0,2.0,2.0,5.0,1.0,3.0,0.0,6.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,3.0,0.0,0.0,2.0,0.0,2.0,1.0,8.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07201086956521739,0.06929347826086957,0.03804347826086957,0.021739130434782608,0.12635869565217392,0.06114130434782609,0.10461956521739131,0.03260869565217391,0.06114130434782609,0.005434782608695652,0.11277173913043478,0.006793478260869565,0.07201086956521739,0.014945652173913044,0.058423913043478264,0.01358695652173913,0.029891304347826088,0.020380434782608696,0.020380434782608696,0.02309782608695652,0.016304347826086956,0.014945652173913044,0.0,0.001358695652173913,0.0,0.002717391304347826,181,4.066298342541437,18.1,108.00000000000001
