Author,and,the,of,him,without,his,he,shall,not,be,because,should,have,in,but,into,these,for,unto,throughout,your,all,whoso,to,by,one,moreover,ye,no,which,is,that,again,wherein,are,it,therein,therefore,lord,among,they,said,my,an,was,our,if,other,then,their,from,whereunto,when,according,hath,let,them,whom,every,himself,her,may,man,neither,as,did,were,there,had,god,thereunto,make,many,more,how,will,me,thou,hast,do,with,we,thy,thee,out,what,must,notwithstanding,would,forth,whither,than,where,yet,who,upon,also,shalt,ever,such,now,thine,or,been,yea,like,much,could,lest,those,thus,wherefore,whence,whereby,whose,seest,thereof,whereof,cometh,wheresoever,say,till,some,seemeth,being,ought,soever,inasmuch,didst,each,downward,abundance,whereto,therewith,thence,whatsoever,once,thereby,shouldest,outward,hence,howsoever,becometh,henceforth,thereon,thereupon,doeth,became,wherewith,oft,oftentimes,whosoever,underneath,whensoever,wherewithal,hereof,thyself,verily,whereon,forthwith,therefrom,upward,a_percentage_use,n_percentage_use,d_percentage_use,t_percentage_use,h_percentage_use,e_percentage_use,r_percentage_use,v_percentage_use,g_percentage_use,o_percentage_use,f_percentage_use,b_percentage_use,l_percentage_use,i_percentage_use,m_percentage_use,w_percentage_use,u_percentage_use,s_percentage_use,c_percentage_use,y_percentage_use,k_percentage_use,p_percentage_use,j_percentage_use,z_percentage_use,x_percentage_use,q_percentage_use,Total_Word_Count,AVG_Letter_Per_Word,AVG_Word_Per_Verse,Total_Function_Word_Count
Moses,91.0,175.0,108.0,7.0,1.0,11.0,12.0,31.0,15.0,17.0,3.0,4.0,5.0,33.0,7.0,6.0,4.0,15.0,28.0,1.0,23.0,8.0,1.0,37.0,13.0,8.0,2.0,22.0,2.0,15.0,10.0,19.0,3.0,2.0,9.0,11.0,1.0,1.0,27.0,3.0,10.0,9.0,2.0,2.0,3.0,10.0,1.0,1.0,3.0,9.0,7.0,2.0,2.0,3.0,8.0,1.0,7.0,1.0,6.0,2.0,1.0,1.0,4.0,3.0,9.0,3.0,2.0,3.0,2.0,13.0,1.0,2.0,1.0,1.0,2.0,4.0,5.0,3.0,2.0,2.0,2.0,9.0,3.0,3.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08033000434216239,0.0700535533362281,0.04950065132435953,0.0940801852655956,0.08365899551309885,0.12823852945433492,0.059053408597481545,0.0070921985815602835,0.01693443334780721,0.08264582428716168,0.028658271819366043,0.017368649587494574,0.04211897524967434,0.059053408597481545,0.02185555073093067,0.01548704588218266,0.02967144304530323,0.053842813721233174,0.018381820813431756,0.02330293819655522,0.004486901143436098,0.00911854103343465,0.0027500361846866405,0.0010131712259371835,0.0,0.0,1697,4.071302298173247,29.20689655172414,981.9986973512812
Joshua,15.0,8.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1105121293800539,0.0889487870619946,0.07277628032345014,0.0889487870619946,0.09433962264150944,0.1293800539083558,0.05929919137466307,0.008086253369272238,0.013477088948787063,0.0431266846361186,0.02425876010781671,0.01078167115902965,0.03234501347708895,0.09433962264150944,0.029649595687331536,0.0026954177897574125,0.0026954177897574125,0.03504043126684636,0.03504043126684636,0.0,0.008086253369272238,0.0026954177897574125,0.0,0.01078167115902965,0.0,0.0,78,4.756410256410256,13.0,41.99730458221025
Samuel,40.0,39.0,20.0,6.0,0.0,7.0,1.0,0.0,3.0,1.0,1.0,0.0,6.0,10.0,2.0,1.0,2.0,5.0,8.0,0.0,0.0,0.0,0.0,10.0,0.0,3.0,0.0,0.0,5.0,0.0,10.0,7.0,0.0,0.0,1.0,5.0,0.0,1.0,4.0,0.0,2.0,11.0,4.0,1.0,8.0,0.0,2.0,1.0,1.0,0.0,3.0,0.0,1.0,0.0,3.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,3.0,1.0,3.0,1.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,0.0,0.0,3.0,1.0,1.0,4.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10315591144606688,0.07960433349034385,0.07112576542628356,0.09185115402731983,0.0814884597268017,0.13141780499293454,0.045219029674988226,0.016486104569006125,0.012717852096090438,0.06547338671691004,0.02072538860103627,0.013659915214319359,0.023080546396608573,0.06500235515779557,0.025435704192180875,0.022138483278379653,0.02166745171926519,0.06076307112576543,0.01460197833254828,0.012246820536975978,0.00659444182760245,0.011304757418747056,0.001413094677343382,0.0,0.0004710315591144607,0.0004710315591144607,534,3.9756554307116105,35.53333333333333,292.99811587376365
Unknown,12.0,17.0,11.0,2.0,0.0,3.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,0.0,1.0,2.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,3.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07672955974842767,0.07044025157232704,0.055345911949685536,0.1018867924528302,0.0880503144654088,0.12452830188679245,0.05157232704402516,0.013836477987421384,0.016352201257861635,0.0830188679245283,0.026415094339622643,0.016352201257861635,0.021383647798742137,0.061635220125786164,0.03018867924528302,0.022641509433962263,0.026415094339622643,0.050314465408805034,0.010062893081761006,0.016352201257861635,0.012578616352201259,0.005031446540880503,0.00880503144654088,0.0025157232704402514,0.0,0.0012578616352201257,202,3.9356435643564356,33.333333333333336,106.9937106918239
Unknown,35.0,13.0,7.0,6.0,0.0,3.0,12.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,0.0,6.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,2.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,1.0,5.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111,0.085,0.078,0.089,0.08,0.132,0.051,0.007,0.013,0.068,0.024,0.012,0.031,0.053,0.022,0.02,0.021,0.045,0.016,0.017,0.009,0.005,0.007,0.0,0.0,0.001,264,3.787878787878788,32.875,144.99699999999999
Unknown,16.0,21.0,15.0,1.0,0.0,3.0,8.0,0.0,1.0,0.0,0.0,0.0,2.0,7.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,5.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,2.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09090909090909091,0.056818181818181816,0.06198347107438017,0.08161157024793389,0.09090909090909091,0.12293388429752067,0.05475206611570248,0.01756198347107438,0.014462809917355372,0.07747933884297521,0.026859504132231406,0.010330578512396695,0.047520661157024795,0.06611570247933884,0.03305785123966942,0.01756198347107438,0.022727272727272728,0.056818181818181816,0.01962809917355372,0.009297520661157025,0.006198347107438017,0.010330578512396695,0.002066115702479339,0.002066115702479339,0.0,0.0,243,3.983539094650206,34.714285714285715,145.00000000000003
Ezra,64.0,99.0,49.0,0.0,0.0,9.0,15.0,0.0,0.0,0.0,0.0,0.0,3.0,15.0,1.0,4.0,0.0,2.0,2.0,1.0,0.0,8.0,0.0,21.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,14.0,1.0,0.0,0.0,9.0,0.0,0.0,8.0,0.0,11.0,1.0,0.0,0.0,7.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,6.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,5.0,1.0,9.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09153153153153153,0.07063063063063063,0.058738738738738736,0.09765765765765766,0.10198198198198198,0.13261261261261262,0.05261261261261261,0.012252252252252252,0.022342342342342343,0.07315315315315316,0.024864864864864864,0.012612612612612612,0.02990990990990991,0.054414414414414414,0.01945945945945946,0.017657657657657658,0.02054054054054054,0.05117117117117117,0.012612612612612612,0.011531531531531532,0.012252252252252252,0.011891891891891892,0.005405405405405406,0.001081081081081081,0.0,0.0,682,4.068914956011731,34.1,400.99891891891883
Nehemiah,6.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1685823754789272,0.06896551724137931,0.0421455938697318,0.06896551724137931,0.08045977011494253,0.1111111111111111,0.0421455938697318,0.0038314176245210726,0.022988505747126436,0.05363984674329502,0.022988505747126436,0.038314176245210725,0.01532567049808429,0.09195402298850575,0.022988505747126436,0.011494252873563218,0.01532567049808429,0.04597701149425287,0.007662835249042145,0.0038314176245210726,0.019157088122605363,0.0038314176245210726,0.038314176245210725,0.0,0.0,0.0,52,5.019230769230769,13.0,23.000000000000004
Mordecai,4.0,6.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09042553191489362,0.07446808510638298,0.03723404255319149,0.11702127659574468,0.07446808510638298,0.10106382978723404,0.05319148936170213,0.010638297872340425,0.031914893617021274,0.07446808510638298,0.03723404255319149,0.005319148936170213,0.031914893617021274,0.0851063829787234,0.03723404255319149,0.010638297872340425,0.02127659574468085,0.031914893617021274,0.005319148936170213,0.010638297872340425,0.02127659574468085,0.026595744680851064,0.0,0.0,0.0,0.010638297872340425,52,3.6153846153846154,52.0,33.000000000000014
Unknown,6.0,7.0,5.0,3.0,2.0,4.0,4.0,0.0,5.0,5.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,4.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,3.0,3.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06359945872801083,0.07713125845737483,0.04194857916102842,0.09878213802435724,0.08525033829499323,0.14073071718538566,0.044654939106901215,0.0040595399188092015,0.010825439783491205,0.08525033829499323,0.02029769959404601,0.017591339648173207,0.02706359945872801,0.06630581867388363,0.029769959404600813,0.03247631935047361,0.029769959404600813,0.05006765899864682,0.028416779431664412,0.018944519621109608,0.010825439783491205,0.009472259810554804,0.0027063599458728013,0.0,0.0,0.0027063599458728013,184,4.016304347826087,18.4,108.99864682002709
