Author,but,the,of,which,thee,he,shall,in,him,for,to,it,moreover,your,ye,said,should,be,and,that,had,no,they,unto,them,will,as,into,by,then,me,we,have,lord,according,all,our,god,when,every,man,his,were,say,not,neither,among,lest,would,out,do,many,there,thou,are,therefore,with,their,much,because,may,also,thy,hath,these,been,hast,from,therein,did,now,was,forth,thine,upon,who,let,shalt,my,is,one,whatsoever,didst,thereof,himself,wherefore,thence,became,till,what,make,or,again,an,thereon,yet,thus,such,whosoever,wherewith,her,other,thyself,more,than,if,like,how,ever,yea,whose,whoso,those,whom,shouldest,where,each,outward,without,whither,cometh,must,ought,henceforth,whereof,inasmuch,downward,abundance,whereto,seest,therewith,wherein,once,thereby,being,hence,howsoever,throughout,becometh,whereby,thereupon,doeth,thereunto,oft,oftentimes,underneath,whereunto,whence,whensoever,wherewithal,seemeth,hereof,notwithstanding,verily,whereon,soever,could,forthwith,some,therefrom,wheresoever,upward,b_percentage_use,u_percentage_use,t_percentage_use,j_percentage_use,o_percentage_use,s_percentage_use,h_percentage_use,a_percentage_use,e_percentage_use,n_percentage_use,f_percentage_use,w_percentage_use,i_percentage_use,c_percentage_use,d_percentage_use,r_percentage_use,l_percentage_use,g_percentage_use,m_percentage_use,v_percentage_use,y_percentage_use,p_percentage_use,k_percentage_use,z_percentage_use,q_percentage_use,x_percentage_use,Total_Word_Count,AVG_Letter_Per_Word,AVG_Word_Per_Verse,Total_Function_Word_Count
Moses,9.0,133.0,74.0,22.0,10.0,8.0,10.0,28.0,11.0,22.0,21.0,9.0,1.0,7.0,17.0,7.0,1.0,4.0,91.0,19.0,3.0,2.0,7.0,39.0,25.0,10.0,14.0,9.0,9.0,4.0,12.0,23.0,7.0,24.0,2.0,18.0,9.0,9.0,6.0,3.0,2.0,17.0,7.0,1.0,18.0,3.0,4.0,1.0,3.0,7.0,2.0,5.0,3.0,9.0,2.0,1.0,7.0,6.0,1.0,4.0,4.0,5.0,8.0,2.0,2.0,1.0,1.0,14.0,2.0,4.0,1.0,9.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,4.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014989955184670067,0.028743625405656004,0.0967392984082831,0.0012362849636841293,0.0851491268737444,0.056714572709009425,0.07634059650749497,0.07819502395302118,0.12424663885025498,0.07448616906196878,0.02163498686447226,0.02209859372585381,0.061659712563745944,0.017153453871117292,0.05269664657703601,0.051151290372430845,0.04033379694019471,0.017771596352959357,0.028589089785195487,0.008499459125328387,0.02086230876216968,0.011435635914078195,0.006954102920723227,0.0015453562046051615,0.0,0.0,1622,3.9895191122071516,27.96551724137931,913.9992273218979
Joshua,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.039473684210526314,0.0043859649122807015,0.06140350877192982,0.021929824561403508,0.06140350877192982,0.02631578947368421,0.09210526315789473,0.16666666666666666,0.10087719298245613,0.12719298245614036,0.008771929824561403,0.008771929824561403,0.039473684210526314,0.008771929824561403,0.08333333333333333,0.05263157894736842,0.03070175438596491,0.008771929824561403,0.021929824561403508,0.0,0.0,0.0043859649122807015,0.02631578947368421,0.0043859649122807015,0.0,0.0,45,5.066666666666666,7.5,24.00000000000001
Samuel,0.0,28.0,22.0,1.0,2.0,6.0,1.0,11.0,11.0,3.0,10.0,1.0,0.0,0.0,4.0,6.0,0.0,1.0,36.0,14.0,0.0,0.0,3.0,6.0,4.0,2.0,1.0,3.0,0.0,6.0,7.0,0.0,4.0,2.0,0.0,7.0,0.0,1.0,2.0,4.0,2.0,11.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,1.0,0.0,1.0,0.0,2.0,0.0,8.0,4.0,4.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014822657490735839,0.02223398623610376,0.09422975119110641,0.0026469031233456856,0.06670195870831128,0.057702488088935945,0.09052408681842244,0.0968766543144521,0.12863949179460032,0.07411328745367919,0.02170460561143462,0.02170460561143462,0.06246691371095818,0.013234515616728428,0.0614081524616199,0.04287983059820011,0.03176283748014823,0.013763896241397565,0.03229221810481736,0.01641079936474325,0.015352038115404976,0.01111699311805188,0.0031762837480148226,0.0005293806246691371,0.0005293806246691371,0.0,481,3.9272349272349274,31.933333333333334,279.996823716252
Unknown,1.0,12.0,3.0,0.0,0.0,4.0,1.0,3.0,2.0,2.0,7.0,1.0,0.0,0.0,2.0,4.0,1.0,2.0,8.0,4.0,1.0,0.0,0.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,3.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,2.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009198423127463863,0.02102496714848883,0.09724047306176084,0.001314060446780552,0.06701708278580815,0.06438896189224705,0.08278580814717477,0.08804204993429698,0.13009198423127463,0.07095926412614981,0.013140604467805518,0.018396846254927726,0.07227332457293036,0.010512483574244415,0.06307490144546649,0.04730617608409987,0.024967148488830485,0.02102496714848883,0.035479632063074903,0.011826544021024968,0.023653088042049936,0.00788436268068331,0.01576872536136662,0.001314060446780552,0.0,0.0,199,3.8241206030150754,33.166666666666664,117.99868593955321
Unknown,3.0,27.0,9.0,2.0,0.0,3.0,3.0,9.0,5.0,1.0,6.0,4.0,0.0,0.0,0.0,4.0,0.0,3.0,25.0,4.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,4.0,8.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,4.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,4.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01504424778761062,0.023008849557522124,0.09911504424778761,0.005309734513274336,0.0752212389380531,0.05752212389380531,0.09026548672566372,0.10265486725663717,0.11946902654867257,0.07699115044247788,0.022123893805309734,0.021238938053097345,0.05663716814159292,0.01504424778761062,0.05221238938053097,0.046902654867256637,0.04247787610619469,0.007079646017699115,0.018584070796460177,0.012389380530973451,0.01415929203539823,0.011504424778761062,0.010619469026548672,0.0017699115044247787,0.002654867256637168,0.0,287,3.937282229965157,35.875,167.00000000000006
Unknown,0.0,12.0,10.0,3.0,0.0,2.0,2.0,3.0,1.0,0.0,5.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,13.0,4.0,1.0,0.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,0.0,1.0,0.0,2.0,3.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,2.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014705882352941176,0.02262443438914027,0.07805429864253394,0.00904977375565611,0.06447963800904978,0.06108597285067873,0.0916289592760181,0.08936651583710407,0.12782805429864252,0.0667420814479638,0.019230769230769232,0.020361990950226245,0.08031674208144797,0.01583710407239819,0.05203619909502263,0.04638009049773756,0.04411764705882353,0.014705882352941176,0.03167420814479638,0.01583710407239819,0.012443438914027148,0.014705882352941176,0.005656108597285068,0.0,0.0,0.0,208,4.25,29.714285714285715,112.99886877828057
Ezra,0.0,95.0,48.0,5.0,2.0,3.0,5.0,17.0,1.0,4.0,23.0,2.0,1.0,6.0,2.0,1.0,0.0,4.0,55.0,16.0,1.0,0.0,9.0,5.0,3.0,3.0,1.0,1.0,2.0,1.0,6.0,0.0,5.0,19.0,5.0,16.0,1.0,8.0,1.0,0.0,1.0,10.0,3.0,1.0,4.0,1.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,4.0,3.0,1.0,3.0,6.0,0.0,3.0,1.0,1.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,2.0,0.0,2.0,7.0,1.0,0.0,1.0,1.0,4.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0130034887408817,0.02537266095781795,0.10180780209324453,0.004440215667618141,0.0818268315889629,0.05835712020298129,0.08848715509039011,0.08372978116079924,0.12527751347922614,0.06692039327624484,0.02759276879162702,0.014589280050745322,0.05550269584522677,0.016175071360608945,0.05264827148747225,0.05645417063114494,0.04408499841420869,0.016175071360608945,0.014906438312718047,0.011100539169045354,0.012686330478908976,0.016175071360608945,0.010466222645099905,0.0,0.0009514747859181732,0.0,759,4.154150197628459,37.9,463.99873136695214
Nehemiah,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0078125,0.0234375,0.0234375,0.0234375,0.109375,0.03125,0.1171875,0.1484375,0.0859375,0.0703125,0.0625,0.0,0.0703125,0.015625,0.0234375,0.0390625,0.046875,0.0078125,0.0625,0.0,0.0,0.0078125,0.0078125,0.015625,0.0,0.0,24,5.333333333333333,6.0,9.0
Mordecai,1.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006493506493506494,0.025974025974025976,0.1038961038961039,0.006493506493506494,0.07792207792207792,0.025974025974025976,0.08441558441558442,0.12337662337662338,0.07142857142857142,0.09090909090909091,0.032467532467532464,0.032467532467532464,0.06493506493506493,0.012987012987012988,0.05194805194805195,0.03896103896103896,0.025974025974025976,0.032467532467532464,0.03896103896103896,0.006493506493506494,0.012987012987012988,0.006493506493506494,0.006493506493506494,0.0,0.0,0.0,39,3.948717948717949,38.0,17.98051948051947
Unknown,0.0,7.0,6.0,1.0,3.0,3.0,1.0,0.0,3.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,5.0,7.0,1.0,0.0,0.0,2.0,4.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012987012987012988,0.03751803751803752,0.10966810966810966,0.0,0.08080808080808081,0.07647907647907648,0.09956709956709957,0.0735930735930736,0.10101010101010101,0.06060606060606061,0.021645021645021644,0.01875901875901876,0.0735930735930736,0.012987012987012988,0.03896103896103896,0.044733044733044736,0.027417027417027416,0.020202020202020204,0.02886002886002886,0.008658008658008658,0.021645021645021644,0.017316017316017316,0.007215007215007215,0.0,0.0,0.0,165,4.2,16.4,104.994227994228
