Author,and,the,of,all,being,unto,with,which,was,them,his,from,is,also,thereof,that,lord,your,god,hath,to,it,ye,shall,are,for,but,have,much,in,as,they,then,every,man,thine,these,do,whither,thou,not,he,hast,thy,what,there,or,according,thee,let,me,would,said,no,more,into,shalt,him,we,now,therefore,may,neither,ought,did,because,among,one,my,should,say,who,our,upon,thyself,lest,when,will,make,their,out,shouldest,be,forth,an,must,whereunto,if,thence,were,other,been,such,like,ever,by,than,therein,had,how,yet,again,didst,yea,thus,wherewith,himself,where,without,her,whom,till,whose,henceforth,became,outward,those,cometh,some,verily,each,wherefore,thereby,thereupon,whereof,underneath,whereby,abundance,whence,many,therewith,notwithstanding,could,throughout,hereof,doeth,thereon,oftentimes,wherein,upward,hence,inasmuch,moreover,once,downward,whoso,whereto,therefrom,forthwith,thereunto,becometh,oft,a_percentage_use,n_percentage_use,d_percentage_use,t_percentage_use,h_percentage_use,e_percentage_use,r_percentage_use,s_percentage_use,o_percentage_use,f_percentage_use,g_percentage_use,i_percentage_use,l_percentage_use,b_percentage_use,k_percentage_use,m_percentage_use,v_percentage_use,u_percentage_use,w_percentage_use,c_percentage_use,j_percentage_use,y_percentage_use,p_percentage_use,z_percentage_use,q_percentage_use,x_percentage_use,Total_Word_Count,AVG_Letter_Per_Word,AVG_Word_Per_Verse,Total_Function_Word_Count
Moses,97.0,135.0,54.0,19.0,1.0,36.0,12.0,23.0,4.0,16.0,11.0,10.0,18.0,2.0,1.0,41.0,39.0,22.0,32.0,12.0,25.0,13.0,28.0,23.0,5.0,22.0,11.0,9.0,1.0,25.0,9.0,5.0,2.0,2.0,2.0,6.0,3.0,7.0,4.0,20.0,9.0,16.0,2.0,27.0,4.0,7.0,6.0,3.0,21.0,2.0,11.0,1.0,2.0,3.0,1.0,1.0,7.0,9.0,2.0,2.0,6.0,5.0,3.0,1.0,4.0,2.0,3.0,2.0,2.0,3.0,1.0,1.0,1.0,9.0,1.0,5.0,4.0,2.0,4.0,3.0,11.0,1.0,5.0,1.0,2.0,2.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0802675585284281,0.06758639910813824,0.051700111482720176,0.10702341137123746,0.09016164994425864,0.12388517279821627,0.053790412486064657,0.05504459308807135,0.08416945373467112,0.020624303232998884,0.022993311036789296,0.052675585284280936,0.03818283166109253,0.010730211817168338,0.006549609810479376,0.021878483835005576,0.012681159420289856,0.030518394648829432,0.015189520624303232,0.014771460423634336,0.002508361204013378,0.026895206243032328,0.00919732441471572,0.0,0.0,0.0,1780,4.031460674157303,30.655172413793103,1048.9990245261988
Joshua,10.0,29.0,20.0,0.0,0.0,1.0,2.0,2.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07591933570581258,0.07829181494661921,0.05693950177935943,0.10794780545670225,0.0937129300118624,0.1376037959667853,0.05338078291814947,0.045077105575326216,0.07354685646500593,0.03558718861209965,0.0166073546856465,0.07591933570581258,0.033214709371293,0.00830367734282325,0.0035587188612099642,0.0166073546856465,0.00830367734282325,0.013048635824436536,0.013048635824436536,0.02965599051008304,0.0035587188612099642,0.010676156583629894,0.005931198102016607,0.0011862396204033216,0.0,0.0,199,4.236180904522613,33.166666666666664,111.99762752075921
Samuel,38.0,40.0,19.0,5.0,0.0,6.0,5.0,1.0,1.0,0.0,1.0,1.0,4.0,1.0,0.0,9.0,7.0,0.0,2.0,0.0,8.0,3.0,1.0,1.0,0.0,5.0,2.0,2.0,1.0,6.0,2.0,3.0,5.0,0.0,0.0,2.0,1.0,0.0,0.0,7.0,4.0,6.0,2.0,6.0,0.0,1.0,1.0,0.0,0.0,1.0,6.0,2.0,9.0,0.0,2.0,1.0,2.0,7.0,2.0,0.0,1.0,0.0,0.0,0.0,3.0,2.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08797032326444092,0.07366189719130896,0.06995230524642289,0.09538950715421304,0.08797032326444092,0.11605723370429252,0.0397456279809221,0.06306306306306306,0.06783253842077372,0.026497085320614733,0.018547959724430314,0.07737148913619502,0.03868574456809751,0.011658717541070483,0.009009009009009009,0.019077901430842606,0.010598834128245893,0.026497085320614733,0.017488076311605722,0.008479067302596715,0.0010598834128245894,0.012718600953895072,0.011658717541070483,0.0,0.0021197668256491787,0.0005299417064122947,471,4.006369426751593,31.066666666666666,270.99364069952304
Unknown,8.0,10.0,3.0,2.0,0.0,5.0,3.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,4.0,0.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,4.0,0.0,2.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09984639016897082,0.06912442396313365,0.05222734254992319,0.08602150537634409,0.0706605222734255,0.11981566820276497,0.05222734254992319,0.03686635944700461,0.06912442396313365,0.018433179723502304,0.02304147465437788,0.07219662058371736,0.03533026113671275,0.01228878648233487,0.015360983102918587,0.039938556067588324,0.016897081413210446,0.026113671274961597,0.02304147465437788,0.015360983102918587,0.004608294930875576,0.02457757296466974,0.006144393241167435,0.006144393241167435,0.0,0.0,165,3.9454545454545453,27.333333333333332,91.99539170506912
Unknown,38.0,11.0,7.0,2.0,0.0,5.0,4.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,8.0,0.0,9.0,1.0,1.0,0.0,1.0,4.0,1.0,2.0,0.0,5.0,0.0,0.0,1.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10516066212268745,0.08763388510223953,0.0691333982473223,0.08763388510223953,0.08763388510223953,0.12268743914313535,0.03894839337877313,0.05647517039922103,0.054527750730282376,0.017526777020447908,0.023369036027263874,0.07108081791626096,0.035053554040895815,0.009737098344693282,0.011684518013631937,0.02531645569620253,0.010710808179162609,0.013631937682570594,0.02044790652385589,0.010710808179162609,0.0029211295034079843,0.022395326192794548,0.009737098344693282,0.0,0.0,0.0038948393378773127,256,4.01171875,32.0,147.99805258033103
Unknown,16.0,17.0,13.0,2.0,0.0,0.0,1.0,1.0,4.0,1.0,11.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,10.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09818731117824774,0.08610271903323263,0.06646525679758308,0.08308157099697885,0.10120845921450151,0.1148036253776435,0.045317220543806644,0.0755287009063444,0.0649546827794562,0.028700906344410877,0.01812688821752266,0.0649546827794562,0.028700906344410877,0.006042296072507553,0.010574018126888218,0.019637462235649546,0.006042296072507553,0.013595166163141994,0.03172205438066465,0.0075528700906344415,0.004531722054380665,0.00906344410876133,0.006042296072507553,0.004531722054380665,0.0,0.0,171,3.871345029239766,24.285714285714285,104.99546827794565
Ezra,61.0,79.0,36.0,9.0,0.0,5.0,6.0,1.0,6.0,4.0,7.0,6.0,2.0,1.0,0.0,11.0,4.0,0.0,4.0,0.0,22.0,1.0,0.0,0.0,1.0,14.0,4.0,3.0,0.0,17.0,2.0,10.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,5.0,5.0,0.0,0.0,1.0,1.0,0.0,6.0,4.0,0.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,7.0,0.0,1.0,2.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,7.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08625162127107652,0.06874189364461739,0.05317769130998703,0.0966277561608301,0.07944228274967574,0.1303501945525292,0.057068741893644616,0.06614785992217899,0.07230869001297018,0.0311284046692607,0.019455252918287938,0.0632295719844358,0.030155642023346304,0.008754863813229572,0.008754863813229572,0.023670557717250323,0.014267185473411154,0.018158236057068743,0.01297016861219196,0.016861219195849545,0.0074578469520103765,0.00940337224383917,0.021400778210116732,0.0006485084306095979,0.0,0.0012970168612191958,701,4.399429386590585,34.9,392.997730220493
Nehemiah,1.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.183206106870229,0.04580152671755725,0.022900763358778626,0.030534351145038167,0.07633587786259542,0.04580152671755725,0.022900763358778626,0.022900763358778626,0.09923664122137404,0.06870229007633588,0.007633587786259542,0.13740458015267176,0.04580152671755725,0.030534351145038167,0.015267175572519083,0.061068702290076333,0.0,0.015267175572519083,0.0,0.007633587786259542,0.030534351145038167,0.0,0.007633587786259542,0.022900763358778626,0.0,0.0,27,4.851851851851852,6.75,10.999999999999998
Mordecai,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0851063829787234,0.09574468085106383,0.06382978723404255,0.02127659574468085,0.10638297872340426,0.19148936170212766,0.06382978723404255,0.0851063829787234,0.02127659574468085,0.05319148936170213,0.0,0.06382978723404255,0.0425531914893617,0.0,0.0,0.0425531914893617,0.010638297872340425,0.0,0.02127659574468085,0.02127659574468085,0.0,0.0,0.0,0.010638297872340425,0.0,0.0,20,4.7,20.0,11.000000000000002
Unknown,4.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,1.0,0.0,1.0,0.0,0.0,3.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,3.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.060897435897435896,0.057692307692307696,0.028846153846153848,0.10737179487179487,0.08974358974358974,0.13782051282051283,0.049679487179487176,0.05608974358974359,0.06891025641025642,0.022435897435897436,0.02564102564102564,0.07371794871794872,0.04006410256410257,0.016025641025641024,0.011217948717948718,0.028846153846153848,0.01282051282051282,0.03205128205128205,0.028846153846153848,0.011217948717948718,0.003205128205128205,0.020833333333333332,0.008012820512820512,0.0,0.0,0.0016025641025641025,151,4.132450331125828,15.0,83.99358974358972
