Author,that,the,which,should,his,and,him,not,in,unto,one,of,these,he,is,are,they,forth,out,who,whom,were,from,by,all,said,them,your,ye,may,do,lord,our,god,with,but,to,for,into,thy,thee,thou,shalt,have,other,me,make,or,thyself,upon,my,will,it,as,hath,thine,thence,therefore,be,neither,no,more,when,did,we,man,now,if,then,shall,there,say,such,an,would,their,ever,again,whither,lest,among,whereof,those,because,whence,was,could,every,also,himself,how,what,wherefore,yet,let,didst,thus,hast,had,moreover,much,till,thereof,according,wherein,yea,without,her,whoso,shouldest,cometh,like,being,many,than,thereby,therein,outward,where,thereon,wherewith,been,verily,must,throughout,some,whose,whereunto,ought,doeth,thereupon,henceforth,became,underneath,whereby,abundance,therewith,notwithstanding,hereof,oftentimes,upward,hence,each,inasmuch,once,downward,whereto,therefrom,forthwith,thereunto,becometh,oft,t_percentage_use,h_percentage_use,a_percentage_use,e_percentage_use,s_percentage_use,l_percentage_use,y_percentage_use,r_percentage_use,m_percentage_use,i_percentage_use,g_percentage_use,f_percentage_use,w_percentage_use,c_percentage_use,o_percentage_use,u_percentage_use,d_percentage_use,k_percentage_use,n_percentage_use,b_percentage_use,p_percentage_use,v_percentage_use,z_percentage_use,j_percentage_use,q_percentage_use,x_percentage_use,Total_Word_Count,AVG_Letter_Per_Word,AVG_Word_Per_Verse,Total_Function_Word_Count
Moses,36.0,129.0,25.0,2.0,16.0,85.0,4.0,16.0,29.0,19.0,2.0,64.0,5.0,6.0,12.0,4.0,9.0,3.0,11.0,3.0,1.0,4.0,4.0,6.0,19.0,4.0,20.0,12.0,19.0,11.0,8.0,37.0,7.0,31.0,16.0,3.0,18.0,10.0,3.0,43.0,22.0,36.0,21.0,10.0,2.0,9.0,1.0,8.0,1.0,3.0,2.0,4.0,13.0,10.0,8.0,7.0,1.0,4.0,10.0,5.0,1.0,2.0,8.0,1.0,7.0,1.0,2.0,1.0,2.0,14.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11546558704453441,0.10040485829959514,0.08064777327935223,0.11724696356275303,0.0557085020242915,0.042105263157894736,0.026396761133603237,0.046153846153846156,0.02623481781376518,0.05198380566801619,0.02008097165991903,0.02089068825910931,0.019433198380566803,0.013441295546558705,0.08080971659919028,0.027530364372469637,0.052307692307692305,0.00631578947368421,0.06315789473684211,0.011012145748987854,0.00825910931174089,0.009716599190283401,0.00016194331983805668,0.0016194331983805667,0.00016194331983805668,0.00048582995951417006,1562,3.9532650448143407,26.862068965517242,986.9977327935223
Joshua,7.0,18.0,1.0,0.0,5.0,14.0,4.0,2.0,7.0,6.0,1.0,12.0,0.0,6.0,1.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10526315789473684,0.0940649496080627,0.08174692049272117,0.1265397536394177,0.04703247480403135,0.048152295632698766,0.026875699888017916,0.040313549832026875,0.023516237402015677,0.06494960806270997,0.019036954087346025,0.029115341545352745,0.012318029115341545,0.020156774916013438,0.06606942889137737,0.0335946248600224,0.03919372900335946,0.006718924972004479,0.07950727883538634,0.012318029115341545,0.014557670772676373,0.004479283314669653,0.0,0.0033594624860022394,0.0,0.0,212,4.212264150943396,35.333333333333336,122.99888017917134
Samuel,8.0,23.0,2.0,0.0,9.0,35.0,5.0,4.0,13.0,2.0,0.0,13.0,0.0,6.0,2.0,0.0,3.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,7.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,4.0,1.0,19.0,3.0,6.0,3.0,4.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,5.0,3.0,1.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09169054441260745,0.08710601719197708,0.10315186246418338,0.10659025787965616,0.05730659025787966,0.045845272206303724,0.010888252148997135,0.03553008595988539,0.020630372492836675,0.07679083094555873,0.014326647564469915,0.0166189111747851,0.024068767908309457,0.013180515759312322,0.07220630372492837,0.02005730659025788,0.07851002865329514,0.009169054441260744,0.07277936962750717,0.010315186246418338,0.009169054441260744,0.0166189111747851,0.0017191977077363897,0.0017191977077363897,0.0,0.001146131805157593,440,3.965909090909091,29.266666666666666,232.99713467048707
Unknown,4.0,12.0,1.0,3.0,1.0,15.0,4.0,0.0,1.0,6.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,2.0,0.0,0.0,5.0,1.0,3.0,1.0,0.0,5.0,4.0,1.0,1.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08774038461538461,0.07932692307692307,0.0829326923076923,0.1141826923076923,0.039663461538461536,0.04447115384615385,0.02283653846153846,0.052884615384615384,0.03245192307692308,0.0733173076923077,0.027644230769230768,0.009615384615384616,0.03125,0.018028846153846152,0.06971153846153846,0.02403846153846154,0.05048076923076923,0.014423076923076924,0.07692307692307693,0.014423076923076924,0.007211538461538462,0.019230769230769232,0.002403846153846154,0.003605769230769231,0.001201923076923077,0.0,217,3.834101382488479,36.166666666666664,115.0
Unknown,7.0,19.0,0.0,0.0,2.0,24.0,7.0,4.0,5.0,9.0,0.0,7.0,0.0,6.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,1.0,3.0,3.0,0.0,0.0,0.0,1.0,3.0,8.0,1.0,2.0,1.0,3.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,6.0,3.0,6.0,2.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10202360876897133,0.08347386172006746,0.09612141652613827,0.112141652613828,0.07588532883642496,0.05143338954468803,0.0193929173693086,0.046374367622259695,0.02782462057335582,0.06913996627318718,0.01517706576728499,0.021922428330522766,0.012647554806070826,0.007588532883642495,0.06070826306913996,0.022765598650927487,0.05986509274873524,0.00927487352445194,0.07588532883642496,0.00927487352445194,0.010961214165261383,0.00927487352445194,0.0,0.0,0.0,0.0,299,3.9665551839464883,37.375,179.99915682967958
Unknown,4.0,30.0,4.0,0.0,7.0,11.0,0.0,2.0,9.0,0.0,1.0,19.0,0.0,6.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09305210918114144,0.11538461538461539,0.0880893300248139,0.12034739454094293,0.060794044665012405,0.02977667493796526,0.009925558312655087,0.04094292803970223,0.01488833746898263,0.07444168734491315,0.02729528535980149,0.026054590570719603,0.017369727047146403,0.01488833746898263,0.07444168734491315,0.016129032258064516,0.05334987593052109,0.011166253101736972,0.06823821339950373,0.007444168734491315,0.016129032258064516,0.0037220843672456576,0.0037220843672456576,0.008684863523573201,0.0,0.0,210,3.8380952380952382,29.857142857142858,122.99627791563276
Ezra,5.0,55.0,6.0,0.0,22.0,53.0,10.0,1.0,18.0,1.0,1.0,39.0,1.0,18.0,0.0,2.0,4.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,7.0,0.0,4.0,0.0,0.0,0.0,0.0,11.0,0.0,8.0,3.0,2.0,12.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,5.0,4.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07334669338677355,0.08857715430861723,0.08256513026052104,0.13226452905811623,0.05811623246492986,0.03927855711422846,0.014028056112224449,0.05050100200400802,0.024448897795591184,0.059719438877755514,0.024849699398797595,0.023246492985971944,0.016833667334669337,0.012424849699398798,0.07294589178356714,0.022444889779559118,0.06212424849699399,0.010420841683366733,0.07735470941883768,0.018036072144288578,0.013226452905811623,0.006412825651302605,0.0052104208416833666,0.009619238476953907,0.0,0.0004008016032064128,590,4.228813559322034,29.45,339.99839679358723
Nehemiah,0.0,18.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08628318584070796,0.10176991150442478,0.10398230088495575,0.13274336283185842,0.05752212389380531,0.024336283185840708,0.004424778761061947,0.048672566371681415,0.01327433628318584,0.07743362831858407,0.01327433628318584,0.0420353982300885,0.01327433628318584,0.01991150442477876,0.0752212389380531,0.008849557522123894,0.048672566371681415,0.008849557522123894,0.06637168141592921,0.015486725663716814,0.00663716814159292,0.017699115044247787,0.0,0.01327433628318584,0.0,0.0,101,4.475247524752476,25.25,53.00000000000002
Mordecai,0.0,6.0,0.0,0.0,2.0,5.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07878787878787878,0.12121212121212122,0.08484848484848485,0.10909090909090909,0.04242424242424243,0.03636363636363636,0.006060606060606061,0.04242424242424243,0.03636363636363636,0.07272727272727272,0.024242424242424242,0.024242424242424242,0.012121212121212121,0.024242424242424242,0.06060606060606061,0.012121212121212121,0.07878787878787878,0.012121212121212121,0.08484848484848485,0.006060606060606061,0.012121212121212121,0.01818181818181818,0.0,0.0,0.0,0.0,40,4.125,40.0,27.000000000000004
Unknown,3.0,7.0,0.0,0.0,1.0,10.0,1.0,6.0,7.0,0.0,0.0,2.0,0.0,8.0,4.0,2.0,11.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11408450704225352,0.1056338028169014,0.05211267605633803,0.14507042253521127,0.056338028169014086,0.029577464788732393,0.038028169014084505,0.059154929577464786,0.016901408450704224,0.07042253521126761,0.015492957746478873,0.02112676056338028,0.02112676056338028,0.01267605633802817,0.057746478873239436,0.016901408450704224,0.04647887323943662,0.007042253521126761,0.061971830985915494,0.01971830985915493,0.01971830985915493,0.007042253521126761,0.0,0.0,0.0014084507042253522,0.0028169014084507044,165,4.303030303030303,16.5,103.99859154929572
