Author,not,for,thy,or,the,of,thine,thou,to,their,but,these,lord,god,them,out,from,thee,and,that,he,may,which,unto,therefore,it,how,in,didst,ye,have,been,also,was,with,when,into,then,neither,did,me,according,all,said,hence,hast,forth,they,are,is,let,will,make,than,were,my,had,your,as,because,him,wherewith,thereof,his,thus,would,lest,whence,say,hath,yet,by,like,an,shalt,there,be,thence,wherefore,no,now,what,therein,more,her,shall,whither,where,being,who,should,do,himself,some,moreover,yea,upon,whom,if,man,thyself,we,every,one,other,our,whereof,abundance,cometh,whoso,among,many,till,those,without,upward,ought,verily,again,ever,whereunto,becometh,could,much,each,inasmuch,downward,whereto,seest,therewith,wherein,whatsoever,once,thereby,shouldest,outward,howsoever,throughout,henceforth,whereby,thereon,must,thereupon,doeth,thereunto,became,oft,oftentimes,such,whosoever,underneath,whensoever,wherewithal,seemeth,hereof,whose,notwithstanding,whereon,soever,forthwith,therefrom,wheresoever,n_percentage_use,o_percentage_use,t_percentage_use,f_percentage_use,r_percentage_use,h_percentage_use,y_percentage_use,i_percentage_use,g_percentage_use,e_percentage_use,u_percentage_use,s_percentage_use,p_percentage_use,a_percentage_use,d_percentage_use,l_percentage_use,b_percentage_use,w_percentage_use,c_percentage_use,k_percentage_use,v_percentage_use,m_percentage_use,j_percentage_use,q_percentage_use,z_percentage_use,x_percentage_use,Total_Word_Count,AVG_Letter_Per_Word,AVG_Word_Per_Verse,Total_Function_Word_Count
Moses,13.0,15.0,31.0,1.0,160.0,65.0,4.0,17.0,41.0,13.0,5.0,2.0,56.0,20.0,21.0,17.0,12.0,11.0,115.0,20.0,17.0,5.0,26.0,30.0,6.0,12.0,4.0,31.0,1.0,21.0,12.0,2.0,5.0,10.0,16.0,2.0,7.0,2.0,2.0,7.0,12.0,4.0,12.0,5.0,1.0,3.0,2.0,8.0,2.0,10.0,1.0,2.0,2.0,1.0,3.0,2.0,8.0,12.0,11.0,4.0,9.0,1.0,1.0,19.0,1.0,2.0,1.0,2.0,1.0,5.0,1.0,3.0,2.0,2.0,5.0,3.0,3.0,1.0,1.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06502561183836084,0.08409220261809904,0.11254980079681275,0.02319294251565168,0.057057484348321,0.08594194649971543,0.025469550369948777,0.052788844621513946,0.016363118952760387,0.12279453614114968,0.025327262379055207,0.05293113261240751,0.01109846328969835,0.07811610700056915,0.060187820147979514,0.032726237905520775,0.012663631189527604,0.02105862265224815,0.015651678998292545,0.00796812749003984,0.008821855435401251,0.024758110415480934,0.0012805919180421173,0.0005691519635742744,0.0001422879908935686,0.0001422879908935686,1749,4.018296169239566,30.120689655172413,1041.9987194080823
Joshua,0.0,1.0,0.0,0.0,29.0,39.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,12.0,0.0,0.0,12.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05319148936170213,0.08909574468085106,0.10904255319148937,0.0625,0.05452127659574468,0.09441489361702128,0.009308510638297872,0.07712765957446809,0.006648936170212766,0.13297872340425532,0.02526595744680851,0.043882978723404256,0.0026595744680851063,0.0678191489361702,0.0425531914893617,0.03324468085106383,0.031914893617021274,0.009308510638297872,0.022606382978723406,0.0026595744680851063,0.006648936170212766,0.018617021276595744,0.0013297872340425532,0.0,0.0013297872340425532,0.0,192,3.9166666666666665,32.0,120.99867021276594
Samuel,7.0,5.0,4.0,0.0,23.0,11.0,4.0,11.0,8.0,0.0,4.0,2.0,12.0,0.0,1.0,4.0,1.0,12.0,27.0,9.0,5.0,0.0,0.0,4.0,1.0,2.0,2.0,5.0,0.0,0.0,3.0,0.0,1.0,0.0,3.0,3.0,2.0,0.0,1.0,0.0,10.0,0.0,0.0,5.0,0.0,4.0,2.0,0.0,0.0,5.0,1.0,2.0,0.0,1.0,0.0,8.0,3.0,0.0,2.0,0.0,3.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,5.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0678154530294608,0.07115063924402446,0.09727626459143969,0.022790439132851583,0.045580878265703166,0.08226792662590328,0.01500833796553641,0.0622568093385214,0.012784880489160644,0.13451917732073373,0.028349082823790995,0.057809894385769875,0.007782101167315175,0.08560311284046693,0.0744858254585881,0.03613118399110617,0.012229016120066704,0.0216787103946637,0.009449694274596998,0.009449694274596998,0.013896609227348526,0.02556976097832129,0.0016675931072818232,0.0,0.0,0.0,459,3.9193899782135078,30.4,257.99555308504733
Unknown,1.0,0.0,1.0,0.0,15.0,6.0,0.0,2.0,6.0,1.0,2.0,0.0,1.0,0.0,4.0,3.0,0.0,0.0,16.0,1.0,6.0,0.0,2.0,3.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,3.0,0.0,1.0,0.0,5.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07368421052631578,0.06315789473684211,0.10760233918128655,0.019883040935672516,0.03859649122807018,0.0935672514619883,0.008187134502923977,0.05964912280701754,0.012865497076023392,0.13567251461988303,0.03391812865497076,0.05730994152046784,0.0152046783625731,0.08771929824561403,0.05380116959064327,0.022222222222222223,0.01871345029239766,0.02456140350877193,0.012865497076023392,0.005847953216374269,0.004678362573099415,0.03508771929824561,0.007017543859649123,0.0,0.0,0.0,220,3.8863636363636362,36.166666666666664,118.99181286549708
Unknown,1.0,3.0,0.0,0.0,31.0,17.0,1.0,2.0,4.0,3.0,3.0,0.0,3.0,3.0,4.0,1.0,0.0,2.0,27.0,4.0,2.0,0.0,0.0,4.0,2.0,2.0,0.0,5.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,4.0,0.0,1.0,0.0,4.0,1.0,2.0,1.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,4.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07723577235772358,0.06016260162601626,0.10650406504065041,0.024390243902439025,0.05772357723577236,0.07967479674796749,0.02032520325203252,0.06341463414634146,0.02113821138211382,0.12439024390243902,0.022764227642276424,0.061788617886178863,0.012195121951219513,0.0943089430894309,0.052845528455284556,0.043089430894308944,0.00975609756097561,0.015447154471544716,0.013821138211382113,0.012195121951219513,0.007317073170731708,0.01788617886178862,0.0008130081300813008,0.0,0.0,0.0,305,4.032786885245901,38.125,182.9991869918699
Unknown,2.0,4.0,0.0,0.0,31.0,18.0,0.0,1.0,6.0,1.0,1.0,0.0,6.0,2.0,1.0,0.0,0.0,0.0,16.0,5.0,0.0,0.0,4.0,5.0,1.0,0.0,0.0,2.0,0.0,2.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,4.0,1.0,0.0,1.0,0.0,3.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06836827711941659,0.08113035551504102,0.09206927985414767,0.02552415679124886,0.049225159525979945,0.10938924339106655,0.009115770282588878,0.05742935278030994,0.018231540565177756,0.105742935278031,0.0300820419325433,0.059252506836827715,0.013673655423883319,0.0902461257976299,0.04831358249772106,0.03828623518687329,0.014585232452142206,0.018231540565177756,0.02187784867821331,0.01731996353691887,0.007292616226071103,0.016408386508659983,0.0036463081130355514,0.0027347310847766638,0.0,0.0,265,4.139622641509434,37.714285714285715,157.99817684594342
Ezra,0.0,0.0,0.0,0.0,21.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09681093394077449,0.05694760820045558,0.08997722095671981,0.04555808656036447,0.06378132118451026,0.10136674259681093,0.0193621867881549,0.05808656036446469,0.00683371298405467,0.12414578587699317,0.02847380410022779,0.018223234624145785,0.003416856492027335,0.07175398633257403,0.08997722095671981,0.02619589977220957,0.012528473804100227,0.018223234624145785,0.02619589977220957,0.003416856492027335,0.009111617312072893,0.010250569476082005,0.004555808656036446,0.0,0.00683371298405467,0.007972665148063782,188,4.670212765957447,9.4,71.0
Nehemiah,0.0,1.0,0.0,0.0,14.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06598984771573604,0.06598984771573604,0.09644670050761421,0.03807106598984772,0.04060913705583756,0.08629441624365482,0.0,0.04568527918781726,0.030456852791878174,0.12944162436548223,0.03807106598984772,0.04568527918781726,0.03299492385786802,0.09644670050761421,0.0583756345177665,0.04568527918781726,0.01015228426395939,0.02030456852791878,0.007614213197969543,0.0025380710659898475,0.012690355329949238,0.02030456852791878,0.007614213197969543,0.0,0.0025380710659898475,0.0,90,4.377777777777778,22.5,45.99999999999999
Mordecai,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06666666666666667,0.05333333333333334,0.13333333333333333,0.0,0.013333333333333334,0.06666666666666667,0.013333333333333334,0.10666666666666667,0.06666666666666667,0.13333333333333333,0.0,0.06666666666666667,0.0,0.09333333333333334,0.013333333333333334,0.05333333333333334,0.0,0.013333333333333334,0.013333333333333334,0.013333333333333334,0.013333333333333334,0.02666666666666667,0.013333333333333334,0.0,0.0,0.0,20,3.75,19.0,6.973333333333336
Unknown,2.0,2.0,0.0,1.0,15.0,5.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,4.0,2.0,5.0,2.0,2.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06844741235392321,0.08514190317195326,0.1001669449081803,0.021702838063439065,0.05175292153589316,0.09348914858096828,0.01669449081803005,0.05175292153589316,0.018363939899833055,0.1285475792988314,0.02671118530884808,0.041736227045075125,0.018363939899833055,0.07011686143572621,0.04674457429048414,0.03171953255425709,0.02337228714524207,0.01669449081803005,0.03672787979966611,0.005008347245409015,0.01001669449081803,0.03171953255425709,0.001669449081803005,0.0,0.0,0.001669449081803005,138,4.340579710144928,13.8,79.99833055091818
