Author,which,the,lord,thy,god,for,of,are,upon,it,from,unto,and,shall,to,if,ye,my,your,him,with,all,that,will,in,his,thou,thine,be,not,other,them,then,he,there,no,her,lest,therefore,these,they,may,as,when,by,shalt,do,out,than,every,man,hath,said,but,have,thee,whither,where,therein,wherein,their,we,is,yet,thyself,one,notwithstanding,according,thereof,or,must,say,because,hast,ever,how,did,what,among,whereof,let,thus,those,now,me,were,was,whose,had,neither,ought,wherefore,cometh,who,many,whom,whence,again,also,therewith,into,an,our,would,forth,make,should,without,thereon,doeth,been,henceforth,such,like,whoso,once,more,yea,being,verily,inasmuch,some,thence,till,became,moreover,much,thereupon,outward,shouldest,underneath,himself,whereby,whereunto,abundance,thereby,could,throughout,hereof,oftentimes,upward,didst,hence,each,downward,wherewith,whereto,therefrom,forthwith,thereunto,becometh,oft,a_percentage_use,l_percentage_use,n_percentage_use,d_percentage_use,w_percentage_use,h_percentage_use,i_percentage_use,c_percentage_use,t_percentage_use,e_percentage_use,o_percentage_use,r_percentage_use,y_percentage_use,g_percentage_use,f_percentage_use,s_percentage_use,u_percentage_use,p_percentage_use,m_percentage_use,b_percentage_use,v_percentage_use,k_percentage_use,q_percentage_use,z_percentage_use,j_percentage_use,x_percentage_use,Total_Word_Count,AVG_Letter_Per_Word,AVG_Word_Per_Verse,Total_Function_Word_Count
Moses,34.0,146.0,44.0,53.0,34.0,12.0,54.0,4.0,17.0,14.0,12.0,19.0,109.0,44.0,40.0,6.0,40.0,2.0,55.0,5.0,11.0,21.0,35.0,6.0,29.0,9.0,48.0,5.0,16.0,22.0,4.0,15.0,4.0,9.0,10.0,3.0,1.0,1.0,1.0,6.0,5.0,5.0,14.0,11.0,3.0,21.0,11.0,8.0,1.0,5.0,2.0,9.0,1.0,5.0,4.0,21.0,2.0,1.0,1.0,2.0,12.0,1.0,7.0,1.0,3.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07438127090301003,0.04936454849498328,0.05899665551839465,0.04762541806020067,0.018060200668896322,0.09712374581939799,0.045351170568561874,0.016187290969899664,0.10956521739130434,0.1177257525083612,0.08896321070234113,0.05551839464882943,0.033846153846153845,0.018595317725752507,0.023678929765886286,0.054983277591973245,0.03505016722408027,0.009899665551839465,0.01632107023411371,0.01096989966555184,0.01096989966555184,0.004414715719063545,0.00026755852842809364,0.00013377926421404682,0.0010702341137123746,0.0,1872,3.9930555555555554,32.258620689655174,1184.99906354515
Joshua,1.0,11.0,0.0,0.0,0.0,2.0,8.0,0.0,0.0,1.0,0.0,0.0,10.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.060665362035225046,0.019569471624266144,0.05283757338551859,0.029354207436399216,0.023483365949119372,0.1095890410958904,0.06457925636007827,0.01761252446183953,0.10176125244618395,0.1095890410958904,0.05870841487279843,0.07240704500978473,0.01761252446183953,0.009784735812133072,0.029354207436399216,0.07436399217221135,0.05870841487279843,0.005870841487279843,0.005870841487279843,0.060665362035225046,0.007827788649706457,0.0019569471624266144,0.0,0.0,0.007827788649706457,0.0,120,4.258333333333334,20.0,69.99999999999997
Samuel,1.0,17.0,1.0,4.0,0.0,2.0,10.0,0.0,0.0,1.0,1.0,9.0,47.0,2.0,10.0,0.0,2.0,8.0,0.0,5.0,1.0,5.0,8.0,1.0,12.0,11.0,4.0,3.0,5.0,4.0,0.0,3.0,1.0,3.0,4.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,3.0,7.0,0.0,3.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,5.0,2.0,4.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1084070796460177,0.027101769911504425,0.08904867256637168,0.07190265486725664,0.030420353982300884,0.07356194690265487,0.05309734513274336,0.011615044247787611,0.08075221238938053,0.12057522123893805,0.0625,0.04480088495575221,0.023783185840707963,0.016592920353982302,0.015486725663716814,0.059734513274336286,0.029867256637168143,0.008849557522123894,0.03263274336283186,0.012721238938053098,0.016592920353982302,0.00331858407079646,0.0,0.0,0.0005530973451327434,0.0,468,3.8632478632478633,30.933333333333334,262.9939159292035
Unknown,0.0,17.0,0.0,0.0,0.0,1.0,7.0,0.0,1.0,0.0,0.0,1.0,17.0,0.0,6.0,0.0,0.0,1.0,0.0,8.0,1.0,4.0,6.0,0.0,5.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11352040816326531,0.03188775510204082,0.05612244897959184,0.05229591836734694,0.025510204081632654,0.10076530612244898,0.05612244897959184,0.008928571428571428,0.10459183673469388,0.10586734693877552,0.08545918367346939,0.042091836734693876,0.011479591836734694,0.012755102040816327,0.021683673469387755,0.05229591836734694,0.01913265306122449,0.008928571428571428,0.02806122448979592,0.03443877551020408,0.006377551020408163,0.00510204081632653,0.0,0.0,0.01020408163265306,0.0,205,3.824390243902439,33.833333333333336,114.9936224489796
Unknown,1.0,19.0,2.0,4.0,0.0,1.0,9.0,1.0,2.0,1.0,4.0,4.0,23.0,1.0,6.0,0.0,1.0,3.0,0.0,15.0,2.0,0.0,3.0,3.0,4.0,2.0,3.0,0.0,0.0,1.0,0.0,0.0,5.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,4.0,0.0,10.0,1.0,1.0,7.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09527498063516654,0.031758326878388844,0.07436096049573973,0.060418280402788536,0.015491866769945779,0.08985282726568551,0.07126258714175059,0.019364833462432222,0.09372579395817196,0.12161115414407436,0.06893880712625872,0.044926413632842756,0.019364833462432222,0.009295120061967466,0.020914020139426802,0.05886909372579396,0.023237800154918668,0.013168086754453912,0.037955073586367155,0.013168086754453912,0.009295120061967466,0.006971340046475601,0.0,0.0,0.0,0.0,334,3.8652694610778444,41.75,194.99922540666154
Unknown,2.0,48.0,7.0,3.0,0.0,3.0,19.0,0.0,1.0,0.0,0.0,4.0,38.0,1.0,10.0,0.0,0.0,0.0,0.0,2.0,2.0,12.0,4.0,2.0,8.0,3.0,3.0,2.0,1.0,1.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0901749663526245,0.04912516823687752,0.07335127860026917,0.05720053835800808,0.014804845222072678,0.09353970390309556,0.04979811574697174,0.014804845222072678,0.10901749663526245,0.13055181695827725,0.07469717362045761,0.04845222072678331,0.006056527590847914,0.013458950201884253,0.02288021534320323,0.052489905787348586,0.02489905787348587,0.017496635262449527,0.017496635262449527,0.016150740242261104,0.007402422611036339,0.009421265141318977,0.0,0.0,0.005383580080753701,0.0,363,4.09366391184573,51.857142857142854,217.99865410497983
Ezra,0.0,40.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07187780772686433,0.03773584905660377,0.09344115004492363,0.08176100628930817,0.01078167115902965,0.11410601976639713,0.05929919137466307,0.029649595687331536,0.08445642407906559,0.1275831087151842,0.05929919137466307,0.061096136567834684,0.014375561545372867,0.004492362982929021,0.044923629829290206,0.029649595687331536,0.025157232704402517,0.005390835579514825,0.013477088948787063,0.009883198562443846,0.008086253369272238,0.005390835579514825,0.0,0.0008984725965858042,0.0035938903863432167,0.0026954177897574125,246,4.524390243902439,12.3,106.99910152740343
Nehemiah,0.0,10.0,0.0,0.0,1.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15669515669515668,0.02849002849002849,0.09116809116809117,0.042735042735042736,0.005698005698005698,0.09971509971509972,0.07122507122507123,0.019943019943019943,0.06837606837606838,0.09971509971509972,0.05413105413105413,0.042735042735042736,0.002849002849002849,0.005698005698005698,0.02849002849002849,0.05982905982905983,0.019943019943019943,0.008547008547008548,0.04843304843304843,0.011396011396011397,0.002849002849002849,0.0,0.0,0.017094017094017096,0.014245014245014245,0.0,75,4.68,18.75,36.000000000000014
Mordecai,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,2.0,0.0,3.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08936170212765958,0.03829787234042553,0.07659574468085106,0.05106382978723404,0.02127659574468085,0.09361702127659574,0.06808510638297872,0.01276595744680851,0.09787234042553192,0.11914893617021277,0.06382978723404255,0.03404255319148936,0.01276595744680851,0.03404255319148936,0.02127659574468085,0.04680851063829787,0.03404255319148936,0.00851063829787234,0.03404255319148936,0.02127659574468085,0.0,0.01276595744680851,0.00425531914893617,0.00425531914893617,0.0,0.0,58,4.051724137931035,58.0,35.00000000000001
Unknown,1.0,18.0,0.0,0.0,2.0,1.0,11.0,0.0,0.0,2.0,0.0,1.0,8.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,2.0,1.0,1.0,9.0,1.0,0.0,1.0,2.0,0.0,1.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06666666666666667,0.03333333333333333,0.06666666666666667,0.03939393939393939,0.021212121212121213,0.11363636363636363,0.06666666666666667,0.022727272727272728,0.12272727272727273,0.13484848484848486,0.07878787878787878,0.048484848484848485,0.012121212121212121,0.016666666666666666,0.021212121212121213,0.05303030303030303,0.021212121212121213,0.006060606060606061,0.019696969696969695,0.00909090909090909,0.016666666666666666,0.004545454545454545,0.0,0.0,0.0,0.0015151515151515152,165,4.0,16.4,95.99696969696966
