Author,if,thy,the,of,or,which,is,as,thine,thee,let,and,other,thou,hast,not,are,unto,from,one,shalt,him,neither,shall,but,be,upon,to,all,with,that,he,because,hath,lord,god,out,do,no,more,such,among,say,in,there,have,their,ye,then,make,it,therein,thereof,into,every,for,an,ever,again,may,his,when,your,himself,these,them,they,therefore,yet,her,forth,by,ought,many,man,wherewith,will,were,had,our,we,now,what,said,me,was,also,my,whom,didst,thyself,been,should,thus,than,without,where,did,thence,could,those,till,how,like,yea,shouldest,who,whoso,being,cometh,whereto,doeth,according,wherein,whose,lest,much,throughout,must,whereof,forthwith,some,whereunto,once,thereupon,outward,wherefore,henceforth,became,underneath,whereby,abundance,thereby,whence,therewith,notwithstanding,hereof,thereon,oftentimes,would,whither,upward,hence,each,inasmuch,verily,moreover,downward,therefrom,thereunto,becometh,oft,i_percentage_use,f_percentage_use,t_percentage_use,h_percentage_use,y_percentage_use,b_percentage_use,r_percentage_use,o_percentage_use,e_percentage_use,s_percentage_use,n_percentage_use,m_percentage_use,d_percentage_use,a_percentage_use,u_percentage_use,g_percentage_use,w_percentage_use,c_percentage_use,l_percentage_use,v_percentage_use,k_percentage_use,p_percentage_use,q_percentage_use,x_percentage_use,j_percentage_use,z_percentage_use,Total_Word_Count,AVG_Letter_Per_Word,AVG_Word_Per_Verse,Total_Function_Word_Count
Moses,9.0,57.0,137.0,57.0,14.0,20.0,15.0,5.0,19.0,39.0,4.0,98.0,3.0,50.0,1.0,26.0,9.0,27.0,11.0,3.0,38.0,19.0,3.0,33.0,8.0,17.0,3.0,19.0,17.0,8.0,31.0,14.0,7.0,9.0,27.0,22.0,7.0,3.0,4.0,1.0,2.0,6.0,2.0,17.0,8.0,4.0,3.0,14.0,3.0,3.0,21.0,1.0,3.0,3.0,6.0,20.0,7.0,1.0,2.0,5.0,12.0,5.0,2.0,1.0,5.0,2.0,5.0,3.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04943373125191307,0.02372206917661463,0.12228344046525864,0.1095806550352005,0.026782981328435873,0.013161922252831344,0.04989286807468626,0.0780532598714417,0.12748699112335476,0.0485154576063667,0.06672788490970309,0.015304560759106214,0.039791857973676154,0.08034894398530762,0.026936026936026935,0.01729415365779002,0.0157636975818794,0.018365472910927456,0.046831955922865015,0.00795837159473523,0.0047444138353229266,0.008264462809917356,0.00015304560759106213,0.0009182736455463728,0.00015304560759106213,0.0,1649,3.962401455427532,28.396551724137932,1072.9984695439236
Joshua,0.0,0.0,11.0,12.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08436213991769548,0.037037037037037035,0.09670781893004116,0.10699588477366255,0.00823045267489712,0.053497942386831275,0.08024691358024691,0.059670781893004114,0.12551440329218108,0.059670781893004114,0.043209876543209874,0.0205761316872428,0.02263374485596708,0.051440329218107,0.04938271604938271,0.0102880658436214,0.02263374485596708,0.02263374485596708,0.0205761316872428,0.006172839506172839,0.006172839506172839,0.006172839506172839,0.0,0.0,0.00205761316872428,0.00411522633744856,110,4.418181818181818,18.333333333333332,62.999999999999986
Samuel,1.0,2.0,24.0,16.0,0.0,1.0,6.0,7.0,8.0,5.0,5.0,33.0,0.0,2.0,0.0,6.0,0.0,7.0,2.0,1.0,0.0,4.0,1.0,0.0,4.0,3.0,2.0,6.0,6.0,4.0,9.0,4.0,1.0,5.0,13.0,1.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,5.0,2.0,2.0,0.0,4.0,0.0,3.0,0.0,0.0,2.0,0.0,1.0,6.0,1.0,2.0,5.0,5.0,1.0,3.0,4.0,2.0,1.0,9.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06521739130434782,0.024266936299292215,0.08493427704752275,0.07735085945399393,0.01769464105156724,0.01769464105156724,0.042467138523761376,0.0717896865520728,0.12386248736097068,0.06066734074823053,0.07987866531850354,0.028816986855409503,0.06420626895854398,0.08796764408493428,0.02275025278058645,0.01820020222446916,0.025278058645096056,0.00910010111223458,0.04903943377148635,0.013650151668351871,0.00455005055611729,0.008088978766430738,0.0010111223458038423,0.0,0.0,0.0,504,3.9246031746031744,33.46666666666667,279.99848331648127
Unknown,0.0,0.0,10.0,5.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,13.0,0.0,3.0,0.0,0.0,1.0,3.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,3.0,1.0,2.0,4.0,4.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.059248554913294796,0.014450867052023121,0.10115606936416185,0.0838150289017341,0.02601156069364162,0.01878612716763006,0.049132947976878616,0.06502890173410404,0.13005780346820808,0.05057803468208093,0.06647398843930635,0.02601156069364162,0.05057803468208093,0.11705202312138728,0.02167630057803468,0.005780346820809248,0.033236994219653176,0.01878612716763006,0.033236994219653176,0.0,0.008670520231213872,0.014450867052023121,0.0,0.0,0.005780346820809248,0.0,182,3.802197802197802,30.333333333333332,93.00000000000001
Unknown,2.0,8.0,16.0,11.0,2.0,1.0,1.0,2.0,0.0,3.0,1.0,21.0,0.0,2.0,2.0,0.0,0.0,6.0,1.0,0.0,1.0,3.0,0.0,3.0,0.0,3.0,1.0,5.0,0.0,1.0,3.0,7.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,8.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,2.0,4.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07257304429783223,0.02827521206409048,0.09613572101790764,0.08482563619227144,0.024505183788878417,0.017907634307257305,0.04052780395852969,0.05937794533459001,0.1234684260131951,0.06691800188501414,0.06503298774740811,0.022620169651272386,0.0527803958529689,0.10367577756833177,0.021677662582469368,0.019792648444863337,0.01413760603204524,0.011310084825636193,0.03110273327049953,0.010367577756833177,0.00942507068803016,0.017907634307257305,0.0,0.0,0.002827521206409048,0.001885014137606032,279,3.802867383512545,34.875,167.99905749293117
Unknown,0.0,0.0,57.0,28.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,6.0,1.0,1.0,5.0,5.0,0.0,0.0,5.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.045492142266335814,0.03143093465674111,0.10752688172043011,0.11083540115798181,0.005789909015715467,0.0206782464846981,0.05624483043837883,0.0827129859387924,0.1381306865177833,0.04466501240694789,0.060380479735318446,0.021505376344086023,0.04797353184449959,0.07196029776674938,0.02729528535980149,0.0206782464846981,0.019851116625310174,0.0206782464846981,0.02481389578163772,0.007444168734491315,0.011579818031430935,0.01488833746898263,0.0,0.0,0.004962779156327543,0.0008271298593879239,302,4.003311258278146,43.0,179.99834574028117
Ezra,0.0,0.0,53.0,52.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,3.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,6.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0652837095790116,0.037827943868212324,0.08663819402074435,0.11897498474679682,0.007931665649786455,0.009762050030506406,0.06894447834045149,0.0652837095790116,0.13788895668090298,0.03355704697986577,0.06711409395973154,0.018913971934106162,0.06040268456375839,0.06467358145210494,0.018913971934106162,0.012812690665039659,0.01525320317266626,0.03294691885295912,0.04636973764490543,0.003050640634533252,0.006101281269066504,0.009151921903599756,0.0,0.0006101281269066504,0.0006101281269066504,0.006711409395973154,347,4.723342939481268,17.2,176.99572910311161
Nehemiah,0.0,0.0,25.0,13.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03486238532110092,0.03853211009174312,0.12660550458715597,0.08990825688073395,0.011009174311926606,0.012844036697247707,0.03302752293577982,0.08623853211009175,0.14128440366972478,0.03669724770642202,0.06788990825688074,0.022018348623853212,0.04220183486238532,0.10458715596330276,0.02018348623853211,0.025688073394495414,0.025688073394495414,0.009174311926605505,0.025688073394495414,0.023853211009174313,0.003669724770642202,0.01834862385321101,0.0,0.0,0.0,0.0,142,3.8380281690140845,35.5,75.0
Mordecai,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.044642857142857144,0.026785714285714284,0.08928571428571429,0.08035714285714286,0.008928571428571428,0.026785714285714284,0.0625,0.10714285714285714,0.14285714285714285,0.026785714285714284,0.08928571428571429,0.017857142857142856,0.0625,0.044642857142857144,0.008928571428571428,0.03571428571428571,0.008928571428571428,0.044642857142857144,0.026785714285714284,0.0,0.026785714285714284,0.008928571428571428,0.0,0.0,0.0,0.0,28,4.0,28.0,15.991071428571423
Unknown,1.0,1.0,12.0,6.0,2.0,2.0,3.0,1.0,0.0,0.0,0.0,4.0,0.0,3.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,4.0,0.0,3.0,0.0,2.0,1.0,2.0,0.0,1.0,2.0,6.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,4.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.051798561151079135,0.01870503597122302,0.09496402877697842,0.09640287769784173,0.015827338129496403,0.014388489208633094,0.05467625899280575,0.09352517985611511,0.10359712230215827,0.07338129496402877,0.05611510791366906,0.02158273381294964,0.0460431654676259,0.06618705035971223,0.03597122302158273,0.015827338129496403,0.03597122302158273,0.033093525179856115,0.03741007194244604,0.0014388489208633094,0.017266187050359712,0.011510791366906475,0.0014388489208633094,0.0,0.0014388489208633094,0.0,171,4.064327485380117,17.0,96.99856115107912
