Author,and,the,of,shall,for,them,lord,thy,god,hath,to,unto,him,in,by,their,every,be,all,that,are,man,is,they,say,our,have,not,neither,it,whom,thou,hast,shalt,from,among,when,do,which,forth,thine,into,her,then,if,no,let,whither,will,but,make,because,one,was,he,his,may,or,out,with,upon,thee,an,thyself,again,like,thence,lest,as,wherewith,my,yet,these,ye,being,there,ever,would,were,said,who,wherefore,your,now,where,thus,what,therefore,me,other,more,much,also,than,should,had,did,himself,according,we,could,till,wherein,those,many,whose,been,outward,thereof,shouldest,doeth,whoso,cometh,yea,such,without,therein,how,whereunto,oft,thereupon,whereof,henceforth,underneath,whereby,abundance,thereby,whence,ought,therewith,notwithstanding,throughout,hereof,thereon,oftentimes,upward,some,didst,hence,each,must,inasmuch,verily,moreover,once,downward,whereto,therefrom,forthwith,thereunto,becometh,became,a_percentage_use,n_percentage_use,d_percentage_use,t_percentage_use,h_percentage_use,e_percentage_use,p_percentage_use,r_percentage_use,i_percentage_use,s_percentage_use,o_percentage_use,f_percentage_use,l_percentage_use,v_percentage_use,c_percentage_use,m_percentage_use,y_percentage_use,g_percentage_use,u_percentage_use,b_percentage_use,w_percentage_use,k_percentage_use,x_percentage_use,q_percentage_use,z_percentage_use,j_percentage_use,Total_Word_Count,AVG_Letter_Per_Word,AVG_Word_Per_Verse,Total_Function_Word_Count
Moses,91.0,113.0,57.0,41.0,14.0,14.0,16.0,27.0,8.0,11.0,21.0,26.0,15.0,26.0,3.0,6.0,3.0,24.0,11.0,32.0,4.0,21.0,16.0,14.0,4.0,4.0,9.0,39.0,2.0,8.0,1.0,48.0,6.0,32.0,10.0,5.0,9.0,6.0,9.0,4.0,7.0,8.0,42.0,13.0,15.0,2.0,2.0,1.0,4.0,8.0,4.0,10.0,1.0,2.0,23.0,27.0,4.0,9.0,4.0,20.0,7.0,12.0,11.0,4.0,3.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0839325018341893,0.07307410124724871,0.039325018341892885,0.1123991195891416,0.10550256786500367,0.11841526045487895,0.00719002201027146,0.0495964783565664,0.056933235509904624,0.05297138664710198,0.0764490095377843,0.0247982391782832,0.043433602347762286,0.009684519442406456,0.012325752017608218,0.02259721203228173,0.020983125458547323,0.017754952311078504,0.027586206896551724,0.01863536316947909,0.015553925165077037,0.004548789435069699,0.000586940572267058,0.0001467351430667645,0.0,0.0,1743,3.9099254159495125,29.79310344827586,1072.9944240645636
Joshua,5.0,7.0,8.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0640176600441501,0.033112582781456956,0.02207505518763797,0.07947019867549669,0.09492273730684327,0.11699779249448124,0.002207505518763797,0.09050772626931568,0.08830022075055188,0.0684326710816777,0.046357615894039736,0.03532008830022075,0.03090507726269316,0.004415011037527594,0.017660044150110375,0.02207505518763797,0.008830022075055188,0.008830022075055188,0.059602649006622516,0.06181015452538632,0.03090507726269316,0.002207505518763797,0.0,0.0,0.006622516556291391,0.004415011037527594,103,4.398058252427185,17.166666666666668,57.99999999999999
Samuel,27.0,34.0,17.0,3.0,8.0,0.0,15.0,4.0,0.0,0.0,12.0,1.0,4.0,10.0,3.0,0.0,2.0,4.0,1.0,5.0,1.0,3.0,8.0,3.0,0.0,0.0,7.0,6.0,0.0,3.0,0.0,5.0,2.0,2.0,1.0,0.0,1.0,2.0,0.0,1.0,1.0,2.0,0.0,3.0,2.0,2.0,6.0,0.0,1.0,2.0,0.0,2.0,4.0,5.0,4.0,12.0,0.0,1.0,4.0,5.0,0.0,5.0,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,11.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,1.0,8.0,1.0,2.0,1.0,4.0,1.0,1.0,2.0,2.0,6.0,1.0,3.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08468899521531101,0.06650717703349282,0.06411483253588517,0.08851674641148326,0.0784688995215311,0.12344497607655502,0.010526315789473684,0.05119617224880383,0.07368421052631578,0.06267942583732057,0.07464114832535886,0.023444976076555026,0.04114832535885168,0.019138755980861243,0.013875598086124402,0.02200956937799043,0.0215311004784689,0.014354066985645933,0.0215311004784689,0.012440191387559809,0.01674641148325359,0.0066985645933014355,0.0009569377990430622,0.0,0.0004784688995215311,0.0004784688995215311,546,3.827838827838828,36.0,316.9933014354067
Unknown,14.0,34.0,23.0,0.0,2.0,7.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,5.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08597748208802457,0.07267144319344933,0.0511770726714432,0.10030706243602866,0.10440122824974411,0.12384851586489252,0.015353121801432957,0.042988741044012284,0.05629477993858751,0.05322415557830092,0.07881269191402251,0.03582395087001024,0.032753326509723645,0.01023541453428864,0.008188331627430911,0.01842374616171955,0.008188331627430911,0.01842374616171955,0.02456499488229273,0.0255885363357216,0.014329580348004094,0.007164790174002047,0.0,0.0,0.0040941658137154556,0.0040941658137154556,233,4.1931330472103,38.666666666666664,125.99692937563972
Unknown,15.0,25.0,12.0,4.0,1.0,0.0,6.0,2.0,0.0,0.0,6.0,3.0,6.0,7.0,1.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,6.0,4.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08678500986193294,0.055226824457593686,0.05029585798816568,0.09171597633136094,0.09467455621301775,0.11143984220907298,0.011834319526627219,0.03155818540433925,0.07199211045364892,0.0650887573964497,0.08086785009861933,0.02564102564102564,0.0650887573964497,0.006903353057199211,0.01282051282051282,0.01873767258382643,0.01282051282051282,0.014792899408284023,0.023668639053254437,0.020710059171597635,0.020710059171597635,0.015779092702169626,0.0,0.0,0.0039447731755424065,0.006903353057199211,249,4.072289156626506,31.125,149.0
Unknown,19.0,17.0,18.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,5.0,0.0,9.0,10.0,0.0,0.0,0.0,1.0,2.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,7.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1037344398340249,0.07572614107883817,0.058091286307053944,0.08091286307053942,0.1037344398340249,0.10684647302904564,0.01037344398340249,0.04564315352697095,0.07676348547717843,0.052904564315352696,0.06639004149377593,0.023858921161825725,0.035269709543568464,0.008298755186721992,0.016597510373443983,0.03008298755186722,0.00933609958506224,0.021784232365145227,0.01970954356846473,0.00933609958506224,0.017634854771784232,0.007261410788381743,0.0,0.0,0.002074688796680498,0.012448132780082987,243,3.9670781893004117,34.42857142857143,133.99481327800837
Ezra,37.0,70.0,43.0,0.0,0.0,13.0,0.0,0.0,13.0,2.0,16.0,14.0,2.0,14.0,2.0,5.0,0.0,4.0,1.0,13.0,2.0,0.0,8.0,6.0,0.0,1.0,0.0,2.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,0.0,0.0,5.0,0.0,8.0,1.0,0.0,3.0,0.0,0.0,3.0,3.0,0.0,1.0,8.0,2.0,3.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,2.0,0.0,0.0,6.0,4.0,3.0,0.0,0.0,3.0,1.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,6.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07989967753493371,0.06664278036546041,0.047294876388391256,0.10318882121103547,0.08634897886062343,0.14116804012898604,0.013256897169473307,0.04872805446076675,0.057327122895019705,0.061268362594052314,0.07058402006449302,0.0200644930132569,0.026513794338946614,0.006449301325689717,0.01898960945897528,0.025080616266571123,0.012182013615191688,0.018631314940881404,0.03403797921891795,0.01791472590469366,0.02185596560372626,0.01003224650662845,0.0007165890361877463,0.0,0.004657828735220351,0.005374417771408097,678,4.116519174041298,33.85,375.99820852740936
Nehemiah,9.0,20.0,6.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08453237410071943,0.0539568345323741,0.048561151079136694,0.1079136690647482,0.09532374100719425,0.14928057553956833,0.012589928057553957,0.05935251798561151,0.06294964028776978,0.05755395683453238,0.05755395683453238,0.02697841726618705,0.030575539568345324,0.008992805755395683,0.019784172661870502,0.02697841726618705,0.007194244604316547,0.019784172661870502,0.02158273381294964,0.02158273381294964,0.023381294964028777,0.0017985611510791368,0.0017985611510791368,0.0,0.0,0.0,128,4.34375,32.0,75.00000000000001
Mordecai,1.0,6.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08843537414965986,0.07482993197278912,0.04081632653061224,0.10204081632653061,0.09523809523809523,0.08843537414965986,0.02040816326530612,0.047619047619047616,0.061224489795918366,0.04081632653061224,0.10884353741496598,0.013605442176870748,0.013605442176870748,0.0,0.027210884353741496,0.027210884353741496,0.0,0.034013605442176874,0.034013605442176874,0.0,0.034013605442176874,0.027210884353741496,0.0,0.0,0.0,0.0,40,3.675,39.0,24.979591836734702
Unknown,3.0,24.0,11.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,9.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07851239669421488,0.049586776859504134,0.0371900826446281,0.1322314049586777,0.10881542699724518,0.15013774104683195,0.008264462809917356,0.06198347107438017,0.04269972451790634,0.06198347107438017,0.081267217630854,0.026170798898071626,0.02203856749311295,0.008264462809917356,0.013774104683195593,0.005509641873278237,0.009641873278236915,0.012396694214876033,0.03305785123966942,0.013774104683195593,0.03443526170798898,0.006887052341597796,0.0,0.0,0.0,0.0,175,4.148571428571429,17.5,109.99862258953165
