Author,if,there,be,among,man,that,is,not,by,of,him,then,shall,he,out,the,but,it,when,cometh,himself,with,and,into,again,thou,shalt,have,also,without,whither,forth,upon,thy,thyself,therewith,which,from,thee,for,lord,god,in,to,thine,therefore,no,unto,his,one,where,or,these,are,may,all,will,would,according,as,hast,hath,her,because,some,let,an,neither,do,them,ye,what,did,were,whom,lest,every,thence,they,should,many,like,say,my,such,how,therein,their,thus,ought,had,said,now,me,wherefore,was,those,ever,make,moreover,yet,whose,being,more,seest,we,became,thereof,your,forthwith,whosoever,thereon,who,abundance,our,yea,notwithstanding,throughout,whereof,been,must,wherein,whatsoever,didst,each,inasmuch,downward,whereto,once,other,thereby,shouldest,outward,hence,howsoever,becometh,whereby,henceforth,till,thereupon,doeth,thereunto,wherewith,oft,oftentimes,underneath,whereunto,whence,much,wherewithal,whensoever,seemeth,hereof,verily,whereon,soever,could,than,therefrom,wheresoever,whoso,upward,i_percentage_use,f_percentage_use,t_percentage_use,h_percentage_use,e_percentage_use,r_percentage_use,b_percentage_use,a_percentage_use,m_percentage_use,o_percentage_use,n_percentage_use,g_percentage_use,y_percentage_use,u_percentage_use,s_percentage_use,c_percentage_use,l_percentage_use,d_percentage_use,p_percentage_use,w_percentage_use,v_percentage_use,k_percentage_use,q_percentage_use,j_percentage_use,x_percentage_use,z_percentage_use,Total_Word_Count,AVG_Letter_Per_Word,AVG_Word_Per_Verse,Total_Function_Word_Count
Moses,12.0,3.0,35.0,3.0,13.0,35.0,11.0,34.0,7.0,50.0,19.0,11.0,43.0,24.0,13.0,102.0,8.0,29.0,20.0,2.0,1.0,8.0,72.0,5.0,5.0,57.0,38.0,7.0,1.0,2.0,2.0,4.0,7.0,40.0,1.0,1.0,14.0,7.0,30.0,24.0,19.0,18.0,33.0,38.0,10.0,4.0,6.0,26.0,33.0,5.0,1.0,5.0,2.0,3.0,8.0,7.0,3.0,1.0,3.0,2.0,3.0,6.0,22.0,1.0,1.0,2.0,6.0,3.0,6.0,3.0,3.0,2.0,2.0,3.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05190861769809138,0.02443609022556391,0.11596298438403702,0.10526315789473684,0.12449392712550607,0.0503181029496819,0.01850780798149219,0.0764893001735107,0.021688837478311164,0.0764893001735107,0.0672353961827646,0.01735106998264893,0.018218623481781375,0.03152111046847889,0.05292076344707924,0.015037593984962405,0.04251012145748988,0.03961827646038173,0.011711972238288028,0.018796992481203006,0.00838635049161365,0.004193175245806825,0.00014459224985540774,0.001156737998843262,0.00043377674956622325,0.0002891844997108155,1757,3.9362549800796813,30.06896551724138,1110.9950838635048
Joshua,0.0,2.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,7.0,0.0,1.0,0.0,2.0,0.0,13.0,0.0,1.0,0.0,0.0,0.0,2.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06844741235392321,0.021702838063439065,0.11018363939899833,0.08848080133555926,0.15191986644407346,0.06176961602671119,0.015025041736227046,0.07178631051752922,0.01335559265442404,0.0667779632721202,0.05676126878130217,0.015025041736227046,0.00667779632721202,0.028380634390651086,0.0667779632721202,0.018363939899833055,0.05008347245409015,0.04674457429048414,0.00667779632721202,0.018363939899833055,0.01001669449081803,0.001669449081803005,0.0,0.001669449081803005,0.0,0.0,138,4.340579710144928,23.0,84.99666110183635
Samuel,1.0,2.0,2.0,0.0,2.0,9.0,1.0,1.0,3.0,14.0,6.0,2.0,1.0,4.0,2.0,34.0,0.0,1.0,2.0,0.0,0.0,3.0,43.0,0.0,0.0,5.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,5.0,2.0,0.0,11.0,13.0,1.0,2.0,0.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,2.0,0.0,0.0,1.0,0.0,3.0,2.0,0.0,1.0,1.0,0.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,8.0,2.0,3.0,1.0,3.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07426508509541001,0.01701908200103146,0.09747292418772563,0.08767405879319237,0.11397627643115008,0.04641567818463126,0.007220216606498195,0.11036616812790098,0.02475502836513667,0.05415162454873646,0.07117070654976793,0.015471892728210418,0.018050541516245487,0.02372356884992264,0.06188757091284167,0.011346054667354307,0.040226921093347086,0.06549767921609077,0.012377514182568335,0.019082001031459517,0.015471892728210418,0.005673027333677153,0.0010314595152140279,0.0015471892728210418,0.0005157297576070139,0.0020629190304280558,467,4.15203426124197,31.133333333333333,252.99845281072717
Unknown,0.0,1.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,15.0,4.0,2.0,0.0,2.0,1.0,21.0,1.0,1.0,0.0,0.0,0.0,5.0,15.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,4.0,3.0,0.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07674684994272624,0.026345933562428408,0.10538373424971363,0.10538373424971363,0.1111111111111111,0.035509736540664374,0.021764032073310423,0.09163802978235967,0.01718213058419244,0.06300114547537228,0.07674684994272624,0.024054982817869417,0.006872852233676976,0.024054982817869417,0.06643757159221077,0.012600229095074456,0.025200458190148912,0.049255441008018326,0.011454753722794959,0.027491408934707903,0.008018327605956471,0.004581901489117984,0.001145475372279496,0.003436426116838488,0.001145475372279496,0.002290950744558992,206,4.237864077669903,34.333333333333336,115.99885452462773
Unknown,0.0,0.0,1.0,0.0,0.0,3.0,1.0,2.0,0.0,10.0,0.0,0.0,0.0,3.0,1.0,15.0,1.0,3.0,1.0,0.0,2.0,1.0,15.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,5.0,8.0,0.0,0.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07116104868913857,0.02122347066167291,0.10112359550561797,0.09363295880149813,0.10736579275905118,0.039950062421972535,0.017478152309612985,0.09612983770287141,0.019975031210986267,0.0749063670411985,0.0599250936329588,0.0149812734082397,0.02122347066167291,0.024968789013732832,0.07116104868913857,0.01373283395755306,0.039950062421972535,0.0449438202247191,0.017478152309612985,0.019975031210986267,0.003745318352059925,0.012484394506866416,0.0012484394506866417,0.00749063670411985,0.0,0.0,204,3.926470588235294,25.375,113.99625468164788
Unknown,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,19.0,2.0,1.0,0.0,9.0,1.0,25.0,1.0,2.0,1.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,4.0,0.0,4.0,13.0,0.0,0.0,0.0,1.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.060098522167487685,0.022660098522167486,0.08275862068965517,0.09458128078817735,0.11822660098522167,0.04334975369458128,0.013793103448275862,0.10443349753694581,0.03152709359605911,0.07980295566502463,0.07389162561576355,0.02167487684729064,0.013793103448275862,0.014778325123152709,0.04926108374384237,0.023645320197044337,0.02561576354679803,0.06403940886699508,0.012807881773399015,0.008866995073891626,0.011822660098522168,0.008866995073891626,0.0,0.009852216748768473,0.002955665024630542,0.003940886699507389,240,4.229166666666667,34.142857142857146,138.99704433497539
Ezra,0.0,2.0,12.0,0.0,0.0,9.0,6.0,1.0,1.0,59.0,1.0,1.0,3.0,1.0,3.0,86.0,0.0,4.0,0.0,0.0,0.0,3.0,48.0,0.0,2.0,0.0,0.0,3.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,11.0,3.0,0.0,11.0,1.0,15.0,9.0,12.0,0.0,1.0,0.0,5.0,6.0,1.0,1.0,0.0,2.0,2.0,1.0,5.0,0.0,0.0,5.0,2.0,0.0,1.0,0.0,0.0,0.0,11.0,1.0,0.0,1.0,4.0,2.0,1.0,2.0,3.0,0.0,0.0,1.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,5.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06225165562913907,0.03443708609271523,0.09701986754966888,0.08410596026490066,0.1390728476821192,0.059602649006622516,0.014900662251655629,0.07052980132450332,0.016556291390728478,0.07781456953642384,0.05860927152317881,0.0195364238410596,0.012913907284768211,0.024172185430463577,0.05927152317880795,0.02384105960264901,0.033443708609271525,0.054304635761589407,0.015562913907284768,0.014900662251655629,0.012251655629139073,0.006291390728476821,0.0,0.003642384105960265,0.0016556291390728477,0.0016556291390728477,711,4.247538677918425,35.45,404.9983443708609
Nehemiah,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,10.0,1.0,1.0,0.0,0.0,1.0,13.0,1.0,1.0,0.0,0.0,0.0,1.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,4.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07575757575757576,0.04329004329004329,0.10173160173160173,0.07792207792207792,0.12554112554112554,0.05627705627705628,0.023809523809523808,0.08874458874458875,0.02813852813852814,0.07792207792207792,0.06493506493506493,0.021645021645021644,0.008658008658008658,0.025974025974025976,0.045454545454545456,0.023809523809523808,0.02813852813852814,0.045454545454545456,0.004329004329004329,0.006493506493506494,0.008658008658008658,0.008658008658008658,0.0,0.004329004329004329,0.004329004329004329,0.0,111,4.162162162162162,27.75,58.999999999999986
Mordecai,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09302325581395349,0.0,0.10465116279069768,0.09302325581395349,0.09302325581395349,0.023255813953488372,0.011627906976744186,0.09302325581395349,0.046511627906976744,0.046511627906976744,0.11627906976744186,0.023255813953488372,0.0,0.023255813953488372,0.05813953488372093,0.023255813953488372,0.023255813953488372,0.06976744186046512,0.0,0.0,0.011627906976744186,0.023255813953488372,0.0,0.0,0.0,0.0,22,3.909090909090909,21.0,13.97674418604651
Unknown,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,1.0,18.0,0.0,1.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,4.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04776579352850539,0.029275808936825885,0.12326656394453005,0.09861325115562404,0.12018489984591679,0.053929121725731895,0.012326656394453005,0.08166409861325115,0.01078582434514638,0.09244992295839753,0.07395993836671803,0.01694915254237288,0.01078582434514638,0.032357473035439135,0.06471494607087827,0.026194144838212634,0.01078582434514638,0.04314329738058552,0.01078582434514638,0.026194144838212634,0.007704160246533128,0.0015408320493066256,0.0,0.0,0.0,0.004622496147919877,157,4.13375796178344,15.7,86.99999999999997
