Author,but,it,shall,to,if,thou,not,unto,the,of,lord,thy,god,do,all,his,and,which,thee,that,these,upon,shalt,be,in,when,out,thine,for,because,whereby,hast,me,make,he,have,from,whither,with,an,they,is,one,them,into,no,man,will,whereof,as,her,therein,thereof,there,neither,other,among,much,throughout,thyself,him,moreover,till,ever,abundance,therefore,whose,also,or,wherein,hath,wherewith,whom,would,cometh,are,then,every,ye,were,say,again,by,more,your,said,did,those,yet,their,according,had,now,what,been,may,let,lest,should,himself,my,wherefore,notwithstanding,who,was,we,how,many,forth,thence,without,such,our,some,yea,than,like,henceforth,thus,became,must,ought,where,thereupon,outward,shouldest,underneath,being,whereunto,thereby,whence,therewith,could,hereof,doeth,thereon,oftentimes,upward,didst,hence,each,inasmuch,verily,once,downward,whoso,whereto,therefrom,forthwith,thereunto,becometh,oft,b_percentage_use,u_percentage_use,t_percentage_use,i_percentage_use,s_percentage_use,h_percentage_use,a_percentage_use,l_percentage_use,c_percentage_use,o_percentage_use,m_percentage_use,e_percentage_use,p_percentage_use,f_percentage_use,w_percentage_use,n_percentage_use,r_percentage_use,k_percentage_use,v_percentage_use,d_percentage_use,y_percentage_use,g_percentage_use,x_percentage_use,q_percentage_use,j_percentage_use,z_percentage_use,Total_Word_Count,AVG_Letter_Per_Word,AVG_Word_Per_Verse,Total_Function_Word_Count
Moses,6.0,9.0,68.0,26.0,2.0,65.0,23.0,20.0,119.0,62.0,29.0,53.0,9.0,4.0,26.0,12.0,125.0,21.0,47.0,15.0,4.0,10.0,45.0,35.0,31.0,2.0,4.0,18.0,18.0,5.0,1.0,1.0,1.0,4.0,16.0,11.0,9.0,3.0,21.0,5.0,4.0,5.0,3.0,13.0,4.0,6.0,5.0,6.0,2.0,5.0,9.0,1.0,2.0,5.0,4.0,3.0,5.0,1.0,3.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,4.0,4.0,1.0,3.0,1.0,2.0,1.0,2.0,5.0,3.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01430339705680099,0.030394718745702105,0.10920093522211526,0.046348507770595515,0.06298996011552743,0.097785724109476,0.07949387979645166,0.05638839224315775,0.016228854352908814,0.07770595516435154,0.016228854352908814,0.1283179755191858,0.008802090496492916,0.02186769357722459,0.018429376977032046,0.07192958327602805,0.0451107137945262,0.005088708568284968,0.010314949800577638,0.045798377114564706,0.019804703617109065,0.015953789024893413,0.0004125979920231055,0.00013753266400770182,0.0005501306560308073,0.0,1756,4.140660592255125,30.25862068965517,1125.9995874020083
Joshua,0.0,1.0,0.0,9.0,0.0,0.0,0.0,5.0,34.0,34.0,1.0,0.0,0.0,0.0,0.0,0.0,20.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,8.0,2.0,2.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015582034830430797,0.02016498625114574,0.08982584784601283,0.05682859761686526,0.045829514207149404,0.08890925756186985,0.09165902841429881,0.04307974335472044,0.025664527956003668,0.07516040329972502,0.013748854262144821,0.12465627864344637,0.008249312557286892,0.03666361136571952,0.01466544454628781,0.08065994500458296,0.06874427131072411,0.0009165902841429881,0.006416131989000917,0.05957836846929423,0.010999083409715857,0.017415215398716773,0.0,0.0,0.002749770852428964,0.0009165902841429881,261,4.180076628352491,43.5,146.99908340971587
Samuel,4.0,6.0,1.0,12.0,0.0,5.0,10.0,11.0,42.0,15.0,2.0,5.0,1.0,1.0,1.0,9.0,40.0,3.0,4.0,7.0,4.0,1.0,0.0,3.0,16.0,1.0,1.0,0.0,2.0,0.0,0.0,3.0,4.0,1.0,8.0,6.0,1.0,0.0,12.0,2.0,3.0,4.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,3.0,0.0,1.0,2.0,0.0,1.0,3.0,0.0,0.0,8.0,2.0,0.0,0.0,2.0,0.0,2.0,3.0,3.0,3.0,2.0,1.0,1.0,2.0,1.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010923987255348202,0.02639963586709149,0.10423304506144743,0.081474738279472,0.06827492034592626,0.0923987255348202,0.08375056895766955,0.03140646335912608,0.013654984069185253,0.06326809285389166,0.018661811561219845,0.11652253072371416,0.016385980883022302,0.01729631315430132,0.02002730996813837,0.081474738279472,0.03959945380063723,0.0063723258989531175,0.012744651797906235,0.058716431497496585,0.014110150204824761,0.016841147018661812,0.0,0.0,0.0009103322712790169,0.002275830678197542,546,4.023809523809524,36.333333333333336,319.9977241693219
Unknown,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,10.0,8.0,2.0,0.0,2.0,0.0,0.0,2.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010080645161290322,0.020161290322580645,0.06653225806451613,0.05846774193548387,0.06854838709677419,0.07056451612903226,0.06653225806451613,0.04233870967741935,0.020161290322580645,0.09475806451612903,0.05443548387096774,0.1310483870967742,0.012096774193548387,0.028225806451612902,0.020161290322580645,0.05443548387096774,0.05241935483870968,0.006048387096774193,0.020161290322580645,0.06653225806451613,0.02620967741935484,0.010080645161290322,0.0,0.0,0.0,0.0,129,3.8449612403100777,21.5,74.99999999999997
Unknown,2.0,1.0,5.0,3.0,0.0,2.0,2.0,4.0,19.0,5.0,9.0,0.0,0.0,0.0,2.0,4.0,18.0,1.0,2.0,7.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007856341189674524,0.019079685746352413,0.09652076318742986,0.0718294051627385,0.05723905723905724,0.09876543209876543,0.10662177328843996,0.051627384960718295,0.010101010101010102,0.0718294051627385,0.025813692480359147,0.10998877665544332,0.015712682379349047,0.013468013468013467,0.014590347923681257,0.0718294051627385,0.051627384960718295,0.006734006734006734,0.007856341189674524,0.06285072951739619,0.005611672278338945,0.019079685746352413,0.0,0.0,0.002244668911335578,0.0,231,3.857142857142857,28.875,145.99887766554437
Unknown,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,27.0,18.0,3.0,0.0,0.0,0.0,8.0,10.0,27.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020512820512820513,0.01641025641025641,0.08102564102564103,0.06461538461538462,0.055384615384615386,0.07897435897435898,0.10051282051282051,0.038974358974358976,0.02358974358974359,0.06769230769230769,0.024615384615384615,0.11384615384615385,0.011282051282051283,0.027692307692307693,0.0071794871794871795,0.08717948717948718,0.04512820512820513,0.013333333333333334,0.013333333333333334,0.05435897435897436,0.015384615384615385,0.022564102564102566,0.0,0.0,0.005128205128205128,0.003076923076923077,232,4.202586206896552,32.57142857142857,125.99179487179487
Ezra,0.0,5.0,3.0,11.0,0.0,2.0,3.0,3.0,56.0,64.0,3.0,4.0,10.0,2.0,4.0,2.0,36.0,5.0,0.0,6.0,1.0,3.0,1.0,8.0,4.0,0.0,2.0,1.0,3.0,0.0,0.0,0.0,4.0,1.0,0.0,1.0,1.0,0.0,11.0,6.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015730337078651686,0.023820224719101123,0.09078651685393259,0.05887640449438202,0.06426966292134831,0.09707865168539326,0.07910112359550561,0.03146067415730337,0.015280898876404495,0.09078651685393259,0.025617977528089888,0.12134831460674157,0.009887640449438202,0.038202247191011236,0.021123595505617977,0.06876404494382023,0.043146067415730335,0.005393258426966292,0.006741573033707865,0.04629213483146068,0.01303370786516854,0.01887640449438202,0.002696629213483146,0.00044943820224719103,0.0044943820224719105,0.003146067415730337,548,4.060218978102189,27.25,322.9964044943819
Nehemiah,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,9.0,6.0,0.0,0.0,2.0,1.0,2.0,0.0,12.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024955436720142603,0.023172905525846704,0.08199643493761141,0.0659536541889483,0.0677361853832442,0.0784313725490196,0.09269162210338681,0.0285204991087344,0.0142602495543672,0.0677361853832442,0.024955436720142603,0.11586452762923351,0.0071301247771836,0.026737967914438502,0.0196078431372549,0.08912655971479501,0.0427807486631016,0.0,0.0071301247771836,0.0659536541889483,0.0196078431372549,0.024955436720142603,0.0,0.0,0.008912655971479501,0.0,136,4.125,34.0,72.99821746880569
Mordecai,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.01639344262295082,0.09836065573770492,0.04918032786885246,0.01639344262295082,0.13114754098360656,0.08196721311475409,0.01639344262295082,0.0,0.08196721311475409,0.04918032786885246,0.11475409836065574,0.0,0.01639344262295082,0.03278688524590164,0.11475409836065574,0.04918032786885246,0.03278688524590164,0.0,0.04918032786885246,0.0,0.04918032786885246,0.0,0.0,0.0,0.0,14,4.357142857142857,14.0,8.999999999999998
Unknown,0.0,1.0,0.0,2.0,0.0,5.0,0.0,2.0,18.0,3.0,0.0,4.0,0.0,0.0,0.0,4.0,6.0,1.0,2.0,3.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,3.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021604938271604937,0.030864197530864196,0.12191358024691358,0.06944444444444445,0.04938271604938271,0.1095679012345679,0.06327160493827161,0.037037037037037035,0.021604938271604937,0.05401234567901234,0.020061728395061727,0.13425925925925927,0.0030864197530864196,0.013888888888888888,0.027777777777777776,0.05709876543209876,0.06944444444444445,0.0030864197530864196,0.013888888888888888,0.030864197530864196,0.018518518518518517,0.027777777777777776,0.0,0.0,0.0,0.0,153,4.235294117647059,15.3,87.99845679012343
