Author,in,the,god,and,was,without,upon,of,said,let,there,be,that,it,from,he,were,which,unto,one,forth,his,whose,is,to,them,for,also,hath,may,every,their,make,man,our,have,all,him,shall,wherein,had,thus,because,these,are,when,they,lord,not,till,but,into,became,whom,out,thence,where,thou,shalt,thereof,should,will,an,what,would,whatsoever,her,now,my,therefore,more,than,yea,ye,we,neither,lest,then,your,as,did,with,thy,who,thee,hast,whereof,shouldest,me,ever,whence,again,if,henceforth,whosoever,other,such,yet,those,do,according,by,upward,no,whoso,therein,wherefore,say,didst,been,could,thyself,or,like,thine,seest,himself,whereby,each,whither,many,among,must,being,once,some,ought,much,thereby,moreover,cometh,how,wherewith,whereon,whensoever,doeth,thereon,hence,throughout,verily,notwithstanding,therewith,underneath,thereupon,thereunto,wheresoever,seemeth,soever,outward,whereunto,inasmuch,abundance,therefrom,howsoever,oft,downward,forthwith,whereto,oftentimes,becometh,wherewithal,hereof,i_percentage_use,n_percentage_use,t_percentage_use,h_percentage_use,e_percentage_use,b_percentage_use,g_percentage_use,o_percentage_use,d_percentage_use,c_percentage_use,r_percentage_use,a_percentage_use,v_percentage_use,w_percentage_use,s_percentage_use,u_percentage_use,f_percentage_use,m_percentage_use,k_percentage_use,p_percentage_use,l_percentage_use,y_percentage_use,x_percentage_use,j_percentage_use,z_percentage_use,q_percentage_use,Total_Word_Count,AVG_Letter_Per_Word,AVG_Word_Per_Verse,Total_Function_Word_Count
Moses,2314,13672,804.0,11671,690.0,91.0,758,7283,872.0,256.0,378,1676,2242,1637,696,2037,504.0,981,2356,459.0,159.0,1984,39.0,1066,2222,1225,1687,213.0,424,273.0,313.0,837,328.0,442.0,166.0,528,1169,1052,2828.0,38.0,258.0,70.0,198.0,309.0,384,470.0,1092,1887.0,1099,16.0,436,324.0,25.0,96.0,582,36.0,58.0,1524.0,893.0,255.0,72.0,616,499,115.0,43.0,49.0,468.0,167.0,565.0,153.0,75.0,46.0,7.0,844.0,263.0,165.0,69.0,359.0,538.0,524,199.0,1123,1254.0,80,959.0,140.0,17.0,10.0,549.0,62.0,9.0,99.0,439.0,4.0,41.0,107.0,38.0,77.0,91.0,308.0,225.0,479.0,37.0,205.0,5.0,68.0,57.0,148.0,15.0,28.0,19.0,33.0,421.0,50.0,201.0,8.0,84.0,7.0,20.0,39.0,36.0,219.0,26.0,26.0,7.0,26.0,24.0,32.0,2.0,25.0,25.0,46.0,32.0,12.0,1.0,9.0,25.0,9.0,68.0,2.0,8.0,10.0,3.0,1.0,5.0,1.0,2.0,4.0,1.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05479376617655157,0.07192340673259226,0.09772249887895022,0.08730971655141488,0.12568502041490642,0.01623752094593,0.016234374139545128,0.07639659200868519,0.049530732497856236,0.016942405576140913,0.05333522141716426,0.08869273795756531,0.008526271899805685,0.017206737312470008,0.05624759072636158,0.025361686058861015,0.028864081565221494,0.02325332578099801,0.00629990638251005,0.012884598742850849,0.043300055855813334,0.01776529544578446,0.00044999331303643216,0.0015970042403216035,0.0005711453588539331,0.000162060528820813,157941,4.024065948677038,26.897983595352017,92467.99729374649
Joshua,235,2021,73.0,1517,97.0,2.0,37,1149,73.0,17.0,41,78,276,145,124,131,99.0,122,294,46.0,9.0,60,1.0,84,365,209,169,18.0,33,13.0,11.0,172,14.0,30.0,36.0,60,217,62,104.0,5.0,72.0,12.0,28.0,41.0,46,53.0,180,228.0,83,4.0,59,40.0,3.0,10.0,139,8.0,4.0,50.0,13.0,34.0,7.0,42,37,12.0,5.0,0.0,81.0,33.0,20.0,35.0,6.0,2.0,0.0,105.0,53.0,10.0,4.0,37.0,87.0,77,40.0,201,29.0,8,28.0,9.0,3.0,0.0,25.0,4.0,3.0,8.0,18.0,0.0,4.0,21.0,0.0,7.0,14.0,21.0,48.0,63.0,0.0,11.0,0.0,15.0,8.0,8.0,2.0,4.0,3.0,1.0,16.0,1.0,11.0,0.0,1.0,0.0,3.0,1.0,2.0,41.0,2.0,3.0,3.0,2.0,1.0,6.0,0.0,0.0,0.0,7.0,1.0,2.0,0.0,0.0,4.0,1.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05645490236067914,0.07209503900474175,0.09998470402284199,0.08656248406669045,0.12598786519145463,0.015844083006169376,0.015920562891959415,0.07918217508795188,0.05246520165196553,0.01887778514250752,0.05605975628409728,0.08827053484933463,0.008259827665324019,0.017386427369601793,0.054071279253556315,0.0267807066741447,0.02656401366440626,0.022319380003059195,0.006105644215571305,0.010872890429816958,0.036531892112374446,0.014671391424055474,0.00020394636210676592,0.00532809871003926,0.0017462907255391832,0.00014021312394840157,18944,4.141258445945946,28.767477203647417,10731.998687095287
Samuel,698,3621,162.0,3677,396.0,7.0,144,1943,588.0,109.0,199,241,752,326,199,623,222.0,176,679,80.0,41.0,595,22.0,258,997,351,379,80.0,125,60.0,53.0,139,31.0,205.0,46.0,198,300,502,201.0,6.0,155.0,22.0,71.0,39.0,56,222.0,449,550.0,351,10.0,198,145.0,14.0,34.0,235,15.0,32.0,303.0,57.0,19.0,38.0,189,93,77.0,32.0,5.0,193.0,140.0,213.0,73.0,32.0,21.0,4.0,150.0,110.0,39.0,11.0,216.0,70.0,153,89.0,375,169.0,48,283.0,60.0,2.0,3.0,298.0,14.0,5.0,57.0,82.0,1.0,2.0,37.0,10.0,32.0,29.0,78.0,18.0,118.0,3.0,64.0,0.0,7.0,41.0,32.0,10.0,21.0,15.0,8.0,40.0,20.0,89.0,1.0,33.0,1.0,4.0,4.0,10.0,51.0,4.0,6.0,6.0,6.0,5.0,10.0,0.0,9.0,9.0,24.0,10.0,1.0,0.0,0.0,0.0,2.0,10.0,1.0,5.0,5.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0610962852263023,0.0743061485909479,0.0964666951323655,0.08628842869342443,0.12754590093936807,0.013615499573014517,0.01525939368061486,0.07204312553373185,0.05864111870196413,0.01426665243381725,0.04724594363791631,0.09182322801024766,0.009324295473953886,0.021701537147736975,0.055817677198975235,0.025357600341588387,0.022779675491033304,0.027140264730999147,0.005871050384286934,0.013172502134927412,0.03832728437233134,0.015328778821520068,0.00032557643040136635,0.0024338172502134927,0.0010301024765157984,0.0002134927412467976,46928,3.9924991476304124,30.915399867812294,26656.997422075157
Unknown,266,1628,69.0,1553,186.0,1.0,52,859,240.0,52.0,80,127,316,133,108,296,80.0,48,268,46.0,21.0,245,15.0,119,444,99,180,55.0,43,28.0,20.0,28,14.0,71.0,10.0,72,184,265,83.0,1.0,88.0,17.0,29.0,16.0,31,93.0,130,196.0,134,2.0,87,42.0,6.0,15.0,80,4.0,12.0,163.0,26.0,2.0,19.0,81,35,30.0,21.0,3.0,52.0,60.0,153.0,37.0,24.0,14.0,2.0,35.0,26.0,16.0,8.0,90.0,8.0,90,39.0,160,151.0,17,126.0,40.0,1.0,1.0,137.0,10.0,2.0,26.0,24.0,0.0,3.0,9.0,8.0,21.0,2.0,41.0,12.0,49.0,0.0,18.0,0.0,1.0,22.0,20.0,7.0,8.0,4.0,11.0,15.0,7.0,30.0,0.0,16.0,0.0,0.0,4.0,6.0,11.0,3.0,5.0,0.0,6.0,4.0,7.0,0.0,6.0,2.0,20.0,3.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06085568095220815,0.07281876353255676,0.09496679609536597,0.0853261724183813,0.12177184260502473,0.01747892247583796,0.016777346348780104,0.0743912617483761,0.05912593291480688,0.012858196949353461,0.04648546648764379,0.09580142976376238,0.011442948555116062,0.02021265014333926,0.055448706317813984,0.02388987674033216,0.022764935709015253,0.027216315273796133,0.00811651002165209,0.011648582937184744,0.03684484281065912,0.014612137266998101,0.0003628842036506151,0.0032417655526121615,0.0014515368146024604,0.0003265957832855536,20797,3.9751406452853777,29.75107913669065,11513.996238100424
Unknown,459,2149,96.0,1890,241.0,6.0,92,1176,209.0,36.0,102,94,366,188,69,455,101.0,176,280,62.0,18.0,318,3.0,107,477,107,236,44.0,36,30.0,27.0,67,21.0,61.0,17.0,75,216,276,124.0,5.0,94.0,28.0,35.0,18.0,29,69.0,151,293.0,147,2.0,90,39.0,5.0,17.0,81,5.0,6.0,176.0,28.0,31.0,8.0,90,57,23.0,7.0,4.0,41.0,44.0,154.0,28.0,7.0,14.0,0.0,16.0,21.0,15.0,0.0,68.0,11.0,84,84.0,187,178.0,24,155.0,52.0,0.0,1.0,110.0,11.0,0.0,26.0,30.0,0.0,1.0,27.0,2.0,15.0,6.0,31.0,34.0,79.0,0.0,31.0,0.0,3.0,8.0,18.0,6.0,7.0,5.0,14.0,17.0,20.0,36.0,1.0,23.0,0.0,3.0,6.0,8.0,10.0,1.0,6.0,1.0,1.0,0.0,4.0,0.0,7.0,3.0,13.0,8.0,0.0,0.0,0.0,2.0,1.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0622546440568214,0.07192723299202719,0.09473268849407099,0.08876320369096281,0.12083653729410336,0.015621838196608524,0.016927030636610142,0.07916143915172609,0.05468655145898256,0.01617831559350844,0.04948601724068153,0.09111052652879517,0.009105993767453155,0.020498603747622322,0.05723622971386944,0.02180379618762394,0.024464769921890808,0.02384758589987454,0.00876198955846048,0.013193573191954348,0.03703104132097616,0.014863005382654094,0.00039459306325630335,0.003591808652717633,0.0010826014812416527,0.00019223764620178882,24664,4.007298086279598,30.131127450980394,13877.99775385487
Unknown,455,2242,84.0,1834,203.0,7.0,58,1421,226.0,37.0,81,82,353,181,108,482,74.0,150,189,36.0,20.0,332,7.0,110,531,173,150,23.0,43,21.0,28.0,72,14.0,79.0,4.0,62,190,271,105.0,5.0,94.0,36.0,22.0,17.0,48,91.0,235,294.0,173,7.0,90,71.0,3.0,24.0,91,12.0,11.0,104.0,27.0,20.0,11.0,58,21,23.0,12.0,0.0,59.0,59.0,63.0,34.0,12.0,4.0,3.0,51.0,34.0,15.0,1.0,56.0,19.0,81,95.0,152,88.0,20,86.0,26.0,2.0,5.0,62.0,2.0,3.0,24.0,26.0,1.0,2.0,8.0,8.0,10.0,8.0,33.0,37.0,61.0,2.0,22.0,0.0,6.0,9.0,16.0,0.0,2.0,3.0,1.0,12.0,16.0,21.0,0.0,6.0,0.0,2.0,1.0,1.0,9.0,0.0,3.0,1.0,7.0,0.0,5.0,0.0,4.0,9.0,15.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.061664800298618885,0.07159387831280328,0.09563269876819709,0.09372367087932597,0.12438543166426705,0.012733962565989443,0.017383885245027462,0.0740574841358716,0.05431664267050605,0.01591212072735029,0.04883485309017224,0.09457686770116781,0.007476137151389111,0.01937823281608276,0.05730283154695249,0.020295419399562736,0.025905188503172825,0.023718871647203113,0.009491814642990455,0.012115394870154108,0.03403188823121634,0.014877619580867061,0.00027728896709859754,0.005012531328320802,0.002719564869620861,0.00019196928491441368,23670,3.961343472750317,32.82197496522949,13578.997611048893
Ezra,890,5619,399.0,4640,448.0,18.0,123,3689,147.0,64.0,132,219,597,228,160,544,398.0,254,368,73.0,34.0,740,21.0,181,1140,357,605,161.0,61,33.0,67.0,353,41.0,61.0,89.0,139,479,368,110.0,6.0,230.0,41.0,83.0,133.0,117,148.0,444,606.0,207,6.0,153,80.0,5.0,34.0,181,4.0,10.0,158.0,31.0,49.0,33.0,75,124,25.0,19.0,7.0,68.0,133.0,131.0,63.0,25.0,12.0,3.0,93.0,71.0,21.0,1.0,133.0,53.0,129,88.0,489,154.0,62,135.0,55.0,4.0,5.0,94.0,41.0,0.0,36.0,38.0,1.0,9.0,28.0,23.0,30.0,21.0,53.0,78.0,160.0,5.0,36.0,1.0,8.0,13.0,15.0,8.0,20.0,21.0,7.0,31.0,26.0,48.0,0.0,36.0,0.0,5.0,3.0,24.0,48.0,3.0,9.0,1.0,12.0,3.0,27.0,0.0,35.0,8.0,10.0,5.0,2.0,0.0,0.0,8.0,0.0,30.0,1.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,25.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.05895698575553586,0.071639210454717,0.09154021011242858,0.0899955239206944,0.12665987940915754,0.015591676247816814,0.016767744143796243,0.07600558193419285,0.053910425754131595,0.0156969957608896,0.05396308551066799,0.09160164649505437,0.0095401925591764,0.0170398195525676,0.059786376920984034,0.023424815032605167,0.029160340182027226,0.02324489419777249,0.006933534610624984,0.012265334959934702,0.03328096613099992,0.011734349081526079,0.0007328482784647926,0.005226480836236934,0.003317564661792714,0.00020625071310086978,54168,4.20687490769458,26.442759295499023,30144.998222733215
Nehemiah,149,1192,75.0,799,64.0,1.0,27,701,40.0,16.0,25,34,153,54,41,27,57.0,37,126,31.0,7.0,48,0.0,31,163,144,96,38.0,1,5.0,20.0,110,7.0,10.0,70.0,23,67,43,15.0,4.0,37.0,3.0,11.0,18.0,24,22.0,105,22.0,56,5.0,30,21.0,1.0,5.0,22,1.0,2.0,56.0,0.0,33.0,21.0,20,17,7.0,8.0,0.0,0.0,21.0,33.0,14.0,3.0,0.0,5.0,22.0,38.0,13.0,0.0,26.0,14.0,19,14.0,50,43.0,10,23.0,6.0,1.0,0.0,40.0,4.0,1.0,6.0,9.0,0.0,0.0,9.0,2.0,12.0,9.0,15.0,14.0,33.0,0.0,8.0,0.0,8.0,1.0,2.0,11.0,4.0,4.0,0.0,6.0,2.0,4.0,0.0,0.0,0.0,1.0,1.0,7.0,9.0,0.0,1.0,2.0,11.0,1.0,3.0,0.0,10.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05739060474679301,0.07053144415143253,0.1011040092969204,0.08923702677334287,0.13277164439279487,0.015085147275734144,0.016493094354802663,0.07383900236892683,0.05082018504447325,0.015599159701425825,0.05642962499441291,0.08816430518929066,0.010012068117820587,0.016493094354802663,0.053837214499620076,0.02532069905689894,0.028181289947704823,0.023510481383810844,0.005877620345952711,0.014258257721360568,0.031913467125553124,0.013431368166986993,0.000983328118714522,0.004335583068877665,0.0027711974254681984,0.0001340901980065257,10530,4.249382716049383,25.891625615763548,5708.998525007818
Mordecai,97,608,0.0,378,59.0,0.0,24,210,33.0,20.0,11,44,101,56,20,44,28.0,33,80,9.0,2.0,66,1.0,34,178,35,62,12.0,5,7.0,26.0,30,7.0,12.0,0.0,12,57,51,25.0,3.0,48.0,5.0,4.0,11.0,8,23.0,36,0.0,26,0.0,20,13.0,1.0,11.0,13,0.0,2.0,12.0,3.0,7.0,15.0,5,3,19.0,5.0,1.0,34.0,10.0,13.0,5.0,5.0,4.0,1.0,2.0,3.0,3.0,0.0,35.0,0.0,19,12.0,33,11.0,9,6.0,3.0,0.0,0.0,4.0,0.0,0.0,4.0,14.0,0.0,1.0,2.0,5.0,4.0,6.0,11.0,21.0,10.0,0.0,5.0,0.0,0.0,2.0,1.0,0.0,6.0,3.0,1.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,6.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,4.0,0.0,1.0,0.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05839171106170561,0.07793951088552373,0.10088510424094971,0.08892990477788498,0.1340240781911993,0.009983640253366333,0.023532866311506355,0.06808171483703175,0.049708460925374384,0.01992533243844121,0.05021183774487185,0.08540626704140275,0.00922857502412014,0.021519359033516507,0.05239313729602752,0.023239229833466168,0.020512605394521582,0.02705650404798859,0.01208104366793909,0.014388187423969126,0.026595075296782584,0.012332732077687822,0.0005033768194974621,0.0028944167121104074,0.0004194806829145518,0.002055455346281304,5736,4.156032078103208,33.8562874251497,3117.992239607366
Unknown,266,1136,117.0,865,58.0,31.0,103,538,63.0,50.0,58,166,249,177,101,363,34.0,72,100,34.0,27.0,342,13.0,274,227,63,192,51.0,88,24.0,22.0,93,33.0,93.0,5.0,105,52,211,240.0,4.0,30.0,2.0,28.0,10.0,135,68.0,167,33.0,264,7.0,77,25.0,0.0,9.0,98,1.0,26.0,237.0,36.0,33.0,43.0,99,32,44.0,38.0,2.0,15.0,44.0,279.0,22.0,24.0,29.0,36.0,45.0,24.0,34.0,4.0,65.0,21.0,136,15.0,154,80.0,59,97.0,49.0,1.0,7.0,252.0,8.0,5.0,11.0,80.0,0.0,0.0,2.0,6.0,29.0,6.0,32.0,7.0,48.0,1.0,54.0,0.0,2.0,10.0,22.0,0.0,11.0,4.0,7.0,77.0,33.0,33.0,1.0,15.0,0.0,0.0,0.0,6.0,16.0,0.0,3.0,2.0,1.0,0.0,8.0,1.0,4.0,16.0,26.0,1.0,1.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.06373470666775662,0.06696367748440012,0.09973023788114117,0.09151475517044061,0.12718330199732963,0.013392735496880024,0.016771574157333987,0.0728357720918826,0.04483773399820159,0.01784789776288182,0.051758903512357284,0.07787678138368893,0.007970244420828906,0.02479631597591215,0.060028883620807105,0.02682634404207199,0.023324886236682198,0.027616556309436224,0.008338101855636394,0.014073952968745742,0.03664949998637565,0.02030028066159841,0.00043597918199405976,0.0017302923785389248,0.0002724869887462874,0.0006539687729910896,18281,4.014988239155407,17.039252336448598,10378.997465871005
