Author,in,the,god,and,was,without,upon,of,said,let,there,be,that,it,from,he,were,which,unto,one,forth,his,whose,is,to,them,for,also,hath,may,every,their,make,man,our,have,all,him,shall,wherein,had,thus,because,these,are,when,they,lord,not,till,but,into,became,whom,out,thence,where,thou,shalt,thereof,should,will,an,what,would,whatsoever,her,now,my,therefore,more,than,yea,ye,we,do,your,as,thee,thy,with,who,me,hast,did,whence,how,many,by,no,wherefore,throughout,then,himself,say,again,according,among,like,doeth,yet,thine,lest,been,neither,or,moreover,seest,upward,whither,ever,those,whereby,cometh,if,some,oftentimes,other,much,therein,being,must,didst,each,inasmuch,downward,abundance,whereto,therewith,whereof,once,thereby,shouldest,outward,hence,howsoever,becometh,henceforth,thereon,thereupon,thereunto,wherewith,oft,such,whosoever,underneath,whereunto,whensoever,wherewithal,seemeth,hereof,thyself,notwithstanding,verily,whereon,soever,could,forthwith,therefrom,wheresoever,whoso,ought,i_percentage_use,n_percentage_use,t_percentage_use,h_percentage_use,e_percentage_use,b_percentage_use,g_percentage_use,o_percentage_use,d_percentage_use,c_percentage_use,r_percentage_use,a_percentage_use,v_percentage_use,w_percentage_use,s_percentage_use,u_percentage_use,f_percentage_use,m_percentage_use,k_percentage_use,p_percentage_use,l_percentage_use,y_percentage_use,x_percentage_use,j_percentage_use,z_percentage_use,q_percentage_use,Total_Word_Count,AVG_Letter_Per_Word,AVG_Word_Per_Verse,Total_Function_Word_Count
Moses,20.0,192,48.0,156.0,24.0,1.0,12.0,64,15.0,14.0,11.0,12.0,24.0,29.0,10.0,17.0,12.0,12.0,7.0,3.0,5.0,18.0,2.0,17.0,23.0,11.0,12.0,2.0,2.0,2.0,21.0,2.0,2.0,14.0,2.0,4.0,6.0,5.0,6.0,1.0,8.0,1.0,2.0,1.0,1.0,1.0,3.0,12.0,7.0,1.0,3.0,3.0,2.0,1.0,4.0,1.0,1.0,4.0,2.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05363321799307959,0.07024221453287197,0.10432525951557094,0.08356401384083045,0.14238754325259514,0.010380622837370242,0.02820069204152249,0.0643598615916955,0.07352941176470588,0.010380622837370242,0.05501730103806229,0.09480968858131487,0.015051903114186851,0.01972318339100346,0.04273356401384083,0.0157439446366782,0.030795847750865052,0.023356401384083045,0.005017301038062283,0.008304498269896194,0.0328719723183391,0.012283737024221454,0.00034602076124567473,0.0,0.0,0.0,1503,3.8456420492348635,25.913793103448278,919.9970588235294
Joshua,0.0,18,0.0,4.0,1.0,0.0,1.0,9,1.0,0.0,1.0,4.0,3.0,1.0,1.0,0.0,0.0,2.0,8.0,0.0,0.0,0.0,0.0,1.0,5.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05898876404494382,0.06460674157303371,0.10955056179775281,0.07724719101123595,0.13202247191011235,0.009831460674157303,0.016853932584269662,0.09410112359550561,0.0351123595505618,0.011235955056179775,0.054775280898876406,0.0800561797752809,0.018258426966292134,0.018258426966292134,0.06882022471910113,0.026685393258426966,0.028089887640449437,0.016853932584269662,0.0028089887640449437,0.012640449438202247,0.046348314606741575,0.012640449438202247,0.0,0.0028089887640449437,0.0,0.0,183,3.890710382513661,30.5,100.99859550561803
Samuel,6.0,28,1.0,42.0,2.0,0.0,0.0,12,6.0,0.0,1.0,0.0,6.0,6.0,2.0,4.0,0.0,0.0,3.0,0.0,0.0,5.0,0.0,0.0,10.0,2.0,2.0,1.0,1.0,1.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,10.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,7.0,3.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,4.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,4.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07155635062611806,0.07751937984496124,0.10256410256410256,0.08944543828264759,0.11866428145497913,0.015503875968992248,0.02385211687537269,0.05307096004770424,0.05963029218843172,0.01490757304710793,0.04054859868813357,0.10554561717352415,0.007751937984496124,0.01967799642218247,0.05426356589147287,0.024448419797257006,0.02385211687537269,0.02564102564102564,0.009540846750149075,0.009540846750149075,0.026833631484794274,0.009540846750149075,0.0,0.007155635062611807,0.005963029218843173,0.0005963029218843172,403,4.161290322580645,26.8,208.9976147883125
Unknown,1.0,14,0.0,17.0,2.0,0.0,3.0,6,5.0,0.0,0.0,1.0,6.0,3.0,4.0,4.0,0.0,0.0,4.0,0.0,0.0,5.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05013192612137203,0.07255936675461741,0.09102902374670185,0.08047493403693931,0.10949868073878628,0.010554089709762533,0.006596306068601583,0.07519788918205805,0.08047493403693931,0.018469656992084433,0.0316622691292876,0.1279683377308707,0.009234828496042216,0.018469656992084433,0.052770448548812667,0.027704485488126648,0.021108179419525065,0.03562005277044855,0.00395778364116095,0.021108179419525065,0.040897097625329816,0.009234828496042216,0.0,0.002638522427440633,0.0013192612137203166,0.0,196,3.86734693877551,32.666666666666664,111.9986807387863
Unknown,3.0,15,0.0,24.0,3.0,0.0,0.0,4,1.0,4.0,1.0,2.0,1.0,0.0,0.0,4.0,1.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07563959955506118,0.08008898776418243,0.08342602892102335,0.0967741935483871,0.10901001112347053,0.017797552836484983,0.027808676307007785,0.06562847608453838,0.060066740823136816,0.010011123470522803,0.05228031145717464,0.09788654060066741,0.00778642936596218,0.01668520578420467,0.048943270300333706,0.01668520578420467,0.021134593993325918,0.03114571746384872,0.012235817575083427,0.008898776418242492,0.028921023359288096,0.020022246941045607,0.0011123470522803114,0.0055617352614015575,0.002224694104560623,0.0,220,4.086363636363636,27.5,120.99777530589542
Unknown,4.0,13,5.0,12.0,3.0,0.0,0.0,12,6.0,0.0,3.0,0.0,6.0,2.0,2.0,4.0,0.0,3.0,9.0,0.0,0.0,1.0,0.0,4.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,6.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05296610169491525,0.06991525423728813,0.1059322033898305,0.07944915254237288,0.1228813559322034,0.024364406779661018,0.0211864406779661,0.08050847457627118,0.045550847457627115,0.015889830508474576,0.048728813559322036,0.09322033898305085,0.001059322033898305,0.01694915254237288,0.0614406779661017,0.046610169491525424,0.019067796610169493,0.02754237288135593,0.00847457627118644,0.00847457627118644,0.02754237288135593,0.011652542372881356,0.0,0.00211864406779661,0.00423728813559322,0.0031779661016949155,243,3.8847736625514404,34.714285714285715,145.99894067796615
Ezra,1.0,21,0.0,56.0,3.0,0.0,1.0,9,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04605936540429888,0.09723643807574207,0.06960081883316274,0.10030706243602866,0.10030706243602866,0.021494370522006142,0.017400204708290685,0.042988741044012284,0.07778915046059365,0.015353121801432957,0.0368474923234391,0.16581371545547594,0.007164790174002047,0.006141248720573183,0.05834186284544524,0.01842374616171955,0.01023541453428864,0.04503582395087001,0.00511770726714432,0.01330603889457523,0.021494370522006142,0.0020470829068577278,0.0020470829068577278,0.009211873080859774,0.007164790174002047,0.0,221,4.420814479638009,11.0,103.99692937563971
Nehemiah,5.0,13,1.0,12.0,1.0,0.0,0.0,8,1.0,0.0,1.0,0.0,4.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0595903165735568,0.08752327746741155,0.09683426443202979,0.08193668528864059,0.1378026070763501,0.0074487895716946,0.00931098696461825,0.054003724394785846,0.0521415270018622,0.035381750465549346,0.054003724394785846,0.11173184357541899,0.0074487895716946,0.024208566108007448,0.04655493482309125,0.0148975791433892,0.0297951582867784,0.024208566108007448,0.0037243947858473,0.0186219739292365,0.020484171322160148,0.01303538175046555,0.0,0.0074487895716946,0.0,0.0,129,4.162790697674419,32.25,70.9981378026071
Mordecai,1.0,1,0.0,2.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08661417322834646,0.10236220472440945,0.06299212598425197,0.06299212598425197,0.11811023622047244,0.0,0.007874015748031496,0.06299212598425197,0.05511811023622047,0.023622047244094488,0.05511811023622047,0.09448818897637795,0.031496062992125984,0.023622047244094488,0.08661417322834646,0.047244094488188976,0.015748031496062992,0.015748031496062992,0.0,0.023622047244094488,0.0,0.015748031496062992,0.0,0.0,0.0,0.0,29,4.379310344827586,29.0,13.992125984251967
Unknown,8.0,17,5.0,33.0,7.0,0.0,0.0,8,5.0,0.0,4.0,1.0,8.0,3.0,2.0,1.0,2.0,0.0,3.0,3.0,0.0,6.0,1.0,2.0,5.0,4.0,3.0,2.0,1.0,1.0,2.0,4.0,0.0,4.0,0.0,1.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.045344129554655874,0.0931174089068826,0.09392712550607288,0.07611336032388664,0.12469635627530365,0.014574898785425101,0.01700404858299595,0.07044534412955465,0.06882591093117409,0.015384615384615385,0.05020242914979757,0.10364372469635627,0.009716599190283401,0.01862348178137652,0.07530364372469636,0.025910931174089068,0.02348178137651822,0.02186234817813765,0.004048582995951417,0.006477732793522267,0.022672064777327937,0.009716599190283401,0.0008097165991902834,0.004858299595141701,0.0008097165991902834,0.0,308,4.009740259740259,30.8,181.9975708502024
