Author,and,the,lord,said,unto,thy,that,thou,must,in,of,may,him,shalt,with,will,whither,they,to,be,among,them,me,my,which,have,then,shall,from,many,say,are,not,these,upon,because,our,god,is,for,all,other,now,therefore,ye,it,their,when,into,as,out,he,thee,had,an,were,your,there,yet,been,how,much,more,do,his,without,thus,hath,according,her,did,was,no,didst,but,whom,hast,what,those,also,man,would,make,lest,should,neither,one,being,himself,or,where,let,ever,if,wherewith,forth,yea,every,who,thine,again,by,thereof,like,abundance,underneath,we,thereon,wherein,therefrom,throughout,whose,became,could,ought,therewith,thyself,than,soever,notwithstanding,wherefore,seemeth,such,till,whosoever,moreover,some,each,whereon,whereunto,thence,once,whatsoever,therein,whereof,cometh,whereby,seest,doeth,whoso,becometh,shouldest,inasmuch,downward,whereto,thereby,outward,hence,howsoever,henceforth,thereupon,thereunto,oft,oftentimes,whence,whensoever,wherewithal,hereof,verily,forthwith,wheresoever,upward,a_percentage_use,n_percentage_use,d_percentage_use,t_percentage_use,h_percentage_use,e_percentage_use,l_percentage_use,o_percentage_use,r_percentage_use,s_percentage_use,i_percentage_use,u_percentage_use,m_percentage_use,b_percentage_use,y_percentage_use,p_percentage_use,c_percentage_use,j_percentage_use,v_percentage_use,f_percentage_use,g_percentage_use,w_percentage_use,k_percentage_use,x_percentage_use,q_percentage_use,z_percentage_use,Total_Word_Count,AVG_Letter_Per_Word,AVG_Word_Per_Verse,Total_Function_Word_Count
Moses,199.0,246.0,32.0,18.0,38.0,29.0,41.0,18.0,1.0,52.0,169.0,4.0,31.0,6.0,37.0,30.0,3.0,37.0,41.0,25.0,6.0,37.0,12.0,16.0,20.0,13.0,4.0,42.0,14.0,3.0,5.0,16.0,25.0,3.0,15.0,8.0,5.0,13.0,36.0,43.0,21.0,2.0,3.0,2.0,13.0,15.0,25.0,9.0,5.0,12.0,6.0,51.0,16.0,4.0,5.0,6.0,10.0,11.0,2.0,1.0,2.0,1.0,1.0,4.0,47.0,2.0,1.0,3.0,2.0,5.0,4.0,8.0,4.0,3.0,4.0,7.0,1.0,1.0,1.0,3.0,4.0,3.0,4.0,2.0,3.0,3.0,3.0,1.0,2.0,1.0,1.0,9.0,1.0,1.0,1.0,3.0,1.0,1.0,4.0,3.0,1.0,4.0,1.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08004546192563727,0.06908589056665043,0.05025166423120637,0.09279103750608865,0.08881311901282676,0.12477674947231693,0.044731287546679654,0.07614872544244196,0.052200032472804025,0.06210423770092548,0.06340314986199058,0.02467933106023705,0.02362396492937165,0.012826757590517941,0.016561130053580127,0.014693943822049034,0.01696704010391297,0.0028413703523299237,0.009579477187855172,0.027114791362234127,0.016642312063646695,0.020133138496509172,0.00649456080532554,0.0005682740704659847,0.0001623640201331385,0.000324728040266277,3074,4.007156798959011,27.927272727272726,1780.9975645396983
Joshua,154.0,191.0,57.0,14.0,39.0,2.0,41.0,0.0,0.0,39.0,102.0,3.0,9.0,0.0,12.0,9.0,0.0,11.0,38.0,10.0,7.0,21.0,1.0,1.0,25.0,18.0,4.0,15.0,19.0,0.0,3.0,5.0,20.0,9.0,3.0,2.0,15.0,31.0,12.0,35.0,25.0,8.0,4.0,10.0,35.0,19.0,11.0,4.0,4.0,6.0,12.0,21.0,0.0,3.0,9.0,2.0,35.0,1.0,0.0,1.0,0.0,0.0,1.0,6.0,9.0,0.0,1.0,14.0,1.0,0.0,5.0,2.0,4.0,0.0,10.0,2.0,0.0,2.0,1.0,2.0,4.0,1.0,3.0,1.0,3.0,2.0,3.0,1.0,1.0,8.0,0.0,3.0,0.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0,1.0,0.0,0.0,0.0,17.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08104472592758659,0.06994731532339424,0.05873780966259388,0.08866718977693083,0.07723349400291447,0.1219594215895079,0.039569554982625266,0.09236632664499496,0.06411837237977805,0.054478197511489745,0.05436610245488174,0.03306804169936106,0.016702163434592535,0.012666741396704406,0.021634345925344693,0.011209505660800359,0.016814258491200537,0.0033628516982401077,0.00997646003811232,0.029817285057728952,0.020513395359264656,0.016029593094944512,0.003587041811456115,0.0002241901132160072,0.0003362851698240108,0.0007846653962560251,2223,4.013045434098066,34.71875,1317.999215334604
Samuel,78.0,56.0,2.0,4.0,5.0,1.0,21.0,0.0,0.0,19.0,26.0,1.0,3.0,0.0,5.0,2.0,0.0,15.0,32.0,1.0,1.0,23.0,3.0,1.0,18.0,1.0,3.0,3.0,4.0,0.0,0.0,0.0,6.0,1.0,5.0,1.0,1.0,0.0,2.0,4.0,8.0,3.0,1.0,1.0,1.0,5.0,2.0,6.0,2.0,1.0,0.0,6.0,0.0,4.0,1.0,19.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,22.0,0.0,0.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09384521633150518,0.07160268129189519,0.061547836684948204,0.1008531383302864,0.09384521633150518,0.12340036563071298,0.037781840341255334,0.06703229737964655,0.04936014625228519,0.0578915295551493,0.06246191346739793,0.022851919561243144,0.026508226691042046,0.01218769043266301,0.011273613650213284,0.01218769043266301,0.01736745886654479,0.002437538086532602,0.010054844606946984,0.020414381474710544,0.007921998781230956,0.0295551492992078,0.004875076173065204,0.0003046922608165753,0.0,0.0003046922608165753,802,4.092269326683292,28.571428571428573,466.99786715417423
Unknown,136.0,250.0,39.0,18.0,31.0,8.0,36.0,17.0,2.0,29.0,126.0,4.0,17.0,0.0,14.0,5.0,0.0,20.0,44.0,20.0,5.0,22.0,42.0,32.0,4.0,13.0,4.0,11.0,17.0,3.0,2.0,3.0,17.0,7.0,5.0,2.0,1.0,15.0,14.0,21.0,11.0,1.0,7.0,4.0,1.0,13.0,3.0,6.0,4.0,12.0,12.0,39.0,12.0,8.0,9.0,8.0,0.0,6.0,1.0,0.0,1.0,0.0,1.0,2.0,21.0,1.0,1.0,4.0,5.0,0.0,8.0,24.0,0.0,0.0,13.0,2.0,9.0,3.0,0.0,7.0,7.0,3.0,1.0,0.0,1.0,1.0,5.0,0.0,1.0,2.0,1.0,4.0,0.0,0.0,0.0,2.0,1.0,0.0,4.0,4.0,2.0,8.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08882550677396353,0.06845268411938474,0.05429357237445248,0.1061424060303555,0.08862177854741775,0.1318121625751248,0.03422634205969237,0.07303656921666497,0.048792910257716204,0.0505246001833554,0.05948864215137007,0.02342874605276561,0.02954059284913925,0.01466843231129673,0.015788937557298564,0.01466843231129673,0.010899460120199654,0.002852195171641031,0.010899460120199654,0.025669756544769277,0.019965366201487218,0.01752062748293776,0.006315575022919425,0.0004074564530915758,0.0002037282265457879,0.0014260975858205154,2425,4.048247422680412,23.95049504950495,1374.998472038301
Unknown,48.0,73.0,4.0,4.0,4.0,2.0,10.0,1.0,0.0,21.0,49.0,0.0,3.0,0.0,7.0,1.0,0.0,8.0,14.0,0.0,0.0,0.0,1.0,1.0,4.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,7.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,4.0,0.0,2.0,0.0,0.0,5.0,0.0,3.0,3.0,0.0,4.0,14.0,0.0,2.0,0.0,2.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,2.0,0.0,2.0,9.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10058097312999274,0.07116920842411038,0.04938271604938271,0.09876543209876543,0.09840232389251997,0.1111111111111111,0.02251270878721859,0.07298474945533769,0.050835148874364564,0.06245461147421932,0.07225853304284677,0.01815541031227306,0.014887436456063908,0.012708787218591141,0.01597676107480029,0.014524328249818447,0.01561365286855483,0.006899055918663762,0.007988380537400145,0.026870007262164125,0.020697167755991286,0.02214960058097313,0.010167029774872912,0.0,0.0,0.0018155410312273058,678,4.061946902654867,28.208333333333332,373.99891067538124
Unknown,75.0,126.0,4.0,1.0,3.0,0.0,16.0,0.0,0.0,19.0,80.0,0.0,12.0,0.0,9.0,0.0,0.0,8.0,18.0,3.0,0.0,8.0,0.0,0.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,3.0,0.0,0.0,0.0,1.0,4.0,10.0,0.0,1.0,0.0,0.0,4.0,4.0,1.0,0.0,2.0,4.0,8.0,0.0,4.0,1.0,11.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,4.0,7.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10146593848807128,0.07530899683817188,0.049152055188272495,0.09801667145731532,0.09284277091118137,0.12762288013797068,0.03535498706524864,0.06927277953434895,0.04426559356136821,0.04656510491520552,0.0546133946536361,0.02012072434607646,0.021557918942224776,0.019833285426846797,0.015234262719172175,0.016671457315320496,0.018108651911468814,0.004024144869215292,0.008048289738430584,0.03219315895372234,0.015234262719172175,0.017821212992239148,0.010635240011497557,0.0,0.0,0.0037367059499856282,853,4.078546307151231,32.69230769230769,481.99770048864605
Ezra,154.0,144.0,6.0,5.0,19.0,3.0,20.0,6.0,1.0,16.0,114.0,2.0,2.0,0.0,14.0,1.0,0.0,12.0,29.0,8.0,1.0,9.0,2.0,14.0,5.0,13.0,5.0,1.0,9.0,2.0,1.0,6.0,7.0,3.0,2.0,4.0,27.0,22.0,9.0,24.0,16.0,0.0,10.0,3.0,3.0,9.0,14.0,5.0,2.0,5.0,3.0,5.0,5.0,11.0,3.0,7.0,4.0,5.0,3.0,8.0,0.0,1.0,0.0,4.0,4.0,1.0,0.0,4.0,5.0,0.0,2.0,6.0,2.0,0.0,2.0,1.0,4.0,1.0,5.0,5.0,0.0,2.0,2.0,0.0,5.0,2.0,5.0,1.0,2.0,2.0,0.0,4.0,2.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,7.0,2.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10439037651216529,0.07584613293462009,0.05056408862308006,0.08807938018213946,0.07720538262878891,0.12912872094603778,0.03275791762946853,0.07326355851569934,0.051243713470164466,0.06306918580943319,0.05939921163517738,0.02460241946445562,0.027049068913959494,0.014000271849938834,0.013184722033437542,0.012641022155770015,0.015359521544107652,0.005572923746092157,0.01155362240043496,0.027864618730460786,0.016718771238276472,0.016039146391192062,0.003941824113089574,0.00040777490825064566,0.00040777490825064566,0.004485523990757102,1716,4.287296037296037,26.765625,954.9987766752754
Nehemiah,20.0,20.0,0.0,0.0,3.0,1.0,3.0,0.0,0.0,6.0,15.0,0.0,4.0,0.0,1.0,0.0,0.0,3.0,7.0,0.0,1.0,6.0,4.0,3.0,0.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0,3.0,1.0,0.0,1.0,1.0,7.0,0.0,4.0,3.0,0.0,0.0,1.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,2.0,0.0,2.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08196721311475409,0.07295081967213114,0.05737704918032787,0.08196721311475409,0.06639344262295081,0.12622950819672132,0.03360655737704918,0.0860655737704918,0.051639344262295085,0.07377049180327869,0.05901639344262295,0.019672131147540985,0.03524590163934426,0.011475409836065573,0.018852459016393444,0.013114754098360656,0.019672131147540985,0.002459016393442623,0.013114754098360656,0.02540983606557377,0.027868852459016394,0.013114754098360656,0.00819672131147541,0.0,0.0,0.0,285,4.280701754385965,28.5,164.9991803278688
Mordecai,185.0,260.0,0.0,14.0,25.0,5.0,39.0,4.0,0.0,35.0,93.0,2.0,14.0,2.0,11.0,1.0,0.0,22.0,63.0,21.0,3.0,22.0,2.0,8.0,13.0,7.0,15.0,7.0,10.0,1.0,0.0,5.0,8.0,7.0,16.0,3.0,0.0,0.0,12.0,24.0,21.0,1.0,2.0,2.0,1.0,22.0,22.0,2.0,3.0,11.0,6.0,15.0,2.0,22.0,1.0,8.0,0.0,1.0,2.0,1.0,2.0,0.0,0.0,4.0,26.0,0.0,3.0,0.0,8.0,1.0,2.0,17.0,2.0,0.0,9.0,4.0,3.0,7.0,2.0,5.0,6.0,3.0,3.0,0.0,8.0,0.0,5.0,1.0,0.0,2.0,1.0,6.0,0.0,7.0,0.0,0.0,0.0,12.0,2.0,0.0,3.0,5.0,4.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,3.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0874411945183064,0.07793004704438536,0.05430558396400082,0.1031908365718961,0.08733892411536101,0.1386786663939456,0.026590304765800776,0.06616895070566578,0.04888525260789527,0.05287379832276539,0.05461239517283698,0.0239312742892207,0.025874411945183064,0.009613417876866434,0.014215586009408877,0.014420126815299653,0.01707915729187973,0.005113520147269381,0.008795254653303334,0.022908570259766822,0.021681325424422172,0.020249539783186745,0.009511147473921048,0.0003068112088361628,0.0021476784618531396,0.0003068112088361628,2347,4.166169578184917,34.161764705882355,1283.9941705870317
Unknown,61.0,82.0,12.0,5.0,10.0,6.0,22.0,15.0,0.0,13.0,47.0,0.0,35.0,0.0,20.0,12.0,0.0,9.0,10.0,6.0,2.0,4.0,8.0,7.0,4.0,5.0,6.0,6.0,2.0,1.0,0.0,14.0,13.0,1.0,6.0,0.0,0.0,3.0,21.0,10.0,8.0,0.0,6.0,2.0,2.0,3.0,5.0,2.0,4.0,17.0,7.0,29.0,14.0,6.0,6.0,1.0,1.0,3.0,0.0,1.0,0.0,1.0,2.0,2.0,44.0,2.0,0.0,2.0,1.0,4.0,2.0,1.0,5.0,0.0,3.0,0.0,1.0,1.0,0.0,7.0,2.0,1.0,6.0,1.0,1.0,0.0,7.0,1.0,1.0,7.0,2.0,1.0,1.0,0.0,0.0,1.0,2.0,5.0,7.0,2.0,0.0,4.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08020140262542708,0.068692681172451,0.044955943175687824,0.09350836180543068,0.09404783312353893,0.12605646466462866,0.03632440208595576,0.07858298867110232,0.054666426901636395,0.06042078762812444,0.06347779176407121,0.023197266678654918,0.025894623269196188,0.017083258406761375,0.01510519690703111,0.014925373134328358,0.018521848588383384,0.004315770544866032,0.008991188635137565,0.021578852724330157,0.014026254270814602,0.021399028951627406,0.010609602589462327,0.0007192950908110052,0.0003596475454055026,0.0007192950908110052,1394,3.9892395982783357,17.375,743.9983815860458
