Author,and,he,him,the,of,his,said,my,is,as,which,lord,hath,therefore,god,thee,let,to,be,thy,every,one,that,it,had,an,was,yet,out,from,in,also,unto,may,me,who,thou,where,have,all,yea,shall,when,with,not,for,these,now,hast,what,do,but,by,shalt,because,wherewith,are,then,will,her,were,himself,thence,should,if,such,make,wherein,upon,there,them,whereon,whither,again,into,how,other,they,whence,ye,we,cometh,neither,till,shouldest,those,did,your,their,ever,more,say,thine,like,without,man,thereof,throughout,according,or,thyself,among,wherefore,been,many,than,lest,thus,whom,forth,no,whosoever,would,verily,much,our,ought,must,being,doeth,didst,each,inasmuch,downward,abundance,whereto,seest,therewith,whereof,whatsoever,once,thereby,outward,hence,howsoever,becometh,henceforth,whereby,thereon,thereupon,thereunto,became,moreover,oft,oftentimes,underneath,whereunto,whensoever,wherewithal,seemeth,hereof,therein,whose,notwithstanding,soever,could,forthwith,some,therefrom,wheresoever,whoso,upward,a_percentage_use,n_percentage_use,d_percentage_use,h_percentage_use,e_percentage_use,c_percentage_use,m_percentage_use,r_percentage_use,k_percentage_use,i_percentage_use,s_percentage_use,l_percentage_use,t_percentage_use,o_percentage_use,f_percentage_use,b_percentage_use,y_percentage_use,w_percentage_use,g_percentage_use,v_percentage_use,p_percentage_use,u_percentage_use,j_percentage_use,x_percentage_use,z_percentage_use,q_percentage_use,Total_Word_Count,AVG_Letter_Per_Word,AVG_Word_Per_Verse,Total_Function_Word_Count
Moses,166.0,39.0,26.0,90.0,69.0,33.0,29.0,21.0,11.0,7.0,7.0,7.0,5.0,3.0,10.0,26.0,3.0,37.0,17.0,23.0,1.0,3.0,28.0,16.0,6.0,1.0,10.0,3.0,4.0,12.0,13.0,4.0,19.0,1.0,15.0,2.0,21.0,1.0,9.0,9.0,1.0,10.0,5.0,11.0,8.0,12.0,4.0,3.0,3.0,3.0,2.0,3.0,2.0,8.0,4.0,1.0,3.0,6.0,10.0,5.0,3.0,1.0,3.0,2.0,2.0,1.0,1.0,1.0,4.0,2.0,7.0,1.0,1.0,3.0,2.0,1.0,1.0,7.0,1.0,3.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1060373889059148,0.06481765246705486,0.055776892430278883,0.09224639901930738,0.12810297272448667,0.018387986515476556,0.02390438247011952,0.0430585350904076,0.00597609561752988,0.04872816426601287,0.05761569108182654,0.04183266932270916,0.09500459699662887,0.06726938400245173,0.02421084891204413,0.02283174992338339,0.016395954642966594,0.020992951271835734,0.013944223107569721,0.007048728164266013,0.010726325467361323,0.02221881703953417,0.00398406374501992,0.00030646644192460924,0.00015323322096230462,0.0,1697,3.8456098998232173,28.844827586206897,966.991572172847
Joshua,4.0,2.0,0.0,20.0,12.0,0.0,0.0,0.0,1.0,1.0,4.0,5.0,0.0,0.0,3.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,5.0,2.0,1.0,0.0,1.0,0.0,1.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,2.0,0.0,1.0,0.0,0.0,1.0,2.0,5.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07268170426065163,0.05388471177944862,0.05388471177944862,0.08270676691729323,0.13784461152882205,0.018796992481203006,0.018796992481203006,0.07769423558897243,0.008771929824561403,0.05889724310776942,0.05263157894736842,0.042606516290726815,0.08897243107769423,0.07894736842105263,0.02756892230576441,0.006265664160401002,0.021303258145363407,0.02756892230576441,0.017543859649122806,0.007518796992481203,0.013784461152882205,0.021303258145363407,0.007518796992481203,0.0,0.0,0.0,199,4.010050251256281,33.166666666666664,113.99749373433583
Samuel,62.0,5.0,1.0,64.0,27.0,6.0,4.0,0.0,1.0,2.0,0.0,4.0,2.0,0.0,1.0,0.0,0.0,6.0,2.0,0.0,4.0,0.0,9.0,5.0,1.0,0.0,3.0,0.0,3.0,0.0,9.0,1.0,9.0,0.0,2.0,0.0,1.0,0.0,0.0,9.0,0.0,3.0,4.0,5.0,0.0,4.0,0.0,0.0,0.0,1.0,3.0,1.0,1.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,5.0,0.0,1.0,8.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,2.0,1.0,1.0,1.0,5.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09133589415279555,0.07639778062313274,0.07042253521126761,0.08621425522833974,0.13358941527955612,0.010670081092616303,0.02774221084080239,0.050789586000853607,0.004694835680751174,0.05377720870678617,0.0499359795134443,0.03841229193341869,0.10840802390098164,0.0678617157490397,0.01792573623559539,0.017072129748186088,0.010670081092616303,0.021340162185232606,0.012804097311139564,0.00597524541186513,0.015364916773367477,0.022193768672641914,0.0017072129748186087,0.0,0.002134016218523261,0.0,566,4.139575971731449,37.6,312.9974391805378
Unknown,21.0,7.0,6.0,8.0,3.0,0.0,2.0,1.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,7.0,0.0,2.0,0.0,0.0,8.0,1.0,1.0,0.0,3.0,0.0,1.0,1.0,6.0,0.0,3.0,1.0,0.0,0.0,5.0,0.0,0.0,4.0,0.0,0.0,1.0,6.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11994949494949494,0.09090909090909091,0.056818181818181816,0.0845959595959596,0.11616161616161616,0.015151515151515152,0.02904040404040404,0.036616161616161616,0.008838383838383838,0.06060606060606061,0.03787878787878788,0.023989898989898988,0.10606060606060606,0.06691919191919192,0.007575757575757576,0.022727272727272728,0.017676767676767676,0.03156565656565657,0.021464646464646464,0.011363636363636364,0.007575757575757576,0.01893939393939394,0.005050505050505051,0.0,0.0,0.0012626262626262627,214,3.7009345794392523,35.666666666666664,122.99873737373737
Unknown,14.0,1.0,3.0,5.0,4.0,1.0,2.0,3.0,3.0,2.0,2.0,2.0,0.0,1.0,2.0,9.0,0.0,6.0,2.0,9.0,0.0,0.0,7.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,5.0,1.0,4.0,1.0,0.0,1.0,7.0,0.0,3.0,1.0,0.0,2.0,0.0,1.0,5.0,6.0,0.0,1.0,11.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08563782337198929,0.0767172167707404,0.056199821587867974,0.08920606601248884,0.11864406779661017,0.016057091882247992,0.01694915254237288,0.045495093666369314,0.014272970561998216,0.060660124888492414,0.06779661016949153,0.029438001784121322,0.11150758251561106,0.07493309545049064,0.01873327386262266,0.01159678858162355,0.01873327386262266,0.01159678858162355,0.024977698483496878,0.01159678858162355,0.010704727921498661,0.025869759143621766,0.0026761819803746653,0.0,0.0,0.0,272,4.1213235294117645,33.875,153.00000000000003
Unknown,16.0,2.0,2.0,11.0,8.0,1.0,7.0,1.0,7.0,0.0,0.0,2.0,2.0,0.0,5.0,4.0,1.0,11.0,1.0,2.0,0.0,2.0,3.0,8.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,4.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09273182957393483,0.07518796992481203,0.07017543859649122,0.08771929824561403,0.12406015037593984,0.015037593984962405,0.03383458646616541,0.043859649122807015,0.0012531328320802004,0.06641604010025062,0.06140350877192982,0.03508771929824561,0.09398496240601503,0.07393483709273183,0.021303258145363407,0.011278195488721804,0.016290726817042606,0.02506265664160401,0.016290726817042606,0.006265664160401002,0.005012531328320802,0.018796992481203006,0.0,0.002506265664160401,0.002506265664160401,0.0,232,3.439655172413793,33.142857142857146,147.99999999999997
Ezra,37.0,0.0,0.0,44.0,64.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,21.0,0.0,5.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,31.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,30.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.065439672801636,0.053169734151329244,0.028629856850715747,0.09815950920245399,0.1165644171779141,0.011758691206543968,0.02147239263803681,0.07413087934560328,0.004601226993865031,0.06901840490797546,0.06646216768916155,0.020961145194274028,0.09764826175869121,0.0705521472392638,0.03987730061349693,0.0541922290388548,0.006134969325153374,0.02147239263803681,0.010736196319018405,0.005623721881390593,0.002044989775051125,0.05368098159509203,0.005112474437627812,0.0,0.002556237218813906,0.0,460,4.252173913043478,23.0,278.00000000000006
Nehemiah,3.0,0.0,5.0,18.0,10.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10401891252955082,0.07092198581560284,0.02364066193853428,0.10638297872340426,0.12293144208037825,0.009456264775413711,0.02364066193853428,0.07092198581560284,0.002364066193853428,0.07565011820330969,0.04491725768321513,0.018912529550827423,0.08983451536643026,0.07565011820330969,0.04018912529550828,0.01182033096926714,0.004728132387706856,0.01182033096926714,0.014184397163120567,0.0070921985815602835,0.026004728132387706,0.030732860520094562,0.002364066193853428,0.0,0.0070921985815602835,0.0,100,4.23,24.75,48.99527186761229
Mordecai,4.0,0.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12903225806451613,0.09032258064516129,0.04516129032258064,0.1032258064516129,0.11612903225806452,0.03870967741935484,0.05161290322580645,0.05161290322580645,0.012903225806451613,0.07096774193548387,0.08387096774193549,0.0,0.07741935483870968,0.01935483870967742,0.01935483870967742,0.0,0.0,0.025806451612903226,0.012903225806451613,0.0064516129032258064,0.012903225806451613,0.012903225806451613,0.0,0.0064516129032258064,0.0,0.0,35,4.428571428571429,34.0,16.987096774193546
Unknown,4.0,0.0,0.0,6.0,4.0,1.0,0.0,4.0,5.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,2.0,0.0,0.0,1.0,1.0,3.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,1.0,2.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,4.0,3.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0644122383252818,0.07568438003220612,0.04508856682769726,0.0499194847020934,0.14009661835748793,0.014492753623188406,0.0322061191626409,0.0821256038647343,0.00322061191626409,0.0821256038647343,0.04669887278582931,0.020933977455716585,0.0821256038647343,0.07890499194847021,0.02254428341384863,0.00966183574879227,0.03542673107890499,0.017713365539452495,0.02254428341384863,0.01288244766505636,0.017713365539452495,0.033816425120772944,0.0,0.0,0.0,0.00322061191626409,160,3.88125,15.8,93.99355877616745
