Author,say,unto,for,it,is,by,that,are,and,wherefore,if,these,have,be,the,of,because,all,no,man,according,to,they,shall,in,his,then,also,as,there,had,been,but,my,ye,your,not,him,among,again,would,how,what,he,must,without,god,yea,their,now,said,many,therefore,do,which,we,our,cometh,wherein,when,will,out,lord,hath,from,more,should,with,upon,whatsoever,may,those,who,lest,like,them,one,forth,thou,thy,much,thee,me,were,thyself,hast,thus,shalt,thine,an,into,was,such,or,than,every,thereby,whosoever,yet,could,moreover,other,whereby,ever,becometh,throughout,henceforth,neither,some,wheresoever,notwithstanding,whom,where,therewith,soever,doeth,oft,wherewithal,became,wherewith,ought,whose,did,thence,outward,verily,abundance,didst,himself,whither,let,whoso,seest,each,whereof,once,thereof,make,thereon,upward,whence,seemeth,inasmuch,shouldst,her,therein,upwards,whereon,being,till,hence,anything,m_percentage_use,o_percentage_use,r_percentage_use,b_percentage_use,e_percentage_use,h_percentage_use,l_percentage_use,d_percentage_use,i_percentage_use,s_percentage_use,a_percentage_use,y_percentage_use,u_percentage_use,n_percentage_use,t_percentage_use,f_percentage_use,c_percentage_use,w_percentage_use,g_percentage_use,p_percentage_use,v_percentage_use,j_percentage_use,k_percentage_use,x_percentage_use,â_percentage_use,z_percentage_use,q_percentage_use,Total_Word_Count,AVG_Letter_Per_Word,AVG_Word_Per_Verse,Total_Function_Word_Count
moroni,3.0,8.0,8.0,5.0,7.0,2.0,7.0,3.0,11.0,3.0,4.0,2.0,10.0,6.0,7.0,11.0,3.0,1.0,2.0,3.0,2.0,4.0,2.0,5.0,4.0,3.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,7.0,2.0,4.0,2.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025570776255707764,0.08584474885844749,0.052054794520547946,0.021917808219178082,0.12420091324200913,0.08493150684931507,0.0273972602739726,0.031050228310502283,0.062100456621004566,0.048401826484018265,0.09041095890410959,0.023744292237442923,0.029223744292237442,0.06484018264840183,0.08401826484018265,0.03744292237442922,0.021917808219178082,0.011872146118721462,0.0136986301369863,0.0136986301369863,0.015525114155251141,0.0018264840182648401,0.0027397260273972603,0.0,0.0,0.0,0,277,3.953068592057762,39.285714285714285,163.97442922374427
mormon,9.0,26.0,34.0,7.0,15.0,3.0,48.0,4.0,107.0,0.0,5.0,3.0,13.0,21.0,123.0,74.0,3.0,11.0,10.0,7.0,2.0,40.0,12.0,21.0,22.0,21.0,2.0,7.0,8.0,2.0,2.0,2.0,7.0,5.0,26.0,7.0,16.0,8.0,3.0,1.0,1.0,1.0,0.0,29.0,0.0,0.0,23.0,6.0,9.0,7.0,4.0,4.0,4.0,5.0,12.0,1.0,1.0,6.0,1.0,4.0,6.0,5.0,23.0,14.0,11.0,7.0,6.0,8.0,5.0,1.0,7.0,3.0,9.0,1.0,1.0,11.0,1.0,2.0,16.0,15.0,1.0,11.0,4.0,4.0,2.0,2.0,3.0,5.0,1.0,2.0,2.0,2.0,2.0,3.0,1.0,3.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03192142418661756,0.08483732351135666,0.04751381215469613,0.014855739717618171,0.11896869244935543,0.08753836709637815,0.0423572744014733,0.045303867403314914,0.054757519950890114,0.0521792510742787,0.0798035604665439,0.0238182934315531,0.023695518723143034,0.06322897483118478,0.09576427255985268,0.02430939226519337,0.021485573971761818,0.014732965009208104,0.01632903621853898,0.014487415592387969,0.010190300798035604,0.0022099447513812156,0.0038060159607120935,0.0012277470841006752,0.00012277470841006753,0.0,0,1946,4.185508735868448,40.520833333333336,1070.9754450583182
abinadom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
nephi,1.0,4.0,8.0,3.0,11.0,0.0,6.0,4.0,25.0,0.0,0.0,0.0,3.0,3.0,39.0,20.0,0.0,3.0,2.0,0.0,1.0,4.0,5.0,8.0,7.0,12.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,3.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,4.0,2.0,6.0,2.0,2.0,0.0,0.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01529535864978903,0.06962025316455696,0.056962025316455694,0.012130801687763712,0.13027426160337552,0.08227848101265822,0.044831223628691984,0.04535864978902954,0.05907172995780591,0.056962025316455694,0.06540084388185655,0.013185654008438819,0.023734177215189875,0.07225738396624473,0.09071729957805907,0.026371308016877638,0.01529535864978903,0.014240506329113924,0.011075949367088608,0.015822784810126583,0.010021097046413503,0.004746835443037975,0.004746835443037975,0.0,0.0005274261603375527,0.0010548523206751054,0,462,4.103896103896104,28.875,241.94198312236284
amaleki,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
amaron,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
chemish,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
enos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
jacob,0.0,2.0,3.0,0.0,2.0,0.0,4.0,2.0,9.0,0.0,0.0,0.0,3.0,0.0,5.0,9.0,3.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018315018315018316,0.08791208791208792,0.06043956043956044,0.027472527472527472,0.11355311355311355,0.06776556776556776,0.03296703296703297,0.04945054945054945,0.045787545787545784,0.05311355311355311,0.08608058608058608,0.038461538461538464,0.045787545787545784,0.0695970695970696,0.07326007326007326,0.029304029304029304,0.029304029304029304,0.01098901098901099,0.007326007326007326,0.023809523809523808,0.009157509157509158,0.003663003663003663,0.0018315018315018315,0.0,0.0,0.0,0,127,4.299212598425197,63.5,69.98534798534797
jarom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
