Author,and,the,of,out,unto,to,with,him,when,they,it,were,because,he,had,in,which,ought,not,be,them,my,for,your,her,make,ye,our,shall,therein,said,let,me,what,say,will,much,according,as,but,his,their,we,do,one,that,is,if,every,then,man,was,more,than,all,these,are,therefore,among,each,upon,have,being,should,an,god,there,thee,thou,from,thy,who,by,did,again,where,thereon,shalt,also,now,lord,neither,into,would,thine,hath,therewith,wherefore,how,hast,may,whose,thereof,thus,without,yet,other,forth,whom,no,or,must,lest,many,yea,wherein,like,such,been,thence,whosoever,some,cometh,seemeth,could,himself,thyself,didst,inasmuch,downward,abundance,whereto,seest,whereof,whatsoever,once,thereby,shouldest,outward,hence,howsoever,throughout,becometh,whereby,henceforth,till,thereupon,doeth,thereunto,ever,became,moreover,wherewith,oft,oftentimes,whither,underneath,whereunto,whence,those,whensoever,wherewithal,hereof,notwithstanding,verily,whereon,soever,forthwith,therefrom,wheresoever,whoso,upward,a_percentage_use,n_percentage_use,d_percentage_use,h_percentage_use,m_percentage_use,o_percentage_use,r_percentage_use,t_percentage_use,e_percentage_use,f_percentage_use,s_percentage_use,c_percentage_use,w_percentage_use,u_percentage_use,j_percentage_use,b_percentage_use,i_percentage_use,l_percentage_use,y_percentage_use,g_percentage_use,v_percentage_use,p_percentage_use,k_percentage_use,x_percentage_use,z_percentage_use,q_percentage_use,Total_Word_Count,AVG_Letter_Per_Word,AVG_Word_Per_Verse,Total_Function_Word_Count
Moses,138.0,74.0,51.0,8.0,33.0,29.0,20.0,15.0,7.0,16.0,9.0,12.0,5.0,14.0,5.0,22.0,12.0,1.0,8.0,16.0,8.0,3.0,7.0,5.0,6.0,4.0,8.0,6.0,11.0,3.0,10.0,6.0,11.0,1.0,2.0,16.0,1.0,1.0,5.0,7.0,19.0,17.0,9.0,2.0,3.0,20.0,9.0,3.0,4.0,3.0,2.0,15.0,2.0,1.0,11.0,3.0,5.0,1.0,4.0,1.0,4.0,2.0,2.0,1.0,6.0,11.0,6.0,4.0,2.0,4.0,6.0,2.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10115761353517365,0.0717720391807658,0.057168299198575245,0.08156723063223509,0.025111308993766696,0.0653606411398041,0.046838824577025824,0.08317008014247551,0.12555654496883348,0.01798753339269813,0.05253784505788068,0.025823686553873553,0.024933214603739984,0.03241317898486198,0.006055209260908282,0.019768477292965273,0.05734639358860196,0.043098842386464824,0.017097061442564558,0.0163846838824577,0.0065894924309884235,0.010863757791629564,0.004452359750667854,0.00017809439002671417,0.0010685663401602849,0.0,1411,3.9794472005669737,24.103448275862068,813.9943009795189
Joshua,17.0,34.0,11.0,1.0,3.0,2.0,6.0,2.0,3.0,1.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,3.0,0.0,7.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08639308855291576,0.06695464362850972,0.04319654427645788,0.08423326133909287,0.028077753779697623,0.0755939524838013,0.052915766738660906,0.1079913606911447,0.1306695464362851,0.02159827213822894,0.06587473002159827,0.014038876889848811,0.019438444924406047,0.029157667386609073,0.0032397408207343412,0.012958963282937365,0.03347732181425486,0.04535637149028078,0.01511879049676026,0.008639308855291577,0.008639308855291577,0.03347732181425486,0.009719222462203024,0.0,0.0,0.0,231,4.008658008658009,38.333333333333336,120.99676025917928
Samuel,41.0,29.0,19.0,4.0,6.0,5.0,4.0,4.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,8.0,3.0,0.0,2.0,3.0,4.0,6.0,4.0,2.0,0.0,0.0,7.0,0.0,0.0,0.0,5.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,8.0,2.0,0.0,0.0,1.0,4.0,1.0,6.0,0.0,6.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,3.0,7.0,0.0,2.0,1.0,2.0,1.0,0.0,2.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07591153616258219,0.07352062163777645,0.05260011954572624,0.08069336521219367,0.03945008965929468,0.07411835026897788,0.05439330543933055,0.0812910938433951,0.1488344291691572,0.02749551703526599,0.04423191870890616,0.02510460251046025,0.012552301255230125,0.030484160191273164,0.0035863717872086074,0.023909145248057383,0.05977286312014345,0.03586371787208607,0.019127316198445904,0.011356843992827256,0.014943215780035863,0.005977286312014346,0.002988643156007173,0.0,0.0,0.0,410,4.080487804878048,27.266666666666666,228.99820681410637
Unknown,20.0,19.0,12.0,1.0,2.0,4.0,0.0,7.0,2.0,6.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,7.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08977272727272727,0.0659090909090909,0.06931818181818182,0.12386363636363637,0.028409090909090908,0.08181818181818182,0.03295454545454545,0.09204545454545454,0.11363636363636363,0.020454545454545454,0.05,0.011363636363636364,0.017045454545454544,0.022727272727272728,0.0,0.028409090909090908,0.0625,0.028409090909090908,0.019318181818181818,0.020454545454545454,0.010227272727272727,0.0022727272727272726,0.006818181818181818,0.0,0.0011363636363636363,0.0,219,4.018264840182648,36.5,117.99886363636361
Unknown,5.0,15.0,14.0,0.0,1.0,7.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,9.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13043478260869565,0.07763975155279502,0.040372670807453416,0.11024844720496894,0.024844720496894408,0.09006211180124224,0.04192546583850932,0.07763975155279502,0.10093167701863354,0.026397515527950312,0.055900621118012424,0.015527950310559006,0.017080745341614908,0.010869565217391304,0.006211180124223602,0.027950310559006212,0.06832298136645963,0.034161490683229816,0.003105590062111801,0.015527950310559006,0.0015527950310559005,0.015527950310559006,0.003105590062111801,0.0,0.004658385093167702,0.0,147,4.380952380952381,18.375,78.0
Unknown,22.0,14.0,11.0,1.0,3.0,10.0,2.0,3.0,3.0,0.0,2.0,0.0,0.0,7.0,3.0,4.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,3.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,3.0,3.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10992217898832685,0.07587548638132295,0.04377431906614786,0.09046692607003891,0.02821011673151751,0.07295719844357977,0.05252918287937743,0.09922178988326848,0.1264591439688716,0.013618677042801557,0.06712062256809338,0.01848249027237354,0.02237354085603113,0.01556420233463035,0.0009727626459143969,0.007782101167315175,0.054474708171206226,0.03988326848249027,0.014591439688715954,0.016536964980544747,0.008754863813229572,0.009727626459143969,0.008754863813229572,0.0,0.0,0.0009727626459143969,270,3.8074074074074074,38.57142857142857,151.99902723735414
Ezra,57.0,8.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1796218487394958,0.10189075630252101,0.07457983193277311,0.09138655462184873,0.028361344537815126,0.0430672268907563,0.03676470588235294,0.04831932773109244,0.0976890756302521,0.01365546218487395,0.05672268907563025,0.01050420168067227,0.011554621848739496,0.007352941176470588,0.012605042016806723,0.032563025210084036,0.06932773109243698,0.03361344537815126,0.0010504201680672268,0.014705882352941176,0.0021008403361344537,0.0063025210084033615,0.0063025210084033615,0.0,0.01680672268907563,0.0,211,4.511848341232228,10.5,95.99684873949582
Nehemiah,11.0,9.0,3.0,0.0,2.0,6.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11682242990654206,0.0630841121495327,0.056074766355140186,0.07710280373831775,0.028037383177570093,0.06775700934579439,0.04906542056074766,0.11682242990654206,0.13317757009345793,0.016355140186915886,0.04906542056074766,0.014018691588785047,0.028037383177570093,0.02336448598130841,0.007009345794392523,0.02102803738317757,0.035046728971962614,0.04205607476635514,0.009345794392523364,0.018691588785046728,0.004672897196261682,0.018691588785046728,0.002336448598130841,0.0,0.0,0.0,103,4.155339805825243,25.75,58.99766355140187
Mordecai,2.0,4.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0958904109589041,0.04794520547945205,0.0547945205479452,0.10273972602739725,0.02054794520547945,0.04794520547945205,0.0410958904109589,0.0821917808219178,0.136986301369863,0.02054794520547945,0.0684931506849315,0.0273972602739726,0.02054794520547945,0.0273972602739726,0.0,0.0,0.0684931506849315,0.0547945205479452,0.0136986301369863,0.00684931506849315,0.00684931506849315,0.02054794520547945,0.0136986301369863,0.0,0.0,0.00684931506849315,35,4.171428571428572,34.0,19.986301369863007
Unknown,6.0,10.0,4.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,6.0,0.0,0.0,5.0,0.0,2.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,7.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07317073170731707,0.055284552845528454,0.032520325203252036,0.10894308943089431,0.008130081300813009,0.07479674796747968,0.05365853658536585,0.0991869918699187,0.12357723577235773,0.024390243902439025,0.07479674796747968,0.016260162601626018,0.027642276422764227,0.024390243902439025,0.0016260162601626016,0.01951219512195122,0.05853658536585366,0.055284552845528454,0.014634146341463415,0.01788617886178862,0.0032520325203252032,0.024390243902439025,0.0,0.0,0.0,0.0,160,3.84375,15.8,87.99186991869922
