Author,but,of,the,which,is,in,god,hath,said,ye,shall,not,it,neither,lest,and,unto,for,that,thereof,then,your,be,as,when,was,to,make,one,did,also,her,with,he,them,were,they,lord,his,from,him,where,thou,thy,because,who,thee,hast,whereof,shouldest,man,whom,me,what,all,every,upon,shalt,will,forth,till,out,now,ever,therefore,whence,have,again,an,had,if,my,henceforth,than,whosoever,should,other,such,there,their,do,according,or,therein,into,among,could,thence,we,let,would,became,yet,by,wherefore,our,thine,say,didst,thus,these,are,those,himself,yea,how,many,more,no,without,cometh,like,moreover,whose,thyself,may,much,wherein,been,being,once,each,inasmuch,downward,abundance,whereto,seest,therewith,whatsoever,thereby,outward,hence,howsoever,becometh,throughout,whereby,thereon,must,thereupon,doeth,thereunto,wherewith,oft,oftentimes,whither,underneath,whereunto,whensoever,wherewithal,seemeth,hereof,notwithstanding,verily,whereon,soever,forthwith,some,therefrom,wheresoever,whoso,upward,ought,b_percentage_use,u_percentage_use,t_percentage_use,o_percentage_use,f_percentage_use,h_percentage_use,e_percentage_use,r_percentage_use,i_percentage_use,w_percentage_use,c_percentage_use,s_percentage_use,n_percentage_use,m_percentage_use,d_percentage_use,g_percentage_use,a_percentage_use,y_percentage_use,l_percentage_use,p_percentage_use,k_percentage_use,v_percentage_use,j_percentage_use,z_percentage_use,x_percentage_use,q_percentage_use,Total_Word_Count,AVG_Letter_Per_Word,AVG_Word_Per_Verse,Total_Function_Word_Count
Moses,3.0,63.0,106.0,4.0,8.0,19.0,13.0,3.0,21.0,7.0,17.0,9.0,12.0,1.0,3.0,146.0,26.0,8.0,13.0,3.0,2.0,1.0,12.0,5.0,4.0,16.0,21.0,2.0,4.0,5.0,7.0,5.0,3.0,26.0,4.0,7.0,6.0,18.0,24.0,10.0,11.0,2.0,31.0,19.0,4.0,1.0,8.0,7.0,1.0,1.0,7.0,2.0,8.0,2.0,7.0,4.0,3.0,12.0,2.0,4.0,2.0,4.0,2.0,1.0,2.0,1.0,3.0,2.0,4.0,3.0,3.0,6.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016177777777777777,0.025244444444444444,0.09333333333333334,0.06844444444444445,0.02666666666666667,0.08266666666666667,0.1303111111111111,0.044444444444444446,0.050133333333333335,0.01831111111111111,0.018666666666666668,0.0528,0.07768888888888889,0.021155555555555556,0.0688,0.015822222222222224,0.104,0.015644444444444443,0.040355555555555554,0.006222222222222222,0.006044444444444444,0.010311111111111111,0.0007111111111111111,0.0005333333333333334,0.0,0.0,1469,3.8291354663036077,25.24137931034483,846.9944888888892
Joshua,1.0,5.0,14.0,2.0,2.0,1.0,2.0,0.0,0.0,1.0,2.0,4.0,2.0,1.0,0.0,8.0,0.0,3.0,4.0,0.0,3.0,1.0,4.0,0.0,0.0,0.0,12.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,10.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012285012285012284,0.033169533169533166,0.12162162162162163,0.10687960687960688,0.0171990171990172,0.08845208845208845,0.10933660933660934,0.052825552825552825,0.042997542997543,0.012285012285012284,0.019656019656019656,0.07002457002457002,0.05036855036855037,0.02334152334152334,0.044226044226044224,0.025798525798525797,0.07616707616707617,0.02457002457002457,0.02702702702702703,0.019656019656019656,0.0036855036855036856,0.013513513513513514,0.0036855036855036856,0.0,0.0,0.0,188,4.329787234042553,31.333333333333332,109.9987714987715
Samuel,6.0,25.0,54.0,2.0,1.0,6.0,0.0,0.0,2.0,0.0,0.0,3.0,2.0,3.0,0.0,33.0,4.0,0.0,5.0,5.0,0.0,0.0,0.0,1.0,2.0,5.0,3.0,0.0,0.0,5.0,2.0,5.0,9.0,3.0,5.0,0.0,9.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019417475728155338,0.02741290691033695,0.125642490005711,0.06167904054825814,0.019417475728155338,0.09137635636778983,0.12906910336950314,0.03769274700171331,0.06225014277555682,0.026841804683038265,0.021701884637350087,0.047972587093089665,0.08338092518560822,0.020559680182752713,0.052541404911479156,0.006853226727584237,0.08966304968589378,0.015419760137064534,0.03198172472872644,0.00799543118218161,0.0034266133637921186,0.005139920045688178,0.0074243289548829245,0.003997715591090805,0.0005711022272986865,0.0,410,4.270731707317073,27.333333333333332,239.99942889777262
Unknown,0.0,2.0,7.0,0.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,18.0,4.0,5.0,5.0,0.0,1.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,2.0,2.0,2.0,2.0,4.0,0.0,5.0,0.0,1.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011513157894736841,0.03289473684210526,0.07730263157894737,0.07236842105263158,0.019736842105263157,0.08223684210526316,0.1299342105263158,0.04111842105263158,0.05756578947368421,0.029605263157894735,0.014802631578947368,0.054276315789473686,0.08223684210526316,0.039473684210526314,0.06085526315789474,0.004934210526315789,0.10197368421052631,0.013157894736842105,0.04276315789473684,0.013157894736842105,0.008223684210526315,0.006578947368421052,0.001644736842105263,0.0,0.0,0.0,167,3.6407185628742513,27.833333333333332,104.99835526315786
Unknown,1.0,5.0,17.0,1.0,1.0,3.0,0.0,0.0,1.0,0.0,2.0,4.0,1.0,0.0,0.0,20.0,7.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,5.0,3.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018867924528301886,0.022197558268590455,0.09988901220865705,0.08102108768035517,0.014428412874583796,0.0932297447280799,0.10987791342952276,0.03440621531631521,0.05993340732519423,0.018867924528301886,0.011098779134295227,0.049944506104328525,0.097669256381798,0.0244173140954495,0.05438401775804662,0.025527192008879023,0.08657047724750278,0.018867924528301886,0.038845726970033294,0.006659267480577136,0.014428412874583796,0.006659267480577136,0.004439511653718091,0.0011098779134295228,0.0011098779134295228,0.0,213,4.230046948356808,26.375,113.99445061043286
Unknown,0.0,15.0,12.0,0.0,1.0,2.0,6.0,2.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,30.0,6.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,5.0,8.0,1.0,0.0,1.0,0.0,7.0,5.0,10.0,0.0,1.0,5.0,0.0,0.0,3.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010456273764258554,0.019961977186311788,0.08840304182509506,0.0655893536121673,0.060836501901140684,0.0817490494296578,0.10931558935361217,0.03231939163498099,0.08840304182509506,0.019961977186311788,0.019961977186311788,0.04277566539923954,0.08745247148288973,0.03517110266159696,0.05798479087452472,0.015209125475285171,0.0903041825095057,0.022813688212927757,0.02091254752851711,0.013307984790874524,0.005703422053231939,0.005703422053231939,0.0038022813688212928,0.0,0.0,0.0009505703422053232,278,3.7841726618705036,39.714285714285715,163.9990494296578
Ezra,0.0,16.0,17.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02666666666666667,0.014358974358974359,0.0441025641025641,0.059487179487179485,0.017435897435897435,0.09025641025641026,0.09743589743589744,0.038974358974358976,0.0441025641025641,0.003076923076923077,0.006153846153846154,0.0758974358974359,0.10461538461538461,0.038974358974358976,0.07076923076923076,0.005128205128205128,0.18153846153846154,0.0,0.031794871794871796,0.010256410256410256,0.012307692307692308,0.0010256410256410256,0.0071794871794871795,0.012307692307692308,0.0010256410256410256,0.0,228,4.276315789473684,11.3,100.99487179487177
Nehemiah,0.0,5.0,10.0,3.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,9.0,0.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,3.0,4.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014539579967689823,0.012924071082390954,0.10823909531502424,0.0630048465266559,0.017770597738287562,0.0840064620355412,0.1470113085621971,0.05654281098546042,0.046849757673667204,0.014539579967689823,0.025848142164781908,0.06462035541195477,0.07754442649434572,0.033925686591276254,0.045234248788368334,0.01615508885298869,0.0840064620355412,0.025848142164781908,0.01938610662358643,0.009693053311793215,0.0032310177705977385,0.022617124394184167,0.0016155088852988692,0.0,0.0,0.0,138,4.4855072463768115,34.25,70.9951534733441
Mordecai,0.0,1.0,3.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.034482758620689655,0.09195402298850575,0.05747126436781609,0.011494252873563218,0.14942528735632185,0.09195402298850575,0.022988505747126436,0.06896551724137931,0.034482758620689655,0.022988505747126436,0.10344827586206896,0.09195402298850575,0.011494252873563218,0.022988505747126436,0.022988505747126436,0.10344827586206896,0.011494252873563218,0.011494252873563218,0.011494252873563218,0.022988505747126436,0.0,0.0,0.0,0.0,0.0,21,4.142857142857143,21.0,13.0
Unknown,1.0,5.0,22.0,0.0,2.0,3.0,1.0,3.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,34.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,4.0,5.0,0.0,0.0,0.0,3.0,0.0,2.0,6.0,5.0,3.0,2.0,2.0,4.0,3.0,0.0,0.0,0.0,4.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0,0.0,1.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00914380714879468,0.0199501246882793,0.08728179551122195,0.060681629260182876,0.017456359102244388,0.08395677472984206,0.14962593516209477,0.04488778054862843,0.04239401496259352,0.023275145469659187,0.014962593516209476,0.059850374064837904,0.08811305070656691,0.020781379883624274,0.06483790523690773,0.014962593516209476,0.10141313383208644,0.01662510390689942,0.04405652535328346,0.017456359102244388,0.004987531172069825,0.005818786367414797,0.0016625103906899418,0.0,0.0008312551953449709,0.0,298,4.0369127516778525,29.6,164.995012468828
