Author,and,they,had,did,them,in,their,unto,have,like,because,of,the,do,it,for,my,how,that,are,without,were,but,whose,is,much,we,god,will,his,out,from,thy,again,there,many,who,which,not,to,by,then,shall,ye,forth,verily,say,one,me,according,as,thus,be,no,among,been,neither,he,hath,with,such,should,all,whoso,also,him,must,or,these,upon,more,than,cometh,when,therefore,if,whom,your,may,yea,into,wherewith,let,said,thou,shalt,whosoever,thine,lest,thee,thence,hast,her,ever,now,would,wherefore,lord,those,whence,himself,wheresoever,notwithstanding,yet,throughout,could,where,therewith,soever,doeth,oft,wherewithal,became,man,whatsoever,ought,every,henceforth,outward,some,wherein,abundance,didst,whither,thereby,whereby,seest,our,each,whereof,once,thereof,thyself,make,thereon,upward,what,seemeth,inasmuch,becometh,shouldst,was,therein,upwards,whereon,being,till,other,an,hence,anything,moreover,m_percentage_use,o_percentage_use,r_percentage_use,a_percentage_use,n_percentage_use,d_percentage_use,f_percentage_use,t_percentage_use,e_percentage_use,h_percentage_use,y_percentage_use,i_percentage_use,s_percentage_use,g_percentage_use,u_percentage_use,c_percentage_use,l_percentage_use,b_percentage_use,v_percentage_use,k_percentage_use,w_percentage_use,p_percentage_use,z_percentage_use,â_percentage_use,x_percentage_use,j_percentage_use,q_percentage_use,Total_Word_Count,AVG_Letter_Per_Word,AVG_Word_Per_Verse,Total_Function_Word_Count
moroni,15.0,7.0,1.0,2.0,2.0,5.0,5.0,3.0,2.0,3.0,1.0,5.0,5.0,2.0,1.0,2.0,4.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033783783783783786,0.08671171171171171,0.05630630630630631,0.08896396396396396,0.06981981981981981,0.05630630630630631,0.019144144144144143,0.0777027027027027,0.10923423423423423,0.0686936936936937,0.028153153153153154,0.06644144144144144,0.0472972972972973,0.012387387387387387,0.018018018018018018,0.019144144144144143,0.0259009009009009,0.013513513513513514,0.01126126126126126,0.00563063063063063,0.0259009009009009,0.01463963963963964,0.0033783783783783786,0.0022522522522522522,0.0011261261261261261,0.0022522522522522522,0.0,211,4.208530805687204,30.285714285714285,96.96396396396399
mormon,93.0,17.0,0.0,0.0,6.0,31.0,1.0,33.0,13.0,0.0,1.0,42.0,75.0,2.0,9.0,22.0,17.0,0.0,28.0,21.0,0.0,1.0,10.0,0.0,20.0,0.0,0.0,5.0,7.0,4.0,3.0,3.0,4.0,5.0,4.0,0.0,9.0,3.0,12.0,18.0,3.0,2.0,44.0,28.0,2.0,19.0,18.0,8.0,23.0,1.0,5.0,2.0,30.0,3.0,3.0,4.0,1.0,5.0,7.0,17.0,2.0,1.0,9.0,5.0,2.0,4.0,2.0,5.0,2.0,5.0,2.0,1.0,1.0,2.0,5.0,4.0,1.0,8.0,2.0,2.0,3.0,1.0,1.0,1.0,7.0,4.0,5.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024238343713179598,0.07120013465746507,0.05032822757111598,0.07557650227234472,0.0686753071873422,0.03921898670257532,0.0215451944117152,0.09038882343039892,0.13129102844638948,0.07355664029624642,0.0309712169668406,0.057397744487460024,0.04679346911294395,0.011950850025248275,0.024238343713179598,0.0161588958087864,0.0464568254502609,0.019861976098299948,0.012960781013297425,0.003871402120855075,0.0141390338326881,0.009930988049149974,0.001851540144756775,0.00033664366268305,0.00033664366268305,0.0006732873253661,0.000168321831341525,1528,3.888089005235602,31.8125,838.9441171519946
abinadom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
nephi,46.0,22.0,0.0,0.0,5.0,6.0,8.0,18.0,8.0,0.0,1.0,34.0,57.0,1.0,3.0,16.0,5.0,0.0,20.0,12.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,6.0,6.0,4.0,0.0,4.0,0.0,4.0,1.0,2.0,3.0,9.0,4.0,11.0,9.0,0.0,16.0,8.0,0.0,0.0,0.0,4.0,4.0,2.0,1.0,1.0,13.0,0.0,0.0,5.0,0.0,7.0,0.0,2.0,0.0,5.0,5.0,0.0,1.0,6.0,0.0,1.0,4.0,1.0,0.0,0.0,2.0,4.0,0.0,1.0,3.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,2.0,5.0,10.0,1.0,1.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02192192192192192,0.07807807807807808,0.05225225225225225,0.07297297297297298,0.07057057057057058,0.043243243243243246,0.027327327327327327,0.08498498498498498,0.13783783783783785,0.08798798798798799,0.024924924924924926,0.051351351351351354,0.05045045045045045,0.016216216216216217,0.02072072072072072,0.02042042042042042,0.044444444444444446,0.015915915915915915,0.009009009009009009,0.007207207207207207,0.021021021021021023,0.010810810810810811,0.0006006006006006006,0.0003003003003003003,0.0009009009009009009,0.0015015015015015015,0.0003003003003003003,799,4.167709637046308,49.9375,461.97327327327315
amaleki,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
amaron,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
chemish,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
enos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
jacob,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02127659574468085,0.10638297872340426,0.09574468085106383,0.06382978723404255,0.031914893617021274,0.0425531914893617,0.031914893617021274,0.0851063829787234,0.1276595744680851,0.10638297872340426,0.010638297872340425,0.010638297872340425,0.0425531914893617,0.0,0.010638297872340425,0.02127659574468085,0.02127659574468085,0.031914893617021274,0.0,0.010638297872340425,0.02127659574468085,0.0,0.0,0.0,0.0,0.02127659574468085,0.0,23,4.086956521739131,11.5,13.914893617021274
jarom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
