Author,and,his,the,to,were,for,him,are,of,those,which,when,unto,if,now,have,in,your,my,me,there,shalt,thou,therefore,let,thee,will,again,said,thy,according,as,he,with,all,their,they,it,was,is,wherefore,did,them,into,that,had,we,shall,ye,say,god,also,be,not,but,much,an,upon,out,from,hence,being,these,every,man,more,than,lest,our,because,wherein,one,other,do,then,could,therein,by,what,would,her,among,may,became,till,lord,forth,must,thus,no,neither,such,or,yet,hast,thine,without,thereon,some,himself,hath,like,should,whose,yea,who,where,didst,how,ever,whoso,cometh,becometh,abundance,thereof,make,whither,thereupon,thyself,wherewith,moreover,whom,hereof,thence,many,forthwith,ought,verily,thereby,each,inasmuch,downward,whereto,seest,therewith,whereof,whatsoever,been,once,shouldest,outward,howsoever,throughout,whereby,henceforth,thereunto,doeth,oft,oftentimes,whosoever,underneath,whereunto,whence,whensoever,wherewithal,seemeth,notwithstanding,whereon,soever,therefrom,wheresoever,upward,a_percentage_use,n_percentage_use,d_percentage_use,j_percentage_use,o_percentage_use,s_percentage_use,e_percentage_use,p_percentage_use,h_percentage_use,c_percentage_use,m_percentage_use,i_percentage_use,r_percentage_use,v_percentage_use,t_percentage_use,y_percentage_use,b_percentage_use,l_percentage_use,f_percentage_use,w_percentage_use,u_percentage_use,g_percentage_use,k_percentage_use,z_percentage_use,q_percentage_use,x_percentage_use,Total_Word_Count,AVG_Letter_Per_Word,AVG_Word_Per_Verse,Total_Function_Word_Count
Moses,135.0,26.0,97.0,26.0,6.0,17.0,20.0,7.0,59.0,2.0,10.0,11.0,20.0,3.0,7.0,4.0,19.0,2.0,4.0,6.0,6.0,1.0,1.0,4.0,2.0,8.0,7.0,1.0,15.0,6.0,2.0,6.0,17.0,15.0,11.0,9.0,20.0,15.0,10.0,6.0,1.0,6.0,16.0,4.0,10.0,3.0,4.0,7.0,9.0,1.0,8.0,3.0,4.0,6.0,6.0,1.0,6.0,2.0,6.0,1.0,1.0,1.0,1.0,3.0,2.0,3.0,1.0,1.0,1.0,4.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,5.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09061653116531165,0.07096883468834689,0.05911246612466125,0.004911924119241192,0.06334688346883469,0.05606368563685637,0.1290650406504065,0.018970189701897018,0.08672086720867209,0.01744579945799458,0.02693089430894309,0.0638550135501355,0.05233739837398374,0.010670731707317074,0.07876016260162602,0.020833333333333332,0.014227642276422764,0.03539972899728997,0.0247289972899729,0.022865853658536585,0.023712737127371274,0.01744579945799458,0.004403794037940379,0.00033875338753387534,0.00016937669376693767,0.0005081300813008131,1459,4.046607265250171,24.948275862068964,788.9944105691059
Joshua,14.0,0.0,19.0,3.0,1.0,3.0,1.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,4.0,2.0,1.0,0.0,0.0,0.0,4.0,1.0,3.0,0.0,2.0,4.0,4.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07468879668049792,0.06224066390041494,0.04702627939142462,0.004149377593360996,0.07192254495159059,0.035961272475795295,0.16182572614107885,0.022130013831258646,0.07883817427385892,0.016597510373443983,0.02627939142461964,0.051175656984785614,0.04979253112033195,0.008298755186721992,0.09681881051175657,0.02627939142461964,0.017980636237897647,0.05255878284923928,0.030428769017980636,0.027662517289073305,0.024896265560165973,0.009681881051175657,0.0013831258644536654,0.0013831258644536654,0.0,0.0,188,3.845744680851064,31.333333333333332,108.00000000000004
Samuel,33.0,15.0,37.0,12.0,1.0,6.0,6.0,0.0,19.0,0.0,0.0,2.0,9.0,2.0,1.0,5.0,4.0,0.0,2.0,4.0,1.0,0.0,5.0,1.0,0.0,1.0,1.0,0.0,8.0,4.0,0.0,2.0,6.0,1.0,2.0,1.0,0.0,6.0,3.0,3.0,0.0,2.0,0.0,0.0,8.0,1.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,4.0,3.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,3.0,2.0,2.0,1.0,0.0,0.0,13.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10083102493074793,0.08199445983379501,0.05318559556786703,0.0,0.08421052631578947,0.056509695290858725,0.11246537396121883,0.009972299168975069,0.08587257617728532,0.010526315789473684,0.03434903047091413,0.060941828254847646,0.04376731301939058,0.006094182825484765,0.09916897506925208,0.007202216066481994,0.007202216066481994,0.036011080332409975,0.03434903047091413,0.02437673130193906,0.024930747922437674,0.018282548476454295,0.006094182825484765,0.000554016620498615,0.0,0.0,465,3.881720430107527,31.0,268.9988919667592
Unknown,7.0,2.0,12.0,3.0,0.0,1.0,1.0,0.0,8.0,0.0,1.0,1.0,3.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,4.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09467455621301775,0.08284023668639054,0.05325443786982249,0.0,0.07297830374753451,0.05325443786982249,0.10059171597633136,0.009861932938856016,0.10256410256410256,0.015779092702169626,0.021696252465483234,0.07495069033530571,0.03944773175542406,0.005917159763313609,0.10848126232741617,0.005917159763313609,0.011834319526627219,0.04142011834319527,0.021696252465483234,0.021696252465483234,0.027613412228796843,0.01972386587771203,0.009861932938856016,0.0,0.0,0.0,138,3.6739130434782608,23.0,87.99605522682451
Unknown,18.0,0.0,24.0,0.0,5.0,2.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06694560669456066,0.05718270571827057,0.06415620641562064,0.0,0.1101813110181311,0.040446304044630406,0.14504881450488144,0.02092050209205021,0.07252440725244072,0.015341701534170154,0.019525801952580194,0.043235704323570434,0.07252440725244072,0.016736401673640166,0.09065550906555091,0.001394700139470014,0.00697350069735007,0.044630404463040445,0.043235704323570434,0.03347280334728033,0.02092050209205021,0.011157601115760111,0.001394700139470014,0.001394700139470014,0.0,0.0,180,3.9833333333333334,22.5,93.0
Unknown,23.0,2.0,28.0,5.0,1.0,0.0,0.0,6.0,12.0,0.0,2.0,1.0,3.0,1.0,2.0,1.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,2.0,1.0,2.0,0.0,3.0,0.0,0.0,3.0,1.0,0.0,3.0,1.0,12.0,2.0,2.0,1.0,0.0,0.0,3.0,1.0,5.0,1.0,7.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0834072759538598,0.0709849157054126,0.04791481810115351,0.0008873114463176575,0.06743566992014197,0.064773735581189,0.14285714285714285,0.006211180124223602,0.08251996450754215,0.02040816326530612,0.02129547471162378,0.05767524401064774,0.044365572315882874,0.007985803016858917,0.1126885536823425,0.029281277728482696,0.0044365572315882874,0.04081632653061224,0.02129547471162378,0.023957409050576754,0.019520851818988466,0.01774622892635315,0.00709849157054126,0.0,0.0,0.0,291,3.872852233676976,41.285714285714285,169.99556344276837
Ezra,41.0,4.0,32.0,9.0,1.0,5.0,7.0,1.0,23.0,0.0,1.0,3.0,2.0,0.0,2.0,0.0,7.0,0.0,0.0,0.0,2.0,2.0,3.0,3.0,0.0,1.0,1.0,2.0,3.0,0.0,0.0,1.0,2.0,3.0,5.0,1.0,5.0,4.0,2.0,1.0,0.0,1.0,7.0,4.0,5.0,4.0,0.0,2.0,0.0,0.0,8.0,0.0,1.0,2.0,1.0,0.0,1.0,3.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09693053311793215,0.07108239095315025,0.07592891760904685,0.0016155088852988692,0.07108239095315025,0.04954227248249865,0.12224017232094776,0.01884760366182014,0.07592891760904685,0.010231556273559504,0.03446418955304254,0.07377490576198169,0.046311254711900916,0.01669359181475498,0.08562197092084006,0.009154550350026925,0.015078082929456112,0.03769520732364028,0.024232633279483037,0.010770059235325794,0.0210016155088853,0.0210016155088853,0.006462035541195477,0.0016155088852988692,0.0010770059235325794,0.0,439,4.230068337129841,21.95,241.99838449111462
Nehemiah,7.0,0.0,8.0,4.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,2.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0925553319919517,0.07645875251509054,0.04426559356136821,0.0,0.0925553319919517,0.056338028169014086,0.12072434607645875,0.014084507042253521,0.07645875251509054,0.02012072434607646,0.03621730382293763,0.056338028169014086,0.03219315895372234,0.006036217303822937,0.11468812877263582,0.012072434607645875,0.014084507042253521,0.03621730382293763,0.014084507042253521,0.02012072434607646,0.026156941649899398,0.030181086519114688,0.006036217303822937,0.0,0.0,0.0,131,3.7938931297709924,32.5,65.99798792756539
Mordecai,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1111111111111111,0.08333333333333333,0.009259259259259259,0.027777777777777776,0.08333333333333333,0.09259259259259259,0.1388888888888889,0.009259259259259259,0.09259259259259259,0.027777777777777776,0.037037037037037035,0.07407407407407407,0.037037037037037035,0.0,0.06481481481481481,0.0,0.009259259259259259,0.009259259259259259,0.027777777777777776,0.046296296296296294,0.009259259259259259,0.0,0.009259259259259259,0.0,0.0,0.0,28,3.857142857142857,28.0,14.000000000000005
Unknown,10.0,3.0,16.0,4.0,0.0,0.0,2.0,2.0,8.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,2.0,2.0,0.0,3.0,1.0,0.0,5.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,5.0,1.0,0.0,3.0,0.0,0.0,4.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0893854748603352,0.06284916201117319,0.0446927374301676,0.0013966480446927375,0.07681564245810056,0.06843575418994413,0.12011173184357542,0.015363128491620111,0.10614525139664804,0.012569832402234637,0.015363128491620111,0.05307262569832402,0.040502793296089384,0.00558659217877095,0.11312849162011174,0.01675977653631285,0.01675977653631285,0.04329608938547486,0.01675977653631285,0.0223463687150838,0.029329608938547486,0.018156424581005588,0.009776536312849162,0.0,0.0,0.0,185,3.8702702702702703,18.5,113.99860335195534
