Author,and,say,unto,thee,let,my,that,he,may,me,if,thou,to,him,will,thy,it,by,the,in,lord,then,of,her,his,said,because,into,god,all,who,had,which,did,when,they,upon,their,thus,is,should,not,neither,hath,with,we,our,lest,or,them,wherefore,do,ye,from,your,now,are,many,make,shall,no,more,as,for,ought,thereof,be,therefore,there,therein,out,where,yet,were,throughout,was,have,but,thine,forth,hast,shalt,what,also,wherein,whom,an,how,these,according,one,again,other,some,would,verily,than,became,therewith,ever,like,without,man,whose,every,among,such,yea,being,whereof,whoso,becometh,cometh,shouldest,been,whereby,abundance,himself,whatsoever,till,whosoever,much,those,hence,doeth,thyself,once,didst,each,inasmuch,downward,whereto,seest,thence,thereby,outward,howsoever,henceforth,thereon,must,thereupon,thereunto,moreover,wherewith,oft,oftentimes,whither,underneath,whereunto,whence,whensoever,wherewithal,seemeth,hereof,notwithstanding,whereon,soever,could,forthwith,therefrom,wheresoever,upward,a_percentage_use,n_percentage_use,d_percentage_use,i_percentage_use,s_percentage_use,y_percentage_use,u_percentage_use,t_percentage_use,o_percentage_use,h_percentage_use,e_percentage_use,l_percentage_use,m_percentage_use,g_percentage_use,r_percentage_use,v_percentage_use,f_percentage_use,b_percentage_use,w_percentage_use,c_percentage_use,p_percentage_use,k_percentage_use,z_percentage_use,j_percentage_use,q_percentage_use,x_percentage_use,Total_Word_Count,AVG_Letter_Per_Word,AVG_Word_Per_Verse,Total_Function_Word_Count
Moses,128.0,4.0,27.0,2.0,15.0,5.0,12.0,11.0,3.0,7.0,1.0,8.0,39.0,15.0,11.0,7.0,7.0,3.0,119.0,16.0,22.0,6.0,81.0,1.0,6.0,14.0,2.0,2.0,9.0,6.0,4.0,6.0,6.0,4.0,2.0,16.0,5.0,15.0,3.0,4.0,1.0,10.0,2.0,2.0,9.0,1.0,3.0,1.0,1.0,14.0,5.0,3.0,15.0,7.0,8.0,3.0,10.0,1.0,4.0,11.0,3.0,2.0,4.0,9.0,3.0,1.0,8.0,3.0,4.0,1.0,9.0,1.0,2.0,7.0,1.0,3.0,6.0,4.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,2.0,4.0,1.0,8.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09383333333333334,0.0675,0.05416666666666667,0.0585,0.059333333333333335,0.020833333333333332,0.023333333333333334,0.08616666666666667,0.08283333333333333,0.0805,0.12333333333333334,0.03883333333333333,0.025333333333333333,0.017166666666666667,0.06,0.007,0.0265,0.012833333333333334,0.016166666666666666,0.014833333333333334,0.014833333333333334,0.009833333333333333,0.0023333333333333335,0.0016666666666666668,0.0,0.0,1491,4.0241448692152915,25.655172413793103,867.9976666666666
Joshua,21.0,0.0,1.0,0.0,1.0,0.0,8.0,2.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,1.0,2.0,0.0,22.0,3.0,1.0,1.0,9.0,0.0,2.0,1.0,0.0,2.0,0.0,1.0,0.0,4.0,0.0,0.0,2.0,9.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0958904109589041,0.07347447073474471,0.0647571606475716,0.05603985056039851,0.05977584059775841,0.024906600249066,0.026151930261519303,0.12453300124533001,0.0722291407222914,0.09838107098381071,0.12577833125778332,0.0224159402241594,0.019925280199252802,0.0062266500622665,0.034869240348692404,0.0037359900373599006,0.0161892901618929,0.007471980074719801,0.0161892901618929,0.019925280199252802,0.012453300124533,0.0112079701120797,0.0,0.0049813200498132005,0.0012453300124533001,0.0,212,3.7877358490566038,35.333333333333336,123.9987546699875
Samuel,43.0,0.0,10.0,6.0,1.0,1.0,9.0,10.0,1.0,3.0,0.0,3.0,13.0,8.0,6.0,1.0,2.0,0.0,28.0,8.0,1.0,3.0,12.0,10.0,7.0,10.0,1.0,4.0,0.0,0.0,1.0,2.0,0.0,1.0,2.0,6.0,3.0,1.0,0.0,2.0,0.0,5.0,0.0,2.0,6.0,5.0,0.0,0.0,0.0,8.0,0.0,2.0,3.0,2.0,0.0,1.0,4.0,0.0,0.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,4.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.085612968591692,0.08409321175278622,0.05623100303951368,0.0729483282674772,0.06382978723404255,0.0121580547112462,0.03090172239108409,0.10739614994934144,0.06585612968591692,0.0916919959473151,0.11651469098277609,0.027862208713272545,0.028368794326241134,0.011144883485309016,0.040526849037487336,0.007598784194528876,0.019756838905775075,0.012664640324214792,0.02634245187436677,0.012664640324214792,0.015704154002026342,0.0060790273556231,0.0,0.002026342451874367,0.0,0.0010131712259371835,505,3.908910891089109,33.666666666666664,286.9989868287741
Unknown,10.0,0.0,0.0,6.0,0.0,4.0,2.0,4.0,0.0,0.0,1.0,1.0,2.0,2.0,6.0,6.0,1.0,0.0,6.0,0.0,1.0,0.0,5.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,2.0,4.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07131782945736434,0.04806201550387597,0.043410852713178294,0.07131782945736434,0.06356589147286822,0.023255813953488372,0.021705426356589147,0.08682170542635659,0.06201550387596899,0.09457364341085271,0.13643410852713178,0.06976744186046512,0.037209302325581395,0.006201550387596899,0.04186046511627907,0.007751937984496124,0.031007751937984496,0.023255813953488372,0.023255813953488372,0.013953488372093023,0.012403100775193798,0.007751937984496124,0.0,0.0015503875968992248,0.0015503875968992248,0.0,164,3.932926829268293,27.333333333333332,102.99999999999996
Unknown,19.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,16.0,2.0,1.0,0.0,20.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08064516129032258,0.07204301075268817,0.04838709677419355,0.04946236559139785,0.07634408602150537,0.005376344086021506,0.030107526881720432,0.0913978494623656,0.1053763440860215,0.07096774193548387,0.10967741935483871,0.025806451612903226,0.016129032258064516,0.015053763440860216,0.05591397849462366,0.004301075268817204,0.034408602150537634,0.013978494623655914,0.04086021505376344,0.02795698924731183,0.00967741935483871,0.010752688172043012,0.0,0.0,0.0,0.0,226,4.115044247787611,28.0,108.99462365591401
Unknown,20.0,0.0,3.0,2.0,0.0,1.0,5.0,3.0,0.0,2.0,0.0,0.0,10.0,6.0,0.0,1.0,3.0,1.0,25.0,1.0,2.0,0.0,14.0,6.0,0.0,3.0,0.0,0.0,3.0,3.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0976303317535545,0.07677725118483412,0.06066350710900474,0.06635071090047394,0.06635071090047394,0.016113744075829384,0.012322274881516588,0.09289099526066351,0.07298578199052133,0.08530805687203792,0.12322274881516587,0.035071090047393366,0.025592417061611375,0.024644549763033177,0.04454976303317536,0.006635071090047393,0.027488151658767772,0.006635071090047393,0.016113744075829384,0.015165876777251185,0.007582938388625593,0.014218009478672985,0.0037914691943127963,0.0,0.0009478672985781991,0.0,278,3.7949640287769784,39.714285714285715,146.99905213270137
Ezra,53.0,0.0,3.0,0.0,1.0,0.0,8.0,6.0,0.0,0.0,0.0,0.0,11.0,5.0,0.0,0.0,4.0,0.0,56.0,4.0,11.0,1.0,36.0,1.0,10.0,0.0,1.0,1.0,6.0,3.0,0.0,3.0,0.0,1.0,2.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,13.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10014238253440912,0.07546274323682961,0.06407214048410062,0.05885144755576649,0.054579971523493115,0.008068343616516375,0.0170859041290935,0.08685334598955861,0.07498813478879925,0.08163265306122448,0.12387280493592787,0.03559563360227812,0.02040816326530612,0.01613668723303275,0.04888467014712862,0.011865211200759373,0.03132415757000474,0.01566207878500237,0.015187470336971999,0.018509729473184623,0.018509729473184623,0.014238253440911248,0.0018984337921214998,0.004271476032273375,0.0,0.00047460844803037496,504,4.180555555555555,25.2,274.9985761746557
Nehemiah,4.0,0.0,2.0,2.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,2.0,3.0,1.0,3.0,0.0,1.0,0.0,10.0,3.0,0.0,1.0,6.0,0.0,1.0,2.0,0.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,3.0,2.0,0.0,0.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.074487895716946,0.06517690875232775,0.037243947858473,0.061452513966480445,0.0670391061452514,0.0186219739292365,0.0335195530726257,0.11173184357541899,0.08379888268156424,0.09497206703910614,0.13966480446927373,0.04283054003724395,0.0297951582867784,0.0223463687150838,0.03165735567970205,0.00186219739292365,0.027932960893854747,0.00931098696461825,0.024208566108007448,0.00931098696461825,0.0074487895716946,0.0037243947858473,0.0,0.0,0.0,0.0,146,3.6780821917808217,36.5,87.99813780260706
Mordecai,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10857142857142857,0.05142857142857143,0.06857142857142857,0.045714285714285714,0.045714285714285714,0.0,0.04,0.08,0.06285714285714286,0.12,0.12,0.011428571428571429,0.02857142857142857,0.017142857142857144,0.09142857142857143,0.0,0.03428571428571429,0.011428571428571429,0.02857142857142857,0.011428571428571429,0.005714285714285714,0.005714285714285714,0.0,0.0,0.0,0.0,40,4.375,39.0,19.988571428571433
Unknown,9.0,0.0,1.0,0.0,0.0,2.0,1.0,5.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,2.0,0.0,11.0,2.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,4.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08850931677018634,0.06987577639751552,0.04813664596273292,0.059006211180124224,0.05124223602484472,0.026397515527950312,0.024844720496894408,0.10093167701863354,0.07919254658385093,0.08850931677018634,0.13975155279503104,0.03571428571428571,0.021739130434782608,0.023291925465838508,0.05434782608695652,0.003105590062111801,0.017080745341614908,0.004658385093167702,0.023291925465838508,0.009316770186335404,0.013975155279503106,0.015527950310559006,0.0,0.0,0.0,0.0,158,4.075949367088608,15.8,87.99844720496893
