Author,these,are,they,which,to,of,out,the,from,that,and,it,when,lord,unto,in,thou,all,say,thee,said,how,shall,me,have,god,thy,be,shalt,he,his,will,my,but,not,may,upon,forth,by,among,them,did,as,was,for,then,had,became,also,now,like,with,their,every,man,is,let,thine,him,hath,thus,there,throughout,were,could,neither,into,if,do,according,our,because,cometh,whereon,no,ye,your,we,more,an,wherein,wherewith,ever,should,thereon,hast,again,wherefore,thereof,her,till,whose,what,one,been,who,yet,make,other,shouldest,being,yea,therein,therefore,would,many,or,seest,than,moreover,whom,himself,verily,much,henceforth,lest,thence,some,such,those,where,without,doeth,ought,oft,didst,each,inasmuch,downward,abundance,whereto,therewith,whereof,whatsoever,once,thereby,outward,hence,howsoever,becometh,whereby,must,thereupon,thereunto,oftentimes,whither,whosoever,underneath,whereunto,whence,whensoever,wherewithal,seemeth,hereof,thyself,notwithstanding,soever,forthwith,therefrom,wheresoever,whoso,upward,t_percentage_use,h_percentage_use,e_percentage_use,s_percentage_use,a_percentage_use,r_percentage_use,y_percentage_use,w_percentage_use,i_percentage_use,c_percentage_use,p_percentage_use,k_percentage_use,o_percentage_use,n_percentage_use,g_percentage_use,f_percentage_use,b_percentage_use,u_percentage_use,l_percentage_use,d_percentage_use,m_percentage_use,v_percentage_use,j_percentage_use,z_percentage_use,q_percentage_use,x_percentage_use,Total_Word_Count,AVG_Letter_Per_Word,AVG_Word_Per_Verse,Total_Function_Word_Count
Moses,2.0,4.0,21.0,6.0,29.0,60.0,14.0,146.0,14.0,32.0,143.0,8.0,6.0,38.0,39.0,29.0,12.0,13.0,8.0,11.0,18.0,1.0,24.0,8.0,1.0,8.0,26.0,7.0,6.0,17.0,14.0,11.0,11.0,5.0,14.0,12.0,20.0,6.0,3.0,1.0,8.0,13.0,8.0,8.0,13.0,4.0,7.0,4.0,4.0,1.0,2.0,8.0,10.0,1.0,3.0,6.0,9.0,5.0,3.0,1.0,3.0,7.0,4.0,5.0,3.0,2.0,11.0,2.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,3.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09893728483759916,0.08456817841640472,0.1122586439155815,0.058823529411764705,0.09280047897021404,0.060170633138751685,0.021853016015566534,0.014818140996856757,0.048196377787756324,0.013620715461757221,0.02305044155066607,0.0058374494836102376,0.08666367310282892,0.0719952102978596,0.01661427929950606,0.02095494686424188,0.009579404280796289,0.02469690166142793,0.040862146385271664,0.05897320760365215,0.024397545277653046,0.007034875018709774,0.000299356383774884,0.0,0.0,0.0,1672,3.9958133971291865,28.70689655172414,1023.9970064361621
Joshua,0.0,0.0,4.0,1.0,1.0,13.0,1.0,21.0,1.0,7.0,12.0,5.0,2.0,1.0,5.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11404561824729892,0.08283313325330131,0.13445378151260504,0.05402160864345738,0.10204081632653061,0.04321728691476591,0.01680672268907563,0.025210084033613446,0.05402160864345738,0.01920768307322929,0.007202881152460984,0.004801920768307323,0.06962785114045618,0.07803121248499399,0.010804321728691477,0.024009603841536616,0.006002400960384154,0.024009603841536616,0.04081632653061224,0.057623049219687875,0.01920768307322929,0.007202881152460984,0.004801920768307323,0.0,0.0,0.0,208,4.0048076923076925,34.666666666666664,112.0
Samuel,0.0,0.0,2.0,2.0,8.0,17.0,1.0,30.0,0.0,7.0,41.0,5.0,4.0,1.0,7.0,10.0,4.0,3.0,0.0,5.0,7.0,0.0,3.0,5.0,1.0,1.0,2.0,5.0,0.0,9.0,5.0,1.0,0.0,1.0,2.0,2.0,3.0,0.0,1.0,0.0,4.0,0.0,2.0,5.0,2.0,3.0,3.0,0.0,0.0,3.0,0.0,6.0,0.0,1.0,1.0,5.0,0.0,0.0,9.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,6.0,2.0,2.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,6.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09563846558066211,0.09196006305832895,0.12348922753547031,0.05990541250656858,0.09826589595375723,0.04046242774566474,0.012611665790856543,0.03205465055176038,0.07356805044666316,0.015764582238570676,0.013662637940094587,0.006305832895428271,0.05570152390961639,0.08250131371518654,0.0162900683131897,0.015764582238570676,0.012611665790856543,0.01839201261166579,0.03888596952180767,0.054125065685759324,0.027325275880189175,0.008933263268523384,0.002627430373095113,0.0010509721492380452,0.0005254860746190226,0.0,482,3.9481327800829877,32.13333333333333,278.998423541776
Unknown,2.0,0.0,0.0,0.0,6.0,2.0,0.0,2.0,0.0,2.0,8.0,0.0,0.0,6.0,2.0,2.0,5.0,4.0,1.0,3.0,1.0,0.0,0.0,1.0,1.0,6.0,5.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,4.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10738255033557047,0.08389261744966443,0.09731543624161074,0.05704697986577181,0.09228187919463088,0.06208053691275168,0.015100671140939598,0.02348993288590604,0.053691275167785234,0.016778523489932886,0.003355704697986577,0.013422818791946308,0.10067114093959731,0.06879194630872483,0.030201342281879196,0.013422818791946308,0.006711409395973154,0.020134228187919462,0.031879194630872486,0.06375838926174497,0.016778523489932886,0.013422818791946308,0.0,0.0,0.0,0.0,156,3.8205128205128207,25.666666666666668,98.99161073825505
Unknown,0.0,0.0,0.0,2.0,3.0,13.0,0.0,39.0,1.0,2.0,20.0,2.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0,0.0,2.0,0.0,7.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10792079207920792,0.08811881188118811,0.12574257425742574,0.0504950495049505,0.08118811881188119,0.06534653465346535,0.0049504950495049506,0.028712871287128714,0.054455445544554455,0.028712871287128714,0.04356435643564356,0.007920792079207921,0.08118811881188119,0.05742574257425743,0.007920792079207921,0.02574257425742574,0.015841584158415842,0.026732673267326732,0.03762376237623762,0.03663366336633663,0.013861386138613862,0.007920792079207921,0.0009900990099009901,0.0009900990099009901,0.0,0.0,247,4.089068825910931,30.875,136.0
Unknown,0.0,0.0,0.0,0.0,5.0,8.0,0.0,10.0,1.0,7.0,17.0,3.0,0.0,3.0,3.0,3.0,6.0,0.0,1.0,1.0,5.0,0.0,1.0,3.0,0.0,1.0,1.0,1.0,1.0,10.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,1.0,1.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09888888888888889,0.10333333333333333,0.11444444444444445,0.06222222222222222,0.09777777777777778,0.04555555555555556,0.014444444444444444,0.02666666666666667,0.06666666666666667,0.015555555555555555,0.012222222222222223,0.0077777777777777776,0.06888888888888889,0.06111111111111111,0.016666666666666666,0.015555555555555555,0.0077777777777777776,0.023333333333333334,0.03888888888888889,0.06444444444444444,0.021111111111111112,0.005555555555555556,0.006666666666666667,0.0033333333333333335,0.0,0.0,223,4.0358744394618835,31.857142857142858,121.99888888888889
Ezra,0.0,4.0,1.0,2.0,9.0,10.0,0.0,31.0,3.0,2.0,16.0,2.0,2.0,9.0,7.0,5.0,0.0,7.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,6.0,0.0,6.0,11.0,1.0,1.0,2.0,2.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,4.0,5.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,5.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08392156862745098,0.07372549019607844,0.13568627450980392,0.05333333333333334,0.08705882352941176,0.06196078431372549,0.01647058823529412,0.01411764705882353,0.05333333333333334,0.01647058823529412,0.01019607843137255,0.00392156862745098,0.08862745098039215,0.0815686274509804,0.02588235294117647,0.02666666666666667,0.013333333333333334,0.01647058823529412,0.05019607843137255,0.047058823529411764,0.02196078431372549,0.01411764705882353,0.00392156862745098,0.0,0.0,0.0,313,4.073482428115016,15.65,189.00000000000006
Nehemiah,1.0,0.0,2.0,0.0,1.0,2.0,0.0,6.0,0.0,6.0,10.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11627906976744186,0.1,0.09767441860465116,0.044186046511627906,0.10232558139534884,0.05116279069767442,0.018604651162790697,0.01627906976744186,0.06279069767441861,0.013953488372093023,0.027906976744186046,0.004651162790697674,0.07441860465116279,0.06976744186046512,0.013953488372093023,0.027906976744186046,0.013953488372093023,0.018604651162790697,0.027906976744186046,0.06279069767441861,0.023255813953488372,0.009302325581395349,0.0,0.0,0.0,0.0,106,4.056603773584905,26.5,61.99767441860465
Mordecai,0.0,0.0,0.0,0.0,3.0,3.0,0.0,6.0,0.0,1.0,2.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10377358490566038,0.09433962264150944,0.14622641509433962,0.0660377358490566,0.08490566037735849,0.03773584905660377,0.014150943396226415,0.02830188679245283,0.0330188679245283,0.02830188679245283,0.014150943396226415,0.014150943396226415,0.08018867924528301,0.0660377358490566,0.0330188679245283,0.014150943396226415,0.0047169811320754715,0.0330188679245283,0.009433962264150943,0.04245283018867924,0.0330188679245283,0.0,0.0,0.0,0.0,0.0,50,4.24,48.0,26.981132075471706
Unknown,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,4.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,2.0,0.0,1.0,0.0,4.0,3.0,7.0,4.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.059033989266547404,0.055456171735241505,0.12164579606440072,0.0518783542039356,0.07334525939177101,0.04830053667262969,0.04830053667262969,0.02146690518783542,0.06797853309481217,0.03398926654740608,0.01967799642218247,0.016100178890876567,0.09123434704830054,0.05366726296958855,0.007155635062611807,0.025044722719141325,0.012522361359570662,0.03041144901610018,0.07513416815742398,0.03756708407871199,0.04293381037567084,0.0035778175313059034,0.0,0.0,0.0,0.0017889087656529517,144,3.8819444444444446,14.4,83.99821109123437
