Author,and,the,lord,said,unto,out,thine,that,there,may,be,of,which,forth,his,was,in,all,they,not,one,neither,from,for,but,had,their,ye,let,your,also,with,thou,must,we,our,god,shall,an,thereof,to,what,he,would,them,him,thee,me,thyself,my,no,more,seest,shalt,hast,will,thy,again,yet,upon,hence,when,now,every,man,her,moreover,thus,into,is,throughout,such,as,like,it,or,how,these,did,according,if,make,without,wherein,where,are,by,ever,whosoever,have,therefore,then,hath,say,who,among,were,being,much,because,could,been,once,other,himself,therein,than,whose,became,those,whence,whom,didst,do,many,should,cometh,till,shouldest,lest,whoso,abundance,whither,thereby,wherewith,doeth,verily,thence,yea,some,each,inasmuch,downward,wherefore,whereto,therewith,whereof,whatsoever,outward,howsoever,becometh,whereby,henceforth,thereon,thereupon,thereunto,oft,oftentimes,underneath,whereunto,whensoever,wherewithal,seemeth,hereof,notwithstanding,whereon,soever,forthwith,therefrom,wheresoever,upward,ought,a_percentage_use,n_percentage_use,d_percentage_use,t_percentage_use,h_percentage_use,e_percentage_use,l_percentage_use,o_percentage_use,r_percentage_use,s_percentage_use,i_percentage_use,u_percentage_use,m_percentage_use,c_percentage_use,w_percentage_use,v_percentage_use,y_percentage_use,b_percentage_use,k_percentage_use,f_percentage_use,g_percentage_use,p_percentage_use,j_percentage_use,x_percentage_use,q_percentage_use,z_percentage_use,Total_Word_Count,AVG_Letter_Per_Word,AVG_Word_Per_Verse,Total_Function_Word_Count
Moses,113.0,149.0,24.0,13.0,20.0,15.0,1.0,28.0,11.0,6.0,25.0,76.0,6.0,3.0,14.0,9.0,39.0,19.0,17.0,14.0,4.0,2.0,12.0,23.0,4.0,3.0,6.0,28.0,9.0,21.0,6.0,13.0,4.0,4.0,6.0,4.0,2.0,52.0,7.0,2.0,23.0,2.0,12.0,2.0,7.0,2.0,4.0,4.0,1.0,4.0,4.0,4.0,1.0,1.0,1.0,13.0,3.0,1.0,1.0,8.0,2.0,7.0,1.0,5.0,7.0,1.0,1.0,2.0,1.0,6.0,2.0,2.0,6.0,2.0,25.0,3.0,1.0,2.0,4.0,6.0,1.0,1.0,1.0,1.0,2.0,1.0,4.0,3.0,2.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08516366728071419,0.06985971375938785,0.047754003117472014,0.0972084455150914,0.07793680034008786,0.1249822870908318,0.052997024231259744,0.08317982145387559,0.05271361768456851,0.060365594445231686,0.04987955221765623,0.028340654669122858,0.01912994190165793,0.013036701147796514,0.01558736006801757,0.011336261867649142,0.026073402295593028,0.014737140427943886,0.005668130933824571,0.02550658920221057,0.018563128808275473,0.016012469888054413,0.0008502196400736857,0.0005668130933824571,0.00014170327334561429,0.0,1762,4.005107832009081,30.29310344827586,1031.9975910443527
Joshua,22.0,15.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,1.0,3.0,3.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,3.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10511363636363637,0.08096590909090909,0.06392045454545454,0.10085227272727272,0.07670454545454546,0.12073863636363637,0.036931818181818184,0.07244318181818182,0.04261363636363636,0.052556818181818184,0.0625,0.024147727272727272,0.019886363636363636,0.017045454545454544,0.024147727272727272,0.007102272727272727,0.014204545454545454,0.014204545454545454,0.007102272727272727,0.015625,0.015625,0.011363636363636364,0.008522727272727272,0.0,0.0,0.002840909090909091,172,4.093023255813954,28.666666666666668,95.9971590909091
Samuel,42.0,35.0,4.0,8.0,8.0,2.0,0.0,8.0,6.0,4.0,2.0,23.0,6.0,0.0,17.0,8.0,7.0,4.0,2.0,0.0,2.0,0.0,3.0,2.0,1.0,3.0,0.0,0.0,1.0,0.0,1.0,5.0,3.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,7.0,0.0,12.0,0.0,2.0,6.0,4.0,5.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,5.0,0.0,1.0,2.0,1.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08312838170191834,0.06935563207083129,0.05853418593212002,0.08214461387112641,0.09788489916379735,0.13575996064928678,0.03689129365469749,0.07968519429414658,0.04574520413182489,0.05705853418593212,0.05804230201672405,0.027545499262174127,0.04082636497786522,0.013772749631087064,0.025086079685194294,0.006886374815543532,0.013772749631087064,0.010329562223315297,0.0054107230693556324,0.022134776192818496,0.010329562223315297,0.013772749631087064,0.004426955238563699,0.0,0.0,0.0004918839153959665,515,3.9475728155339804,34.333333333333336,302.9990162321692
Unknown,15.0,12.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,1.0,10.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,4.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,8.0,0.0,3.0,0.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08383961117861483,0.06439854191980558,0.06682867557715674,0.10206561360874848,0.07776427703523693,0.1275820170109356,0.023086269744835967,0.0850546780072904,0.04981773997569866,0.06804374240583232,0.04981773997569866,0.02916160388821385,0.02916160388821385,0.014580801944106925,0.015795868772782502,0.02187120291616039,0.009720534629404616,0.018226002430133656,0.007290400972053463,0.02551640340218712,0.012150668286755772,0.009720534629404616,0.0,0.0,0.0,0.004860267314702308,191,4.30890052356021,31.666666666666668,95.99635479951398
Unknown,22.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,18.0,0.0,0.0,0.0,4.0,1.0,2.0,0.0,0.0,8.0,0.0,0.0,1.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08090614886731391,0.06580366774541532,0.04854368932038835,0.09169363538295577,0.07659115426105717,0.17691477885652643,0.030204962243797196,0.08090614886731391,0.06903991370010787,0.06796116504854369,0.03559870550161812,0.023732470334412083,0.010787486515641856,0.012944983818770227,0.019417475728155338,0.014023732470334413,0.005393743257820928,0.020496224379719527,0.004314994606256742,0.038834951456310676,0.010787486515641856,0.010787486515641856,0.0010787486515641855,0.002157497303128371,0.0,0.0010787486515641855,231,4.012987012987013,28.875,121.99999999999999
Unknown,16.0,22.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,24.0,1.0,0.0,5.0,5.0,11.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,7.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11620111731843576,0.07709497206703911,0.05251396648044693,0.06815642458100558,0.09832402234636871,0.10502793296089385,0.026815642458100558,0.07709497206703911,0.0446927374301676,0.05251396648044693,0.07597765363128492,0.01564245810055866,0.01899441340782123,0.00782122905027933,0.026815642458100558,0.0033519553072625698,0.012290502793296089,0.01452513966480447,0.012290502793296089,0.03240223463687151,0.02569832402234637,0.0067039106145251395,0.01452513966480447,0.0011173184357541898,0.0,0.008938547486033519,233,3.8412017167381975,33.142857142857146,119.995530726257
Ezra,31.0,16.0,11.0,2.0,2.0,3.0,4.0,12.0,2.0,2.0,14.0,13.0,1.0,0.0,7.0,2.0,6.0,6.0,0.0,1.0,1.0,1.0,3.0,16.0,1.0,0.0,1.0,0.0,4.0,0.0,1.0,2.0,14.0,1.0,1.0,1.0,10.0,6.0,3.0,0.0,17.0,3.0,3.0,0.0,1.0,4.0,12.0,3.0,0.0,5.0,0.0,1.0,0.0,0.0,9.0,8.0,18.0,0.0,1.0,0.0,0.0,1.0,4.0,0.0,1.0,1.0,1.0,0.0,0.0,5.0,0.0,0.0,2.0,2.0,7.0,0.0,0.0,2.0,1.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,1.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07870791628753412,0.05959963603275705,0.050955414012738856,0.10236578707916287,0.08007279344858963,0.12829845313921748,0.042311191992720654,0.08598726114649681,0.05505004549590537,0.06596906278434941,0.06050955414012739,0.020473157415832575,0.025477707006369428,0.011373976342129208,0.01637852593266606,0.014558689717925387,0.01592356687898089,0.020018198362147407,0.00818926296633303,0.022292993630573247,0.01910828025477707,0.011828935395814377,0.00045495905368516835,0.00045495905368516835,0.0,0.0,550,3.9963636363636366,27.35,339.9963603275707
Nehemiah,13.0,14.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,4.0,0.0,0.0,2.0,3.0,1.0,0.0,1.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10433070866141732,0.07677165354330709,0.047244094488188976,0.0984251968503937,0.07677165354330709,0.14763779527559054,0.03346456692913386,0.0610236220472441,0.051181102362204724,0.05511811023622047,0.047244094488188976,0.02952755905511811,0.01968503937007874,0.011811023622047244,0.027559055118110236,0.013779527559055118,0.013779527559055118,0.021653543307086614,0.0,0.017716535433070866,0.015748031496062992,0.021653543307086614,0.005905511811023622,0.0,0.0,0.0,128,3.96875,32.0,74.99803149606296
Mordecai,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05813953488372093,0.046511627906976744,0.09302325581395349,0.06976744186046512,0.13953488372093023,0.16279069767441862,0.023255813953488372,0.08139534883720931,0.10465116279069768,0.05813953488372093,0.03488372093023256,0.011627906976744186,0.011627906976744186,0.023255813953488372,0.023255813953488372,0.0,0.0,0.0,0.011627906976744186,0.011627906976744186,0.011627906976744186,0.023255813953488372,0.0,0.0,0.0,0.0,20,4.3,20.0,11.999999999999993
Unknown,9.0,8.0,0.0,0.0,1.0,1.0,1.0,6.0,1.0,1.0,1.0,7.0,0.0,1.0,4.0,0.0,3.0,1.0,0.0,4.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,0.0,0.0,6.0,0.0,0.0,1.0,2.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,5.0,0.0,1.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08531468531468532,0.08671328671328671,0.03496503496503497,0.12167832167832168,0.08531468531468532,0.11328671328671329,0.03636363636363636,0.08531468531468532,0.043356643356643354,0.06013986013986014,0.05314685314685315,0.033566433566433566,0.025174825174825177,0.022377622377622378,0.01818181818181818,0.0,0.012587412587412588,0.011188811188811189,0.005594405594405594,0.027972027972027972,0.015384615384615385,0.016783216783216783,0.0013986013986013986,0.0013986013986013986,0.0,0.0,186,3.8440860215053765,18.5,108.9972027972028
