Author,say,unto,he,that,these,not,the,of,yea,if,them,for,do,we,god,is,and,in,him,there,no,neither,now,ye,have,who,whom,then,but,will,it,all,are,by,man,because,which,they,into,lord,wherein,to,from,an,shall,be,when,forth,his,being,cometh,one,upon,your,should,according,their,many,been,therefore,more,among,my,every,may,as,our,or,such,said,with,what,thee,thou,hast,himself,shalt,me,let,without,thy,did,anything,how,those,also,thus,were,make,lest,some,was,ever,hath,could,had,much,verily,out,till,whereby,yet,than,notwithstanding,again,wherefore,would,other,wheresoever,throughout,where,therewith,soever,doeth,oft,wherewithal,became,wherewith,whatsoever,ought,whose,henceforth,thence,outward,abundance,didst,whither,thereby,thine,whoso,seest,each,whereof,once,thereof,thyself,thereon,upward,whence,seemeth,inasmuch,becometh,shouldst,her,therein,upwards,whereon,like,must,hence,whosoever,moreover,m_percentage_use,o_percentage_use,r_percentage_use,b_percentage_use,e_percentage_use,h_percentage_use,l_percentage_use,d_percentage_use,i_percentage_use,s_percentage_use,a_percentage_use,y_percentage_use,u_percentage_use,n_percentage_use,t_percentage_use,g_percentage_use,k_percentage_use,w_percentage_use,p_percentage_use,f_percentage_use,c_percentage_use,v_percentage_use,j_percentage_use,q_percentage_use,z_percentage_use,â_percentage_use,x_percentage_use,Total_Word_Count,AVG_Letter_Per_Word,AVG_Word_Per_Verse,Total_Function_Word_Count
moroni,1.0,4.0,8.0,9.0,1.0,5.0,23.0,20.0,2.0,2.0,3.0,1.0,1.0,1.0,10.0,11.0,22.0,3.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,3.0,1.0,1.0,1.0,4.0,3.0,3.0,4.0,4.0,4.0,2.0,1.0,1.0,1.0,2.0,3.0,1.0,8.0,5.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.038876889848812095,0.07271418286537078,0.04679625629949604,0.020158387329013677,0.1238300935925126,0.08855291576673865,0.042476601871850254,0.05183585313174946,0.047516198704103674,0.061195104391648665,0.09071274298056156,0.017998560115190784,0.02159827213822894,0.0619150467962563,0.08423326133909287,0.019438444924406047,0.0021598272138228943,0.013678905687544997,0.017278617710583154,0.024478041756659467,0.023038156947444204,0.007199424046076314,0.003599712023038157,0.0,0.0,0.0,0.0,342,4.06140350877193,48.857142857142854,201.98128149748024
mormon,15.0,8.0,12.0,58.0,5.0,26.0,79.0,80.0,8.0,4.0,9.0,21.0,20.0,18.0,12.0,20.0,89.0,15.0,5.0,7.0,4.0,0.0,10.0,34.0,17.0,14.0,0.0,1.0,6.0,13.0,5.0,6.0,18.0,8.0,2.0,8.0,14.0,20.0,6.0,5.0,0.0,40.0,1.0,4.0,13.0,22.0,2.0,1.0,5.0,4.0,0.0,4.0,7.0,16.0,11.0,6.0,20.0,3.0,3.0,7.0,2.0,3.0,17.0,2.0,8.0,6.0,16.0,9.0,2.0,4.0,13.0,1.0,1.0,6.0,2.0,1.0,1.0,13.0,3.0,2.0,5.0,5.0,1.0,2.0,2.0,5.0,2.0,6.0,1.0,1.0,1.0,8.0,1.0,2.0,1.0,1.0,1.0,1.0,6.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024342363564978407,0.08258081402957727,0.0465907603716791,0.016097369454259915,0.11412118832613533,0.07289621777254286,0.039000130872922395,0.04423504776861667,0.06504384242900144,0.05614448370632116,0.08546001832220913,0.026436330323256117,0.02853029708153383,0.06281900274833137,0.08532914539981677,0.018322209134929983,0.006020154430048423,0.02290276141866248,0.017013479911006414,0.022771888496270123,0.017013479911006414,0.009291977489857349,0.0020939667582777124,0.0009161104567464992,0.0007852375343541421,0.00039261876717707107,0.0009161104567464992,1904,4.01313025210084,39.604166666666664,1042.9680670069358
abinadom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
nephi,0.0,4.0,0.0,13.0,0.0,2.0,33.0,29.0,1.0,2.0,4.0,2.0,0.0,2.0,0.0,1.0,42.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,0.0,12.0,0.0,0.0,5.0,0.0,1.0,7.0,16.0,1.0,0.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,6.0,0.0,0.0,2.0,6.0,0.0,9.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02481012658227848,0.06936708860759494,0.05113924050632911,0.011645569620253165,0.12759493670886077,0.06936708860759494,0.026329113924050632,0.061265822784810124,0.05518987341772152,0.04810126582278481,0.09367088607594937,0.017721518987341773,0.018734177215189874,0.06582278481012659,0.09670886075949367,0.011645569620253165,0.006582278481012658,0.021265822784810127,0.01569620253164557,0.03189873417721519,0.020253164556962026,0.005063291139240506,0.0010126582278481013,0.0,0.0,0.0,0.0015189873417721519,519,3.8053949903660884,32.4375,258.9524050632912
amaleki,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
amaron,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
chemish,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
enos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
jacob,0.0,1.0,0.0,0.0,1.0,1.0,5.0,7.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018518518518518517,0.07671957671957672,0.05291005291005291,0.018518518518518517,0.11904761904761904,0.05291005291005291,0.023809523809523808,0.031746031746031744,0.06613756613756613,0.05555555555555555,0.07407407407407407,0.007936507936507936,0.026455026455026454,0.10846560846560846,0.08465608465608465,0.026455026455026454,0.007936507936507936,0.021164021164021163,0.03439153439153439,0.023809523809523808,0.031746031746031744,0.005291005291005291,0.007936507936507936,0.0026455026455026454,0.0,0.0,0.0,81,4.666666666666667,40.0,43.97883597883596
jarom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
