Author,and,now,all,ye,that,have,unto,god,who,do,no,would,of,these,which,the,yet,say,not,to,be,are,hath,in,our,yea,shall,it,was,by,his,should,man,been,did,many,there,were,if,then,an,being,he,is,among,because,they,from,whom,whoso,whatsoever,him,we,for,how,their,had,into,lord,upon,them,but,much,said,or,other,forth,more,therefore,with,again,will,your,according,out,my,thereby,also,every,as,thereof,one,thee,thou,whence,such,neither,may,what,whosoever,when,me,some,must,wherefore,thus,once,make,henceforth,notwithstanding,those,inasmuch,cometh,whose,lest,wheresoever,throughout,could,where,therewith,soever,doeth,oft,wherewithal,became,wherewith,thy,ought,shalt,outward,thence,verily,wherein,abundance,himself,didst,whither,thine,hast,whereby,let,seest,each,whereof,thyself,thereon,without,upward,seemeth,becometh,shouldst,her,therein,upwards,whereon,till,like,hence,than,anything,moreover,ever,m_percentage_use,o_percentage_use,r_percentage_use,a_percentage_use,n_percentage_use,d_percentage_use,w_percentage_use,l_percentage_use,y_percentage_use,e_percentage_use,t_percentage_use,h_percentage_use,v_percentage_use,i_percentage_use,g_percentage_use,u_percentage_use,p_percentage_use,s_percentage_use,c_percentage_use,k_percentage_use,f_percentage_use,b_percentage_use,j_percentage_use,q_percentage_use,â_percentage_use,z_percentage_use,x_percentage_use,Total_Word_Count,AVG_Letter_Per_Word,AVG_Word_Per_Verse,Total_Function_Word_Count
moroni,17.0,1.0,3.0,1.0,7.0,4.0,6.0,11.0,4.0,3.0,1.0,2.0,14.0,1.0,1.0,19.0,2.0,5.0,7.0,5.0,7.0,1.0,1.0,5.0,1.0,1.0,4.0,2.0,2.0,4.0,3.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,5.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035652173913043476,0.08869565217391304,0.04695652173913043,0.08695652173913043,0.06260869565217392,0.05217391304347826,0.02608695652173913,0.035652173913043476,0.025217391304347827,0.11130434782608696,0.0808695652173913,0.08608695652173913,0.009565217391304347,0.04521739130434783,0.02434782608695652,0.02608695652173913,0.00782608695652174,0.059130434782608696,0.02434782608695652,0.004347826086956522,0.01652173913043478,0.019130434782608695,0.0008695652173913044,0.0,0.0,0.0,0.0,296,3.885135135135135,42.285714285714285,178.97565217391306
mormon,84.0,7.0,7.0,10.0,37.0,20.0,10.0,11.0,5.0,7.0,1.0,2.0,88.0,11.0,25.0,98.0,1.0,2.0,10.0,34.0,7.0,22.0,1.0,10.0,4.0,7.0,6.0,8.0,6.0,2.0,9.0,8.0,4.0,11.0,5.0,10.0,3.0,6.0,4.0,1.0,1.0,2.0,15.0,8.0,7.0,4.0,30.0,10.0,1.0,0.0,0.0,9.0,4.0,16.0,5.0,4.0,8.0,8.0,20.0,9.0,17.0,9.0,1.0,7.0,3.0,2.0,1.0,1.0,3.0,13.0,7.0,12.0,1.0,5.0,5.0,22.0,1.0,5.0,1.0,7.0,2.0,3.0,2.0,2.0,1.0,2.0,1.0,8.0,1.0,1.0,1.0,7.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03176185728528699,0.08175473579262213,0.051132317333713144,0.07847884916678535,0.06822389972938328,0.04899586953425438,0.024070645207235435,0.033186155818259504,0.01808859136875089,0.11850163794331292,0.08631249109813417,0.08061529696624413,0.008545791197835067,0.05910838911835921,0.019512889901723403,0.019085600341831647,0.01937046004842615,0.0524141860133884,0.019797749608317903,0.006836632958268053,0.02677681241988321,0.013245976356644353,0.0015667283862697621,0.0001424298532972511,0.0004272895598917533,0.0002848597065945022,0.0,1661,4.226971703792896,34.583333333333336,929.9682381427145
abinadom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
nephi,33.0,0.0,7.0,9.0,19.0,5.0,8.0,4.0,1.0,1.0,2.0,7.0,36.0,1.0,7.0,59.0,1.0,1.0,1.0,12.0,20.0,7.0,6.0,5.0,1.0,5.0,22.0,6.0,0.0,7.0,8.0,6.0,0.0,3.0,0.0,2.0,4.0,0.0,5.0,0.0,1.0,0.0,6.0,5.0,1.0,1.0,13.0,13.0,2.0,0.0,0.0,3.0,1.0,9.0,0.0,5.0,0.0,3.0,10.0,6.0,9.0,6.0,0.0,0.0,1.0,5.0,0.0,1.0,0.0,2.0,0.0,7.0,2.0,3.0,3.0,8.0,0.0,1.0,0.0,3.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027517564402810304,0.0778688524590164,0.05152224824355972,0.0740632318501171,0.0661592505854801,0.04625292740046839,0.01990632318501171,0.05181498829039813,0.021370023419203747,0.12763466042154567,0.08489461358313817,0.07991803278688525,0.011124121779859485,0.05327868852459016,0.014929742388758781,0.022540983606557378,0.010245901639344262,0.05298594847775176,0.019028103044496487,0.004976580796252928,0.027224824355971896,0.02078454332552693,0.0014637002341920376,0.000585480093676815,0.000585480093676815,0.0,0.0002927400468384075,830,4.11566265060241,51.875,472.9689695550351
amaleki,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
amaron,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
chemish,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
enos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
jacob,4.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,1.0,4.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027692307692307693,0.07384615384615385,0.036923076923076927,0.08923076923076922,0.07076923076923076,0.046153846153846156,0.036923076923076927,0.033846153846153845,0.015384615384615385,0.11384615384615385,0.08615384615384615,0.052307692307692305,0.006153846153846154,0.05846153846153846,0.015384615384615385,0.027692307692307693,0.033846153846153845,0.04923076923076923,0.033846153846153845,0.009230769230769232,0.024615384615384615,0.024615384615384615,0.012307692307692308,0.0,0.0,0.0,0.0,81,4.012345679012346,40.5,42.978461538461545
jarom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
