Author,ye,have,what,did,unto,the,and,how,now,therefore,if,will,my,then,shall,be,me,all,for,is,of,an,these,are,which,thou,shalt,their,lord,him,said,that,hath,we,do,thee,in,may,when,with,ever,them,to,let,upon,not,into,or,it,whosoever,there,but,he,man,they,from,your,were,was,forth,out,god,because,thereof,as,by,lest,many,also,thy,no,other,make,thyself,his,wherefore,where,thus,say,neither,thereon,thine,hast,himself,her,who,seemeth,should,had,among,one,than,whither,whence,thence,yet,our,howsoever,would,shouldest,such,till,according,therein,didst,verily,without,again,could,abundance,much,must,throughout,more,whom,yea,like,every,whoso,cometh,moreover,whose,been,whereunto,wherein,became,whatsoever,being,hence,each,inasmuch,downward,whereto,seest,therewith,whereof,once,thereby,outward,becometh,henceforth,whereby,thereupon,doeth,thereunto,wherewith,oft,oftentimes,underneath,those,whensoever,wherewithal,hereof,notwithstanding,whereon,soever,forthwith,some,therefrom,wheresoever,upward,ought,y_percentage_use,e_percentage_use,h_percentage_use,a_percentage_use,v_percentage_use,s_percentage_use,n_percentage_use,w_percentage_use,t_percentage_use,i_percentage_use,d_percentage_use,u_percentage_use,o_percentage_use,g_percentage_use,p_percentage_use,b_percentage_use,r_percentage_use,l_percentage_use,m_percentage_use,f_percentage_use,c_percentage_use,k_percentage_use,x_percentage_use,q_percentage_use,z_percentage_use,j_percentage_use,Total_Word_Count,AVG_Letter_Per_Word,AVG_Word_Per_Verse,Total_Function_Word_Count
Moses,9.0,9.0,1.0,1.0,37.0,118.0,89.0,1.0,2.0,1.0,12.0,8.0,7.0,4.0,25.0,13.0,8.0,12.0,12.0,9.0,34.0,6.0,4.0,2.0,6.0,28.0,21.0,3.0,26.0,11.0,10.0,20.0,3.0,3.0,4.0,10.0,16.0,3.0,4.0,11.0,2.0,12.0,19.0,5.0,9.0,27.0,1.0,8.0,14.0,1.0,2.0,4.0,18.0,2.0,6.0,2.0,2.0,2.0,3.0,3.0,9.0,12.0,1.0,1.0,2.0,5.0,4.0,1.0,2.0,25.0,2.0,1.0,5.0,1.0,13.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,4.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019359380499824004,0.12495600140795494,0.08905315029919042,0.0781414994720169,0.009679690249912002,0.05755015839493136,0.0695177754311862,0.016367476240760296,0.10753255895811334,0.04611052446321718,0.04822245688137979,0.03308694121788103,0.08641323477648716,0.016543470608940514,0.01777543118620204,0.013023583245336149,0.04804646251319958,0.04611052446321718,0.027807110172474482,0.01988736360436466,0.012847588877155931,0.007039774727208729,0.0012319605772615277,0.00035198873636043646,0.00017599436818021823,0.0005279831045406547,1435,3.959581881533101,24.655172413793103,858.9973600844775
Joshua,0.0,0.0,0.0,1.0,8.0,9.0,17.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,14.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,1.0,2.0,1.0,2.0,0.0,1.0,1.0,0.0,5.0,4.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,6.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014175257731958763,0.125,0.08376288659793814,0.10309278350515463,0.002577319587628866,0.03994845360824742,0.08118556701030928,0.023195876288659795,0.08376288659793814,0.05670103092783505,0.06829896907216494,0.024484536082474227,0.08634020618556701,0.027061855670103094,0.006443298969072165,0.010309278350515464,0.04896907216494845,0.024484536082474227,0.02190721649484536,0.024484536082474227,0.01675257731958763,0.014175257731958763,0.0,0.0,0.002577319587628866,0.00902061855670103,194,4.0,32.333333333333336,116.99871134020619
Samuel,1.0,0.0,1.0,1.0,10.0,36.0,42.0,0.0,3.0,0.0,0.0,3.0,2.0,0.0,0.0,1.0,3.0,3.0,5.0,8.0,17.0,1.0,1.0,1.0,3.0,2.0,0.0,3.0,1.0,6.0,7.0,6.0,0.0,4.0,4.0,2.0,11.0,1.0,5.0,3.0,0.0,8.0,13.0,4.0,2.0,7.0,6.0,1.0,1.0,0.0,6.0,4.0,8.0,13.0,8.0,3.0,0.0,4.0,3.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,3.0,3.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020206998521439132,0.12715623459832429,0.08822079842286841,0.08033514046328241,0.005421389847215377,0.051749630359783146,0.08871365204534254,0.02661409561360276,0.10448496796451454,0.062099556431739776,0.04977821586988664,0.029078363725973385,0.07787087235091178,0.018728437654016758,0.008871365204534253,0.018728437654016758,0.04435682602267127,0.025135534746180386,0.03351404632824051,0.016264169541646133,0.01330704780680138,0.0049285362247412515,0.0,0.0,0.0,0.0034499753573188764,537,3.7783985102420856,35.8,328.99901429275513
Unknown,0.0,2.0,1.0,1.0,5.0,10.0,14.0,0.0,2.0,1.0,0.0,2.0,4.0,2.0,4.0,0.0,0.0,4.0,4.0,1.0,4.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,1.0,3.0,6.0,4.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021396396396396396,0.09684684684684684,0.08783783783783784,0.11036036036036036,0.015765765765765764,0.0731981981981982,0.07657657657657657,0.013513513513513514,0.10135135135135136,0.05067567567567568,0.05518018018018018,0.02364864864864865,0.06756756756756757,0.010135135135135136,0.006756756756756757,0.018018018018018018,0.036036036036036036,0.0518018018018018,0.02252252252252252,0.021396396396396396,0.010135135135135136,0.009009009009009009,0.0,0.0,0.0033783783783783786,0.0022522522522522522,221,4.018099547511312,35.833333333333336,124.98536036036033
Unknown,0.0,2.0,0.0,0.0,4.0,18.0,11.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,2.0,3.0,0.0,3.0,4.0,0.0,14.0,5.0,0.0,0.0,1.0,2.0,1.0,0.0,6.0,0.0,2.0,5.0,2.0,0.0,0.0,2.0,6.0,0.0,0.0,2.0,1.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,3.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0176017601760176,0.11441144114411442,0.0847084708470847,0.0847084708470847,0.011001100110011002,0.05720572057205721,0.056105610561056105,0.011001100110011002,0.09900990099009901,0.06930693069306931,0.05720572057205721,0.0352035203520352,0.0847084708470847,0.013201320132013201,0.0121012101210121,0.019801980198019802,0.050605060506050605,0.0539053905390539,0.0231023102310231,0.030803080308030802,0.011001100110011002,0.0033003300330033004,0.0,0.0,0.0,0.0,238,3.819327731092437,29.75,145.00000000000003
Unknown,0.0,1.0,0.0,1.0,0.0,20.0,20.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,11.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,7.0,3.0,1.0,0.0,0.0,0.0,1.0,8.0,0.0,2.0,2.0,0.0,0.0,7.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011013215859030838,0.11123348017621146,0.10242290748898679,0.09801762114537445,0.005506607929515419,0.048458149779735685,0.06387665198237885,0.019823788546255508,0.09030837004405286,0.07819383259911894,0.06497797356828194,0.025330396475770924,0.07048458149779736,0.013215859030837005,0.00881057268722467,0.018722466960352423,0.05837004405286344,0.028634361233480177,0.019823788546255508,0.025330396475770924,0.014317180616740088,0.005506607929515419,0.0,0.0011013215859030838,0.005506607929515419,0.011013215859030838,230,3.9478260869565216,32.857142857142854,124.00000000000003
Ezra,0.0,0.0,0.0,0.0,5.0,57.0,35.0,0.0,2.0,1.0,0.0,3.0,7.0,4.0,0.0,3.0,4.0,2.0,20.0,6.0,24.0,5.0,0.0,0.0,4.0,4.0,2.0,0.0,15.0,4.0,6.0,9.0,0.0,0.0,1.0,2.0,11.0,2.0,1.0,2.0,0.0,0.0,17.0,1.0,3.0,3.0,1.0,0.0,7.0,0.0,2.0,3.0,7.0,0.0,1.0,2.0,0.0,2.0,3.0,0.0,1.0,5.0,2.0,1.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,1.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01045751633986928,0.10544662309368191,0.07276688453159041,0.08758169934640522,0.01045751633986928,0.04967320261437908,0.0766884531590414,0.017429193899782137,0.0915032679738562,0.062309368191721136,0.06884531590413943,0.02962962962962963,0.08888888888888889,0.024400871459694988,0.009586056644880174,0.017429193899782137,0.05969498910675381,0.037037037037037035,0.020479302832244008,0.03616557734204793,0.01568627450980392,0.00392156862745098,0.00130718954248366,0.00043572984749455336,0.00043572984749455336,0.0008714596949891067,568,4.040492957746479,28.4,334.9991285403049
Nehemiah,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010582010582010581,0.13227513227513227,0.08465608465608465,0.06349206349206349,0.021164021164021163,0.042328042328042326,0.09523809523809523,0.021164021164021163,0.07936507936507936,0.06349206349206349,0.10052910052910052,0.026455026455026454,0.06349206349206349,0.010582010582010581,0.0,0.005291005291005291,0.06349206349206349,0.021164021164021163,0.005291005291005291,0.037037037037037035,0.031746031746031744,0.005291005291005291,0.010582010582010581,0.0,0.005291005291005291,0.0,38,4.973684210526316,9.5,12.999999999999996
Mordecai,0.0,0.0,0.0,0.0,1.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009259259259259259,0.16203703703703703,0.10185185185185185,0.05092592592592592,0.004629629629629629,0.046296296296296294,0.10185185185185185,0.023148148148148147,0.09259259259259259,0.05555555555555555,0.037037037037037035,0.023148148148148147,0.06944444444444445,0.027777777777777776,0.009259259259259259,0.013888888888888888,0.037037037037037035,0.018518518518518517,0.027777777777777776,0.009259259259259259,0.041666666666666664,0.018518518518518517,0.004629629629629629,0.0,0.004629629629629629,0.0,52,4.153846153846154,51.0,26.99074074074075
Unknown,0.0,3.0,0.0,0.0,1.0,10.0,7.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,1.0,1.0,3.0,5.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,4.0,0.0,3.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,3.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,7.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01466275659824047,0.1217008797653959,0.10117302052785923,0.09530791788856305,0.011730205278592375,0.0718475073313783,0.0689149560117302,0.021994134897360705,0.08651026392961877,0.0718475073313783,0.04838709677419355,0.020527859237536656,0.054252199413489736,0.017595307917888565,0.01466275659824047,0.011730205278592375,0.05865102639296188,0.03812316715542522,0.02346041055718475,0.01906158357771261,0.013196480938416423,0.013196480938416423,0.0,0.0,0.0,0.0,163,4.184049079754601,16.3,93.99853372434018
