Author,and,now,we,have,according,to,our,in,the,which,are,among,being,by,of,if,had,been,should,but,hath,also,could,ye,would,no,lord,that,other,because,therefore,he,for,thereof,these,may,who,yea,their,all,be,god,with,them,an,those,were,upon,it,was,said,his,they,more,into,thereby,from,many,unto,when,out,himself,every,one,as,him,not,is,than,man,yet,shall,or,thus,becometh,did,do,such,became,abundance,there,whose,forth,what,thou,hast,thy,wherefore,whom,cometh,how,make,again,inasmuch,must,my,neither,say,your,till,wheresoever,then,notwithstanding,throughout,where,therewith,soever,thee,doeth,me,oft,wherewithal,wherewith,whatsoever,ought,henceforth,thence,outward,verily,wherein,some,didst,whither,lest,thine,whereby,let,whoso,seest,each,whereof,once,thyself,much,thereon,without,upward,whence,seemeth,shouldst,her,therein,upwards,whereon,will,like,hence,whosoever,shalt,anything,moreover,ever,m_percentage_use,o_percentage_use,r_percentage_use,a_percentage_use,n_percentage_use,d_percentage_use,w_percentage_use,b_percentage_use,e_percentage_use,h_percentage_use,l_percentage_use,v_percentage_use,i_percentage_use,t_percentage_use,s_percentage_use,c_percentage_use,g_percentage_use,u_percentage_use,k_percentage_use,f_percentage_use,y_percentage_use,p_percentage_use,j_percentage_use,x_percentage_use,z_percentage_use,q_percentage_use,â_percentage_use,Total_Word_Count,AVG_Letter_Per_Word,AVG_Word_Per_Verse,Total_Function_Word_Count
moroni,12.0,2.0,6.0,8.0,4.0,6.0,9.0,6.0,19.0,4.0,3.0,1.0,1.0,3.0,10.0,2.0,2.0,2.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,3.0,4.0,2.0,1.0,1.0,3.0,1.0,1.0,2.0,5.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025295109612141653,0.07841483979763912,0.0775716694772344,0.0733558178752108,0.07419898819561552,0.046374367622259695,0.02951096121416526,0.0193929173693086,0.13827993254637436,0.08263069139966273,0.02782462057335582,0.01011804384485666,0.048060708263069137,0.08600337268128162,0.03456998313659359,0.02866779089376054,0.0193929173693086,0.024451939291736932,0.0042158516020236085,0.021079258010118045,0.013490725126475547,0.012647554806070826,0.0016863406408094434,0.0,0.0,0.0,0.0,263,4.509505703422053,37.57142857142857,151.9772344013491
mormon,132.0,11.0,0.0,3.0,0.0,47.0,0.0,23.0,93.0,20.0,3.0,5.0,0.0,8.0,77.0,1.0,18.0,2.0,13.0,5.0,0.0,13.0,6.0,0.0,0.0,3.0,3.0,53.0,1.0,3.0,5.0,51.0,8.0,2.0,2.0,1.0,1.0,4.0,34.0,16.0,11.0,5.0,11.0,30.0,3.0,0.0,13.0,9.0,20.0,9.0,8.0,34.0,35.0,1.0,2.0,2.0,6.0,7.0,14.0,4.0,6.0,2.0,1.0,3.0,3.0,14.0,8.0,3.0,1.0,5.0,1.0,5.0,2.0,7.0,1.0,17.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.034487367998930624,0.07191551931559952,0.04224034220024061,0.0916989707258388,0.06924207993583746,0.05400347547119369,0.018580403689346343,0.01376821280577463,0.10773960700441118,0.08808982756316,0.03061088089827563,0.005213206790536024,0.06884106402887315,0.09143162678786258,0.05961769816869403,0.01844673172035824,0.01831305975137014,0.019382435503274963,0.009089693891191018,0.022857906696965646,0.011763133270953081,0.02005079534821548,0.0005346878759524128,0.0012030477208929287,0.0012030477208929287,0.0002673439379762064,0.0001336719689881032,1787,4.186345831001679,37.229166666666664,981.9707258387916
abinadom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
nephi,44.0,1.0,1.0,6.0,4.0,18.0,1.0,16.0,68.0,10.0,6.0,0.0,2.0,6.0,32.0,8.0,5.0,3.0,4.0,0.0,2.0,5.0,3.0,4.0,1.0,15.0,1.0,19.0,2.0,2.0,0.0,15.0,12.0,0.0,3.0,2.0,4.0,2.0,0.0,12.0,16.0,11.0,0.0,1.0,3.0,1.0,2.0,2.0,8.0,3.0,2.0,4.0,8.0,0.0,0.0,0.0,5.0,0.0,11.0,0.0,1.0,3.0,0.0,5.0,3.0,4.0,5.0,25.0,0.0,4.0,0.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,16.0,0.0,0.0,0.0,2.0,1.0,1.0,17.0,1.0,1.0,1.0,2.0,1.0,1.0,8.0,2.0,7.0,4.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018584312653730527,0.07297075703744192,0.058212626400655915,0.06941787373599344,0.07843673134736266,0.03962831374692539,0.018584312653730527,0.014758130636786007,0.1404755397649631,0.08171631593331512,0.032249248428532384,0.009018857611369226,0.06449849685706477,0.08936867996720416,0.06149221098660836,0.018584312653730527,0.016944520360754306,0.020497403662202787,0.003006285870456409,0.03443563815250068,0.014211533205793932,0.01448483192128997,0.0008198961464881115,0.0008198961464881115,0.0,0.0,0.00027329871549603714,893,4.097424412094065,55.8125,543.9734900245966
amaleki,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
amaron,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
chemish,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
enos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
jacob,7.0,0.0,6.0,1.0,0.0,2.0,1.0,5.0,6.0,2.0,0.0,0.0,0.0,0.0,6.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,7.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01936619718309859,0.0897887323943662,0.045774647887323945,0.06866197183098592,0.07746478873239436,0.03873239436619718,0.02992957746478873,0.01936619718309859,0.10915492957746478,0.07746478873239436,0.028169014084507043,0.007042253521126761,0.07922535211267606,0.08098591549295775,0.07746478873239436,0.022887323943661973,0.017605633802816902,0.02640845070422535,0.00528169014084507,0.03169014084507042,0.017605633802816902,0.01584507042253521,0.0035211267605633804,0.0,0.0,0.0,0.0,140,4.057142857142857,70.0,77.98943661971833
jarom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
