Author,and,they,in,unto,into,the,of,all,wherein,is,that,as,god,had,him,lord,was,upon,it,were,upward,did,every,man,whose,which,from,with,an,to,also,he,forth,if,but,no,for,her,then,his,yet,other,again,out,not,more,thou,thy,thee,may,be,whatsoever,their,said,will,neither,have,shall,them,your,are,thereof,ye,whoso,by,therein,my,there,make,me,do,when,these,without,what,thine,thus,whence,whither,could,those,would,because,than,hath,henceforth,or,therefore,now,many,how,lest,let,been,who,abundance,say,hast,should,ever,yea,whom,wherefore,one,we,according,our,among,whereof,like,himself,where,much,shalt,moreover,wherewith,till,being,thence,throughout,whereby,some,doeth,soever,didst,each,inasmuch,downward,whereto,seest,therewith,once,thereby,shouldest,outward,hence,howsoever,becometh,thereon,must,thereupon,thereunto,became,oft,oftentimes,cometh,such,whosoever,underneath,whereunto,whensoever,wherewithal,seemeth,hereof,thyself,notwithstanding,verily,whereon,forthwith,therefrom,wheresoever,ought,a_percentage_use,n_percentage_use,d_percentage_use,t_percentage_use,h_percentage_use,e_percentage_use,y_percentage_use,w_percentage_use,i_percentage_use,u_percentage_use,o_percentage_use,r_percentage_use,k_percentage_use,f_percentage_use,l_percentage_use,s_percentage_use,b_percentage_use,m_percentage_use,g_percentage_use,c_percentage_use,p_percentage_use,v_percentage_use,x_percentage_use,q_percentage_use,j_percentage_use,z_percentage_use,Total_Word_Count,AVG_Letter_Per_Word,AVG_Word_Per_Verse,Total_Function_Word_Count
Moses,147.0,7.0,24.0,11.0,4.0,155.0,72.0,17.0,1.0,12.0,22.0,3.0,11.0,3.0,12.0,5.0,14.0,21.0,8.0,16.0,1.0,1.0,23.0,10.0,1.0,8.0,11.0,15.0,4.0,12.0,2.0,14.0,12.0,1.0,2.0,2.0,8.0,4.0,1.0,16.0,2.0,2.0,4.0,3.0,5.0,6.0,1.0,3.0,3.0,2.0,16.0,1.0,5.0,6.0,8.0,3.0,3.0,14.0,2.0,4.0,2.0,2.0,2.0,1.0,2.0,1.0,4.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09613027490807215,0.08282262300822973,0.05655752057433024,0.09840658378567677,0.0843985291542637,0.1334267203642094,0.018910873752407634,0.02451409560497286,0.04867798984416039,0.022062686044475574,0.06846436701103134,0.05585711784275959,0.006828926632813868,0.03361933111539135,0.03589563999299597,0.04377517072316582,0.0138329539485204,0.019085974435300298,0.011381544388023114,0.013132551216949746,0.010856242339345124,0.016109262826125022,0.0003502013657853266,0.0005253020486779899,0.0003502013657853266,0.0,1452,3.933195592286501,24.948275862068964,831.9959726842934
Joshua,11.0,3.0,2.0,2.0,2.0,18.0,10.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,7.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,5.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07005494505494506,0.07554945054945054,0.03708791208791209,0.12362637362637363,0.09752747252747253,0.1304945054945055,0.016483516483516484,0.024725274725274724,0.0521978021978022,0.03296703296703297,0.08516483516483517,0.04807692307692308,0.009615384615384616,0.023351648351648352,0.02197802197802198,0.04120879120879121,0.012362637362637362,0.03159340659340659,0.016483516483516484,0.0260989010989011,0.006868131868131868,0.004120879120879121,0.0013736263736263737,0.0013736263736263737,0.005494505494505495,0.0,191,3.81151832460733,31.666666666666668,103.99587912087912
Samuel,27.0,12.0,3.0,7.0,3.0,42.0,26.0,3.0,0.0,0.0,9.0,5.0,1.0,4.0,0.0,18.0,5.0,0.0,3.0,3.0,0.0,3.0,0.0,0.0,0.0,8.0,3.0,1.0,0.0,6.0,2.0,6.0,0.0,0.0,2.0,0.0,3.0,0.0,1.0,0.0,2.0,3.0,0.0,7.0,9.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,13.0,2.0,2.0,1.0,1.0,0.0,24.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07192807192807193,0.06393606393606394,0.06293706293706294,0.10839160839160839,0.09290709290709291,0.14085914085914086,0.015484515484515484,0.023476523476523476,0.045454545454545456,0.02097902097902098,0.08441558441558442,0.06343656343656344,0.006493506493506494,0.025474525474525476,0.03596403596403597,0.05044955044955045,0.00949050949050949,0.022477522477522476,0.016983016983016984,0.01098901098901099,0.00999000999000999,0.011988011988011988,0.0004995004995004995,0.0004995004995004995,0.003996003996003996,0.0,466,4.296137339055794,31.066666666666666,297.99950049950047
Unknown,4.0,3.0,5.0,0.0,0.0,16.0,14.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0647887323943662,0.0676056338028169,0.035211267605633804,0.1056338028169014,0.08028169014084507,0.1323943661971831,0.023943661971830985,0.02112676056338028,0.0647887323943662,0.0323943661971831,0.08028169014084507,0.054929577464788736,0.0028169014084507044,0.0323943661971831,0.054929577464788736,0.056338028169014086,0.01267605633802817,0.014084507042253521,0.02112676056338028,0.01267605633802817,0.018309859154929577,0.007042253521126761,0.0,0.0,0.004225352112676056,0.0,165,4.303030303030303,27.5,92.99999999999996
Unknown,25.0,2.0,2.0,2.0,1.0,20.0,6.0,2.0,0.0,2.0,1.0,2.0,2.0,0.0,2.0,5.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,3.0,0.0,0.0,1.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,6.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10503751339764202,0.08896034297963558,0.07395498392282958,0.08788853161843516,0.08145766345123258,0.11789924973204716,0.021436227224008574,0.00964630225080386,0.06109324758842444,0.010718113612004287,0.06538049303322616,0.04072883172561629,0.01607717041800643,0.01607717041800643,0.03858520900321544,0.05894962486602358,0.01714898177920686,0.01929260450160772,0.01929260450160772,0.013933547695605574,0.00964630225080386,0.015005359056806002,0.0010718113612004287,0.0,0.003215434083601286,0.0021436227224008574,236,3.9533898305084745,29.25,130.99464094319399
Unknown,21.0,6.0,0.0,5.0,0.0,10.0,4.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,3.0,5.0,0.0,1.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,7.0,0.0,4.0,0.0,2.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,3.0,5.0,9.0,0.0,4.0,0.0,0.0,8.0,3.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09544008483563096,0.05938494167550371,0.05514316012725345,0.11240721102863202,0.09013785790031813,0.13149522799575822,0.026511134676564158,0.024390243902439025,0.05938494167550371,0.015906680805938492,0.0816542948038176,0.05090137857900318,0.008483563096500531,0.019088016967126194,0.04029692470837752,0.053022269353128315,0.008483563096500531,0.019088016967126194,0.0042417815482502655,0.007423117709437964,0.014846235418875928,0.01166489925768823,0.0,0.0,0.009544008483563097,0.0,255,3.6980392156862747,36.42857142857143,147.99893955461292
Ezra,39.0,0.0,4.0,2.0,0.0,28.0,21.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,5.0,0.0,6.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,2.0,0.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1313813813813814,0.07282282282282282,0.0533033033033033,0.07357357357357357,0.09534534534534535,0.12912912912912913,0.0015015015015015015,0.02027027027027027,0.04954954954954955,0.015765765765765764,0.06156156156156156,0.06456456456456457,0.003003003003003003,0.028528528528528527,0.023273273273273273,0.05405405405405406,0.03528528528528529,0.026276276276276277,0.017267267267267267,0.014264264264264264,0.0022522522522522522,0.0022522522522522522,0.0007507507507507507,0.0,0.00975975975975976,0.012012012012012012,303,4.396039603960396,15.1,140.99774774774772
Nehemiah,4.0,0.0,1.0,6.0,0.0,11.0,4.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,3.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06930693069306931,0.07128712871287128,0.041584158415841586,0.11287128712871287,0.08118811881188119,0.12475247524752475,0.02574257425742574,0.019801980198019802,0.06732673267326733,0.04356435643564356,0.06732673267326733,0.04554455445544554,0.015841584158415842,0.031683168316831684,0.02178217821782178,0.06534653465346535,0.005940594059405941,0.01782178217821782,0.02178217821782178,0.02178217821782178,0.009900990099009901,0.013861386138613862,0.0,0.0019801980198019802,0.0019801980198019802,0.0,127,3.9763779527559056,31.75,74.0
Mordecai,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06306306306306306,0.09009009009009009,0.07207207207207207,0.036036036036036036,0.09009009009009009,0.13513513513513514,0.036036036036036036,0.018018018018018018,0.04504504504504504,0.036036036036036036,0.08108108108108109,0.05405405405405406,0.009009009009009009,0.02702702702702703,0.02702702702702703,0.08108108108108109,0.0,0.02702702702702703,0.018018018018018018,0.02702702702702703,0.0,0.009009009009009009,0.009009009009009009,0.0,0.009009009009009009,0.0,24,4.625,24.0,12.999999999999998
Unknown,17.0,7.0,2.0,3.0,0.0,12.0,5.0,2.0,1.0,1.0,3.0,1.0,3.0,1.0,7.0,0.0,4.0,5.0,6.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,2.0,3.0,1.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,7.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,3.0,4.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0814299900695134,0.07547169811320754,0.0605759682224429,0.1002979145978153,0.08341608738828203,0.12413108242303873,0.01787487586891758,0.025819265143992055,0.07547169811320754,0.020854021847070508,0.06653426017874876,0.04369414101290963,0.00893743793445879,0.020854021847070508,0.033763654419066536,0.05660377358490566,0.009930486593843098,0.021847070506454815,0.012909632571996028,0.015888778550148957,0.020854021847070508,0.012909632571996028,0.0,0.0,0.003972194637537239,0.0019860973187686196,254,3.9645669291338583,25.3,142.99602780536242
