Author,and,for,the,of,other,in,shall,from,to,thou,shalt,with,make,their,according,thereof,which,was,thee,it,be,upon,that,unto,without,an,them,his,all,may,into,as,they,there,one,every,where,is,lord,ever,thy,him,among,he,me,are,whom,have,these,like,being,then,said,out,those,did,forth,when,your,not,thus,do,ye,were,wherein,had,been,again,therefore,but,also,now,god,till,should,who,how,we,by,will,our,more,if,no,man,or,yet,whither,hast,thine,neither,thence,my,much,let,whosoever,moreover,whence,hath,himself,say,what,verily,her,cometh,whoso,than,whose,because,therein,many,forthwith,would,must,wherefore,once,some,lest,didst,each,inasmuch,downward,abundance,whereto,seest,therewith,whereof,whatsoever,thereby,shouldest,outward,hence,howsoever,throughout,becometh,henceforth,whereby,thereon,thereupon,doeth,thereunto,became,wherewith,oft,oftentimes,such,underneath,whereunto,whensoever,wherewithal,seemeth,hereof,thyself,notwithstanding,whereon,soever,could,therefrom,yea,wheresoever,upward,ought,a_percentage_use,n_percentage_use,d_percentage_use,f_percentage_use,i_percentage_use,v_percentage_use,e_percentage_use,b_percentage_use,r_percentage_use,s_percentage_use,o_percentage_use,t_percentage_use,h_percentage_use,c_percentage_use,l_percentage_use,w_percentage_use,m_percentage_use,u_percentage_use,y_percentage_use,g_percentage_use,k_percentage_use,p_percentage_use,q_percentage_use,z_percentage_use,j_percentage_use,x_percentage_use,Total_Word_Count,AVG_Letter_Per_Word,AVG_Word_Per_Verse,Total_Function_Word_Count
Moses,130.0,24.0,170.0,107.0,5.0,21.0,44.0,3.0,15.0,44.0,43.0,19.0,28.0,24.0,5.0,14.0,6.0,2.0,4.0,20.0,36.0,12.0,8.0,8.0,2.0,12.0,8.0,13.0,7.0,5.0,1.0,1.0,9.0,2.0,4.0,2.0,1.0,3.0,2.0,1.0,3.0,2.0,1.0,3.0,3.0,3.0,1.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08745306633291615,0.06852315394242804,0.04224030037546934,0.03254067584480601,0.052878598247809765,0.008291614518147685,0.11874217772215269,0.02018147684605757,0.05553817271589487,0.06508135168961202,0.0769712140175219,0.10622653316645807,0.08573216520650813,0.0172090112640801,0.051783479349186486,0.017052565707133916,0.015957446808510637,0.025969962453066334,0.007822277847309137,0.01548811013767209,0.010168961201501877,0.013610763454317897,0.00031289111389236547,0.00031289111389236547,0.0006257822277847309,0.0006257822277847309,1543,4.142579390797148,26.517241379310345,887.9973404255319
Joshua,18.0,2.0,23.0,16.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,3.0,2.0,5.0,0.0,0.0,7.0,0.0,2.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,3.0,4.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07867730900798175,0.08323831242873432,0.04446978335233751,0.0330672748004561,0.05131128848346636,0.011402508551881414,0.12314709236031927,0.00798175598631699,0.03534777651083238,0.05017103762827822,0.08437856328392246,0.10604332953249715,0.08779931584948689,0.021664766248574687,0.019384264538198404,0.014823261117445839,0.03192702394526796,0.037628278221208664,0.013683010262257697,0.028506271379703536,0.013683010262257697,0.010262257696693273,0.0,0.0,0.009122006841505131,0.0,224,3.9151785714285716,37.166666666666664,128.9977194982896
Samuel,28.0,5.0,36.0,25.0,0.0,6.0,3.0,1.0,12.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,2.0,1.0,0.0,1.0,2.0,2.0,12.0,6.0,0.0,1.0,13.0,1.0,6.0,0.0,0.0,2.0,9.0,7.0,2.0,1.0,0.0,3.0,4.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,1.0,1.0,0.0,4.0,0.0,2.0,0.0,2.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07927519818799547,0.07361268403171008,0.05266138165345413,0.03001132502831257,0.05492638731596829,0.008493771234428085,0.1392978482446206,0.015288788221970554,0.057757644394110984,0.04869762174405436,0.07587768969422423,0.10079275198187995,0.07417893544733861,0.01698754246885617,0.03850509626274066,0.02378255945639864,0.03454133635334088,0.02491506228765572,0.014156285390713477,0.015855039637599093,0.0033975084937712344,0.010192525481313703,0.0,0.0016987542468856172,0.003963759909399773,0.0005662514156285391,430,4.1069767441860465,28.666666666666668,240.99943374858435
Unknown,23.0,0.0,19.0,8.0,0.0,2.0,0.0,2.0,7.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,2.0,4.0,0.0,0.0,1.0,1.0,2.0,3.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11205976520811099,0.06937033084311633,0.06830309498399147,0.02774813233724653,0.060832443970117396,0.016008537886873,0.128068303094984,0.013874066168623266,0.0576307363927428,0.06510138740661686,0.05976520811099253,0.09284951974386339,0.0736392742796158,0.0096051227321238,0.029882604055496264,0.022411953041622197,0.02774813233724653,0.013874066168623266,0.013874066168623266,0.012806830309498399,0.005336179295624333,0.0096051227321238,0.0010672358591248667,0.0010672358591248667,0.0032017075773745998,0.0010672358591248667,219,4.2785388127853885,36.333333333333336,105.99679829242264
Unknown,18.0,4.0,12.0,8.0,0.0,6.0,1.0,1.0,2.0,6.0,0.0,3.0,1.0,12.0,0.0,0.0,5.0,0.0,7.0,0.0,3.0,0.0,7.0,9.0,0.0,0.0,11.0,0.0,4.0,2.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08843537414965986,0.07993197278911565,0.031462585034013606,0.017857142857142856,0.06972789115646258,0.017857142857142856,0.13690476190476192,0.005952380952380952,0.05357142857142857,0.04251700680272109,0.05357142857142857,0.11649659863945579,0.0977891156462585,0.026360544217687076,0.02976190476190476,0.016156462585034014,0.023809523809523808,0.02465986394557823,0.026360544217687076,0.011054421768707483,0.003401360544217687,0.026360544217687076,0.0,0.0,0.0,0.0,259,4.54054054054054,32.375,165.99999999999994
Unknown,18.0,3.0,11.0,6.0,0.0,3.0,3.0,0.0,9.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,4.0,3.0,0.0,2.0,3.0,0.0,0.0,5.0,4.0,5.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,1.0,9.0,0.0,14.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10604453870625663,0.061505832449628844,0.05090137857900318,0.014846235418875928,0.07317073170731707,0.01166489925768823,0.12937433722163308,0.018027571580063628,0.042417815482502653,0.04984093319194061,0.060445387062566275,0.09437963944856839,0.09862142099681867,0.016967126193001062,0.04878048780487805,0.015906680805938492,0.036055143160127257,0.014846235418875928,0.013785790031813362,0.014846235418875928,0.0042417815482502655,0.013785790031813362,0.0,0.0010604453870625664,0.007423117709437964,0.0,242,3.896694214876033,34.57142857142857,148.9989395546129
Ezra,33.0,2.0,63.0,56.0,0.0,4.0,0.0,0.0,13.0,0.0,0.0,5.0,0.0,9.0,4.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09644670050761421,0.06548223350253807,0.04213197969543147,0.03654822335025381,0.06142131979695432,0.007614213197969543,0.12233502538071066,0.009644670050761422,0.05939086294416244,0.07106598984771574,0.08274111675126904,0.08121827411167512,0.11269035532994924,0.018781725888324875,0.02182741116751269,0.012182741116751269,0.024365482233502538,0.018274111675126905,0.0025380710659898475,0.012182741116751269,0.007106598984771574,0.012690355329949238,0.0,0.008629441624365483,0.009137055837563452,0.0005076142131979696,444,4.436936936936937,22.1,230.99695431472082
Nehemiah,4.0,0.0,6.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.047058823529411764,0.08235294117647059,0.08235294117647059,0.06470588235294118,0.047058823529411764,0.0058823529411764705,0.1411764705882353,0.0058823529411764705,0.08235294117647059,0.0058823529411764705,0.07647058823529412,0.10588235294117647,0.11176470588235295,0.023529411764705882,0.023529411764705882,0.01764705882352941,0.01764705882352941,0.029411764705882353,0.023529411764705882,0.0,0.0,0.0,0.0,0.0,0.0058823529411764705,0.0,39,4.358974358974359,9.75,17.000000000000014
Mordecai,3.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1103448275862069,0.08275862068965517,0.041379310344827586,0.027586206896551724,0.05517241379310345,0.027586206896551724,0.15862068965517243,0.0,0.04827586206896552,0.08275862068965517,0.041379310344827586,0.1103448275862069,0.06206896551724138,0.027586206896551724,0.020689655172413793,0.0,0.013793103448275862,0.006896551724137931,0.0,0.041379310344827586,0.013793103448275862,0.013793103448275862,0.0,0.0,0.0,0.0,36,4.027777777777778,35.0,17.98620689655172
Unknown,6.0,2.0,7.0,3.0,0.0,2.0,7.0,1.0,1.0,2.0,1.0,3.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0960960960960961,0.06456456456456457,0.03453453453453453,0.01951951951951952,0.05855855855855856,0.0045045045045045045,0.12762762762762764,0.010510510510510511,0.06756756756756757,0.06756756756756757,0.06606606606606606,0.09759759759759759,0.09009009009009009,0.016516516516516516,0.046546546546546545,0.024024024024024024,0.03153153153153153,0.016516516516516516,0.025525525525525526,0.012012012012012012,0.0045045045045045045,0.013513513513513514,0.0,0.0,0.0,0.003003003003003003,165,4.036363636363636,16.5,91.9984984984985
