Author,and,other,of,thou,shalt,make,them,the,underneath,thereof,they,shall,by,unto,with,that,it,may,be,not,from,in,upon,his,when,he,for,lord,all,there,an,have,as,were,to,cometh,out,like,which,their,thy,him,me,or,ever,is,do,one,without,into,then,but,also,therein,those,wherewith,was,because,are,if,ought,thus,according,thee,every,hast,whatsoever,now,let,did,had,said,what,ye,hath,man,among,no,some,again,yet,how,we,must,our,therefore,will,say,each,should,her,didst,thine,god,these,my,forth,whom,your,who,where,wherefore,yea,whereby,such,than,many,more,whose,much,till,whosoever,abundance,neither,lest,been,could,himself,inasmuch,downward,whereto,seest,therewith,wherein,thence,whereof,once,thereby,shouldest,being,outward,hence,howsoever,throughout,becometh,henceforth,thereon,thereupon,doeth,thereunto,became,moreover,oft,oftentimes,whither,would,whereunto,whence,whensoever,wherewithal,seemeth,hereof,thyself,notwithstanding,verily,whereon,soever,forthwith,therefrom,wheresoever,whoso,upward,a_percentage_use,n_percentage_use,d_percentage_use,t_percentage_use,w_percentage_use,o_percentage_use,h_percentage_use,e_percentage_use,r_percentage_use,i_percentage_use,g_percentage_use,s_percentage_use,f_percentage_use,l_percentage_use,u_percentage_use,m_percentage_use,k_percentage_use,p_percentage_use,v_percentage_use,c_percentage_use,b_percentage_use,y_percentage_use,j_percentage_use,q_percentage_use,z_percentage_use,x_percentage_use,Total_Word_Count,AVG_Letter_Per_Word,AVG_Word_Per_Verse,Total_Function_Word_Count
Moses,163.0,5.0,97.0,55.0,59.0,12.0,29.0,199.0,1.0,7.0,11.0,31.0,8.0,20.0,15.0,23.0,37.0,5.0,26.0,6.0,4.0,22.0,40.0,38.0,8.0,7.0,23.0,16.0,6.0,1.0,12.0,2.0,1.0,1.0,17.0,2.0,2.0,1.0,7.0,10.0,3.0,9.0,2.0,2.0,2.0,20.0,3.0,8.0,2.0,2.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09753034742570113,0.07967071299009348,0.04283521696665271,0.11078554485837867,0.010464629552113856,0.08525184875122087,0.09097251290637645,0.11078554485837867,0.05218361936654109,0.04953257988000558,0.014092367796846658,0.04869540951583647,0.032789172596623416,0.044928142877075486,0.03153341705036975,0.020231617134086787,0.007395004883493791,0.015487651737128506,0.0064183061252964975,0.016045765313241245,0.019813031952002232,0.009069345611832008,0.0004185851820845542,0.0002790567880563695,0.0,0.0,1782,4.021885521885522,30.586206896551722,1107.9972094321197
Joshua,20.0,0.0,9.0,0.0,0.0,0.0,1.0,20.0,0.0,3.0,0.0,0.0,0.0,5.0,5.0,5.0,8.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,9.0,0.0,2.0,6.0,0.0,0.0,0.0,2.0,3.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09212121212121212,0.07878787878787878,0.06909090909090909,0.0993939393939394,0.014545454545454545,0.07272727272727272,0.0993939393939394,0.12,0.03878787878787879,0.07272727272727272,0.02181818181818182,0.044848484848484846,0.020606060606060607,0.04606060606060606,0.02181818181818182,0.024242424242424242,0.01818181818181818,0.008484848484848486,0.0024242424242424242,0.013333333333333334,0.006060606060606061,0.0048484848484848485,0.007272727272727273,0.0,0.0012121212121212121,0.0,205,4.024390243902439,34.166666666666664,129.99878787878782
Samuel,25.0,0.0,29.0,0.0,0.0,0.0,12.0,40.0,0.0,0.0,9.0,4.0,2.0,6.0,3.0,14.0,1.0,1.0,7.0,6.0,2.0,9.0,0.0,2.0,1.0,1.0,8.0,3.0,0.0,6.0,1.0,1.0,0.0,3.0,14.0,0.0,4.0,0.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,5.0,2.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,1.0,5.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08544303797468354,0.07489451476793249,0.046413502109704644,0.10126582278481013,0.0189873417721519,0.07383966244725738,0.08860759493670886,0.13924050632911392,0.04272151898734177,0.05907172995780591,0.0189873417721519,0.04535864978902954,0.02689873417721519,0.03270042194092827,0.0189873417721519,0.03217299578059072,0.002109704641350211,0.007911392405063292,0.010548523206751054,0.020569620253164556,0.023734177215189875,0.021624472573839662,0.006856540084388186,0.0,0.0005274261603375527,0.0,453,4.185430463576159,30.2,275.9994725738397
Unknown,19.0,0.0,5.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0944741532976827,0.08199643493761141,0.0962566844919786,0.0766488413547237,0.0285204991087344,0.08021390374331551,0.08377896613190731,0.10695187165775401,0.044563279857397504,0.0659536541889483,0.0106951871657754,0.0570409982174688,0.0196078431372549,0.0196078431372549,0.0338680926916221,0.026737967914438502,0.0071301247771836,0.012477718360071301,0.0142602495543672,0.0106951871657754,0.0071301247771836,0.0071301247771836,0.0053475935828877,0.0,0.0,0.0,147,3.816326530612245,24.166666666666668,78.9910873440285
Unknown,11.0,0.0,11.0,3.0,0.0,0.0,1.0,18.0,0.0,0.0,0.0,1.0,2.0,4.0,4.0,8.0,1.0,2.0,4.0,2.0,3.0,1.0,0.0,11.0,2.0,8.0,1.0,8.0,8.0,2.0,1.0,1.0,3.0,0.0,5.0,0.0,1.0,0.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0881488736532811,0.059745347698334964,0.047992164544564155,0.0969637610186092,0.01665034280117532,0.08619000979431929,0.0881488736532811,0.11949069539666993,0.05582761998041136,0.05484818805093046,0.01762977473065622,0.07051909892262488,0.021547502448579822,0.04701273261508325,0.02644466209598433,0.02644466209598433,0.0068560235063663075,0.022526934378060724,0.007835455435847209,0.013712047012732615,0.010773751224289911,0.011753183153770812,0.0009794319294809011,0.0009794319294809011,0.0,0.0,252,4.051587301587301,31.5,159.99902056807053
Unknown,25.0,0.0,20.0,0.0,0.0,0.0,5.0,26.0,0.0,0.0,5.0,1.0,0.0,3.0,2.0,6.0,2.0,0.0,2.0,2.0,1.0,2.0,0.0,1.0,1.0,4.0,2.0,1.0,3.0,2.0,1.0,1.0,2.0,0.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10284035259549461,0.07149853085210578,0.04603330068560235,0.10479921645445642,0.01762977473065622,0.0881488736532811,0.0910871694417238,0.11557296767874632,0.04701273261508325,0.039177277179236046,0.015670910871694418,0.05386875612144956,0.04113614103819784,0.030362389813907934,0.031341821743388835,0.024485798237022526,0.002938295788442703,0.013712047012732615,0.005876591576885406,0.014691478942213516,0.024485798237022526,0.012732615083251714,0.004897159647404506,0.0,0.0,0.0,262,3.8969465648854964,37.42857142857143,155.00000000000006
Ezra,20.0,0.0,2.0,0.0,0.0,0.0,1.0,26.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,35.0,0.0,17.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,20.0,19.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05661948376353039,0.07577019150707744,0.02414654454621149,0.11490424646128226,0.03996669442131557,0.049125728559533725,0.1298917568692756,0.1765195670274771,0.06827643630308076,0.05745212323064113,0.006661115736885929,0.08326394671107411,0.010824313072439634,0.02997502081598668,0.00832639467110741,0.00749375520399667,0.002497918401332223,0.0016652789342214821,0.018318068276436304,0.00832639467110741,0.019983347210657785,0.0008326394671107411,0.004163197335553705,0.0,0.002497918401332223,0.0016652789342214821,274,4.383211678832117,13.7,157.99916736053288
Nehemiah,5.0,0.0,6.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06511627906976744,0.11162790697674418,0.09767441860465116,0.08372093023255814,0.009302325581395349,0.06511627906976744,0.10697674418604651,0.14418604651162792,0.05581395348837209,0.05581395348837209,0.0,0.04186046511627907,0.037209302325581395,0.023255813953488372,0.03255813953488372,0.009302325581395349,0.0,0.004651162790697674,0.009302325581395349,0.018604651162790697,0.0,0.018604651162790697,0.009302325581395349,0.0,0.0,0.0,47,4.574468085106383,11.75,18.99999999999999
Mordecai,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0625,0.0875,0.05,0.125,0.025,0.0375,0.0875,0.1875,0.0625,0.075,0.0625,0.0375,0.0,0.0,0.0,0.025,0.0125,0.0,0.0125,0.025,0.0,0.0,0.0,0.0,0.0,0.0,18,4.444444444444445,17.0,8.975
Unknown,6.0,0.0,4.0,2.0,0.0,1.0,0.0,10.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,3.0,0.0,1.0,0.0,1.0,2.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0812720848056537,0.061837455830388695,0.045936395759717315,0.08657243816254417,0.03180212014134275,0.07950530035335689,0.0706713780918728,0.127208480565371,0.06713780918727916,0.05653710247349823,0.0176678445229682,0.06713780918727916,0.024734982332155476,0.024734982332155476,0.030035335689045935,0.03180212014134275,0.01060070671378092,0.015901060070671377,0.0088339222614841,0.01060070671378092,0.014134275618374558,0.03180212014134275,0.0,0.0,0.0,0.0,155,3.6516129032258067,15.4,89.99646643109534
