Author,and,the,lord,said,there,is,by,me,thou,shalt,upon,it,shall,to,my,that,will,thee,in,of,with,but,not,be,unto,like,these,were,which,thyself,no,man,neither,let,throughout,all,he,as,had,him,his,god,for,if,now,have,thy,among,our,thine,make,do,such,been,out,lest,whither,ye,their,other,whose,they,one,from,every,or,an,then,your,when,was,did,them,till,again,are,hath,should,whosoever,doeth,therein,thereof,also,much,many,because,into,who,hence,her,shouldest,hast,how,some,may,what,forth,where,whom,we,thus,say,more,became,according,cometh,would,those,whereunto,yet,yea,must,wherewith,wherefore,therefore,whatsoever,ought,without,could,being,verily,didst,each,inasmuch,downward,abundance,whereto,seest,therewith,wherein,thence,whereof,once,thereby,outward,howsoever,becometh,henceforth,whereby,thereon,thereupon,thereunto,ever,moreover,oft,oftentimes,underneath,whence,whensoever,wherewithal,seemeth,hereof,notwithstanding,whereon,soever,forthwith,than,himself,therefrom,wheresoever,whoso,upward,a_percentage_use,n_percentage_use,d_percentage_use,t_percentage_use,h_percentage_use,e_percentage_use,l_percentage_use,o_percentage_use,r_percentage_use,s_percentage_use,i_percentage_use,b_percentage_use,p_percentage_use,c_percentage_use,y_percentage_use,m_percentage_use,u_percentage_use,k_percentage_use,w_percentage_use,g_percentage_use,f_percentage_use,v_percentage_use,q_percentage_use,z_percentage_use,j_percentage_use,x_percentage_use,Total_Word_Count,AVG_Letter_Per_Word,AVG_Word_Per_Verse,Total_Function_Word_Count
Moses,122.0,154.0,25.0,6.0,5.0,9.0,5.0,3.0,28.0,17.0,7.0,6.0,14.0,15.0,6.0,15.0,8.0,14.0,28.0,59.0,21.0,6.0,6.0,9.0,17.0,2.0,4.0,2.0,6.0,2.0,5.0,3.0,5.0,4.0,2.0,17.0,15.0,3.0,3.0,11.0,27.0,7.0,20.0,2.0,1.0,3.0,11.0,5.0,2.0,1.0,6.0,5.0,1.0,1.0,5.0,3.0,1.0,4.0,11.0,1.0,1.0,2.0,1.0,5.0,2.0,1.0,4.0,1.0,2.0,5.0,2.0,1.0,6.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08534353684910996,0.07569455997338213,0.05090667110297788,0.10264515055731159,0.08401264348694061,0.12094493428714025,0.0425885875894194,0.07636000665446681,0.05257028780568957,0.06155381800033272,0.06205290301114623,0.01397438030277824,0.012144401929795375,0.019297953751455665,0.012643486940608883,0.02412244218931958,0.021793378805523206,0.008650806854100815,0.016303443686574614,0.01713525203793046,0.02678422891365829,0.007818998502744968,0.0004990850108135085,0.00033272334054233906,0.0004990850108135085,0.0008318083513558476,1476,4.072493224932249,25.379310344827587,851.9975045749462
Joshua,21.0,19.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,5.0,0.0,1.0,1.0,0.0,3.0,7.0,4.0,0.0,1.0,1.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08476658476658476,0.07248157248157248,0.04791154791154791,0.12039312039312039,0.09090909090909091,0.1339066339066339,0.036855036855036855,0.0687960687960688,0.04791154791154791,0.04914004914004914,0.06388206388206388,0.0085995085995086,0.014742014742014743,0.011056511056511056,0.013513513513513514,0.04176904176904177,0.028255528255528257,0.0012285012285012285,0.018427518427518427,0.011056511056511056,0.0171990171990172,0.007371007371007371,0.0,0.006142506142506142,0.0036855036855036856,0.0,192,4.239583333333333,32.0,112.0
Samuel,45.0,29.0,4.0,11.0,0.0,3.0,1.0,5.0,13.0,0.0,0.0,4.0,1.0,9.0,3.0,14.0,0.0,3.0,11.0,17.0,3.0,1.0,9.0,5.0,13.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,5.0,0.0,1.0,3.0,0.0,4.0,1.0,2.0,1.0,3.0,0.0,1.0,3.0,7.0,2.0,1.0,5.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,0.0,0.0,1.0,3.0,0.0,2.0,5.0,2.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,15.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0949278734295021,0.08143322475570032,0.05956258724988367,0.10097719869706841,0.09399720800372266,0.1321544904606794,0.03024662633783155,0.07259190321079571,0.048859934853420196,0.051186598417868774,0.04560260586319218,0.013029315960912053,0.007910656119125175,0.01209865053513262,0.0144253140995812,0.025593299208934387,0.030711959050721264,0.006979990693345742,0.02047463936714751,0.019543973941368076,0.024662633783154957,0.008841321544904607,0.0,0.002326663564448581,0.0,0.00046533271288971617,548,3.9215328467153285,36.46666666666667,313.9986040018614
Unknown,15.0,17.0,1.0,2.0,0.0,1.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,1.0,0.0,3.0,0.0,1.0,0.0,3.0,0.0,1.0,1.0,1.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,2.0,3.0,2.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09590973201692525,0.07898448519040903,0.07052186177715092,0.10155148095909731,0.08744710860366714,0.1325811001410437,0.022566995768688293,0.06205923836389281,0.047954866008462625,0.07193229901269393,0.04936530324400564,0.012693935119887164,0.00846262341325811,0.00846262341325811,0.00846262341325811,0.023977433004231313,0.03526093088857546,0.0028208744710860366,0.019746121297602257,0.018335684062059238,0.018335684062059238,0.01692524682651622,0.0,0.0,0.0028208744710860366,0.0,171,4.146198830409356,28.333333333333332,97.99717912552887
Unknown,22.0,15.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,4.0,1.0,2.0,0.0,0.0,4.0,8.0,3.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,3.0,2.0,3.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08885941644562334,0.08620689655172414,0.0623342175066313,0.08885941644562334,0.08090185676392574,0.11007957559681697,0.04376657824933687,0.07692307692307693,0.050397877984084884,0.050397877984084884,0.07427055702917772,0.009283819628647215,0.006631299734748011,0.01989389920424403,0.011936339522546418,0.027851458885941646,0.01856763925729443,0.007957559681697613,0.01856763925729443,0.026525198938992044,0.021220159151193633,0.006631299734748011,0.0,0.005305039787798408,0.001326259946949602,0.001326259946949602,184,4.0978260869565215,22.875,97.99602122015921
Unknown,21.0,35.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,4.0,5.0,0.0,7.0,0.0,0.0,5.0,8.0,4.0,0.0,1.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,2.0,4.0,2.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,1.0,0.0,0.0,4.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09449636552440291,0.07476635514018691,0.059190031152647975,0.11734164070612668,0.10176531671858775,0.11838006230529595,0.02699896157840083,0.06853582554517133,0.04153686396677051,0.04569055036344756,0.055036344755970926,0.017653167185877467,0.02284527518172378,0.016614745586708203,0.013499480789200415,0.024922118380062305,0.01973001038421599,0.012461059190031152,0.014537902388369679,0.024922118380062305,0.012461059190031152,0.010384215991692628,0.0,0.0,0.0020768431983385254,0.0,250,3.852,35.42857142857143,148.99584631360338
Ezra,27.0,69.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,13.0,48.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,15.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,15.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08833922261484099,0.07269056032306916,0.034326097930338216,0.10348308934881373,0.10550227158001009,0.12317011610297829,0.019182231196365473,0.08228167592125189,0.05451792024230187,0.06007067137809187,0.06764260474507824,0.013124684502776375,0.01110550227158001,0.019182231196365473,0.008076728924785462,0.019182231196365473,0.027258960121150935,0.004543160020191822,0.02221100454316002,0.002523977788995457,0.041898031297324584,0.005552751135790005,0.0,0.008076728924785462,0.004543160020191822,0.0010095911155981827,448,4.421875,22.4,230.99949520444227
Nehemiah,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05701754385964912,0.07894736842105263,0.06578947368421052,0.05263157894736842,0.13596491228070176,0.14473684210526316,0.05701754385964912,0.05701754385964912,0.06578947368421052,0.017543859649122806,0.08333333333333333,0.0043859649122807015,0.008771929824561403,0.05263157894736842,0.0,0.017543859649122806,0.008771929824561403,0.0043859649122807015,0.0,0.013157894736842105,0.05263157894736842,0.0,0.0,0.021929824561403508,0.0,0.0,48,4.75,12.0,25.000000000000007
Mordecai,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.057692307692307696,0.09615384615384616,0.057692307692307696,0.11538461538461539,0.07692307692307693,0.15384615384615385,0.009615384615384616,0.07692307692307693,0.057692307692307696,0.028846153846153848,0.07692307692307693,0.0,0.0,0.028846153846153848,0.0,0.028846153846153848,0.019230769230769232,0.019230769230769232,0.028846153846153848,0.019230769230769232,0.019230769230769232,0.0,0.009615384615384616,0.0,0.0,0.0,24,4.333333333333333,23.0,12.980769230769234
Unknown,10.0,1.0,0.0,0.0,1.0,1.0,0.0,11.0,0.0,0.0,0.0,1.0,0.0,1.0,6.0,4.0,1.0,0.0,1.0,3.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,1.0,4.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0972644376899696,0.0729483282674772,0.05319148936170213,0.0851063829787234,0.08054711246200608,0.14437689969604864,0.019756838905775075,0.06231003039513678,0.05623100303951368,0.05167173252279635,0.0547112462006079,0.00911854103343465,0.019756838905775075,0.0182370820668693,0.031914893617021274,0.05319148936170213,0.019756838905775075,0.00911854103343465,0.016717325227963525,0.0182370820668693,0.0121580547112462,0.010638297872340425,0.0,0.0,0.001519756838905775,0.0,168,3.9166666666666665,16.7,91.99848024316113
