Author,and,they,every,one,whose,him,whom,his,the,lord,to,of,for,all,as,many,were,man,that,an,unto,with,was,them,did,it,their,which,had,in,be,by,said,hath,he,god,make,may,do,those,then,how,according,yet,from,much,more,than,throughout,let,neither,among,other,became,upon,thus,is,thereof,there,thereunto,but,without,into,therein,not,these,me,also,thou,shalt,my,have,her,out,thee,shall,now,our,thyself,therefore,thy,when,where,will,what,himself,who,thine,hast,inasmuch,or,because,no,forth,should,been,ever,moreover,if,your,ye,are,verily,yea,again,like,abundance,doeth,lest,cometh,till,wherefore,say,thence,whence,whatsoever,some,must,being,we,would,ought,such,didst,each,downward,whereto,seest,therewith,wherein,whereof,once,thereby,shouldest,outward,hence,howsoever,becometh,henceforth,whereby,thereon,thereupon,wherewith,oft,oftentimes,whither,whosoever,underneath,whereunto,whensoever,wherewithal,seemeth,hereof,notwithstanding,whereon,soever,could,forthwith,therefrom,wheresoever,whoso,upward,a_percentage_use,n_percentage_use,d_percentage_use,t_percentage_use,h_percentage_use,e_percentage_use,y_percentage_use,c_percentage_use,m_percentage_use,v_percentage_use,r_percentage_use,o_percentage_use,w_percentage_use,s_percentage_use,i_percentage_use,u_percentage_use,p_percentage_use,l_percentage_use,g_percentage_use,b_percentage_use,f_percentage_use,k_percentage_use,j_percentage_use,x_percentage_use,z_percentage_use,q_percentage_use,Total_Word_Count,AVG_Letter_Per_Word,AVG_Word_Per_Verse,Total_Function_Word_Count
Moses,136.0,11.0,14.0,27.0,5.0,4.0,4.0,6.0,138.0,10.0,28.0,104.0,34.0,15.0,2.0,1.0,10.0,9.0,12.0,3.0,9.0,15.0,9.0,13.0,4.0,18.0,9.0,8.0,7.0,26.0,6.0,6.0,1.0,4.0,41.0,1.0,6.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,5.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0817075204268801,0.07737201934300483,0.05902951475737869,0.09054527263631816,0.06953476738369184,0.12389528097382024,0.010171752542938136,0.02434550608637652,0.02384525596131399,0.010171752542938136,0.064032016008004,0.08604302151075538,0.02367850591962648,0.04719026179756545,0.05419376354844089,0.02451225612806403,0.010505252626313157,0.03301650825412707,0.017675504418876106,0.01984325496081374,0.035684508921127234,0.009171252292813074,0.00033350008337502084,0.0006670001667500417,0.0010005002501250625,0.00016675004168751042,1455,4.121649484536082,25.051724137931036,797.9983324995834
Joshua,13.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,19.0,2.0,2.0,10.0,3.0,5.0,3.0,0.0,1.0,1.0,4.0,0.0,2.0,6.0,2.0,7.0,3.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07058823529411765,0.05228758169934641,0.05751633986928104,0.12810457516339868,0.09542483660130718,0.13725490196078433,0.018300653594771243,0.01045751633986928,0.026143790849673203,0.00522875816993464,0.058823529411764705,0.07712418300653595,0.01699346405228758,0.06013071895424837,0.04967320261437908,0.023529411764705882,0.00261437908496732,0.03529411764705882,0.013071895424836602,0.01437908496732026,0.02483660130718954,0.01045751633986928,0.00522875816993464,0.0,0.00522875816993464,0.0,183,4.180327868852459,30.5,107.99869281045757
Samuel,31.0,2.0,0.0,0.0,1.0,0.0,0.0,5.0,15.0,1.0,7.0,8.0,4.0,5.0,1.0,0.0,0.0,2.0,10.0,0.0,8.0,4.0,2.0,0.0,1.0,5.0,0.0,0.0,1.0,8.0,3.0,2.0,7.0,0.0,9.0,0.0,1.0,1.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,2.0,1.0,14.0,4.0,7.0,2.0,8.0,1.0,9.0,4.0,3.0,1.0,2.0,2.0,3.0,2.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09717868338557993,0.08401253918495298,0.05768025078369906,0.1103448275862069,0.09341692789968652,0.11473354231974922,0.01755485893416928,0.006896551724137931,0.026959247648902823,0.005642633228840125,0.04890282131661442,0.07272727272727272,0.02884012539184953,0.04639498432601881,0.05454545454545454,0.030094043887147336,0.006896551724137931,0.041379310344827586,0.012539184952978056,0.01128526645768025,0.018808777429467086,0.009404388714733543,0.0,0.0,0.0018808777429467085,0.0006269592476489029,412,3.871359223300971,27.466666666666665,243.99874608150466
Unknown,19.0,0.0,0.0,3.0,0.0,6.0,0.0,6.0,13.0,2.0,4.0,4.0,2.0,0.0,2.0,1.0,1.0,8.0,3.0,0.0,6.0,2.0,4.0,0.0,2.0,3.0,0.0,1.0,4.0,2.0,0.0,0.0,2.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10540915395284327,0.08737864077669903,0.07073509015256588,0.09153952843273232,0.09431345353675451,0.10124826629680998,0.009708737864077669,0.022191400832177532,0.03467406380027739,0.006934812760055479,0.047156726768377254,0.06934812760055478,0.022191400832177532,0.047156726768377254,0.06241331484049931,0.024965325936199722,0.011095700416088766,0.030513176144244106,0.016643550624133148,0.012482662968099861,0.015256588072122053,0.008321775312066574,0.0,0.0013869625520110957,0.0,0.0,193,3.7357512953367875,31.833333333333332,118.99306518723995
Unknown,18.0,1.0,0.0,0.0,0.0,0.0,1.0,8.0,21.0,2.0,2.0,17.0,3.0,3.0,0.0,0.0,7.0,0.0,7.0,0.0,3.0,0.0,1.0,1.0,4.0,0.0,1.0,6.0,2.0,8.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06515580736543909,0.07176581680830972,0.05288007554296506,0.08404154863078375,0.0821529745042493,0.12464589235127478,0.0084985835694051,0.0226628895184136,0.021718602455146365,0.0084985835694051,0.061378659112370164,0.08970727101038715,0.01794145420207743,0.05854579792256846,0.07554296506137866,0.02644003777148253,0.013220018885741265,0.044381491973559964,0.0056657223796034,0.01794145420207743,0.03493862134088763,0.003777148253068933,0.0018885741265344666,0.0,0.0028328611898017,0.0,250,4.236,31.0,138.99622285174695
Unknown,30.0,4.0,0.0,0.0,0.0,1.0,0.0,2.0,55.0,6.0,2.0,16.0,1.0,3.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,2.0,5.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08839285714285715,0.07053571428571428,0.059821428571428574,0.10357142857142858,0.10089285714285715,0.14375,0.010714285714285714,0.013392857142857142,0.013392857142857142,0.0035714285714285713,0.04732142857142857,0.075,0.017857142857142856,0.04732142857142857,0.04196428571428571,0.017857142857142856,0.026785714285714284,0.04375,0.014285714285714285,0.01607142857142857,0.022321428571428572,0.011607142857142858,0.0026785714285714286,0.0,0.0,0.0,283,3.9575971731448765,40.0,165.99285714285708
Ezra,48.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,89.0,7.0,9.0,41.0,19.0,11.0,2.0,1.0,3.0,2.0,6.0,3.0,3.0,6.0,20.0,1.0,1.0,2.0,0.0,1.0,2.0,11.0,6.0,1.0,3.0,3.0,9.0,6.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,2.0,1.0,8.0,2.0,6.0,1.0,14.0,1.0,0.0,0.0,2.0,1.0,1.0,2.0,0.0,1.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,4.0,1.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09010665685913939,0.06914306730415594,0.04634056638470026,0.08422214049282825,0.08532548731151159,0.12357484369253402,0.01140125045972784,0.01802133137182788,0.0261125413755057,0.01471129091577786,0.05296064729680029,0.08422214049282825,0.01655020228025009,0.06546524457521148,0.05847738139021699,0.02280250091945568,0.008091210003677823,0.03972048547260022,0.01471129091577786,0.013975726369988967,0.031997057741816846,0.008826774549466716,0.004781169547627804,0.0,0.002942258183155572,0.0,675,4.028148148148148,33.4,400.99448326590664
Nehemiah,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07109004739336493,0.05687203791469194,0.05687203791469194,0.06635071090047394,0.16113744075829384,0.11848341232227488,0.0,0.052132701421800945,0.009478672985781991,0.0,0.07582938388625593,0.05687203791469194,0.0,0.018957345971563982,0.07582938388625593,0.014218009478672985,0.009478672985781991,0.05687203791469194,0.0,0.018957345971563982,0.052132701421800945,0.018957345971563982,0.0,0.0,0.009478672985781991,0.0,44,4.795454545454546,11.0,22.99999999999999
Mordecai,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06666666666666667,0.08888888888888889,0.037037037037037035,0.11851851851851852,0.07407407407407407,0.14814814814814814,0.007407407407407408,0.014814814814814815,0.014814814814814815,0.0,0.05925925925925926,0.08888888888888889,0.044444444444444446,0.037037037037037035,0.07407407407407407,0.022222222222222223,0.0,0.007407407407407408,0.014814814814814815,0.022222222222222223,0.037037037037037035,0.014814814814814815,0.0,0.0,0.0,0.007407407407407408,33,4.090909090909091,33.0,20.0
Unknown,9.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,3.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13.0,0.0,0.0,0.0,15.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09105180533751962,0.07535321821036106,0.054945054945054944,0.07378335949764521,0.06279434850863422,0.13343799058084774,0.0423861852433281,0.015698587127158554,0.06279434850863422,0.0141287284144427,0.054945054945054944,0.054945054945054944,0.015698587127158554,0.04552590266875981,0.0706436420722135,0.018838304552590265,0.0141287284144427,0.026687598116169546,0.018838304552590265,0.007849293563579277,0.03139717425431711,0.009419152276295133,0.0,0.0,0.0,0.0015698587127158557,164,3.8841463414634148,16.3,89.99686028257456
