Author,they,for,it,to,by,the,was,and,of,his,that,upon,according,thereof,as,lord,in,are,with,he,them,should,be,like,being,an,were,their,every,one,which,other,underneath,did,unto,not,from,all,there,thus,do,had,shalt,thou,therein,is,shall,him,may,me,didst,throughout,said,now,these,who,moreover,have,my,among,ye,we,make,into,thine,let,thy,whom,thee,when,her,hath,without,than,became,man,but,no,also,because,hast,therefore,god,would,neither,yet,our,how,will,then,himself,if,ever,more,such,abundance,whatsoever,your,cometh,much,out,wherefore,what,been,could,those,say,where,yea,wherein,once,therewith,whose,whoso,or,whither,again,whence,forth,thence,lest,must,thyself,each,inasmuch,downward,whereto,seest,whereof,thereby,shouldest,outward,hence,howsoever,becometh,whereby,henceforth,thereon,till,thereupon,doeth,thereunto,wherewith,oft,oftentimes,whosoever,whereunto,whensoever,wherewithal,seemeth,hereof,notwithstanding,verily,whereon,many,soever,forthwith,some,therefrom,wheresoever,upward,ought,t_percentage_use,h_percentage_use,e_percentage_use,y_percentage_use,m_percentage_use,a_percentage_use,d_percentage_use,s_percentage_use,o_percentage_use,u_percentage_use,l_percentage_use,r_percentage_use,p_percentage_use,i_percentage_use,c_percentage_use,f_percentage_use,g_percentage_use,b_percentage_use,w_percentage_use,n_percentage_use,k_percentage_use,x_percentage_use,v_percentage_use,q_percentage_use,z_percentage_use,j_percentage_use,Total_Word_Count,AVG_Letter_Per_Word,AVG_Word_Per_Verse,Total_Function_Word_Count
Moses,23.0,11.0,22.0,19.0,2.0,189.0,11.0,128.0,86.0,25.0,13.0,10.0,7.0,12.0,10.0,12.0,21.0,2.0,9.0,5.0,8.0,2.0,8.0,3.0,1.0,8.0,2.0,5.0,1.0,1.0,1.0,2.0,1.0,6.0,7.0,2.0,1.0,15.0,1.0,2.0,1.0,3.0,17.0,16.0,3.0,1.0,3.0,3.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10834236186348863,0.07710364752618273,0.1267605633802817,0.009389671361502348,0.019140483929216325,0.08685446009389672,0.05597688696280245,0.058324304803178045,0.0816179126038281,0.02148790176959191,0.04171180931744312,0.05344889851932105,0.016793066088840736,0.05037919826652221,0.020404478150957025,0.02726616106897797,0.020585048754062838,0.01607078367641748,0.01444564824846515,0.08017334777898158,0.004875406283856988,0.00036114120621162876,0.006319971108703503,0.00018057060310581438,0.00018057060310581438,0.00018057060310581438,1343,4.123603871928518,23.103448275862068,747.9983748645722
Joshua,0.0,1.0,1.0,4.0,1.0,36.0,1.0,15.0,15.0,0.0,2.0,1.0,2.0,0.0,0.0,1.0,5.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,3.0,1.0,0.0,0.0,5.0,0.0,13.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09394572025052192,0.08559498956158663,0.11169102296450939,0.005219206680584551,0.032359081419624215,0.08768267223382047,0.05010438413361169,0.05323590814196242,0.09081419624217119,0.021920668058455117,0.03549060542797495,0.06576200417536535,0.006263048016701462,0.06367432150313153,0.015657620041753653,0.03444676409185804,0.010438413361169102,0.011482254697286013,0.012526096033402923,0.08559498956158663,0.007306889352818371,0.0,0.008350730688935281,0.0,0.0010438413361169101,0.008350730688935281,230,4.165217391304348,38.333333333333336,127.99895615866387
Samuel,1.0,1.0,3.0,4.0,0.0,32.0,4.0,30.0,21.0,7.0,4.0,1.0,0.0,0.0,0.0,4.0,7.0,3.0,0.0,4.0,0.0,0.0,7.0,3.0,0.0,1.0,1.0,0.0,0.0,1.0,5.0,1.0,0.0,1.0,5.0,2.0,2.0,1.0,2.0,0.0,1.0,3.0,0.0,1.0,0.0,4.0,2.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,5.0,1.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08366800535475234,0.0997322623828648,0.13319946452476572,0.008032128514056224,0.03279785809906292,0.107095046854083,0.04685408299866131,0.050870147255689425,0.07697456492637215,0.020749665327978582,0.02744310575635877,0.0428380187416332,0.011378848728246318,0.05488621151271754,0.012717536813922356,0.023427041499330656,0.014056224899598393,0.025435073627844713,0.020749665327978582,0.08366800535475234,0.00535475234270415,0.0,0.006693440428380187,0.0,0.006693440428380187,0.0033467202141900937,377,3.962864721485411,25.133333333333333,209.99866131191433
Unknown,1.0,2.0,2.0,6.0,1.0,17.0,3.0,13.0,3.0,2.0,5.0,1.0,0.0,0.0,0.0,4.0,1.0,0.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,1.0,5.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10718954248366012,0.09803921568627451,0.11764705882352941,0.011764705882352941,0.01437908496732026,0.09542483660130718,0.08235294117647059,0.05228758169934641,0.06274509803921569,0.030065359477124184,0.044444444444444446,0.036601307189542485,0.009150326797385621,0.07058823529411765,0.018300653594771243,0.01568627450980392,0.00784313725490196,0.013071895424836602,0.02091503267973856,0.06274509803921569,0.00522875816993464,0.00130718954248366,0.018300653594771243,0.0,0.0,0.0,195,3.923076923076923,32.333333333333336,117.9960784313726
Unknown,0.0,4.0,1.0,5.0,0.0,16.0,2.0,18.0,13.0,1.0,4.0,0.0,0.0,0.0,1.0,3.0,3.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08404966571155682,0.07927411652340019,0.14326647564469913,0.018147086914995225,0.022922636103151862,0.0725883476599809,0.05157593123209169,0.06876790830945559,0.08404966571155682,0.024832855778414518,0.03533906399235912,0.05921680993314231,0.015281757402101241,0.044890162368672396,0.021012416427889206,0.021967526265520534,0.024832855778414518,0.013371537726838587,0.017191977077363897,0.06972301814708691,0.0066857688634192934,0.0028653295128939827,0.011461318051575931,0.0019102196752626551,0.0,0.0019102196752626551,249,4.204819277108434,31.0,124.99713467048713
Unknown,4.0,4.0,7.0,7.0,0.0,44.0,6.0,19.0,18.0,0.0,10.0,1.0,0.0,0.0,1.0,6.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12642585551330798,0.10266159695817491,0.14638783269961977,0.014258555133079848,0.014258555133079848,0.07129277566539924,0.04657794676806084,0.05418250950570342,0.09125475285171103,0.028517110266159697,0.02091254752851711,0.057034220532319393,0.019961977186311788,0.05038022813688213,0.017110266159695818,0.022813688212927757,0.010456273764258554,0.016159695817490494,0.014258555133079848,0.05798479087452472,0.005703422053231939,0.0,0.004752851711026616,0.0009505703422053232,0.0,0.0038022813688212928,269,3.9107806691449816,38.285714285714285,169.99809885931555
Ezra,4.0,10.0,1.0,12.0,0.0,45.0,1.0,56.0,19.0,3.0,8.0,1.0,0.0,0.0,6.0,16.0,14.0,3.0,5.0,4.0,0.0,1.0,4.0,0.0,0.0,1.0,1.0,4.0,0.0,0.0,2.0,0.0,0.0,1.0,8.0,1.0,0.0,19.0,1.0,1.0,1.0,1.0,0.0,4.0,0.0,9.0,0.0,4.0,0.0,1.0,0.0,0.0,2.0,3.0,2.0,1.0,0.0,5.0,3.0,0.0,0.0,5.0,1.0,0.0,9.0,0.0,6.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,7.0,0.0,0.0,0.0,6.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08454581203303185,0.07156901297679906,0.1274085725521038,0.015729453401494297,0.017695635076681086,0.08533228470310657,0.06331104994101455,0.0554463232402674,0.08415257569799449,0.018088871411718443,0.04522217852929611,0.06291781360597719,0.012583562721195438,0.06409752261108927,0.012583562721195438,0.02634683444750295,0.02438065277231616,0.01219032638615808,0.014549744396382226,0.07746755800235942,0.007078254030672434,0.0007864726700747149,0.011797090051120724,0.0,0.00039323633503735744,0.003539127015336217,609,4.175697865353038,30.45,348.99921352732986
Nehemiah,4.0,0.0,1.0,1.0,1.0,10.0,2.0,5.0,10.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09580838323353294,0.0998003992015968,0.1497005988023952,0.013972055888223553,0.013972055888223553,0.06786427145708583,0.05189620758483034,0.03792415169660679,0.07584830339321358,0.023952095808383235,0.04590818363273453,0.0718562874251497,0.00998003992015968,0.05788423153692615,0.023952095808383235,0.03592814371257485,0.013972055888223553,0.015968063872255488,0.02594810379241517,0.04790419161676647,0.007984031936127744,0.001996007984031936,0.0,0.0,0.005988023952095809,0.0,108,4.638888888888889,26.75,60.99600798403194
Mordecai,0.0,1.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06293706293706294,0.055944055944055944,0.13986013986013987,0.0,0.04195804195804196,0.07692307692307693,0.07692307692307693,0.02097902097902098,0.06293706293706294,0.006993006993006993,0.013986013986013986,0.06993006993006994,0.0,0.06293706293706294,0.04195804195804196,0.006993006993006993,0.03496503496503497,0.02097902097902098,0.02097902097902098,0.11188811188811189,0.02097902097902098,0.0,0.02097902097902098,0.0,0.0,0.0,33,4.333333333333333,31.0,16.97202797202797
Unknown,1.0,2.0,4.0,2.0,0.0,11.0,1.0,5.0,6.0,11.0,1.0,1.0,0.0,0.0,2.0,0.0,2.0,1.0,1.0,6.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,10.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07922272047832586,0.12556053811659193,0.11958146487294469,0.01943198804185351,0.02242152466367713,0.0687593423019432,0.0343796711509716,0.08071748878923767,0.07174887892376682,0.03288490284005979,0.05530642750373692,0.0343796711509716,0.016442451420029897,0.07324364723467862,0.02242152466367713,0.017937219730941704,0.013452914798206279,0.01046337817638266,0.02391629297458894,0.05680119581464873,0.01046337817638266,0.0014947683109118087,0.005979073243647235,0.0,0.0,0.0014947683109118087,172,3.88953488372093,17.2,101.99850523168908
