Author,for,he,had,said,unto,him,in,that,if,would,could,all,should,be,therefore,the,lord,not,anything,from,and,it,to,which,them,of,out,they,were,upon,did,himself,his,now,have,there,is,again,these,than,those,when,also,thus,or,by,was,more,god,according,an,but,one,who,among,forth,with,many,are,because,their,such,been,yea,whosoever,into,as,say,how,ye,what,hath,we,do,will,wherefore,let,shall,some,must,my,me,thee,thou,may,her,our,every,whose,ever,wheresoever,then,notwithstanding,yet,throughout,whom,where,therewith,soever,doeth,oft,wherewithal,became,wherewith,man,whatsoever,thy,ought,henceforth,thence,outward,cometh,verily,wherein,abundance,didst,whither,hast,thine,thereby,whereby,lest,seest,whoso,each,whereof,your,once,thereof,thyself,much,make,thereon,without,upward,no,whence,seemeth,inasmuch,becometh,shouldst,therein,upwards,whereon,being,neither,till,other,like,hence,shalt,moreover,e_percentage_use,t_percentage_use,h_percentage_use,r_percentage_use,f_percentage_use,o_percentage_use,a_percentage_use,d_percentage_use,s_percentage_use,i_percentage_use,u_percentage_use,n_percentage_use,m_percentage_use,b_percentage_use,w_percentage_use,l_percentage_use,v_percentage_use,c_percentage_use,g_percentage_use,â_percentage_use,y_percentage_use,k_percentage_use,p_percentage_use,j_percentage_use,z_percentage_use,x_percentage_use,q_percentage_use,Total_Word_Count,AVG_Letter_Per_Word,AVG_Word_Per_Verse,Total_Function_Word_Count
moroni,3.0,9.0,4.0,2.0,10.0,8.0,4.0,10.0,1.0,1.0,3.0,3.0,8.0,4.0,2.0,22.0,7.0,3.0,1.0,2.0,12.0,2.0,3.0,4.0,4.0,8.0,1.0,5.0,3.0,2.0,1.0,2.0,2.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1346483704974271,0.10463121783876501,0.10891938250428816,0.05231560891938251,0.024871355060034305,0.07461406518010291,0.058319039451114926,0.05917667238421955,0.045454545454545456,0.054030874785591765,0.030017152658662092,0.060891938250428816,0.03430531732418525,0.010291595197255575,0.02144082332761578,0.03945111492281304,0.00686106346483705,0.02058319039451115,0.009433962264150943,0.0008576329331046312,0.00686106346483705,0.002572898799313894,0.012006861063464836,0.003430531732418525,0.0,0.0,0.0,277,4.209386281588448,39.57142857142857,167.9759862778731
mormon,8.0,26.0,19.0,20.0,28.0,18.0,9.0,33.0,0.0,0.0,0.0,4.0,3.0,7.0,0.0,59.0,0.0,3.0,0.0,4.0,109.0,11.0,38.0,7.0,39.0,35.0,2.0,37.0,13.0,5.0,8.0,0.0,12.0,17.0,1.0,3.0,1.0,10.0,6.0,0.0,3.0,7.0,16.0,3.0,3.0,6.0,12.0,7.0,4.0,1.0,2.0,11.0,2.0,7.0,4.0,7.0,7.0,9.0,1.0,2.0,12.0,4.0,5.0,2.0,1.0,5.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1118725689942582,0.08853491387293944,0.0729764771253936,0.0359325801074273,0.015002778292276347,0.06723467308760882,0.10594554547138359,0.05612150398221893,0.05334321170587146,0.04963882200407483,0.02407853306167809,0.07223559918503426,0.04389701796629005,0.013150583441378033,0.02278199666604927,0.033895165771439154,0.0035191702167067978,0.018336729023893314,0.019633265419522133,0.00018521948508983145,0.01629931468790517,0.008890535284311909,0.015187997777366178,0.0018521948508983144,0.0048157066123356174,0.0005556584552694943,0.0003704389701796629,1286,4.198289269051322,26.791666666666668,741.9562882015189
abinadom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
nephi,9.0,1.0,7.0,1.0,14.0,5.0,5.0,33.0,5.0,2.0,0.0,5.0,2.0,6.0,0.0,39.0,13.0,1.0,0.0,2.0,36.0,17.0,23.0,4.0,6.0,31.0,2.0,23.0,5.0,2.0,14.0,0.0,1.0,2.0,10.0,0.0,6.0,3.0,3.0,0.0,0.0,2.0,5.0,1.0,0.0,1.0,0.0,0.0,2.0,2.0,1.0,2.0,2.0,0.0,0.0,0.0,8.0,0.0,1.0,1.0,5.0,0.0,0.0,4.0,0.0,1.0,0.0,1.0,4.0,11.0,1.0,2.0,6.0,1.0,3.0,1.0,1.0,4.0,1.0,1.0,12.0,12.0,1.0,1.0,1.0,1.0,3.0,3.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12089447938504543,0.10517120894479386,0.08106219426974144,0.04996505939902166,0.031097134870719776,0.07442348008385745,0.07826694619147449,0.05520614954577219,0.04821802935010482,0.05870020964360587,0.022711390635918937,0.06254367575122292,0.02480782669461915,0.012928022361984625,0.020964360587002098,0.03284416491963662,0.009433962264150943,0.01607267645003494,0.015373864430468204,0.0,0.025506638714185886,0.005939902166317261,0.01222921034241789,0.0020964360587002098,0.0,0.0010482180293501049,0.0,745,3.8416107382550337,46.5625,447.9675052410901
amaleki,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
amaron,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
chemish,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
enos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
jacob,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,2.0,0.0,0.0,7.0,0.0,2.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12332439678284182,0.08579088471849866,0.05630026809651475,0.05630026809651475,0.03485254691689008,0.08310991957104558,0.06970509383378017,0.04289544235924933,0.05361930294906166,0.064343163538874,0.02680965147453083,0.07238605898123325,0.021447721179624665,0.024128686327077747,0.032171581769437,0.029490616621983913,0.005361930294906166,0.03485254691689008,0.0160857908847185,0.0,0.013404825737265416,0.010723860589812333,0.010723860589812333,0.010723860589812333,0.0,0.0,0.002680965147453083,87,4.287356321839081,43.0,48.981233243967814
jarom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
