Author,and,thus,the,lord,to,in,unto,that,they,not,it,when,had,all,of,thereby,upon,also,for,their,whatsoever,or,should,with,these,forth,into,god,there,be,were,many,because,which,them,by,was,no,could,being,like,therefore,did,he,again,yea,now,among,his,said,him,been,who,more,out,one,is,himself,an,according,what,say,but,notwithstanding,yet,then,man,from,make,as,if,her,would,do,such,have,my,those,shall,wherefore,thy,thou,shalt,ye,your,are,must,me,thereof,hast,much,lest,wheresoever,throughout,whom,where,therewith,soever,thee,doeth,oft,wherewithal,became,wherewith,ought,whose,every,henceforth,thence,outward,cometh,verily,wherein,some,abundance,didst,whither,thine,whereby,hath,let,seest,whoso,our,each,whereof,once,thyself,moreover,thereon,without,upward,whence,seemeth,inasmuch,becometh,may,shouldst,we,therein,upwards,whereon,neither,how,till,will,other,hence,whosoever,than,anything,ever,e_percentage_use,t_percentage_use,h_percentage_use,r_percentage_use,a_percentage_use,n_percentage_use,d_percentage_use,u_percentage_use,s_percentage_use,l_percentage_use,o_percentage_use,c_percentage_use,i_percentage_use,k_percentage_use,g_percentage_use,v_percentage_use,m_percentage_use,w_percentage_use,y_percentage_use,p_percentage_use,f_percentage_use,b_percentage_use,â_percentage_use,j_percentage_use,q_percentage_use,x_percentage_use,z_percentage_use,Total_Word_Count,AVG_Letter_Per_Word,AVG_Word_Per_Verse,Total_Function_Word_Count
moroni,21.0,3.0,34.0,8.0,10.0,4.0,7.0,11.0,16.0,2.0,6.0,5.0,2.0,3.0,10.0,1.0,6.0,3.0,1.0,4.0,1.0,3.0,2.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,8.0,2.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,7.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14135021097046413,0.11533052039381153,0.08579465541490858,0.06118143459915612,0.07735583684950774,0.05977496483825598,0.05907172995780591,0.02180028129395218,0.06258790436005626,0.026019690576652602,0.06540084388185655,0.017580872011251757,0.046413502109704644,0.005625879043600563,0.014767932489451477,0.006329113924050633,0.01969057665260197,0.027426160337552744,0.017580872011251757,0.017580872011251757,0.016877637130801686,0.014767932489451477,0.0007032348804500703,0.0007032348804500703,0.0,0.0,0,346,4.109826589595376,49.42857142857143,210.9817158931083
mormon,81.0,3.0,77.0,2.0,24.0,9.0,35.0,24.0,7.0,5.0,12.0,5.0,16.0,10.0,44.0,1.0,1.0,4.0,11.0,13.0,0.0,1.0,4.0,4.0,4.0,2.0,1.0,3.0,1.0,1.0,5.0,2.0,3.0,7.0,10.0,3.0,19.0,0.0,1.0,5.0,0.0,6.0,5.0,44.0,3.0,2.0,9.0,1.0,25.0,29.0,28.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,4.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,4.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1039411000433088,0.08185361628410567,0.07838891294932872,0.04179298397574708,0.10632308358596795,0.07622347336509311,0.055435253356431353,0.02252057167605024,0.05586834127327848,0.036812472932005194,0.06236466002598527,0.01645734084019056,0.061931572109138154,0.00996102208748376,0.018406236466002597,0.0045474231268947595,0.0411433521004764,0.021654395842355997,0.00801212646167172,0.012126461671719359,0.021654395842355997,0.007795582503248159,0.00064963187527068,0.0008661758336942399,0.00129926375054136,0.00064963187527068,0,1120,4.123214285714286,23.354166666666668,652.9486790818537
abinadom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
nephi,27.0,0.0,44.0,3.0,9.0,12.0,11.0,9.0,1.0,1.0,6.0,1.0,7.0,8.0,23.0,0.0,1.0,2.0,5.0,0.0,0.0,0.0,3.0,2.0,5.0,0.0,2.0,5.0,0.0,4.0,1.0,0.0,0.0,10.0,3.0,4.0,6.0,1.0,0.0,0.0,1.0,1.0,1.0,6.0,0.0,3.0,0.0,0.0,0.0,6.0,2.0,0.0,2.0,0.0,0.0,1.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,8.0,2.0,0.0,0.0,1.0,0.0,2.0,7.0,1.0,2.0,3.0,1.0,3.0,1.0,3.0,1.0,1.0,1.0,5.0,2.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13226263580538497,0.08833254605573926,0.08030231459612659,0.040151157298063296,0.0680207841284837,0.06991025035427492,0.047709022201228156,0.01889466225791214,0.056211620217288615,0.03353802550779405,0.07274444969296173,0.01606046291922532,0.06518658478979689,0.006613131790269249,0.01747756258856873,0.007557864903164856,0.023145961265942372,0.024090694378837978,0.01983939537080775,0.012753897024090695,0.02975909305621162,0.011336797354747285,0.000944733112895607,0.000944733112895607,0.0,0.0014170996693434106,0,554,3.82129963898917,34.625,295.945205479452
amaleki,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
amaron,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
chemish,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
enos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
jacob,6.0,0.0,5.0,0.0,3.0,1.0,3.0,7.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11330049261083744,0.11576354679802955,0.11576354679802955,0.03940886699507389,0.09113300492610837,0.05665024630541872,0.04926108374384237,0.022167487684729065,0.03201970443349754,0.029556650246305417,0.07389162561576355,0.03940886699507389,0.054187192118226604,0.0024630541871921183,0.024630541871921183,0.0024630541871921183,0.03201970443349754,0.017241379310344827,0.014778325123152709,0.027093596059113302,0.009852216748768473,0.014778325123152709,0.0,0.007389162561576354,0.0,0.0,0,96,4.229166666666667,48.0,55.985221674876826
jarom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
