Author,now,the,of,being,and,her,to,whereby,could,unto,was,it,that,did,with,said,him,wherefore,when,had,for,he,in,all,his,them,they,by,god,also,their,whoso,should,from,which,whatsoever,thus,were,who,been,or,upon,according,because,lord,again,out,therefore,yea,much,then,these,other,those,henceforth,as,if,into,more,we,not,man,but,himself,forth,among,many,became,be,throughout,every,there,would,make,notwithstanding,how,do,one,thereof,our,where,than,have,my,an,me,like,ever,hath,no,must,are,say,is,whose,ye,thou,wheresoever,yet,whom,therewith,soever,thee,doeth,oft,wherewithal,wherewith,thy,ought,thence,outward,cometh,verily,some,wherein,abundance,didst,whither,thine,hast,thereby,let,seest,lest,each,whereof,your,once,thyself,shall,thereon,such,without,upward,what,whence,seemeth,inasmuch,becometh,may,shouldst,therein,upwards,whereon,neither,till,will,hence,whosoever,shalt,anything,moreover,e_percentage_use,t_percentage_use,h_percentage_use,r_percentage_use,n_percentage_use,o_percentage_use,w_percentage_use,d_percentage_use,a_percentage_use,u_percentage_use,g_percentage_use,f_percentage_use,j_percentage_use,b_percentage_use,i_percentage_use,x_percentage_use,c_percentage_use,l_percentage_use,y_percentage_use,p_percentage_use,s_percentage_use,v_percentage_use,m_percentage_use,k_percentage_use,â_percentage_use,z_percentage_use,q_percentage_use,Total_Word_Count,AVG_Letter_Per_Word,AVG_Word_Per_Verse,Total_Function_Word_Count
moroni,3.0,13.0,7.0,1.0,15.0,4.0,8.0,1.0,1.0,9.0,3.0,5.0,8.0,3.0,2.0,4.0,5.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,3.0,4.0,2.0,5.0,1.0,3.0,1.0,2.0,4.0,3.0,3.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1291913214990138,0.08579881656804733,0.10059171597633136,0.05325443786982249,0.055226824457593686,0.0641025641025641,0.02564102564102564,0.06607495069033531,0.09171597633136094,0.023668639053254437,0.01775147928994083,0.020710059171597635,0.006903353057199211,0.009861932938856016,0.05621301775147929,0.0029585798816568047,0.014792899408284023,0.022682445759368838,0.010848126232741617,0.008875739644970414,0.0631163708086785,0.007889546351084813,0.02465483234714004,0.011834319526627219,0.0,0.0,0.0,243,4.172839506172839,34.714285714285715,139.97435897435895
mormon,11.0,138.0,79.0,1.0,105.0,0.0,57.0,0.0,0.0,12.0,15.0,21.0,40.0,6.0,6.0,14.0,7.0,0.0,8.0,24.0,9.0,42.0,22.0,12.0,29.0,17.0,25.0,8.0,14.0,7.0,27.0,0.0,11.0,2.0,13.0,0.0,6.0,22.0,15.0,2.0,9.0,8.0,2.0,6.0,8.0,4.0,4.0,8.0,12.0,2.0,1.0,6.0,2.0,8.0,1.0,9.0,3.0,6.0,3.0,7.0,8.0,5.0,2.0,3.0,6.0,6.0,5.0,1.0,8.0,3.0,1.0,4.0,9.0,1.0,3.0,2.0,4.0,2.0,2.0,5.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1251482018179423,0.09181925964958504,0.08615465683045712,0.0505862205243051,0.06323277565538138,0.07021472796732973,0.0216045316822553,0.050191015676458964,0.0961665129758925,0.019760242392306678,0.01752074825451192,0.019365037544460544,0.0010538795942563561,0.010275326043999474,0.05546041364774074,0.0011856145435384007,0.02358055592148597,0.03741272559610065,0.012383085232512185,0.01659860360953761,0.05137663021999737,0.004874193123435648,0.029772098537742063,0.007245422210512449,0.0011856145435384007,0.00013173494928204451,0.0003952048478461336,1764,4.303287981859411,36.770833333333336,1019.9646950335923
abinadom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
nephi,3.0,44.0,30.0,0.0,33.0,0.0,18.0,0.0,0.0,14.0,7.0,13.0,25.0,3.0,1.0,10.0,0.0,6.0,0.0,3.0,4.0,2.0,8.0,4.0,1.0,8.0,12.0,1.0,11.0,6.0,5.0,0.0,3.0,5.0,11.0,0.0,1.0,4.0,0.0,1.0,1.0,0.0,1.0,2.0,2.0,0.0,1.0,0.0,3.0,1.0,1.0,1.0,2.0,0.0,0.0,2.0,5.0,1.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,6.0,2.0,3.0,1.0,1.0,1.0,1.0,7.0,3.0,2.0,7.0,1.0,3.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1245765901392548,0.11027474595408356,0.07903650733910425,0.04591644712081295,0.05984192698532179,0.064734663153933,0.022958223560406475,0.048174633044787356,0.07339104252916824,0.027850959729017688,0.01919458035378246,0.031990967256304105,0.0026345502446368085,0.013549115543846444,0.0632292058712834,0.0003763643206624012,0.017312758750470454,0.030485509973654498,0.01618366578848325,0.015054572826496047,0.05457282649604817,0.005645464809936018,0.02258185923974407,0.010538200978547234,0.0,0.0,0.0,668,3.9775449101796405,41.625,388.9601053820098
amaleki,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
amaron,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
chemish,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
enos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
jacob,0.0,5.0,1.0,0.0,4.0,0.0,3.0,0.0,1.0,0.0,1.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,5.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14634146341463414,0.11149825783972125,0.10452961672473868,0.024390243902439025,0.04878048780487805,0.07317073170731707,0.0313588850174216,0.05226480836236934,0.08362369337979095,0.027874564459930314,0.024390243902439025,0.006968641114982578,0.006968641114982578,0.010452961672473868,0.0313588850174216,0.003484320557491289,0.027874564459930314,0.017421602787456445,0.017421602787456445,0.020905923344947737,0.0627177700348432,0.010452961672473868,0.024390243902439025,0.003484320557491289,0.0,0.0,0.0,71,4.042253521126761,35.5,44.97212543554004
jarom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
