Author,and,there,forth,also,upon,the,of,did,many,it,to,that,their,which,was,by,were,them,some,into,lord,they,should,no,more,but,could,not,whoso,had,all,now,when,must,unto,he,again,be,in,his,from,who,for,what,thus,being,yea,with,an,as,than,would,therefore,those,because,these,are,god,according,whatsoever,became,out,been,whosoever,among,him,is,let,where,without,one,every,much,himself,man,we,my,make,lest,our,wherefore,me,whither,thereof,said,her,till,abundance,thy,will,thee,do,may,if,wheresoever,then,notwithstanding,yet,throughout,whom,thou,therewith,soever,doeth,oft,wherewithal,wherewith,ye,ought,whose,henceforth,thence,outward,cometh,verily,wherein,didst,hast,thereby,thine,whereby,hath,seest,say,each,whereof,your,once,thyself,shall,thereon,such,upward,or,whence,seemeth,inasmuch,becometh,shouldst,therein,upwards,whereon,neither,how,have,other,like,hence,shalt,anything,moreover,ever,e_percentage_use,t_percentage_use,h_percentage_use,r_percentage_use,a_percentage_use,n_percentage_use,d_percentage_use,c_percentage_use,m_percentage_use,f_percentage_use,o_percentage_use,p_percentage_use,i_percentage_use,s_percentage_use,u_percentage_use,l_percentage_use,y_percentage_use,k_percentage_use,b_percentage_use,g_percentage_use,w_percentage_use,z_percentage_use,v_percentage_use,q_percentage_use,â_percentage_use,j_percentage_use,x_percentage_use,Total_Word_Count,AVG_Letter_Per_Word,AVG_Word_Per_Verse,Total_Function_Word_Count
moroni,21.0,4.0,2.0,1.0,2.0,32.0,9.0,10.0,2.0,8.0,13.0,12.0,2.0,4.0,2.0,5.0,3.0,6.0,1.0,1.0,6.0,6.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,3.0,1.0,2.0,1.0,2.0,5.0,2.0,1.0,5.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13661581137309292,0.10124826629680998,0.08945908460471567,0.05062413314840499,0.0769764216366158,0.05547850208044383,0.057558945908460474,0.019417475728155338,0.022191400832177532,0.02011095700416089,0.06588072122052704,0.030513176144244106,0.046463245492371706,0.06241331484049931,0.027045769764216365,0.03259361997226075,0.013176144244105409,0.0027739251040221915,0.017337031900138695,0.011095700416088766,0.01872399445214979,0.0034674063800277394,0.005547850208044383,0.0006934812760055479,0.0013869625520110957,0.0006934812760055479,0.0,339,4.2536873156342185,48.42857142857143,195.9694868238558
mormon,129.0,2.0,9.0,9.0,7.0,181.0,124.0,34.0,10.0,32.0,68.0,62.0,28.0,9.0,22.0,10.0,30.0,21.0,0.0,12.0,0.0,46.0,10.0,1.0,1.0,5.0,2.0,11.0,0.0,26.0,14.0,14.0,12.0,0.0,4.0,27.0,2.0,6.0,24.0,21.0,12.0,11.0,7.0,1.0,10.0,2.0,8.0,16.0,4.0,4.0,2.0,4.0,6.0,9.0,8.0,2.0,2.0,1.0,5.0,3.0,2.0,6.0,6.0,2.0,1.0,5.0,1.0,4.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1220472440944882,0.0965660542432196,0.07644356955380577,0.048775153105861765,0.09755030621172353,0.07283464566929133,0.049431321084864394,0.024278215223097113,0.03652668416447944,0.024715660542432197,0.0726159230096238,0.01706036745406824,0.0568678915135608,0.04932195975503062,0.01837270341207349,0.033027121609798774,0.017388451443569555,0.003937007874015748,0.0097331583552056,0.014326334208223972,0.021325459317585303,0.0004374453193350831,0.005796150481189851,0.00021872265966754156,0.0,0.0010936132983377078,0.0020778652668416446,2125,4.303058823529412,44.270833333333336,1178.9727690288714
abinadom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
nephi,50.0,3.0,3.0,6.0,6.0,48.0,26.0,21.0,3.0,14.0,29.0,22.0,9.0,7.0,3.0,1.0,15.0,4.0,0.0,2.0,5.0,28.0,6.0,0.0,0.0,2.0,2.0,5.0,0.0,14.0,2.0,1.0,1.0,1.0,7.0,2.0,1.0,10.0,7.0,2.0,1.0,0.0,5.0,1.0,0.0,2.0,7.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,16.0,10.0,1.0,2.0,3.0,5.0,11.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1436932982148083,0.09247878255779923,0.07316359379572725,0.05267778753292362,0.07550482879719052,0.0652619256657887,0.05999414691249634,0.021363769388352355,0.024290313140181447,0.02048580626280363,0.061457418788410885,0.01726660813579163,0.05267778753292362,0.05414105940883816,0.024582967515364356,0.02633889376646181,0.021656423763535264,0.0052677787532923615,0.018729880011706175,0.016973953760608722,0.028094820017559263,0.0,0.006145741878841089,0.000877963125548727,0.0,0.001170617500731636,0.001755926251097454,836,4.087320574162679,52.25,474.9660520924789
amaleki,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
amaron,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
chemish,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
enos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
jacob,5.0,0.0,0.0,1.0,0.0,6.0,2.0,0.0,0.0,4.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12609970674486803,0.12609970674486803,0.07331378299120235,0.07038123167155426,0.07917888563049853,0.05278592375366569,0.02932551319648094,0.020527859237536656,0.026392961876832845,0.02932551319648094,0.07038123167155426,0.011730205278592375,0.06451612903225806,0.0469208211143695,0.026392961876832845,0.03519061583577713,0.02932551319648094,0.0,0.008797653958944282,0.011730205278592375,0.020527859237536656,0.0,0.011730205278592375,0.0,0.0,0.005865102639296188,0.0,82,4.158536585365853,41.0,44.97653958944283
jarom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
