Author,and,his,whose,was,did,him,by,the,of,because,which,again,unto,it,to,that,many,upon,all,an,he,in,not,do,lord,for,have,be,yea,them,with,whoso,would,into,they,should,their,wherefore,when,had,there,were,out,being,forth,became,himself,been,among,but,god,those,also,once,more,therefore,much,throughout,notwithstanding,or,neither,how,from,according,these,man,thus,who,therein,other,we,one,whither,now,some,are,is,could,as,no,every,me,make,my,our,what,shall,then,may,anything,if,say,cometh,let,thereof,hath,wheresoever,yet,whom,thou,where,therewith,soever,thee,doeth,oft,wherewithal,wherewith,said,whatsoever,ye,thy,ought,henceforth,shalt,outward,thence,verily,wherein,abundance,didst,hast,thereby,thine,whereby,lest,seest,each,whereof,your,thyself,thereon,such,without,upward,whence,seemeth,inasmuch,becometh,shouldst,her,whereon,upwards,till,will,like,must,hence,whosoever,than,moreover,ever,e_percentage_use,t_percentage_use,h_percentage_use,r_percentage_use,a_percentage_use,n_percentage_use,d_percentage_use,i_percentage_use,s_percentage_use,l_percentage_use,o_percentage_use,w_percentage_use,m_percentage_use,z_percentage_use,b_percentage_use,g_percentage_use,v_percentage_use,y_percentage_use,f_percentage_use,c_percentage_use,u_percentage_use,x_percentage_use,p_percentage_use,k_percentage_use,â_percentage_use,j_percentage_use,q_percentage_use,Total_Word_Count,AVG_Letter_Per_Word,AVG_Word_Per_Verse,Total_Function_Word_Count
moroni,32.0,9.0,1.0,6.0,22.0,3.0,1.0,20.0,12.0,1.0,3.0,3.0,3.0,4.0,14.0,7.0,7.0,2.0,5.0,3.0,19.0,6.0,3.0,1.0,1.0,4.0,1.0,6.0,2.0,1.0,3.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1234866828087167,0.07627118644067797,0.07021791767554479,0.04600484261501211,0.09564164648910412,0.07324455205811138,0.07142857142857142,0.07324455205811138,0.059322033898305086,0.035108958837772396,0.061138014527845036,0.018765133171912834,0.016343825665859565,0.0018159806295399517,0.019975786924939468,0.017554479418886198,0.007869249394673124,0.013922518159806295,0.019975786924939468,0.02360774818401937,0.020581113801452784,0.005447941888619854,0.02360774818401937,0.005447941888619854,0.0006053268765133172,0.0006053268765133172,0.0,398,4.150753768844221,57.0,224.9812348668281
mormon,133.0,22.0,3.0,28.0,30.0,7.0,9.0,164.0,109.0,5.0,9.0,9.0,11.0,24.0,66.0,38.0,12.0,4.0,12.0,7.0,33.0,28.0,7.0,2.0,6.0,10.0,1.0,11.0,4.0,7.0,15.0,0.0,1.0,8.0,30.0,7.0,26.0,0.0,2.0,20.0,8.0,27.0,3.0,3.0,14.0,1.0,0.0,4.0,9.0,7.0,9.0,8.0,16.0,1.0,3.0,11.0,3.0,2.0,1.0,3.0,1.0,1.0,6.0,7.0,5.0,8.0,5.0,15.0,1.0,2.0,2.0,3.0,1.0,6.0,1.0,4.0,1.0,4.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12847544022242818,0.09024559777571826,0.08155699721964782,0.05201575532900834,0.08746524559777571,0.07738646895273402,0.054448563484708064,0.05375347544022243,0.048308619091751624,0.03255329008341057,0.0757645968489342,0.019230769230769232,0.027803521779425393,0.0005792400370713623,0.01216404077849861,0.018883225208526415,0.006024096385542169,0.013785912882298424,0.022242817423540315,0.0206209453197405,0.018767377201112143,0.001737720111214087,0.02108433734939759,0.003475440222428174,0.00023169601482854495,0.002432808155699722,0.00011584800741427248,1989,4.339869281045751,41.458333333333336,1133.9711538461538
abinadom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
nephi,48.0,5.0,0.0,1.0,6.0,6.0,2.0,66.0,54.0,4.0,13.0,0.0,3.0,7.0,19.0,12.0,1.0,10.0,3.0,2.0,5.0,9.0,4.0,5.0,4.0,6.0,4.0,14.0,3.0,4.0,0.0,0.0,3.0,1.0,5.0,8.0,4.0,5.0,1.0,1.0,1.0,5.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,4.0,3.0,4.0,0.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,7.0,6.0,1.0,1.0,4.0,0.0,4.0,3.0,2.0,0.0,1.0,1.0,4.0,1.0,0.0,2.0,0.0,1.0,2.0,3.0,10.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13683567501527183,0.08460598656078192,0.07361026267562615,0.05497861942577886,0.06872327428222358,0.06994502138057422,0.05100794135613928,0.05284056200366524,0.0531459987782529,0.028405620036652413,0.08002443494196701,0.020158827122785584,0.02687843616371411,0.0009163103237629811,0.010690287110568112,0.016188149053146,0.007330482590103849,0.012522907758094075,0.030849114233353694,0.02474037874160049,0.022907758094074526,0.0012217470983506415,0.02626756261453879,0.006719609040928528,0.00030543677458766036,0.0015271838729383018,0.00030543677458766036,803,4.077210460772105,50.1875,445.96365302382395
amaleki,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
amaron,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
chemish,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
enos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
jacob,3.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,5.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,6.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1300639658848614,0.11727078891257996,0.11300639658848614,0.06823027718550106,0.06609808102345416,0.04904051172707889,0.031982942430703626,0.03837953091684435,0.03411513859275053,0.031982942430703626,0.08742004264392324,0.021321961620469083,0.017057569296375266,0.0,0.0255863539445629,0.017057569296375266,0.010660980810234541,0.010660980810234541,0.042643923240938165,0.023454157782515993,0.03411513859275053,0.0,0.006396588486140725,0.0021321961620469083,0.0,0.0042643923240938165,0.0,109,4.302752293577981,54.5,60.98294243070362
jarom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
