Author,abundance_FC,abundance_WC,according_FC,according_WC,again_FC,again_WC,all_FC,all_WC,also_FC,also_WC,among_FC,among_WC,an_FC,an_WC,and_FC,and_WC,anything_FC,anything_WC,are_FC,are_WC,as_FC,as_WC,be_FC,be_WC,became_FC,became_WC,because_FC,because_WC,becometh_FC,becometh_WC,been_FC,been_WC,being_FC,being_WC,but_FC,but_WC,by_FC,by_WC,cometh_FC,cometh_WC,could_FC,could_WC,did_FC,did_WC,didst_FC,didst_WC,do_FC,do_WC,doeth_FC,doeth_WC,each_FC,each_WC,ever_FC,ever_WC,every_FC,every_WC,for_FC,for_WC,forth_FC,forth_WC,from_FC,from_WC,god_FC,god_WC,had_FC,had_WC,hast_FC,hast_WC,hath_FC,hath_WC,have_FC,have_WC,he_FC,he_WC,hence_FC,hence_WC,henceforth_FC,henceforth_WC,her_FC,her_WC,him_FC,him_WC,himself_FC,himself_WC,his_FC,his_WC,how_FC,how_WC,if_FC,if_WC,in_FC,in_WC,inasmuch_FC,inasmuch_WC,into_FC,into_WC,is_FC,is_WC,it_FC,it_WC,lest_FC,lest_WC,let_FC,let_WC,like_FC,like_WC,lord_FC,lord_WC,make_FC,make_WC,man_FC,man_WC,many_FC,many_WC,may_FC,may_WC,me_FC,me_WC,more_FC,more_WC,moreover_FC,moreover_WC,much_FC,much_WC,must_FC,must_WC,my_FC,my_WC,neither_FC,neither_WC,no_FC,no_WC,not_FC,not_WC,notwithstanding_FC,notwithstanding_WC,now_FC,now_WC,of_FC,of_WC,oft_FC,oft_WC,once_FC,once_WC,one_FC,one_WC,or_FC,or_WC,other_FC,other_WC,ought_FC,ought_WC,our_FC,our_WC,out_FC,out_WC,outward_FC,outward_WC,said_FC,said_WC,say_FC,say_WC,seemeth_FC,seemeth_WC,seest_FC,seest_WC,shall_FC,shall_WC,shalt_FC,shalt_WC,should_FC,should_WC,shouldst_FC,shouldst_WC,soever_FC,soever_WC,some_FC,some_WC,such_FC,such_WC,than_FC,than_WC,that_FC,that_WC,the_FC,the_WC,thee_FC,thee_WC,their_FC,their_WC,them_FC,them_WC,then_FC,then_WC,thence_FC,thence_WC,there_FC,there_WC,thereby_FC,thereby_WC,therefore_FC,therefore_WC,therein_FC,therein_WC,thereof_FC,thereof_WC,thereon_FC,thereon_WC,therewith_FC,therewith_WC,these_FC,these_WC,they_FC,they_WC,thine_FC,thine_WC,those_FC,those_WC,thou_FC,thou_WC,throughout_FC,throughout_WC,thus_FC,thus_WC,thy_FC,thy_WC,thyself_FC,thyself_WC,till_FC,till_WC,to_FC,to_WC,unto_FC,unto_WC,upon_FC,upon_WC,upward_FC,upward_WC,upwards_FC,upwards_WC,verily_FC,verily_WC,was_FC,was_WC,we_FC,we_WC,were_FC,were_WC,what_FC,what_WC,whatsoever_FC,whatsoever_WC,when_FC,when_WC,whence_FC,whence_WC,where_FC,where_WC,whereby_FC,whereby_WC,wherefore_FC,wherefore_WC,wherein_FC,wherein_WC,whereof_FC,whereof_WC,whereon_FC,whereon_WC,wheresoever_FC,wheresoever_WC,wherewith_FC,wherewith_WC,wherewithal_FC,wherewithal_WC,which_FC,which_WC,whither_FC,whither_WC,who_FC,who_WC,whom_FC,whom_WC,whose_FC,whose_WC,whoso_FC,whoso_WC,whosoever_FC,whosoever_WC,will_FC,will_WC,with_FC,with_WC,without_FC,without_WC,would_FC,would_WC,ye_FC,ye_WC,yea_FC,yea_WC,yet_FC,yet_WC,your_FC,your_WC,a_percentage_use,b_percentage_use,c_percentage_use,d_percentage_use,e_percentage_use,f_percentage_use,g_percentage_use,h_percentage_use,i_percentage_use,j_percentage_use,k_percentage_use,l_percentage_use,m_percentage_use,n_percentage_use,o_percentage_use,p_percentage_use,q_percentage_use,r_percentage_use,s_percentage_use,t_percentage_use,u_percentage_use,v_percentage_use,w_percentage_use,x_percentage_use,y_percentage_use,z_percentage_use,â_percentage_use,Function_Word_Use,Total_Word_Count,Total_Function_Word_Count,AVG_Letter_Per_Word,AVG_Word_Per_Verse
moroni,0.0,0.0,0.0,0.0,0.0,0.0,2.5646204719501844,1.4234875444839856,1.9234653539626385,1.0676156583629894,0.0,0.0,0.0,0.0,17.952343303651293,9.9644128113879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6411551179875461,0.3558718861209964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2823102359750922,0.7117437722419928,0.0,0.0,0.0,0.0,7.052706297863008,3.9145907473309607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9234653539626385,1.0676156583629894,0.0,0.0,0.0,0.0,0.0,0.0,0.6411551179875461,0.3558718861209964,0.0,0.0,0.0,0.0,0.0,0.0,1.9234653539626385,1.0676156583629894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6411551179875461,0.3558718861209964,1.9234653539626385,1.0676156583629894,0.0,0.0,0.0,0.0,3.846930707925277,2.135231316725979,0.0,0.0,0.6411551179875461,0.3558718861209964,0.0,0.0,2.5646204719501844,1.4234875444839856,0.0,0.0,0.0,0.0,0.6411551179875461,0.3558718861209964,1.2823102359750922,0.7117437722419928,0.6411551179875461,0.3558718861209964,0.0,0.0,1.2823102359750922,0.7117437722419928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.899637005788284,6.049822064056939,0.0,0.0,0.0,0.0,0.6411551179875461,0.3558718861209964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6411551179875461,0.3558718861209964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.846930707925277,2.135231316725979,13.46425747773847,7.473309608540925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.052706297863008,3.9145907473309607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.846930707925277,2.135231316725979,0.6411551179875461,0.3558718861209964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5646204719501844,1.4234875444839856,0.0,0.0,1.2823102359750922,0.7117437722419928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6411551179875461,0.3558718861209964,0.0,0.0,1.2823102359750922,0.7117437722419928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2823102359750922,0.7117437722419928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9234653539626385,1.0676156583629894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0963096309630963,0.0108010801080108,0.0153015301530153,0.0783078307830783,0.1197119711971197,0.027002700270027,0.0198019801980198,0.0738073807380738,0.0576057605760576,0.0,0.0072007200720072,0.036003600360036,0.0153015301530153,0.0675067506750675,0.0648064806480648,0.0135013501350135,0.0,0.0558055805580558,0.054005400540054,0.0918091809180918,0.0117011701170117,0.0063006300630063,0.0225022502250225,0.0009000900090009,0.0225022502250225,0.0,0.0,0.5550480314935409,281,155.96849684968498,3.9537366548042714,40.142857142857146
mormon,0.0,0.0,0.0,0.0,0.0,0.0,1.2647820366050484,0.7225433526011561,0.758869221963029,0.4335260115606936,0.5059128146420193,0.2890173410404624,0.0,0.0,11.551675934326108,6.59922928709056,0.0,0.0,0.0,0.0,0.33727520976134623,0.1926782273603083,0.08431880244033656,0.04816955684007707,0.08431880244033656,0.04816955684007707,0.9275068268437022,0.5298651252408477,0.0,0.0,0.16863760488067311,0.09633911368015415,0.08431880244033656,0.04816955684007707,0.42159401220168274,0.24084778420038533,0.25295640732100966,0.1445086705202312,0.08431880244033656,0.04816955684007707,0.08431880244033656,0.04816955684007707,2.9511580854117794,1.6859344894026975,0.0,0.0,0.08431880244033656,0.04816955684007707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0118256292840386,0.5780346820809248,0.08431880244033656,0.04816955684007707,0.6745504195226925,0.3853564547206166,1.0961444317243754,0.6262042389210019,1.8550136536874045,1.0597302504816954,0.0,0.0,0.0,0.0,0.08431880244033656,0.04816955684007707,0.8431880244033655,0.48169556840077066,0.0,0.0,0.0,0.0,0.0,0.0,0.08431880244033656,0.04816955684007707,0.0,0.0,0.6745504195226925,0.3853564547206166,0.0,0.0,0.08431880244033656,0.04816955684007707,4.637534134218511,2.649325626204239,0.08431880244033656,0.04816955684007707,0.758869221963029,0.4335260115606936,0.42159401220168274,0.24084778420038533,2.613882875650433,1.4932562620423893,0.08431880244033656,0.04816955684007707,0.0,0.0,0.16863760488067311,0.09633911368015415,0.6745504195226925,0.3853564547206166,0.0,0.0,0.33727520976134623,0.1926782273603083,0.8431880244033655,0.48169556840077066,0.16863760488067311,0.09633911368015415,0.0,0.0,0.6745504195226925,0.3853564547206166,0.0,0.0,0.16863760488067311,0.09633911368015415,0.08431880244033656,0.04816955684007707,0.0,0.0,0.0,0.0,0.25295640732100966,0.1445086705202312,0.758869221963029,0.4335260115606936,0.0,0.0,0.16863760488067311,0.09633911368015415,9.865299885519377,5.635838150289017,0.08431880244033656,0.04816955684007707,0.0,0.0,0.0,0.0,0.08431880244033656,0.04816955684007707,0.0,0.0,0.0,0.0,0.08431880244033656,0.04816955684007707,0.33727520976134623,0.1926782273603083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08431880244033656,0.04816955684007707,0.0,0.0,0.25295640732100966,0.1445086705202312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16863760488067311,0.09633911368015415,3.288433295173126,1.8786127167630058,17.622629710030342,10.067437379576107,0.0,0.0,3.6257085049344715,2.071290944123314,1.0118256292840386,0.5780346820809248,0.0,0.0,0.0,0.0,1.0961444317243754,0.6262042389210019,0.0,0.0,0.5059128146420193,0.2890173410404624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1316213195764915,2.3603082851637764,0.0,0.0,0.5902316170823558,0.3371868978805395,0.0,0.0,0.0,0.0,0.5059128146420193,0.2890173410404624,0.0,0.0,0.0,0.0,0.0,0.0,4.806171739099184,2.745664739884393,1.9393324561277407,1.1078998073217727,0.42159401220168274,0.24084778420038533,0.0,0.0,0.0,0.0,0.0,0.0,2.1079700610084138,1.2042389210019269,0.25295640732100966,0.1445086705202312,2.276607665889087,1.300578034682081,0.08431880244033656,0.04816955684007707,0.0,0.0,0.08431880244033656,0.04816955684007707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7706948512470677,1.0115606936416186,0.0,0.0,0.9275068268437022,0.5298651252408477,0.0,0.0,0.08431880244033656,0.04816955684007707,0.0,0.0,0.08431880244033656,0.04816955684007707,0.25295640732100966,0.1445086705202312,0.758869221963029,0.4335260115606936,0.0,0.0,0.16863760488067311,0.09633911368015415,0.0,0.0,1.517738443926058,0.8670520231213872,0.0,0.0,0.0,0.0,0.0772854739203589,0.0094223219293325,0.022097588334268,0.0500280426247896,0.1357263039820527,0.0250140213123948,0.0189568143578238,0.0823331463825014,0.0633763320246775,0.0031407739764441,0.0030286034772854,0.0334268087492989,0.0217610768367919,0.0722378014582164,0.0650588895120583,0.0195176668536175,0.0006730229949523,0.0493550196298373,0.0538418395961862,0.1000560852495793,0.021312394840157,0.0062815479528883,0.018508132361189,0.0016825574873808,0.0197420078519349,0.0005608524957936,0.0006730229949523,0.5712789490121322,2076,1185.9750981491864,4.294315992292871,43.25
abinadom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0,0.0
nephi,0.0,0.0,0.46407720302443883,0.2728512960436562,0.23203860151221942,0.1364256480218281,2.5524246166344136,1.5006821282401093,0.23203860151221942,0.1364256480218281,1.1601930075610971,0.6821282401091405,0.0,0.0,9.281544060488777,5.457025920873124,0.0,0.0,2.088347413609975,1.227830832196453,0.23203860151221942,0.1364256480218281,3.94465622570773,2.3192360163710775,0.0,0.0,0.0,0.0,0.0,0.0,0.23203860151221942,0.1364256480218281,0.46407720302443883,0.2728512960436562,0.46407720302443883,0.2728512960436562,0.46407720302443883,0.2728512960436562,0.46407720302443883,0.2728512960436562,0.0,0.0,0.0,0.0,0.0,0.0,0.46407720302443883,0.2728512960436562,0.0,0.0,0.0,0.0,0.0,0.0,0.23203860151221942,0.1364256480218281,1.624270210585536,0.9549795361527967,0.0,0.0,0.0,0.0,0.6961158045366582,0.4092769440654843,0.0,0.0,0.0,0.0,0.23203860151221942,0.1364256480218281,0.23203860151221942,0.1364256480218281,0.9281544060488777,0.5457025920873124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1601930075610971,0.6821282401091405,0.0,0.0,0.23203860151221942,0.1364256480218281,2.088347413609975,1.227830832196453,0.0,0.0,0.23203860151221942,0.1364256480218281,1.624270210585536,0.9549795361527967,1.8563088120977553,1.0914051841746248,0.0,0.0,0.0,0.0,0.0,0.0,1.624270210585536,0.9549795361527967,0.46407720302443883,0.2728512960436562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3922316090733164,0.8185538881309686,0.46407720302443883,0.2728512960436562,0.0,0.0,0.0,0.0,1.1601930075610971,0.6821282401091405,0.0,0.0,0.23203860151221942,0.1364256480218281,9.281544060488777,5.457025920873124,0.0,0.0,0.0,0.0,0.9281544060488777,0.5457025920873124,0.0,0.0,0.0,0.0,0.0,0.0,0.6961158045366582,0.4092769440654843,0.6961158045366582,0.4092769440654843,0.0,0.0,0.0,0.0,0.23203860151221942,0.1364256480218281,0.0,0.0,0.0,0.0,5.336887834781047,3.1377899045020468,0.0,0.0,0.23203860151221942,0.1364256480218281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.480579022683292,2.046384720327422,15.082509098294262,8.867667121418826,0.23203860151221942,0.1364256480218281,2.5524246166344136,1.5006821282401093,0.6961158045366582,0.4092769440654843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23203860151221942,0.1364256480218281,3.0165018196588527,1.7735334242837655,0.0,0.0,1.8563088120977553,1.0914051841746248,0.0,0.0,0.0,0.0,0.23203860151221942,0.1364256480218281,0.0,0.0,0.0,0.0,0.0,0.0,2.784463218146633,1.6371077762619373,2.784463218146633,1.6371077762619373,1.1601930075610971,0.6821282401091405,0.0,0.0,0.0,0.0,0.0,0.0,0.23203860151221942,0.1364256480218281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9281544060488777,0.5457025920873124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.088347413609975,1.227830832196453,0.0,0.0,2.5524246166344136,1.5006821282401093,0.23203860151221942,0.1364256480218281,0.0,0.0,0.0,0.0,0.0,0.0,1.3922316090733164,0.8185538881309686,0.23203860151221942,0.1364256480218281,0.0,0.0,0.23203860151221942,0.1364256480218281,0.23203860151221942,0.1364256480218281,0.9281544060488777,0.5457025920873124,0.0,0.0,0.0,0.0,0.0731052984574111,0.0187793427230046,0.0157612340710932,0.039235412474849,0.1270959087860496,0.0254862508383635,0.0201207243460764,0.0875251509054326,0.050637156270959,0.0003353454057679,0.0063715627095908,0.0529845741113346,0.0184439973172367,0.0657276995305164,0.0784708249496981,0.0130784708249496,0.0006706908115358,0.0503018108651911,0.0543259557344064,0.0949027498323273,0.0278336686787391,0.005365526492287,0.0194500335345405,0.0003353454057679,0.0154258886653252,0.0006706908115358,0.0003353454057679,0.5879437607912137,733,430.9627766599597,4.068212824010914,45.75
amaleki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0,0.0
amaron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0,0.0
chemish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0,0.0
enos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0,0.0
jacob,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.55324592260953,4.878048780487805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.276622961304765,2.4390243902439024,5.276622961304765,2.4390243902439024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.276622961304765,2.4390243902439024,5.276622961304765,2.4390243902439024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.10649184521906,9.75609756097561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.276622961304765,2.4390243902439024,0.0,0.0,0.0,0.0,0.0,0.0,5.276622961304765,2.4390243902439024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.276622961304765,2.4390243902439024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.276622961304765,2.4390243902439024,10.55324592260953,4.878048780487805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.276622961304765,2.4390243902439024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.276622961304765,2.4390243902439024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0787878787878787,0.0242424242424242,0.0181818181818181,0.0242424242424242,0.0909090909090909,0.0424242424242424,0.0181818181818181,0.0787878787878787,0.0787878787878787,0.0121212121212121,0.006060606060606,0.0242424242424242,0.0242424242424242,0.0545454545454545,0.0787878787878787,0.0121212121212121,0.0,0.0545454545454545,0.0424242424242424,0.1151515151515151,0.0424242424242424,0.0121212121212121,0.006060606060606,0.0,0.0121212121212121,0.0,0.0,0.46223207686622314,41,18.95151515151515,4.024390243902439,20.5
jarom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0,0.0
