Author,but,all,the,them,with,and,of,lord,in,said,unto,how,will,me,it,be,they,for,which,have,among,make,thee,than,then,shall,thou,thy,from,to,that,by,now,if,shalt,as,one,man,because,was,not,into,he,therefore,hath,let,my,according,hast,is,no,upon,those,did,these,their,neither,had,him,his,say,ye,do,your,were,upward,therein,should,each,are,there,who,we,wherefore,out,when,an,or,thus,every,whosoever,also,ever,whither,our,other,god,what,thine,didst,yea,been,being,again,may,moreover,whom,like,himself,forth,thereof,would,without,much,abundance,such,whereof,doeth,lest,seest,became,more,where,whose,wherein,whereon,cometh,yet,many,wherewith,thereunto,ought,inasmuch,must,whence,hence,her,downward,whereto,therewith,thence,whatsoever,once,thereby,shouldest,outward,howsoever,throughout,becometh,whereby,henceforth,thereon,till,thereupon,oft,oftentimes,underneath,whereunto,whensoever,wherewithal,seemeth,hereof,thyself,notwithstanding,verily,soever,could,forthwith,some,therefrom,wheresoever,whoso,b_percentage_use,u_percentage_use,t_percentage_use,a_percentage_use,l_percentage_use,h_percentage_use,e_percentage_use,c_percentage_use,o_percentage_use,n_percentage_use,g_percentage_use,r_percentage_use,i_percentage_use,d_percentage_use,s_percentage_use,m_percentage_use,w_percentage_use,y_percentage_use,f_percentage_use,p_percentage_use,v_percentage_use,k_percentage_use,q_percentage_use,j_percentage_use,z_percentage_use,x_percentage_use,Total_Word_Count,AVG_Letter_Per_Word,AVG_Word_Per_Verse,Total_Function_Word_Count
Moses,8.0,12.0,124.0,17.0,14.0,67.0,64.0,34.0,26.0,6.0,32.0,3.0,14.0,9.0,10.0,16.0,12.0,27.0,19.0,14.0,5.0,4.0,4.0,1.0,6.0,32.0,12.0,4.0,4.0,17.0,17.0,11.0,6.0,3.0,5.0,12.0,8.0,1.0,4.0,1.0,11.0,7.0,7.0,2.0,4.0,1.0,6.0,6.0,2.0,2.0,1.0,3.0,2.0,2.0,4.0,2.0,1.0,1.0,3.0,2.0,3.0,24.0,8.0,16.0,2.0,1.0,1.0,1.0,1.0,5.0,2.0,1.0,2.0,1.0,1.0,4.0,14.0,12.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014625228519195612,0.029084261259764002,0.08592321755027423,0.07910919062655808,0.051188299817184646,0.07445570882499584,0.1228186804055177,0.017616752534485625,0.08343028087086587,0.07545288349675919,0.020940668107030082,0.06498254944324414,0.05916569719129134,0.040385574206415156,0.05035732092404853,0.022768821671929534,0.019278710320757852,0.022935017450556757,0.03390393883995346,0.014292836961941167,0.00930696360312448,0.005318264916071132,0.0006647831145088915,0.00116337045039056,0.0,0.0,1475,4.079322033898305,25.43103448275862,859.9991690211069
Joshua,3.0,0.0,24.0,1.0,0.0,11.0,17.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0196078431372549,0.01838235294117647,0.0821078431372549,0.10784313725490197,0.023284313725490197,0.1053921568627451,0.1323529411764706,0.020833333333333332,0.07965686274509803,0.08823529411764706,0.020833333333333332,0.05514705882352941,0.03799019607843137,0.04779411764705882,0.061274509803921566,0.03308823529411765,0.006127450980392157,0.0024509803921568627,0.030637254901960783,0.014705882352941176,0.0024509803921568627,0.0,0.0,0.0024509803921568627,0.003676470588235294,0.0,182,4.483516483516484,30.166666666666668,94.99632352941173
Samuel,2.0,0.0,48.0,2.0,2.0,33.0,20.0,17.0,5.0,11.0,8.0,0.0,3.0,3.0,2.0,1.0,2.0,5.0,2.0,9.0,0.0,0.0,8.0,3.0,2.0,0.0,6.0,3.0,4.0,7.0,3.0,0.0,1.0,0.0,0.0,5.0,0.0,1.0,2.0,0.0,5.0,0.0,5.0,1.0,6.0,0.0,1.0,0.0,2.0,5.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,3.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014680971202710334,0.029361942405420668,0.10841332580463016,0.08243929983060418,0.04291360813099943,0.08130999435347261,0.1293054771315641,0.014116318464144552,0.0756634669678148,0.06662902315076229,0.018633540372670808,0.05251270468661773,0.06267645398080181,0.05928853754940711,0.057029926595143984,0.019198193111236588,0.012422360248447204,0.017504234895539244,0.024280067758328628,0.010163749294184076,0.009599096555618294,0.006775832862789385,0.000564652738565782,0.00282326369282891,0.0,0.001129305477131564,435,4.071264367816092,29.0,273.9994353472614
Unknown,0.0,6.0,11.0,0.0,3.0,13.0,4.0,0.0,2.0,2.0,2.0,0.0,5.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013029315960912053,0.024429967426710098,0.06677524429967427,0.11400651465798045,0.09120521172638436,0.08631921824104234,0.12052117263843648,0.017915309446254073,0.06351791530944625,0.05863192182410423,0.008143322475570033,0.02768729641693811,0.0732899022801303,0.050488599348534204,0.06188925081433225,0.026058631921824105,0.03420195439739414,0.006514657980456026,0.014657980456026058,0.021172638436482084,0.006514657980456026,0.009771986970684038,0.0016286644951140066,0.0,0.0,0.0,152,4.0394736842105265,25.333333333333332,88.99837133550491
Unknown,0.0,1.0,28.0,0.0,2.0,17.0,26.0,2.0,16.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,2.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,7.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016546018614270942,0.01344364012409514,0.08686659772492245,0.10341261633919338,0.03205791106514995,0.10237849017580145,0.10341261633919338,0.009307135470527405,0.0703205791106515,0.07238883143743537,0.017580144777662874,0.04239917269906929,0.09100310237849017,0.045501551189245086,0.0703205791106515,0.016546018614270942,0.01861427094105481,0.012409513960703205,0.033092037228541885,0.008273009307135471,0.0062047569803516025,0.014477766287487074,0.0,0.005170630816959669,0.007238883143743537,0.001034126163391934,250,3.868,31.25,144.99999999999997
Unknown,1.0,2.0,22.0,4.0,1.0,15.0,19.0,3.0,6.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010676156583629894,0.013048635824436536,0.09015421115065243,0.10083036773428232,0.020166073546856466,0.08540925266903915,0.132858837485172,0.018979833926453145,0.06998813760379596,0.07354685646500593,0.018979833926453145,0.05575326215895611,0.06761565836298933,0.046263345195729534,0.06168446026097272,0.022538552787663108,0.014234875444839857,0.021352313167259787,0.03084223013048636,0.00830367734282325,0.010676156583629894,0.0166073546856465,0.0,0.0011862396204033216,0.005931198102016607,0.0011862396204033216,203,4.152709359605911,29.0,112.9988137603796
Ezra,1.0,9.0,101.0,2.0,3.0,63.0,51.0,16.0,14.0,2.0,3.0,0.0,0.0,0.0,12.0,0.0,12.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,19.0,9.0,5.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,12.0,2.0,2.0,9.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,3.0,0.0,4.0,0.0,0.0,0.0,5.0,2.0,5.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,5.0,2.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012285012285012284,0.022113022113022112,0.10284310284310284,0.0881010881010881,0.032994032994032994,0.0881010881010881,0.12706212706212705,0.0171990171990172,0.08248508248508249,0.06704106704106703,0.020007020007020006,0.04598104598104598,0.05580905580905581,0.06282906282906282,0.057213057213057215,0.016848016848016848,0.018252018252018252,0.01368901368901369,0.029484029484029485,0.012636012636012635,0.006669006669006669,0.00702000702000702,0.000702000702000702,0.00702000702000702,0.000351000351000351,0.000351000351000351,709,4.018335684062059,35.15,418.9950859950861
Nehemiah,0.0,3.0,27.0,0.0,1.0,9.0,14.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,11.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014263074484944533,0.03645007923930269,0.10618066561014262,0.06973058637083994,0.03328050713153724,0.06497622820919176,0.11727416798732171,0.009508716323296355,0.11251980982567353,0.060221870047543584,0.022187004754358162,0.08399366085578447,0.04754358161648178,0.03486529318541997,0.060221870047543584,0.011093502377179081,0.014263074484944533,0.014263074484944533,0.06497622820919176,0.011093502377179081,0.004754358161648178,0.004754358161648178,0.0,0.0,0.0,0.0,161,3.919254658385093,40.25,98.99841521394609
Mordecai,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.11764705882352941,0.058823529411764705,0.029411764705882353,0.058823529411764705,0.11764705882352941,0.029411764705882353,0.11764705882352941,0.029411764705882353,0.0,0.08823529411764706,0.029411764705882353,0.11764705882352941,0.058823529411764705,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,4.25,7.0,3.941176470588234
Unknown,0.0,1.0,7.0,1.0,2.0,7.0,2.0,0.0,3.0,0.0,1.0,0.0,1.0,4.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,1.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01507537688442211,0.03015075376884422,0.09882747068676717,0.06700167504187604,0.03015075376884422,0.06532663316582915,0.10385259631490787,0.020100502512562814,0.09882747068676717,0.08542713567839195,0.021775544388609715,0.05025125628140704,0.08040201005025126,0.05025125628140704,0.04020100502512563,0.035175879396984924,0.03015075376884422,0.018425460636515914,0.01675041876046901,0.018425460636515914,0.011725293132328308,0.010050251256281407,0.0,0.0,0.0,0.0,156,3.826923076923077,15.6,78.998324958124
