Author,all,that,the,lord,hath,by,of,from,and,among,your,then,it,shall,be,if,ought,without,one,for,unto,with,his,according,to,make,an,them,is,they,their,were,in,he,when,him,ye,have,but,doeth,or,because,upon,man,was,not,what,should,said,as,throughout,may,do,which,my,god,out,now,much,are,every,wherefore,will,who,whom,therein,seemeth,himself,thee,thy,also,thou,we,hast,thyself,moreover,into,these,neither,each,thereon,lest,me,her,had,there,let,therefore,wherewith,yet,could,those,would,did,again,no,more,how,thine,say,shalt,outward,some,other,whosoever,whose,thus,wherein,where,forth,our,than,yea,been,many,whatsoever,must,till,like,cometh,didst,shouldest,being,notwithstanding,becometh,whither,inasmuch,downward,abundance,whereto,seest,therewith,whereof,thence,thereof,once,thereby,hence,howsoever,whereby,henceforth,thereupon,thereunto,became,ever,oft,oftentimes,such,underneath,whereunto,whence,whensoever,wherewithal,hereof,verily,whereon,soever,forthwith,therefrom,wheresoever,whoso,upward,e_percentage_use,v_percentage_use,n_percentage_use,a_percentage_use,l_percentage_use,t_percentage_use,h_percentage_use,o_percentage_use,r_percentage_use,d_percentage_use,c_percentage_use,m_percentage_use,y_percentage_use,u_percentage_use,b_percentage_use,f_percentage_use,s_percentage_use,w_percentage_use,g_percentage_use,i_percentage_use,k_percentage_use,p_percentage_use,j_percentage_use,q_percentage_use,z_percentage_use,x_percentage_use,Total_Word_Count,AVG_Letter_Per_Word,AVG_Word_Per_Verse,Total_Function_Word_Count
Moses,30.0,36.0,136.0,34.0,8.0,4.0,67.0,10.0,124.0,8.0,7.0,5.0,13.0,22.0,21.0,5.0,2.0,3.0,7.0,20.0,32.0,10.0,13.0,1.0,22.0,7.0,4.0,29.0,6.0,23.0,15.0,5.0,14.0,14.0,2.0,19.0,16.0,5.0,3.0,1.0,3.0,2.0,9.0,7.0,3.0,9.0,2.0,1.0,9.0,2.0,1.0,3.0,5.0,4.0,1.0,7.0,6.0,1.0,2.0,5.0,5.0,1.0,5.0,2.0,2.0,1.0,1.0,1.0,2.0,3.0,3.0,11.0,2.0,2.0,1.0,1.0,3.0,7.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12045831448816524,0.005879692446856626,0.08095884215287201,0.0877431026684758,0.04085632443841399,0.09754259007990351,0.07839589929142168,0.08970300015076134,0.05909844715814865,0.04583144881652344,0.01854364540931705,0.03000150761344791,0.018091361374943465,0.027287803407206393,0.013568521031207599,0.026986280717624,0.050203527815468114,0.013870043720789989,0.02231267902909694,0.04929895974672094,0.008141112618724558,0.013116236996834011,0.00030152268958239106,0.00030152268958239106,0.0004522840343735866,0.00015076134479119553,1599,4.1482176360225145,27.56896551724138,953.9990954319313
Joshua,0.0,2.0,23.0,1.0,1.0,0.0,14.0,0.0,21.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,1.0,2.0,0.0,2.0,5.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,6.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11816192560175055,0.007658643326039387,0.09190371991247265,0.10393873085339168,0.0175054704595186,0.11269146608315099,0.087527352297593,0.0711159737417943,0.053610503282275714,0.05142231947483589,0.019693654266958426,0.018599562363238512,0.007658643326039387,0.020787746170678335,0.014223194748358862,0.016411378555798686,0.07221006564551423,0.020787746170678335,0.010940919037199124,0.06236323851203501,0.002188183807439825,0.009846827133479213,0.002188183807439825,0.0,0.0,0.0010940919037199124,214,4.271028037383178,35.333333333333336,118.9945295404814
Samuel,0.0,4.0,29.0,15.0,3.0,1.0,7.0,1.0,32.0,2.0,0.0,5.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,5.0,6.0,4.0,7.0,0.0,15.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,2.0,8.0,1.0,6.0,1.0,4.0,2.0,0.0,1.0,1.0,0.0,2.0,0.0,2.0,1.0,0.0,13.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,5.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13383545770567787,0.005214368482039398,0.06315179606025492,0.09791425260718424,0.051564310544611816,0.08111239860950174,0.07937427578215528,0.07068366164542295,0.043453070683661645,0.05619930475086906,0.023174971031286212,0.03707995365005794,0.01100811123986095,0.028389339513325607,0.01216685979142526,0.01738122827346466,0.06894553881807648,0.015643105446118192,0.016222479721900347,0.06373117033603708,0.006373117033603708,0.01100811123986095,0.0034762456546929316,0.0,0.0,0.0,428,4.0327102803738315,28.466666666666665,238.99710312862112
Unknown,2.0,9.0,8.0,0.0,2.0,1.0,4.0,1.0,10.0,1.0,0.0,0.0,2.0,2.0,5.0,1.0,0.0,0.0,0.0,3.0,3.0,2.0,2.0,0.0,4.0,0.0,0.0,1.0,8.0,3.0,1.0,0.0,5.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,3.0,0.0,0.0,2.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11465721040189125,0.0070921985815602835,0.061465721040189124,0.10520094562647754,0.05200945626477541,0.10756501182033097,0.1016548463356974,0.07328605200945626,0.0425531914893617,0.02955082742316785,0.008274231678486997,0.030732860520094562,0.016548463356973995,0.01773049645390071,0.02009456264775414,0.022458628841607566,0.06382978723404255,0.02364066193853428,0.014184397163120567,0.06501182033096926,0.00591016548463357,0.016548463356973995,0.0,0.0,0.0,0.0,210,4.0285714285714285,35.0,125.99999999999996
Unknown,6.0,7.0,25.0,2.0,2.0,3.0,17.0,1.0,14.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,4.0,1.0,7.0,0.0,0.0,0.0,0.0,4.0,1.0,2.0,5.0,7.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11658291457286432,0.006030150753768844,0.07336683417085427,0.09547738693467336,0.035175879396984924,0.09246231155778895,0.09547738693467336,0.06733668341708543,0.04623115577889447,0.04120603015075377,0.018090452261306532,0.017085427135678392,0.01407035175879397,0.009045226130653266,0.016080402010050253,0.024120603015075376,0.06432160804020101,0.022110552763819097,0.020100502512562814,0.0814070351758794,0.012060301507537688,0.019095477386934675,0.0020100502512562816,0.0,0.006030150753768844,0.0,251,3.9641434262948207,31.125,141.99497487437185
Unknown,1.0,4.0,27.0,2.0,0.0,1.0,18.0,4.0,19.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,8.0,0.0,0.0,2.0,2.0,5.0,0.0,1.0,3.0,0.0,2.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11412535079513564,0.00841908325537886,0.0617399438727783,0.09260991580916744,0.029934518241347054,0.09915809167446211,0.10009354536950421,0.07015902712815715,0.047708138447146865,0.04490177736202058,0.01683816651075772,0.018709073900841908,0.014967259120673527,0.03086997193638915,0.009354536950420954,0.028999064546304958,0.05706267539756782,0.018709073900841908,0.021515434985968196,0.06361085126286249,0.02245088868101029,0.011225444340505144,0.005612722170252572,0.0,0.006548175865294668,0.0,258,4.1434108527131785,36.57142857142857,138.9953227315248
Ezra,4.0,7.0,68.0,11.0,2.0,0.0,40.0,3.0,43.0,2.0,0.0,1.0,6.0,4.0,1.0,1.0,0.0,0.0,0.0,11.0,4.0,6.0,12.0,1.0,16.0,1.0,3.0,9.0,2.0,14.0,6.0,1.0,12.0,13.0,4.0,15.0,3.0,1.0,9.0,0.0,0.0,3.0,4.0,2.0,4.0,9.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,3.0,0.0,9.0,1.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12359943977591037,0.00665266106442577,0.06967787114845939,0.08508403361344538,0.028011204481792718,0.09558823529411764,0.09068627450980392,0.07773109243697479,0.05217086834733894,0.06092436974789916,0.01680672268907563,0.029411764705882353,0.014705882352941176,0.022408963585434174,0.01330532212885154,0.026260504201680673,0.05952380952380952,0.015406162464985995,0.01995798319327731,0.06092436974789916,0.007352941176470588,0.01330532212885154,0.00665266106442577,0.00035014005602240897,0.0021008403361344537,0.00035014005602240897,691,4.13314037626628,34.45,407.99894957983196
Nehemiah,2.0,4.0,39.0,0.0,0.0,0.0,24.0,0.0,16.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12747524752475248,0.009900990099009901,0.06435643564356436,0.055693069306930694,0.039603960396039604,0.12128712871287128,0.08663366336633663,0.09405940594059406,0.06683168316831684,0.03341584158415842,0.012376237623762377,0.009900990099009901,0.0012376237623762376,0.039603960396039604,0.011138613861386138,0.04455445544554455,0.07178217821782178,0.013613861386138614,0.02103960396039604,0.06435643564356436,0.0037128712871287127,0.007425742574257425,0.0,0.0,0.0,0.0,204,3.9607843137254903,51.0,135.99999999999997
Mordecai,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1308411214953271,0.0,0.07476635514018691,0.07476635514018691,0.037383177570093455,0.1308411214953271,0.11214953271028037,0.06542056074766354,0.037383177570093455,0.028037383177570093,0.028037383177570093,0.037383177570093455,0.009345794392523364,0.018691588785046728,0.0,0.009345794392523364,0.06542056074766354,0.028037383177570093,0.009345794392523364,0.04672897196261682,0.018691588785046728,0.009345794392523364,0.009345794392523364,0.0,0.0,0.0,24,4.458333333333333,23.0,14.981308411214952
Unknown,1.0,1.0,5.0,0.0,3.0,2.0,4.0,2.0,7.0,0.0,0.0,2.0,1.0,0.0,3.0,6.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,5.0,0.0,3.0,0.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12559618441971382,0.012718600953895072,0.08108108108108109,0.0794912559618442,0.02384737678855326,0.10333863275039745,0.06518282988871224,0.07790143084260731,0.04451510333863275,0.046104928457869634,0.014308426073131956,0.033386327503974564,0.033386327503974564,0.022257551669316374,0.017488076311605722,0.030206677265500796,0.03656597774244833,0.02702702702702703,0.017488076311605722,0.0794912559618442,0.00794912559618442,0.011128775834658187,0.001589825119236884,0.003179650238473768,0.0,0.0,164,3.8353658536585367,16.3,90.9952305246423
