Author,wherefore,ye,may,also,have,and,be,of,the,if,will,but,it,was,by,that,they,were,god,in,his,hath,more,is,been,for,there,no,among,do,them,he,not,himself,their,to,upon,with,which,those,had,forth,from,out,all,could,one,therefore,being,every,did,thus,should,lest,unto,because,when,lord,would,him,yea,thereof,notwithstanding,as,into,who,much,again,neither,outward,according,now,whose,an,became,these,many,must,some,what,are,my,make,hence,other,like,man,shall,me,cometh,then,say,whereby,let,wheresoever,yet,throughout,whom,thou,where,therewith,soever,thee,doeth,oft,wherewithal,wherewith,said,whatsoever,thy,ought,henceforth,shalt,thence,verily,wherein,abundance,didst,whither,hast,thine,thereby,seest,whoso,our,each,whereof,your,once,thyself,thereon,such,without,upward,or,whence,seemeth,inasmuch,becometh,shouldst,her,we,therein,upwards,whereon,how,till,whosoever,than,anything,moreover,ever,e_percentage_use,t_percentage_use,h_percentage_use,r_percentage_use,w_percentage_use,f_percentage_use,o_percentage_use,y_percentage_use,m_percentage_use,a_percentage_use,l_percentage_use,s_percentage_use,v_percentage_use,p_percentage_use,n_percentage_use,d_percentage_use,b_percentage_use,k_percentage_use,g_percentage_use,i_percentage_use,u_percentage_use,c_percentage_use,x_percentage_use,z_percentage_use,j_percentage_use,â_percentage_use,q_percentage_use,Total_Word_Count,AVG_Letter_Per_Word,AVG_Word_Per_Verse,Total_Function_Word_Count
moroni,3.0,2.0,1.0,1.0,2.0,6.0,2.0,9.0,14.0,2.0,1.0,2.0,6.0,5.0,3.0,5.0,2.0,2.0,3.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13361462728551335,0.10829817158931083,0.10407876230661041,0.053445850914205346,0.026722925457102673,0.0450070323488045,0.06469760900140648,0.015471167369901548,0.02531645569620253,0.08438818565400844,0.040787623066104076,0.029535864978902954,0.004219409282700422,0.011251758087201125,0.040787623066104076,0.03234880450070324,0.02109704641350211,0.0028129395218002813,0.01969057665260197,0.05907172995780591,0.014064697609001406,0.012658227848101266,0.0014064697609001407,0.0014064697609001407,0.0,0.0,0.0,173,4.109826589595376,24.714285714285715,98.95218002812939
mormon,0.0,0.0,0.0,2.0,8.0,138.0,8.0,83.0,149.0,2.0,1.0,8.0,28.0,27.0,12.0,49.0,57.0,30.0,8.0,40.0,8.0,2.0,1.0,0.0,9.0,19.0,11.0,5.0,8.0,3.0,26.0,9.0,11.0,0.0,50.0,55.0,9.0,9.0,25.0,5.0,30.0,2.0,10.0,7.0,17.0,4.0,4.0,7.0,5.0,2.0,44.0,7.0,14.0,1.0,6.0,13.0,6.0,2.0,4.0,3.0,8.0,3.0,1.0,10.0,6.0,10.0,3.0,4.0,1.0,1.0,7.0,4.0,1.0,3.0,2.0,3.0,9.0,4.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13367840666141556,0.09744570721278271,0.08034207269044671,0.050410712276358724,0.020029256216946102,0.021604590975582313,0.062113199054799145,0.01744120625632947,0.022617306177562732,0.08022954877911556,0.028130977832789467,0.05401147743895578,0.006638910768538314,0.0178913019016541,0.07325306627658378,0.05839990998087093,0.017778777990322944,0.0031506695172724202,0.01687858669967368,0.06065038820749409,0.019916732305614943,0.02227973444356926,0.0006751434679869473,0.0005626195566557894,0.0006751434679869473,0.00011252391133115787,0.0,2123,4.186057465850212,44.1875,1190.9669179700682
abinadom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
nephi,10.0,1.0,0.0,3.0,12.0,45.0,18.0,45.0,78.0,1.0,7.0,4.0,8.0,1.0,6.0,26.0,23.0,2.0,9.0,14.0,12.0,9.0,2.0,7.0,8.0,16.0,4.0,1.0,4.0,3.0,20.0,9.0,7.0,2.0,9.0,17.0,1.0,3.0,12.0,2.0,1.0,2.0,7.0,2.0,4.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,9.0,0.0,17.0,3.0,3.0,5.0,1.0,4.0,5.0,0.0,1.0,6.0,1.0,3.0,0.0,4.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,5.0,11.0,0.0,0.0,4.0,1.0,2.0,24.0,1.0,2.0,1.0,1.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13946258050188762,0.09216078170108816,0.08927381745502998,0.0519653564290473,0.019986675549633577,0.025760604041749943,0.07150788363313347,0.020208749722407285,0.025760604041749943,0.07395069953364423,0.0379746835443038,0.05751721074838996,0.009771263602043083,0.015323117921385743,0.06950921607817011,0.04174994448145681,0.014656895403064623,0.0044414834554741284,0.01487896957583833,0.052853653120142126,0.018876304685765045,0.02109704641350211,0.00044414834554741284,0.0,0.005107705973795247,0.00022207417277370642,0.0006662225183211193,1059,4.252124645892351,66.125,608.9751276926494
amaleki,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
amaron,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
chemish,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
enos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
jacob,0.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09554140127388536,0.08280254777070063,0.07006369426751592,0.07006369426751592,0.012738853503184714,0.03184713375796178,0.09554140127388536,0.01910828025477707,0.01910828025477707,0.08280254777070063,0.03821656050955414,0.03184713375796178,0.03184713375796178,0.006369426751592357,0.05732484076433121,0.044585987261146494,0.03184713375796178,0.0,0.012738853503184714,0.044585987261146494,0.03184713375796178,0.025477707006369428,0.0,0.0,0.012738853503184714,0.0,0.0,36,4.361111111111111,18.0,17.949044585987252
jarom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
