Author,yea,and,all,they,who,them,by,those,were,also,it,was,that,the,should,not,of,their,neither,hath,wherefore,in,god,there,many,whose,could,be,from,but,with,which,had,an,we,have,one,these,for,his,when,forth,he,because,unto,him,lord,anything,no,without,is,my,therefore,me,do,make,been,then,to,are,according,our,now,out,himself,whom,much,as,shall,again,will,upon,wherewith,whence,did,every,man,whatsoever,into,thus,some,among,would,became,or,other,more,yet,may,notwithstanding,what,ought,ye,say,must,your,if,inasmuch,once,wheresoever,throughout,thou,where,therewith,soever,thee,doeth,oft,wherewithal,said,thy,henceforth,shalt,outward,thence,cometh,verily,wherein,abundance,didst,whither,hast,thine,thereby,whereby,let,whoso,seest,each,lest,whereof,thereof,thyself,thereon,such,upward,seemeth,becometh,shouldst,her,therein,upwards,whereon,being,how,till,like,hence,whosoever,than,moreover,ever,e_percentage_use,t_percentage_use,h_percentage_use,r_percentage_use,y_percentage_use,a_percentage_use,n_percentage_use,d_percentage_use,v_percentage_use,l_percentage_use,w_percentage_use,o_percentage_use,u_percentage_use,g_percentage_use,m_percentage_use,i_percentage_use,c_percentage_use,s_percentage_use,b_percentage_use,f_percentage_use,p_percentage_use,x_percentage_use,k_percentage_use,j_percentage_use,q_percentage_use,â_percentage_use,z_percentage_use,Total_Word_Count,AVG_Letter_Per_Word,AVG_Word_Per_Verse,Total_Function_Word_Count
moroni,2.0,10.0,2.0,6.0,4.0,1.0,5.0,2.0,4.0,1.0,3.0,4.0,6.0,18.0,2.0,5.0,12.0,4.0,1.0,2.0,2.0,3.0,3.0,1.0,1.0,1.0,4.0,2.0,3.0,1.0,2.0,4.0,5.0,1.0,1.0,2.0,1.0,2.0,2.0,4.0,1.0,1.0,5.0,2.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14071606994171523,0.10824313072439634,0.1115736885928393,0.0649458784346378,0.018318068276436304,0.06328059950041633,0.0466278101582015,0.04329725228975854,0.00749375520399667,0.025811823480432972,0.027477102414654453,0.06994171523730225,0.017485428809325562,0.017485428809325562,0.01665278934221482,0.06078268109908409,0.017485428809325562,0.042464612822647796,0.02164862614487927,0.03413821815154038,0.00749375520399667,0.0008326394671107411,0.002497918401332223,0.004163197335553705,0.0,0.0,0.0,279,4.304659498207886,39.857142857142854,162.97085761865108
mormon,11.0,121.0,25.0,37.0,21.0,17.0,8.0,13.0,31.0,1.0,14.0,14.0,21.0,146.0,4.0,9.0,86.0,24.0,0.0,7.0,0.0,22.0,6.0,16.0,12.0,0.0,1.0,15.0,13.0,6.0,13.0,13.0,19.0,1.0,1.0,8.0,6.0,3.0,10.0,13.0,0.0,1.0,13.0,6.0,19.0,0.0,7.0,0.0,5.0,0.0,2.0,7.0,7.0,3.0,5.0,5.0,9.0,3.0,59.0,3.0,10.0,3.0,16.0,2.0,1.0,1.0,2.0,6.0,5.0,3.0,3.0,4.0,2.0,1.0,26.0,4.0,4.0,2.0,6.0,8.0,5.0,6.0,4.0,3.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1381489282616776,0.09230578614793705,0.0731012266138025,0.053029364391029614,0.019824061454590508,0.07483583199107917,0.07805724197745013,0.053401065543303185,0.009416429190930492,0.03295750216825672,0.022549869904596703,0.07000371701152273,0.02193036798414075,0.019080659150043366,0.020939164911411224,0.05439226861603271,0.022549869904596703,0.0452236401932846,0.013505141865939785,0.021434766447775987,0.01610704993185479,0.0011151034568207161,0.004336513443191674,0.0032214099863709577,0.0012390038409119068,0.0004956015363647627,0.00012390038409119069,1924,4.194906444906445,40.104166666666664,1075.9633254863088
abinadom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
nephi,0.0,42.0,2.0,8.0,1.0,5.0,3.0,0.0,0.0,3.0,2.0,3.0,14.0,44.0,2.0,4.0,20.0,2.0,0.0,2.0,7.0,9.0,5.0,2.0,1.0,0.0,0.0,13.0,4.0,0.0,2.0,7.0,0.0,0.0,14.0,4.0,1.0,2.0,12.0,3.0,1.0,0.0,2.0,3.0,14.0,6.0,4.0,0.0,0.0,0.0,6.0,6.0,0.0,1.0,3.0,0.0,0.0,0.0,16.0,5.0,3.0,6.0,2.0,2.0,1.0,0.0,0.0,6.0,23.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,1.0,2.0,1.0,8.0,2.0,2.0,2.0,1.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12043399638336347,0.08318264014466546,0.07775768535262206,0.05244122965641953,0.0216998191681736,0.07920433996383364,0.0705244122965642,0.04593128390596745,0.006148282097649186,0.04665461121157324,0.030018083182640144,0.07197106690777577,0.02061482820976492,0.015913200723327307,0.01844484629294756,0.054249547920433995,0.022423146473779385,0.06292947558770344,0.013381555153707052,0.024593128390596745,0.014828209764918625,0.0003616636528028933,0.006871609403254973,0.00108499095840868,0.0,0.0,0.0,676,4.090236686390533,42.1875,382.96166365280305
amaleki,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
amaron,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
chemish,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
enos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
jacob,1.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,2.0,5.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1171875,0.0859375,0.078125,0.0546875,0.018229166666666668,0.08854166666666667,0.059895833333333336,0.0546875,0.0234375,0.03125,0.03125,0.09635416666666667,0.018229166666666668,0.015625,0.013020833333333334,0.049479166666666664,0.033854166666666664,0.033854166666666664,0.028645833333333332,0.026041666666666668,0.013020833333333334,0.0,0.0026041666666666665,0.005208333333333333,0.0,0.0,0.0,95,4.042105263157895,47.5,51.97916666666666
jarom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
