Author,and,one,in,all,of,that,had,not,man,by,with,him,the,which,was,them,out,to,lord,were,unto,as,from,now,they,said,thy,have,are,our,there,we,therefore,an,for,what,every,hath,make,himself,it,into,when,is,wherefore,if,let,be,shall,your,ye,thus,did,should,he,upward,because,me,yet,will,again,but,their,his,or,do,then,my,among,may,thereof,according,god,upon,also,other,where,like,say,thou,shalt,moreover,thine,lest,whatsoever,thee,hast,notwithstanding,thyself,shouldest,would,much,how,being,many,no,must,till,neither,whom,throughout,these,without,who,abundance,more,than,whereon,those,could,doeth,cometh,ever,wherewithal,yea,been,forth,whither,thence,her,therein,henceforth,verily,some,whose,forthwith,became,didst,each,inasmuch,downward,whereto,seest,therewith,wherein,whereof,once,thereby,outward,hence,howsoever,becometh,whereby,thereon,thereupon,thereunto,wherewith,oft,oftentimes,such,whosoever,underneath,whereunto,whence,whensoever,seemeth,hereof,soever,therefrom,wheresoever,whoso,ought,a_percentage_use,n_percentage_use,d_percentage_use,t_percentage_use,h_percentage_use,r_percentage_use,e_percentage_use,s_percentage_use,c_percentage_use,o_percentage_use,u_percentage_use,i_percentage_use,y_percentage_use,w_percentage_use,p_percentage_use,l_percentage_use,f_percentage_use,m_percentage_use,k_percentage_use,b_percentage_use,g_percentage_use,v_percentage_use,x_percentage_use,z_percentage_use,j_percentage_use,q_percentage_use,Total_Word_Count,AVG_Letter_Per_Word,AVG_Word_Per_Verse,Total_Function_Word_Count
Moses,116.0,4.0,11.0,7.0,90.0,11.0,5.0,9.0,8.0,1.0,5.0,4.0,135.0,14.0,13.0,15.0,5.0,14.0,32.0,4.0,22.0,5.0,6.0,2.0,12.0,7.0,7.0,10.0,2.0,12.0,2.0,9.0,1.0,3.0,20.0,1.0,5.0,5.0,1.0,1.0,1.0,4.0,3.0,2.0,2.0,7.0,1.0,8.0,11.0,8.0,11.0,1.0,1.0,1.0,4.0,1.0,3.0,1.0,2.0,16.0,1.0,4.0,1.0,2.0,1.0,5.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08452672022354174,0.07928746070555362,0.06095005239259518,0.08470136220747468,0.07492141110723018,0.061124694376528114,0.12801257422284318,0.05780649668180231,0.019559902200488997,0.0796367446734195,0.027942717429269997,0.049423681453021305,0.015193852602165561,0.01868669228082431,0.009081383164512749,0.04470834788683199,0.032658050995459306,0.018162766329025498,0.0038421236465246244,0.015543136570031436,0.01379671673070206,0.010827803003842123,0.001047851903597625,0.0015717778553964374,0.0031435557107928748,0.0,1346,4.25408618127786,23.051724137931036,745.9961578763535
Joshua,18.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,1.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13649025069637882,0.08635097493036212,0.07242339832869081,0.0807799442896936,0.09749303621169916,0.06685236768802229,0.10027855153203342,0.05013927576601671,0.027855153203342618,0.0584958217270195,0.013927576601671309,0.06406685236768803,0.0,0.011142061281337047,0.005571030640668524,0.022284122562674095,0.013927576601671309,0.022284122562674095,0.002785515320334262,0.022284122562674095,0.013927576601671309,0.002785515320334262,0.002785515320334262,0.016713091922005572,0.005571030640668524,0.0,72,4.986111111111111,12.0,37.99721448467967
Samuel,36.0,1.0,10.0,4.0,6.0,10.0,0.0,5.0,0.0,2.0,3.0,3.0,14.0,0.0,4.0,1.0,0.0,10.0,2.0,1.0,4.0,3.0,3.0,0.0,6.0,8.0,9.0,3.0,1.0,0.0,4.0,0.0,1.0,0.0,6.0,3.0,0.0,0.0,0.0,0.0,8.0,1.0,2.0,11.0,1.0,5.0,2.0,6.0,1.0,0.0,0.0,1.0,0.0,2.0,15.0,0.0,0.0,9.0,0.0,3.0,1.0,5.0,0.0,2.0,1.0,2.0,5.0,5.0,1.0,1.0,0.0,0.0,3.0,3.0,6.0,1.0,1.0,1.0,3.0,4.0,2.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09597989949748743,0.07135678391959799,0.05577889447236181,0.10301507537688442,0.08492462311557789,0.0457286432160804,0.1221105527638191,0.0592964824120603,0.007537688442211055,0.06080402010050251,0.020603015075376884,0.07135678391959799,0.02512562814070352,0.020100502512562814,0.01407035175879397,0.04221105527638191,0.022613065326633167,0.02814070351758794,0.006030150753768844,0.01256281407035176,0.01256281407035176,0.013567839195979899,0.0,0.0,0.002512562814070352,0.0010050251256281408,496,4.012096774193548,33.06666666666667,291.9989949748743
Unknown,13.0,0.0,1.0,3.0,2.0,6.0,1.0,0.0,2.0,1.0,0.0,0.0,16.0,0.0,4.0,2.0,0.0,2.0,3.0,0.0,2.0,3.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10534124629080119,0.0712166172106825,0.05934718100890208,0.09792284866468842,0.08011869436201781,0.02967359050445104,0.1142433234421365,0.06231454005934718,0.013353115727002967,0.07270029673590504,0.025222551928783383,0.050445103857566766,0.028189910979228485,0.019287833827893175,0.017804154302670624,0.03857566765578635,0.013353115727002967,0.03560830860534125,0.008902077151335312,0.019287833827893175,0.026706231454005934,0.00741839762611276,0.0,0.0,0.001483679525222552,0.0,177,3.8079096045197742,29.5,101.99851632047475
Unknown,21.0,1.0,2.0,2.0,12.0,5.0,0.0,0.0,0.0,0.0,2.0,1.0,22.0,2.0,6.0,3.0,1.0,4.0,3.0,0.0,5.0,2.0,1.0,0.0,5.0,3.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,4.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10174152153987168,0.07974335472043996,0.05224564619615032,0.08890925756186985,0.06507791017415215,0.05591200733272227,0.12740604949587533,0.05224564619615032,0.02383134738771769,0.08065994500458296,0.031164069660861594,0.04857928505957837,0.017415215398716773,0.01833180568285976,0.017415215398716773,0.04307974335472044,0.02016498625114574,0.025664527956003668,0.008249312557286892,0.01466544454628781,0.012832263978001834,0.00916590284142988,0.0,0.0,0.005499541704857928,0.0,274,3.9817518248175183,34.25,153.00000000000009
Unknown,17.0,0.0,2.0,0.0,10.0,6.0,0.0,0.0,0.0,0.0,1.0,1.0,21.0,1.0,1.0,0.0,2.0,2.0,8.0,0.0,3.0,0.0,0.0,1.0,1.0,3.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,6.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09977324263038549,0.05328798185941043,0.06689342403628118,0.10090702947845805,0.10204081632653061,0.04421768707482993,0.11678004535147392,0.048752834467120185,0.012471655328798186,0.07256235827664399,0.018140589569160998,0.07369614512471655,0.01927437641723356,0.02040816326530612,0.012471655328798186,0.045351473922902494,0.023809523809523808,0.012471655328798186,0.012471655328798186,0.007936507936507936,0.01927437641723356,0.011337868480725623,0.0,0.003401360544217687,0.0,0.0,235,3.753191489361702,33.42857142857143,128.99773242630383
Ezra,43.0,1.0,11.0,11.0,42.0,14.0,0.0,7.0,0.0,4.0,8.0,8.0,50.0,3.0,7.0,3.0,9.0,20.0,5.0,6.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,3.0,3.0,0.0,1.0,1.0,5.0,1.0,2.0,1.0,0.0,3.0,3.0,1.0,1.0,3.0,0.0,0.0,1.0,4.0,4.0,2.0,4.0,2.0,4.0,2.0,8.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,3.0,14.0,1.0,1.0,0.0,3.0,3.0,0.0,1.0,0.0,11.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08674013508709563,0.067543547813722,0.05225737646640597,0.0917170280838962,0.08211873444720938,0.049768929968005686,0.1215783860646996,0.06434411660149307,0.012797724848915748,0.0782083185211518,0.027728403839317455,0.06434411660149307,0.017774617845716316,0.01848560255954497,0.015997156061144685,0.03874866690366157,0.024884464984002843,0.022751510842516885,0.010309278350515464,0.011375755421258443,0.022751510842516885,0.009598293636686812,0.00035549235691432633,0.003199431212228937,0.0039104159260575895,0.0,670,4.1985074626865675,33.5,387.99928901528614
Nehemiah,3.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12389380530973451,0.09734513274336283,0.07079646017699115,0.061946902654867256,0.05309734513274336,0.035398230088495575,0.09734513274336283,0.035398230088495575,0.008849557522123894,0.07079646017699115,0.008849557522123894,0.09734513274336283,0.008849557522123894,0.008849557522123894,0.0,0.05309734513274336,0.02654867256637168,0.04424778761061947,0.0,0.02654867256637168,0.008849557522123894,0.02654867256637168,0.0,0.017699115044247787,0.017699115044247787,0.0,24,4.708333333333333,6.0,11.000000000000004
Mordecai,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1623931623931624,0.05982905982905983,0.05128205128205128,0.1282051282051282,0.1282051282051282,0.03418803418803419,0.13675213675213677,0.06837606837606838,0.017094017094017096,0.03418803418803419,0.017094017094017096,0.03418803418803419,0.008547008547008548,0.0,0.017094017094017096,0.0,0.0,0.042735042735042736,0.02564102564102564,0.008547008547008548,0.017094017094017096,0.0,0.0,0.0,0.0,0.008547008547008548,30,3.9,30.0,18.999999999999996
Unknown,5.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07909604519774012,0.0583804143126177,0.04143126177024482,0.096045197740113,0.07532956685499058,0.04896421845574388,0.11864406779661017,0.062146892655367235,0.011299435028248588,0.07721280602636535,0.03766478342749529,0.06591337099811675,0.022598870056497175,0.02824858757062147,0.009416195856873822,0.03766478342749529,0.01694915254237288,0.035781544256120526,0.01694915254237288,0.011299435028248588,0.030131826741996232,0.007532956685499058,0.0,0.0,0.009416195856873822,0.0,133,3.992481203007519,13.3,64.99811676082861
