Author,and,their,being,other,unto,the,which,they,of,to,it,was,in,he,therein,thereof,them,his,these,are,forth,out,with,according,by,lord,from,an,all,for,had,among,upon,also,is,again,into,were,there,where,no,when,say,ye,then,shall,have,said,who,me,or,what,if,thy,thee,let,god,my,be,not,do,much,more,but,will,that,thou,as,hath,been,shalt,yet,ever,every,one,because,him,hast,didst,thyself,thus,man,himself,thine,neither,we,now,therefore,than,throughout,our,did,may,whence,many,those,notwithstanding,moreover,abundance,like,whom,whereof,should,yea,make,without,lest,cometh,shouldest,your,her,how,whoso,till,thence,whose,such,would,must,wherein,became,wherefore,once,some,each,inasmuch,downward,whereto,seest,therewith,whatsoever,thereby,outward,hence,howsoever,becometh,henceforth,whereby,thereon,thereupon,doeth,thereunto,wherewith,oft,oftentimes,whither,whosoever,underneath,whereunto,whensoever,wherewithal,seemeth,hereof,verily,whereon,soever,could,forthwith,therefrom,wheresoever,upward,ought,a_percentage_use,n_percentage_use,d_percentage_use,e_percentage_use,b_percentage_use,o_percentage_use,l_percentage_use,m_percentage_use,t_percentage_use,h_percentage_use,i_percentage_use,r_percentage_use,s_percentage_use,g_percentage_use,c_percentage_use,v_percentage_use,u_percentage_use,w_percentage_use,y_percentage_use,f_percentage_use,k_percentage_use,p_percentage_use,j_percentage_use,x_percentage_use,z_percentage_use,q_percentage_use,Total_Word_Count,AVG_Letter_Per_Word,AVG_Word_Per_Verse,Total_Function_Word_Count
Moses,123.0,12.0,1.0,1.0,8.0,69.0,8.0,45.0,45.0,5.0,4.0,3.0,42.0,2.0,2.0,2.0,3.0,1.0,2.0,3.0,1.0,7.0,2.0,2.0,5.0,5.0,43.0,2.0,6.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,2.0,2.0,1.0,1.0,2.0,1.0,3.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09898107714701601,0.0861232411450752,0.07884522076661815,0.1227559437166424,0.012372634643377001,0.06938379427462397,0.023289665211062592,0.04027171276079573,0.0861232411450752,0.08321203299369238,0.057738961669092675,0.05967976710334789,0.03541969917515769,0.009946627850557981,0.021348859776807377,0.007520621057738962,0.012615235322658904,0.011402231926249394,0.018195050946142648,0.027171276079573023,0.005337214944201844,0.023774866569626393,0.005094614264919942,0.00024260067928190198,0.0024260067928190197,0.00024260067928190198,897,4.595317725752508,15.46551724137931,484.9995147986413
Joshua,20.0,4.0,0.0,0.0,1.0,11.0,0.0,0.0,7.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11023622047244094,0.08464566929133858,0.06496062992125984,0.1141732283464567,0.021653543307086614,0.06692913385826772,0.04133858267716536,0.021653543307086614,0.0984251968503937,0.0984251968503937,0.06496062992125984,0.05708661417322835,0.03346456692913386,0.013779527559055118,0.031496062992125984,0.005905511811023622,0.015748031496062992,0.00984251968503937,0.001968503937007874,0.025590551181102362,0.005905511811023622,0.003937007874015748,0.001968503937007874,0.0,0.003937007874015748,0.0,111,4.576576576576577,18.5,58.99803149606299
Samuel,23.0,0.0,0.0,0.0,5.0,31.0,1.0,1.0,9.0,10.0,4.0,2.0,3.0,4.0,0.0,1.0,2.0,1.0,0.0,2.0,0.0,3.0,3.0,0.0,1.0,9.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,0.0,2.0,1.0,2.0,5.0,2.0,0.0,6.0,1.0,2.0,4.0,1.0,3.0,2.0,1.0,5.0,4.0,12.0,2.0,1.0,4.0,5.0,5.0,2.0,1.0,1.0,3.0,4.0,2.0,9.0,5.0,3.0,1.0,5.0,1.0,2.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08443604284814114,0.06931316950220542,0.06364209199747953,0.12980466288594833,0.013862633900441084,0.08758664146187775,0.035916824196597356,0.023314429741650915,0.10649023314429741,0.0945179584120983,0.05419029615626969,0.03780718336483932,0.05103969754253308,0.00945179584120983,0.011342155009451797,0.014492753623188406,0.0258349086326402,0.0258349086326402,0.020163831127914304,0.023314429741650915,0.004410838059231254,0.004410838059231254,0.004410838059231254,0.000630119722747322,0.000630119722747322,0.001260239445494644,424,3.7429245283018866,28.2,250.9981096408318
Unknown,17.0,0.0,0.0,0.0,3.0,24.0,1.0,1.0,11.0,2.0,1.0,0.0,3.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,3.0,2.0,0.0,1.0,1.0,1.0,0.0,7.0,5.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,9.0,4.0,0.0,0.0,3.0,1.0,2.0,0.0,0.0,0.0,1.0,2.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.083984375,0.064453125,0.0517578125,0.1240234375,0.013671875,0.07421875,0.0498046875,0.0146484375,0.109375,0.0888671875,0.0615234375,0.0419921875,0.0615234375,0.0166015625,0.013671875,0.017578125,0.0224609375,0.013671875,0.0244140625,0.03125,0.0078125,0.0107421875,0.0009765625,0.0,0.0,0.0,261,3.9233716475095783,43.5,150.9990234375
Unknown,29.0,2.0,0.0,0.0,1.0,32.0,0.0,5.0,7.0,2.0,8.0,1.0,4.0,6.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,6.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,5.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09907120743034056,0.06811145510835913,0.07430340557275542,0.1217750257997936,0.011351909184726523,0.07017543859649122,0.03715170278637771,0.0196078431372549,0.12487100103199174,0.09287925696594428,0.0629514963880289,0.05056759545923633,0.0392156862745098,0.010319917440660475,0.021671826625386997,0.0030959752321981426,0.018575851393188854,0.018575851393188854,0.009287925696594427,0.0196078431372549,0.009287925696594427,0.014447884416924664,0.0030959752321981426,0.0,0.0,0.0,260,3.726923076923077,32.5,159.99999999999997
Unknown,17.0,0.0,0.0,0.0,7.0,17.0,1.0,4.0,6.0,1.0,2.0,2.0,6.0,3.0,0.0,0.0,4.0,5.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,5.0,2.0,3.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10223642172523961,0.08093716719914804,0.05644302449414271,0.13844515441959532,0.013844515441959531,0.06070287539936102,0.023429179978700747,0.02023429179978701,0.08839190628328009,0.10969116080937168,0.06283280085197018,0.04579339723109691,0.055378061767838126,0.01703940362087327,0.014909478168264111,0.005324813631522897,0.023429179978700747,0.02023429179978701,0.010649627263045794,0.013844515441959531,0.01597444089456869,0.008519701810436636,0.0,0.0,0.010649627263045794,0.0,221,4.248868778280543,31.571428571428573,126.9989350372737
Ezra,50.0,0.0,0.0,1.0,7.0,66.0,4.0,6.0,49.0,12.0,1.0,9.0,18.0,14.0,0.0,0.0,5.0,13.0,0.0,1.0,1.0,1.0,4.0,1.0,0.0,9.0,3.0,1.0,9.0,16.0,5.0,0.0,3.0,3.0,0.0,2.0,1.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,2.0,0.0,2.0,0.0,2.0,0.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,12.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08918406072106262,0.06869070208728653,0.05313092979127135,0.12258064516129032,0.012144212523719165,0.076280834914611,0.03263757115749526,0.023529411764705882,0.08273244781783681,0.09601518026565464,0.0633776091081594,0.050094876660341556,0.06451612903225806,0.015939278937381403,0.017077798861480076,0.007969639468690701,0.022011385199240986,0.018595825426944972,0.009108159392789373,0.03529411764705882,0.011385199240986717,0.014800759013282733,0.0056925996204933585,0.0003795066413662239,0.0056925996204933585,0.0003795066413662239,633,4.162717219589258,31.65,377.99924098671715
Nehemiah,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12048192771084337,0.04819277108433735,0.024096385542168676,0.14457831325301204,0.024096385542168676,0.03614457831325301,0.03614457831325301,0.03614457831325301,0.09036144578313253,0.12650602409638553,0.06626506024096386,0.05421686746987952,0.060240963855421686,0.006024096385542169,0.012048192771084338,0.006024096385542169,0.03614457831325301,0.018072289156626505,0.0,0.006024096385542169,0.0,0.012048192771084338,0.018072289156626505,0.0,0.012048192771084338,0.0,32,5.1875,8.0,11.993975903614459
Mordecai,3.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08333333333333333,0.0763888888888889,0.04861111111111111,0.1388888888888889,0.020833333333333332,0.04861111111111111,0.034722222222222224,0.013888888888888888,0.1388888888888889,0.09027777777777778,0.06944444444444445,0.034722222222222224,0.04861111111111111,0.020833333333333332,0.0,0.006944444444444444,0.020833333333333332,0.020833333333333332,0.013888888888888888,0.027777777777777776,0.013888888888888888,0.013888888888888888,0.0,0.0,0.0,0.013888888888888888,37,3.891891891891892,37.0,25.999999999999993
Unknown,5.0,0.0,0.0,0.0,4.0,7.0,1.0,0.0,4.0,3.0,2.0,0.0,1.0,7.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,2.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,1.0,3.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,3.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,2.0,3.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,6.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07091172214182344,0.06657018813314038,0.04630969609261939,0.10274963820549927,0.004341534008683068,0.07091172214182344,0.04052098408104197,0.03183791606367583,0.08972503617945007,0.10274963820549927,0.07814761215629522,0.05788712011577424,0.04775687409551375,0.02604920405209841,0.017366136034732273,0.00723589001447178,0.027496382054992764,0.03183791606367583,0.017366136034732273,0.02604920405209841,0.015918958031837915,0.011577424023154847,0.002894356005788712,0.0,0.0,0.002894356005788712,163,4.2392638036809815,16.3,102.99710564399423
