Author,now,there,to,be,upon,all,the,of,every,man,with,his,for,that,which,he,and,were,in,it,was,him,they,did,became,again,not,them,from,when,had,one,like,unto,abundance,being,by,been,lord,according,thus,is,make,have,me,my,said,into,as,who,among,many,their,no,but,because,therefore,should,god,out,these,thereof,could,also,notwithstanding,or,forth,an,would,we,our,throughout,more,where,ever,shall,much,such,cometh,will,yea,if,must,then,wherefore,neither,ye,how,wherein,himself,may,other,lest,wheresoever,yet,whom,thou,therewith,soever,thee,doeth,do,oft,wherewithal,wherewith,whatsoever,thy,ought,whose,those,henceforth,shalt,outward,thence,verily,some,didst,whither,hast,thereby,thine,whereby,hath,let,whoso,seest,say,each,whereof,your,once,thyself,thereon,without,upward,what,whence,seemeth,inasmuch,becometh,are,shouldst,her,therein,upwards,whereon,till,hence,whosoever,than,anything,moreover,e_percentage_use,t_percentage_use,h_percentage_use,r_percentage_use,n_percentage_use,o_percentage_use,w_percentage_use,b_percentage_use,g_percentage_use,a_percentage_use,u_percentage_use,p_percentage_use,l_percentage_use,f_percentage_use,c_percentage_use,d_percentage_use,v_percentage_use,y_percentage_use,m_percentage_use,i_percentage_use,s_percentage_use,k_percentage_use,x_percentage_use,j_percentage_use,â_percentage_use,z_percentage_use,q_percentage_use,Total_Word_Count,AVG_Letter_Per_Word,AVG_Word_Per_Verse,Total_Function_Word_Count
moroni,1.0,3.0,10.0,1.0,4.0,4.0,15.0,10.0,1.0,1.0,3.0,3.0,3.0,6.0,3.0,6.0,17.0,2.0,7.0,4.0,2.0,7.0,2.0,5.0,1.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12671594508975711,0.09503695881731784,0.0781414994720169,0.050686378035902854,0.06969376979936642,0.04963041182682154,0.01795142555438226,0.01795142555438226,0.027455121436114043,0.10770855332629356,0.014783526927138331,0.01583949313621964,0.04012671594508976,0.02006335797254488,0.024287222808870117,0.05279831045406547,0.007391763463569166,0.011615628299894404,0.026399155227032733,0.06441393875395987,0.04012671594508976,0.0021119324181626186,0.0021119324181626186,0.0,0.0,0.0,0.0,230,4.1173913043478265,32.857142857142854,127.96304118268218
mormon,4.0,9.0,61.0,9.0,9.0,12.0,164.0,92.0,0.0,2.0,16.0,5.0,12.0,49.0,11.0,5.0,152.0,18.0,27.0,37.0,27.0,2.0,22.0,47.0,1.0,7.0,9.0,19.0,7.0,3.0,17.0,4.0,1.0,16.0,1.0,7.0,5.0,5.0,11.0,3.0,3.0,2.0,5.0,3.0,8.0,15.0,1.0,1.0,8.0,2.0,4.0,1.0,26.0,3.0,11.0,11.0,7.0,2.0,4.0,3.0,3.0,1.0,2.0,3.0,3.0,1.0,4.0,4.0,6.0,13.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12464285714285714,0.09583333333333334,0.06773809523809524,0.054285714285714284,0.0694047619047619,0.07023809523809524,0.021666666666666667,0.016547619047619047,0.014166666666666666,0.09130952380952381,0.02119047619047619,0.01892857142857143,0.02726190476190476,0.02369047619047619,0.021547619047619048,0.06,0.004761904761904762,0.014642857142857143,0.037976190476190476,0.05821428571428571,0.05392857142857143,0.0036904761904761906,0.0007142857142857143,0.0013095238095238095,0.00035714285714285714,0.00035714285714285714,0.00035714285714285714,2002,4.195804195804196,41.770833333333336,1080.9747619047619
abinadom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
nephi,4.0,3.0,7.0,13.0,1.0,6.0,53.0,24.0,0.0,0.0,2.0,5.0,7.0,10.0,8.0,10.0,23.0,0.0,5.0,5.0,1.0,1.0,1.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,12.0,0.0,4.0,4.0,1.0,5.0,3.0,0.0,5.0,2.0,6.0,2.0,9.0,0.0,0.0,1.0,0.0,2.0,0.0,3.0,2.0,3.0,0.0,0.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0,1.0,0.0,0.0,2.0,0.0,0.0,20.0,1.0,0.0,1.0,2.0,3.0,2.0,3.0,2.0,5.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13047001620745544,0.08144246353322529,0.08427876823338736,0.04376012965964344,0.07576985413290113,0.06969205834683954,0.025526742301458672,0.018638573743922204,0.020664505672609402,0.06523500810372772,0.02147487844408428,0.012965964343598054,0.055915721231766614,0.025121555915721232,0.019043760129659644,0.04376012965964344,0.008914100486223663,0.017017828200972446,0.02025931928687196,0.05632090761750405,0.04781199351701783,0.009319286871961102,0.0004051863857374392,0.0004051863857374392,0.0004051863857374392,0.0016207455429497568,0.0,604,4.086092715231788,37.6875,323.9562398703404
amaleki,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
amaron,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
chemish,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
enos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
jacob,0.0,0.0,1.0,0.0,0.0,1.0,13.0,4.0,0.0,0.0,1.0,0.0,0.0,9.0,1.0,0.0,9.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1157167530224525,0.11053540587219343,0.07772020725388601,0.08808290155440414,0.055267702936096716,0.05699481865284974,0.010362694300518135,0.017271157167530225,0.022452504317789293,0.11053540587219343,0.022452504317789293,0.017271157167530225,0.02072538860103627,0.027633851468048358,0.018998272884283247,0.03454231433506045,0.022452504317789293,0.025906735751295335,0.02072538860103627,0.06390328151986183,0.03281519861830743,0.0,0.0017271157167530224,0.0069084628670120895,0.0017271157167530224,0.0,0.0,131,4.419847328244275,65.5,72.98272884283244
jarom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
