Author,and,now,there,to,be,upon,all,the,because,of,in,which,if,man,should,his,or,whither,he,would,it,could,not,was,wherefore,every,did,unto,that,with,neither,him,became,many,by,forth,out,as,they,were,himself,for,when,had,we,them,our,again,lord,yea,therefore,like,my,their,but,into,more,say,me,god,from,an,who,been,also,notwithstanding,according,without,have,shall,ye,your,whom,other,these,may,must,among,yet,no,will,is,are,make,her,being,said,then,cometh,one,thus,do,hath,whereby,let,once,wheresoever,throughout,thou,where,therewith,soever,thee,doeth,oft,wherewithal,wherewith,whatsoever,thy,ought,whose,those,henceforth,shalt,outward,thence,verily,wherein,some,abundance,didst,hast,thine,thereby,lest,seest,whoso,each,whereof,thereof,thyself,much,thereon,such,upward,what,whence,seemeth,inasmuch,becometh,shouldst,therein,upwards,whereon,how,till,hence,whosoever,than,anything,moreover,ever,e_percentage_use,t_percentage_use,h_percentage_use,r_percentage_use,a_percentage_use,n_percentage_use,d_percentage_use,o_percentage_use,w_percentage_use,b_percentage_use,g_percentage_use,c_percentage_use,u_percentage_use,s_percentage_use,p_percentage_use,l_percentage_use,f_percentage_use,i_percentage_use,q_percentage_use,y_percentage_use,m_percentage_use,k_percentage_use,v_percentage_use,x_percentage_use,z_percentage_use,j_percentage_use,â_percentage_use,Total_Word_Count,AVG_Letter_Per_Word,AVG_Word_Per_Verse,Total_Function_Word_Count
moroni,19.0,2.0,2.0,8.0,1.0,6.0,1.0,25.0,1.0,18.0,7.0,4.0,1.0,3.0,1.0,12.0,2.0,1.0,6.0,3.0,5.0,1.0,2.0,2.0,1.0,2.0,7.0,3.0,4.0,2.0,1.0,3.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12393162393162394,0.08974358974358974,0.08632478632478632,0.06923076923076923,0.07521367521367521,0.06495726495726496,0.05726495726495726,0.07179487179487179,0.028205128205128206,0.013675213675213675,0.009401709401709401,0.024786324786324785,0.024786324786324785,0.05213675213675214,0.017948717948717947,0.03247863247863248,0.026495726495726495,0.06068376068376068,0.0008547008547008547,0.013675213675213675,0.021367521367521368,0.004273504273504274,0.005982905982905983,0.0008547008547008547,0.0,0.0,0.0,288,4.0625,41.142857142857146,168.97606837606835
mormon,132.0,5.0,5.0,62.0,10.0,2.0,15.0,174.0,9.0,79.0,27.0,13.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,5.0,28.0,2.0,11.0,13.0,0.0,2.0,54.0,25.0,50.0,11.0,0.0,1.0,0.0,4.0,13.0,5.0,5.0,5.0,40.0,11.0,0.0,8.0,5.0,30.0,13.0,25.0,8.0,17.0,11.0,5.0,5.0,1.0,8.0,32.0,5.0,3.0,1.0,1.0,7.0,6.0,6.0,4.0,4.0,6.0,9.0,1.0,4.0,1.0,5.0,7.0,7.0,3.0,5.0,2.0,2.0,2.0,2.0,5.0,2.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12634601579325197,0.10720268006700168,0.07274467575975113,0.048576214405360134,0.08758076094759512,0.06903565446279014,0.059822924144532184,0.06759990428332137,0.019382627422828428,0.01507537688442211,0.015553960277578369,0.019621919119406556,0.01998085666427375,0.05384063173007897,0.014596793491265853,0.030509691313711413,0.017707585546781528,0.06233548695860253,0.0,0.019023689877961235,0.03732950466618808,0.0037090212969609956,0.00658052165589854,0.0015553960277578367,0.00023929169657812874,0.0020339794209140944,0.0,1985,4.210579345088161,41.354166666666664,1101.9779851639146
abinadom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
nephi,34.0,5.0,1.0,8.0,3.0,4.0,2.0,57.0,0.0,32.0,11.0,9.0,4.0,2.0,6.0,1.0,0.0,0.0,5.0,1.0,2.0,0.0,2.0,1.0,6.0,0.0,0.0,9.0,8.0,6.0,0.0,3.0,0.0,0.0,13.0,0.0,0.0,0.0,2.0,1.0,0.0,4.0,0.0,0.0,2.0,1.0,0.0,1.0,2.0,2.0,0.0,0.0,7.0,0.0,3.0,2.0,0.0,1.0,3.0,5.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0,1.0,9.0,5.0,21.0,8.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,7.0,2.0,0.0,0.0,0.0,2.0,5.0,2.0,2.0,3.0,4.0,1.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13505311077389984,0.08497723823975721,0.0838391502276176,0.05083459787556904,0.0641122913505311,0.07852807283763277,0.042488619119878605,0.07852807283763277,0.02503793626707132,0.01896813353566009,0.01707132018209408,0.018209408194233688,0.020106221547799695,0.04817905918057663,0.011760242792109257,0.030728376327769348,0.02959028831562974,0.05083459787556904,0.0,0.030349013657056147,0.01896813353566009,0.0034142640364188165,0.013277693474962063,0.0007587253414264037,0.00037936267071320183,0.00037936267071320183,0.00037936267071320183,660,3.993939393939394,41.1875,355.95675265553854
amaleki,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
amaron,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
chemish,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
enos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
jacob,8.0,0.0,0.0,1.0,3.0,0.0,1.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0990990990990991,0.13813813813813813,0.08408408408408409,0.05405405405405406,0.10510510510510511,0.057057057057057055,0.04504504504504504,0.05105105105105105,0.009009009009009009,0.03303303303303303,0.024024024024024024,0.012012012012012012,0.018018018018018018,0.057057057057057055,0.003003003003003003,0.04504504504504504,0.02702702702702703,0.06006006006006006,0.0,0.021021021021021023,0.024024024024024024,0.0,0.003003003003003003,0.0,0.0,0.006006006006006006,0.0,87,3.8275862068965516,43.5,45.97597597597597
jarom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
