Author,and,thou,shalt,do,that,which,is,in,the,of,lord,it,may,be,with,thee,unto,thy,to,out,all,thine,from,as,hath,when,what,our,god,then,say,we,were,upon,his,he,thence,these,for,shall,if,into,whither,many,than,them,make,no,neither,not,they,will,me,other,but,thus,ye,their,an,himself,are,did,because,more,would,had,your,therefore,him,wherefore,also,there,or,among,have,how,whereby,whom,moreover,those,by,once,lest,man,therein,like,was,every,wherein,without,whose,hast,forth,who,where,my,thyself,said,whosoever,thereof,now,according,yet,again,throughout,should,being,one,let,her,been,yea,ever,such,wherewith,till,each,doeth,cometh,ought,much,some,whereof,must,didst,inasmuch,downward,abundance,whereto,seest,therewith,whatsoever,thereby,shouldest,outward,hence,howsoever,becometh,henceforth,thereon,thereupon,thereunto,became,oft,oftentimes,underneath,whereunto,whence,whensoever,wherewithal,seemeth,hereof,notwithstanding,verily,whereon,soever,could,forthwith,therefrom,wheresoever,whoso,upward,a_percentage_use,n_percentage_use,d_percentage_use,t_percentage_use,h_percentage_use,o_percentage_use,u_percentage_use,s_percentage_use,l_percentage_use,w_percentage_use,i_percentage_use,c_percentage_use,r_percentage_use,g_percentage_use,e_percentage_use,f_percentage_use,m_percentage_use,y_percentage_use,b_percentage_use,p_percentage_use,k_percentage_use,j_percentage_use,v_percentage_use,z_percentage_use,x_percentage_use,q_percentage_use,Total_Word_Count,AVG_Letter_Per_Word,AVG_Word_Per_Verse,Total_Function_Word_Count
Moses,107.0,51.0,28.0,9.0,32.0,23.0,12.0,20.0,110.0,40.0,47.0,15.0,4.0,18.0,12.0,51.0,22.0,51.0,33.0,17.0,16.0,12.0,10.0,8.0,11.0,6.0,3.0,7.0,33.0,3.0,4.0,2.0,4.0,10.0,13.0,26.0,1.0,7.0,13.0,22.0,4.0,4.0,1.0,1.0,4.0,32.0,3.0,5.0,5.0,17.0,4.0,12.0,3.0,2.0,9.0,1.0,11.0,9.0,3.0,1.0,4.0,4.0,4.0,2.0,2.0,1.0,5.0,4.0,6.0,1.0,2.0,3.0,4.0,4.0,2.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,4.0,4.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,5.0,2.0,4.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07468596395412343,0.06116876024030585,0.05038230475150191,0.11933369743309667,0.1010376843255052,0.08110322228290552,0.029901693063899507,0.05488803932277444,0.044374658656471874,0.018978700163844894,0.04628618241398143,0.013244128891316221,0.0496996176952485,0.020207536865101038,0.12506826870562535,0.019661387220098307,0.024713271436373568,0.023620972146368106,0.013653741125068269,0.012015292190060076,0.006280720917531403,0.0008192244675040961,0.007373020207536865,0.00027307482250136535,0.00013653741125068268,0.00013653741125068268,1782,4.1099887766554435,30.70689655172414,1138.9990442381218
Joshua,14.0,0.0,0.0,0.0,2.0,1.0,0.0,5.0,38.0,30.0,2.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,2.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0752797558494405,0.07222787385554426,0.042726347914547304,0.11495422177009156,0.08545269582909461,0.08748728382502544,0.027466937945066123,0.04984740590030519,0.03255340793489318,0.009155645981688708,0.061037639877924724,0.018311291963377416,0.05595116988809766,0.013224821973550356,0.13936927772126145,0.04069175991861648,0.017293997965412006,0.008138351983723296,0.021363173957273652,0.008138351983723296,0.003051881993896236,0.006103763987792472,0.007121057985757884,0.002034587995930824,0.0,0.0,235,4.182978723404255,39.166666666666664,137.998982706002
Samuel,36.0,1.0,0.0,1.0,8.0,1.0,3.0,9.0,29.0,18.0,2.0,6.0,0.0,3.0,2.0,3.0,4.0,1.0,15.0,2.0,4.0,2.0,3.0,1.0,1.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,10.0,7.0,1.0,0.0,5.0,3.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,0.0,2.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,8.0,2.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09257206208425721,0.07372505543237251,0.06762749445676275,0.08647450110864745,0.07483370288248337,0.07206208425720621,0.02827050997782705,0.061529933481152994,0.042682926829268296,0.022727272727272728,0.06596452328159645,0.017738359201773836,0.040465631929046564,0.01164079822616408,0.12583148558758314,0.024390243902439025,0.028824833702882482,0.012749445676274944,0.008869179600886918,0.012749445676274944,0.008314855875831485,0.0011086474501108647,0.013303769401330377,0.0005543237250554324,0.0,0.0,455,3.964835164835165,30.066666666666666,244.99501108647442
Unknown,17.0,0.0,0.0,0.0,1.0,0.0,1.0,5.0,24.0,20.0,0.0,0.0,0.0,3.0,2.0,1.0,2.0,0.0,6.0,0.0,5.0,0.0,2.0,0.0,1.0,0.0,0.0,3.0,0.0,3.0,0.0,5.0,1.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0,2.0,2.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0940940940940941,0.08608608608608609,0.05205205205205205,0.07507507507507508,0.08008008008008008,0.06606606606606606,0.023023023023023025,0.044044044044044044,0.035035035035035036,0.023023023023023025,0.06006006006006006,0.013013013013013013,0.05005005005005005,0.01901901901901902,0.13813813813813813,0.03003003003003003,0.026026026026026026,0.01001001001001001,0.01701701701701702,0.011011011011011011,0.012012012012012012,0.011011011011011011,0.018018018018018018,0.0,0.0,0.0,266,3.755639097744361,44.0,147.99399399399405
Unknown,22.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,26.0,13.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,7.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07920792079207921,0.0847084708470847,0.0539053905390539,0.0924092409240924,0.09020902090209021,0.06490649064906491,0.025302530253025302,0.0539053905390539,0.027502750275027504,0.022002200220022004,0.050605060506050605,0.019801980198019802,0.0517051705170517,0.014301430143014302,0.14521452145214522,0.022002200220022004,0.027502750275027504,0.0231023102310231,0.014301430143014302,0.0165016501650165,0.0088008800880088,0.0,0.0121012101210121,0.0,0.0,0.0,222,4.094594594594595,27.75,129.0
Unknown,16.0,0.0,0.0,1.0,6.0,1.0,1.0,3.0,39.0,15.0,4.0,6.0,0.0,0.0,1.0,0.0,2.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08437856328392246,0.06043329532497149,0.05473204104903079,0.10946408209806158,0.12200684150513112,0.07753705815279362,0.018244013683010263,0.04903078677309008,0.02280501710376283,0.018244013683010263,0.06043329532497149,0.012542759407069556,0.04789053591790194,0.01710376282782212,0.13568985176738882,0.02280501710376283,0.013683010262257697,0.00798175598631699,0.01710376282782212,0.012542759407069556,0.018244013683010263,0.0,0.01596351197263398,0.0,0.0,0.0,221,3.9683257918552037,31.571428571428573,135.99885974914486
Ezra,33.0,0.0,0.0,0.0,10.0,8.0,10.0,13.0,59.0,57.0,11.0,2.0,0.0,4.0,14.0,0.0,5.0,0.0,9.0,2.0,11.0,0.0,2.0,2.0,4.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,4.0,0.0,10.0,7.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,1.0,0.0,2.0,0.0,1.0,3.0,0.0,1.0,2.0,0.0,0.0,0.0,7.0,0.0,0.0,8.0,0.0,3.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0761904761904762,0.05714285714285714,0.04981684981684982,0.08131868131868132,0.0956043956043956,0.0728937728937729,0.0347985347985348,0.05970695970695971,0.039194139194139194,0.019413919413919414,0.06703296703296703,0.017582417582417582,0.05824175824175824,0.02271062271062271,0.11318681318681319,0.030402930402930402,0.023809523809523808,0.015384615384615385,0.01868131868131868,0.017216117216117217,0.0062271062271062275,0.00805860805860806,0.010622710622710623,0.0032967032967032967,0.0,0.0,647,4.219474497681607,32.35,365.99853479853493
Nehemiah,8.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,18.0,12.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0898876404494382,0.05805243445692884,0.03932584269662921,0.10674157303370786,0.08614232209737828,0.07303370786516854,0.024344569288389514,0.06554307116104868,0.03745318352059925,0.016853932584269662,0.0599250936329588,0.011235955056179775,0.0449438202247191,0.026217228464419477,0.12359550561797752,0.024344569288389514,0.024344569288389514,0.009363295880149813,0.018726591760299626,0.016853932584269662,0.016853932584269662,0.011235955056179775,0.009363295880149813,0.003745318352059925,0.0,0.0,114,4.684210526315789,28.5,58.998127340823956
Mordecai,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0821917808219178,0.0821917808219178,0.04794520547945205,0.1095890410958904,0.0821917808219178,0.0684931506849315,0.03424657534246575,0.03424657534246575,0.02054794520547945,0.02054794520547945,0.0684931506849315,0.00684931506849315,0.0547945205479452,0.0136986301369863,0.136986301369863,0.00684931506849315,0.04794520547945205,0.0136986301369863,0.0136986301369863,0.0136986301369863,0.0136986301369863,0.0,0.0136986301369863,0.0,0.0,0.0136986301369863,37,3.945945945945946,37.0,23.999999999999996
Unknown,4.0,3.0,0.0,0.0,1.0,1.0,3.0,4.0,7.0,4.0,0.0,0.0,0.0,2.0,1.0,4.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,4.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0662739322533137,0.06332842415316642,0.035346097201767304,0.10898379970544919,0.10014727540500737,0.07511045655375552,0.029455081001472753,0.053019145802650956,0.041237113402061855,0.023564064801178203,0.06774668630338733,0.023564064801178203,0.050073637702503684,0.014727540500736377,0.14138438880706922,0.025036818851251842,0.011782032400589101,0.014727540500736377,0.013254786450662739,0.013254786450662739,0.008836524300441826,0.005891016200294551,0.007363770250368188,0.0,0.0014727540500736377,0.0029455081001472753,159,4.270440251572327,15.8,88.99852724594996
