Author,and,have,in,the,your,are,not,upon,thy,is,ye,neither,or,that,lord,god,when,unto,of,out,we,them,their,it,for,an,to,therefore,do,may,all,with,from,thou,shouldest,into,his,which,thee,he,himself,be,as,hath,said,make,but,him,our,also,how,by,were,among,lest,there,should,man,whose,these,shall,will,then,according,say,they,thereof,therein,like,wherefore,thus,what,because,forth,other,whom,had,was,those,ever,shalt,whither,thine,if,thence,every,again,who,no,more,me,did,must,each,throughout,one,notwithstanding,wherein,without,where,could,whence,my,wherewith,now,thyself,such,yet,till,some,once,let,her,hast,than,been,yea,many,verily,ought,oft,being,much,whosoever,didst,inasmuch,downward,abundance,whereto,seest,therewith,whereof,whatsoever,thereby,outward,hence,howsoever,becometh,whereby,henceforth,thereon,thereupon,doeth,thereunto,became,moreover,oftentimes,cometh,underneath,would,whereunto,whensoever,wherewithal,seemeth,hereof,whereon,soever,forthwith,therefrom,wheresoever,whoso,upward,a_percentage_use,n_percentage_use,d_percentage_use,i_percentage_use,h_percentage_use,v_percentage_use,e_percentage_use,l_percentage_use,y_percentage_use,o_percentage_use,u_percentage_use,f_percentage_use,r_percentage_use,t_percentage_use,s_percentage_use,w_percentage_use,c_percentage_use,x_percentage_use,p_percentage_use,b_percentage_use,k_percentage_use,g_percentage_use,m_percentage_use,j_percentage_use,z_percentage_use,q_percentage_use,Total_Word_Count,AVG_Letter_Per_Word,AVG_Word_Per_Verse,Total_Function_Word_Count
Moses,130.0,13.0,33.0,119.0,14.0,7.0,18.0,9.0,47.0,16.0,15.0,6.0,4.0,50.0,47.0,29.0,6.0,36.0,55.0,7.0,7.0,23.0,8.0,26.0,14.0,2.0,39.0,2.0,12.0,11.0,28.0,18.0,9.0,25.0,3.0,4.0,15.0,19.0,37.0,25.0,2.0,10.0,8.0,9.0,5.0,2.0,6.0,7.0,4.0,2.0,2.0,1.0,1.0,4.0,2.0,2.0,2.0,2.0,1.0,5.0,20.0,16.0,3.0,3.0,5.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,11.0,5.0,8.0,4.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08528428093645485,0.06786510590858418,0.052814938684503904,0.05420847268673356,0.09629319955406912,0.010033444816053512,0.11357302118171683,0.04487179487179487,0.023690078037904124,0.08570234113712374,0.02508361204013378,0.019370122630992196,0.051700111482720176,0.11357302118171683,0.053790412486064657,0.020206243032329988,0.015468227424749164,0.0002787068004459309,0.008361204013377926,0.010590858416945374,0.004738015607580825,0.018534002229654404,0.021460423634336676,0.0015328874024526198,0.00013935340022296544,0.0,1833,3.9148936170212765,31.603448275862068,1175.9991638795989
Joshua,8.0,2.0,3.0,26.0,1.0,1.0,2.0,0.0,0.0,2.0,6.0,0.0,0.0,5.0,10.0,2.0,0.0,3.0,18.0,0.0,1.0,1.0,1.0,1.0,1.0,3.0,5.0,0.0,0.0,0.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08766564729867482,0.0672782874617737,0.04281345565749235,0.06320081549439348,0.07849133537206932,0.0030581039755351682,0.1111111111111111,0.053007135575942915,0.020387359836901122,0.08664627930682976,0.029561671763506627,0.02854230377166157,0.05402650356778797,0.10601427115188583,0.05708460754332314,0.021406727828746176,0.0163098878695209,0.0,0.010193679918450561,0.0163098878695209,0.0020387359836901123,0.027522935779816515,0.014271151885830785,0.0,0.0,0.0010193679918450561,235,4.174468085106383,39.0,138.99796126401625
Samuel,44.0,0.0,2.0,28.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,1.0,1.0,7.0,2.0,2.0,2.0,2.0,15.0,2.0,2.0,3.0,5.0,1.0,6.0,3.0,13.0,0.0,0.0,0.0,4.0,4.0,0.0,5.0,0.0,1.0,5.0,2.0,2.0,9.0,1.0,0.0,0.0,0.0,5.0,0.0,3.0,12.0,0.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,6.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09773662551440329,0.07047325102880658,0.07098765432098765,0.06738683127572016,0.0787037037037037,0.015432098765432098,0.12551440329218108,0.029320987654320986,0.014917695473251029,0.06275720164609054,0.026748971193415638,0.018518518518518517,0.05298353909465021,0.09104938271604938,0.044238683127572016,0.025205761316872428,0.01594650205761317,0.00051440329218107,0.01800411522633745,0.01748971193415638,0.00874485596707819,0.01748971193415638,0.02417695473251029,0.0015432098765432098,0.00102880658436214,0.00051440329218107,475,4.092631578947368,31.533333333333335,257.9974279835392
Unknown,9.0,0.0,0.0,7.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06842105263157895,0.07368421052631578,0.08421052631578947,0.05789473684210526,0.07631578947368421,0.013157894736842105,0.13421052631578947,0.02631578947368421,0.005263157894736842,0.07631578947368421,0.039473684210526314,0.02894736842105263,0.05789473684210526,0.06315789473684211,0.07105263157894737,0.02631578947368421,0.018421052631578946,0.0,0.010526315789473684,0.015789473684210527,0.021052631578947368,0.010526315789473684,0.021052631578947368,0.0,0.0,0.0,92,4.130434782608695,15.333333333333334,47.00000000000001
Unknown,19.0,0.0,6.0,18.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,1.0,3.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,1.0,0.0,3.0,2.0,1.0,4.0,0.0,1.0,1.0,1.0,2.0,3.0,0.0,1.0,0.0,3.0,8.0,0.0,1.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09590643274853801,0.07602339181286549,0.050292397660818715,0.08070175438596491,0.09473684210526316,0.004678362573099415,0.10292397660818714,0.04093567251461988,0.014035087719298246,0.08070175438596491,0.022222222222222223,0.026900584795321637,0.042105263157894736,0.09005847953216374,0.0456140350877193,0.017543859649122806,0.021052631578947368,0.0,0.02456140350877193,0.00935672514619883,0.0152046783625731,0.0152046783625731,0.021052631578947368,0.0035087719298245615,0.0011695906432748538,0.0,218,3.9220183486238533,27.125,128.99649122807023
Unknown,15.0,0.0,7.0,28.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,2.0,0.0,1.0,1.0,13.0,1.0,0.0,1.0,0.0,4.0,2.0,0.0,4.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,4.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09932279909706546,0.08577878103837472,0.050790067720090294,0.06320541760722348,0.08803611738148984,0.004514672686230248,0.12641083521444696,0.034988713318284424,0.02144469525959368,0.056433408577878104,0.020316027088036117,0.022573363431151242,0.040632054176072234,0.10158013544018059,0.03724604966139955,0.022573363431151242,0.01805869074492099,0.0,0.010158013544018058,0.020316027088036117,0.011286681715575621,0.025959367945823927,0.020316027088036117,0.006772009029345372,0.0056433408577878106,0.0,220,4.027272727272727,31.142857142857142,118.99435665914223
Ezra,60.0,0.0,4.0,62.0,1.0,4.0,0.0,3.0,0.0,2.0,3.0,0.0,0.0,5.0,3.0,9.0,0.0,11.0,51.0,0.0,5.0,14.0,3.0,0.0,19.0,3.0,9.0,0.0,0.0,0.0,5.0,7.0,2.0,0.0,0.0,0.0,8.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,5.0,10.0,5.0,0.0,3.0,1.0,0.0,0.0,4.0,2.0,1.0,1.0,1.0,0.0,0.0,4.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0880952380952381,0.07539682539682539,0.055952380952380955,0.055952380952380955,0.08571428571428572,0.012301587301587301,0.12777777777777777,0.03492063492063492,0.010714285714285714,0.07896825396825397,0.02619047619047619,0.039285714285714285,0.05357142857142857,0.0884920634920635,0.06666666666666667,0.015873015873015872,0.00992063492063492,0.0007936507936507937,0.011507936507936509,0.011507936507936509,0.004761904761904762,0.017063492063492062,0.022222222222222223,0.0031746031746031746,0.0015873015873015873,0.0003968253968253968,621,4.057971014492754,31.05,351.99880952380954
Nehemiah,7.0,0.0,1.0,10.0,1.0,0.0,3.0,3.0,0.0,0.0,3.0,0.0,1.0,5.0,0.0,1.0,1.0,1.0,4.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09615384615384616,0.06468531468531469,0.05244755244755245,0.04895104895104895,0.07517482517482517,0.0034965034965034965,0.11013986013986014,0.038461538461538464,0.024475524475524476,0.07692307692307693,0.033216783216783216,0.02097902097902098,0.045454545454545456,0.11363636363636363,0.06118881118881119,0.013986013986013986,0.013986013986013986,0.0,0.01048951048951049,0.038461538461538464,0.0034965034965034965,0.024475524475524476,0.026223776223776224,0.0034965034965034965,0.0,0.0,144,3.9722222222222223,36.0,82.0
Mordecai,2.0,0.0,0.0,5.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07563025210084033,0.058823529411764705,0.03361344537815126,0.058823529411764705,0.13445378151260504,0.0,0.11764705882352941,0.03361344537815126,0.01680672268907563,0.06722689075630252,0.03361344537815126,0.0,0.06722689075630252,0.1092436974789916,0.04201680672268908,0.03361344537815126,0.025210084033613446,0.0,0.03361344537815126,0.01680672268907563,0.01680672268907563,0.025210084033613446,0.0,0.0,0.0,0.0,30,3.966666666666667,30.0,17.999999999999996
Unknown,7.0,0.0,3.0,17.0,0.0,0.0,2.0,0.0,0.0,5.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,0.0,0.0,4.0,0.0,0.0,9.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07212205270457697,0.06102635228848821,0.03744798890429958,0.0651872399445215,0.12343966712898752,0.008321775312066574,0.14285714285714285,0.024965325936199722,0.005547850208044383,0.052704576976421634,0.026352288488210817,0.022191400832177532,0.06796116504854369,0.11789181692094314,0.0638002773925104,0.013869625520110958,0.013869625520110958,0.0,0.013869625520110958,0.008321775312066574,0.005547850208044383,0.027739251040221916,0.020804438280166437,0.0013869625520110957,0.0,0.0013869625520110957,163,4.423312883435583,16.3,84.99861303744801
