Author,Word,Count
moroni₂,who,101
moroni₂,the,1896
moroni₂,of,1211
moroni₂,he,444
moroni₂,him,145
moroni₂,her,8
moroni₂,unto,394
moroni₂,me,78
moroni₂,to,578
moroni₂,will,102
moroni₂,ye,206
moroni₂,that,673
moroni₂,be,249
moroni₂,in,407
moroni₂,which,242
moroni₂,shall,240
moroni₂,have,178
moroni₂,thou,61
moroni₂,hast,31
moroni₂,and,1712
moroni₂,according,30
moroni₂,as,76
moroni₂,them,194
moroni₂,there,100
moroni₂,is,151
moroni₂,no,59
moroni₂,whither,7
moroni₂,we,56
moroni₂,also,100
moroni₂,for,255
moroni₂,not,230
moroni₂,it,343
moroni₂,therefore,28
moroni₂,my,115
moroni₂,said,46
moroni₂,must,25
moroni₂,by,154
moroni₂,now,70
moroni₂,do,68
moroni₂,with,125
moroni₂,thy,31
moroni₂,because,75
moroni₂,his,270
moroni₂,thee,27
moroni₂,are,109
moroni₂,our,43
moroni₂,upon,138
moroni₂,from,90
moroni₂,may,79
moroni₂,forth,58
moroni₂,these,69
moroni₂,many,60
moroni₂,been,44
moroni₂,thine,1
moroni₂,they,420
moroni₂,but,78
moroni₂,out,41
moroni₂,all,209
moroni₂,whatsoever,14
moroni₂,man,61
moroni₂,lest,10
moroni₂,should,100
moroni₂,had,138
moroni₂,thyself,3
moroni₂,yea,50
moroni₂,let,7
moroni₂,what,9
moroni₂,into,36
moroni₂,among,40
moroni₂,whom,15
moroni₂,whereby,3
moroni₂,hath,58
moroni₂,much,7
moroni₂,an,35
moroni₂,their,144
moroni₂,did,249
moroni₂,wherefore,102
moroni₂,if,83
moroni₂,then,24
moroni₂,say,24
moroni₂,those,19
moroni₂,was,164
moroni₂,or,40
moroni₂,again,68
moroni₂,every,27
moroni₂,whosoever,1
moroni₂,shalt,7
moroni₂,more,27
moroni₂,your,45
moroni₂,other,13
moroni₂,make,14
moroni₂,when,78
moroni₂,neither,29
moroni₂,such,12
moroni₂,were,148
moroni₂,could,31
moroni₂,than,11
moroni₂,seest,1
moroni₂,cometh,23
moroni₂,one,34
moroni₂,thereof,21
moroni₂,how,11
moroni₂,thus,16
moroni₂,would,64
moroni₂,henceforth,2
moroni₂,being,21
moroni₂,doeth,3
moroni₂,without,10
moroni₂,whoso,16
moroni₂,like,19
moroni₂,ought,1
moroni₂,himself,25
moroni₂,yet,8
moroni₂,seemeth,2
moroni₂,notwithstanding,3
moroni₂,whose,8
moroni₂,ever,1
moroni₂,wherein,1
moroni₂,soever,1
moroni₂,some,5
moroni₂,where,7
moroni₂,anything,2
moroni₂,each,1
moroni₂,thereby,3
moroni₂,till,3
moroni₂,became,17
moroni₂,throughout,4
moroni₂,thence,1
moroni₂,inasmuch,1
moroni₂,didst,2
moroni₂,whence,1
moroni₂,therein,1
moroni₂,oft,3
mormon,thou,356
mormon,that,4542
mormon,the,12018
mormon,of,7411
mormon,shall,1158
mormon,to,4633
mormon,from,636
mormon,their,2210
mormon,we,681
mormon,are,706
mormon,whom,124
mormon,hast,71
mormon,out,395
mormon,and,10504
mormon,now,1005
mormon,if,423
mormon,our,545
mormon,will,658
mormon,be,1449
mormon,thy,242
mormon,him,745
mormon,he,2020
mormon,there,577
mormon,is,817
mormon,as,720
mormon,yea,952
mormon,all,1145
mormon,in,2389
mormon,his,1509
mormon,ye,1409
mormon,then,144
mormon,shalt,70
mormon,which,1363
mormon,thee,156
mormon,unto,2157
mormon,thus,392
mormon,hath,259
mormon,me,428
mormon,said,419
mormon,yet,62
mormon,what,132
mormon,these,485
mormon,say,388
mormon,for,1487
mormon,have,1078
mormon,not,1476
mormon,them,1874
mormon,therefore,584
mormon,your,528
mormon,been,547
mormon,do,452
mormon,it,1899
mormon,upon,649
mormon,with,1042
mormon,ought,30
mormon,by,802
mormon,they,3170
mormon,should,812
mormon,neither,103
mormon,but,695
mormon,must,96
mormon,wherewith,13
mormon,because,509
mormon,again,318
mormon,my,829
mormon,whither,16
mormon,much,154
mormon,had,1341
mormon,would,429
mormon,forth,391
mormon,cometh,61
mormon,when,464
mormon,no,299
mormon,more,267
mormon,moreover,15
mormon,were,1625
mormon,himself,90
mormon,make,79
mormon,notwithstanding,48
mormon,was,1186
mormon,did,1424
mormon,could,214
mormon,man,304
mormon,who,899
mormon,ever,24
mormon,or,334
mormon,among,447
mormon,also,669
mormon,being,197
mormon,one,281
mormon,many,508
mormon,into,488
mormon,an,259
mormon,whosoever,77
mormon,those,385
mormon,whose,43
mormon,every,157
mormon,how,97
mormon,henceforth,8
mormon,such,96
mormon,according,349
mormon,may,307
mormon,like,38
mormon,without,38
mormon,throughout,55
mormon,whatsoever,50
mormon,becometh,8
mormon,doeth,17
mormon,whereof,6
mormon,than,95
mormon,anything,11
mormon,inasmuch,14
mormon,some,60
mormon,other,73
mormon,seest,5
mormon,thine,27
mormon,became,70
mormon,wherefore,11
mormon,thereof,52
mormon,let,77
mormon,thereby,34
mormon,thyself,9
mormon,shouldst,6
mormon,once,17
mormon,verily,75
mormon,lest,47
mormon,thereon,1
mormon,didst,15
mormon,whereby,19
mormon,where,29
mormon,therein,3
mormon,till,15
mormon,whence,10
mormon,her,47
mormon,wherein,6
mormon,hence,2
mormon,seemeth,3
mormon,upwards,1
mormon,whereon,1
mormon,thence,9
mormon,whoso,18
mormon,oft,11
mormon,wherewithal,1
mormon,abundance,8
mormon,wheresoever,1
mormon,outward,2
mormon,each,4
mormon,seem,1
abinadom,the,9
abinadom,of,6
abinadom,it,1
abinadom,to,2
abinadom,that,3
abinadom,much,1
abinadom,and,6
abinadom,my,3
abinadom,with,1
abinadom,have,1
abinadom,many,1
abinadom,in,1
abinadom,is,4
abinadom,upon,1
abinadom,which,3
abinadom,had,1
abinadom,by,1
abinadom,according,1
abinadom,no,1
abinadom,been,1
abinadom,neither,1
abinadom,wherefore,1
abinadom,make,1
abinadom,an,1
nephi₁,will,284
nephi₁,not,400
nephi₁,neither,48
nephi₁,the,4347
nephi₁,many,137
nephi₁,shall,1011
nephi₁,be,712
nephi₁,in,722
nephi₁,and,3307
nephi₁,to,997
nephi₁,because,167
nephi₁,of,2611
nephi₁,do,96
nephi₁,ye,308
nephi₁,your,76
nephi₁,with,293
nephi₁,that,1321
nephi₁,hath,176
nephi₁,him,230
nephi₁,again,72
nephi₁,into,113
nephi₁,what,27
nephi₁,thou,160
nephi₁,whom,40
nephi₁,seest,5
nephi₁,is,355
nephi₁,yea,205
nephi₁,which,493
nephi₁,thy,182
nephi₁,thereof,36
nephi₁,thus,55
nephi₁,all,366
nephi₁,also,230
nephi₁,who,188
nephi₁,are,301
nephi₁,unto,878
nephi₁,they,761
nephi₁,wherefore,235
nephi₁,them,463
nephi₁,for,636
nephi₁,these,134
nephi₁,their,379
nephi₁,his,390
nephi₁,he,610
nephi₁,from,242
nephi₁,henceforth,4
nephi₁,other,61
nephi₁,upon,246
nephi₁,it,618
nephi₁,out,132
nephi₁,like,69
nephi₁,there,121
nephi₁,hast,36
nephi₁,forth,115
nephi₁,when,79
nephi₁,according,108
nephi₁,by,202
nephi₁,have,393
nephi₁,were,202
nephi₁,been,110
nephi₁,an,69
nephi₁,should,216
nephi₁,among,81
nephi₁,whose,16
nephi₁,make,75
nephi₁,must,103
nephi₁,or,51
nephi₁,as,206
nephi₁,one,124
nephi₁,cometh,34
nephi₁,himself,34
nephi₁,then,47
nephi₁,if,115
nephi₁,no,100
nephi₁,more,61
nephi₁,those,64
nephi₁,whoso,8
nephi₁,therefore,41
nephi₁,shalt,29
nephi₁,but,165
nephi₁,our,163
nephi₁,we,220
nephi₁,much,37
nephi₁,yet,18
nephi₁,me,296
nephi₁,say,86
nephi₁,notwithstanding,12
nephi₁,my,625
nephi₁,said,128
nephi₁,man,87
nephi₁,how,27
nephi₁,thee,91
nephi₁,was,182
nephi₁,let,25
nephi₁,her,24
nephi₁,therein,6
nephi₁,now,112
nephi₁,thyself,2
nephi₁,every,39
nephi₁,wherein,3
nephi₁,moreover,3
nephi₁,till,3
nephi₁,may,82
nephi₁,without,16
